
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198506  -1.09  -0.91  -0.52   0.29  -2.05  -1.29  -1.25  -1.58  -4.60  -4.70
198507  11.20   6.43  15.27  12.21  12.39  11.69  12.55   9.26  14.25   4.44
198508  -1.82  -0.17  -6.19   1.34  -3.55   0.65  -3.79  -2.03  -5.59   8.95
198509   5.13   5.10   3.52   5.59   7.12   5.32   8.28   4.71   6.61 -99.99
198510   7.97   6.41   9.02  11.90   9.30  11.44   8.44   7.86   8.29 -99.99
198511  15.76  13.28  12.71  19.31  11.74  19.31  14.64  10.04  14.97 -99.99
198512   7.69   9.73   7.92   8.83   6.09   7.27   4.81   9.99   6.43 -99.99
198601   2.70   4.75   0.79   2.97   3.69   1.68   2.60   4.81   5.05 -99.99
198602  11.16   7.02   9.43  12.41   5.87  13.02   4.33  15.90   6.73 -99.99
198603  11.13   8.80  10.98   8.77  10.16   5.68   9.76  11.66   9.19 -99.99
198604  11.01   3.92   8.10  13.82   8.10  12.99  10.82   4.67   8.38 -99.99
198605   0.35  -1.85   3.16   2.76  -1.29  -0.52   0.42  -1.84  -0.32 -99.99
198606   5.07   5.57   9.61   1.55   4.98  10.44   7.19   2.34  12.59 -99.99
198607   3.87  -1.02   6.15   5.12   2.64   4.28   4.00   5.52   3.95 -99.99
198608   1.67  -0.38   2.02   3.32   3.26   1.46   1.39   4.81   0.13 -99.99
198609  -0.83   4.37   1.35  -4.40   2.37   3.00   0.29   0.00   1.22 -99.99
198610   4.40   5.74   5.76   4.09   4.01   1.97   4.24   5.86   7.76 -99.99
198611  -1.97  -2.16  -0.12  -3.77   0.39  -0.50   1.28  -3.27  -0.07 -99.99
198612   0.07  -0.11   2.10  -1.78   0.38  -0.03   1.79  -0.94   1.52 -99.99
198701  -6.96  -2.77  -5.51  -7.96  -7.20  -9.12  -6.61  -8.77  -4.62 -99.99
198702  13.95  13.65  15.90  13.10  17.23  16.25  17.69  14.12  15.98 -99.99
198703   5.71   9.77   6.53   5.51   9.23   4.96   6.61   6.67   5.37 -99.99
198704   8.83  13.47   6.97   8.44  11.12  12.56   9.13  10.06   7.22 -99.99
198705  -6.42  -5.28  -2.92  -8.67  -3.51  -9.50  -2.14  -7.35  -2.69 -99.99
198706   1.94  -0.69   0.59   2.84  -0.52   0.80   0.11   1.35   1.49 -99.99
198707   6.50   4.51   7.26   8.53   5.51   7.79   6.21   7.91   7.39 -99.99
198708   4.38   2.61   1.55   5.09  -1.35   3.70  -0.87   3.42   2.01 -99.99
198709   3.69   3.95   1.19   5.81   1.66   6.95   1.42   4.62   1.25 -99.99
198710 -17.58 -19.45 -13.91 -17.73 -14.26 -19.09 -14.83 -17.74 -13.62 -99.99
198711 -11.52  -8.12 -10.31 -13.39  -9.40 -13.58  -9.78  -9.21  -9.17 -99.99
198712   6.18   3.04   7.95   7.35   8.02   3.22   8.48   5.03   6.62 -99.99
198801   8.58   9.29   7.27   7.77   7.27   9.84   9.77   8.10   7.70 -99.99
198802   2.52   4.09  -0.05   1.65  -0.14   2.32   1.77   2.38  -0.61 -99.99
198803   6.48   9.41   1.62   6.85   2.86   9.91   5.01   7.76   2.07 -99.99
198804   3.54   5.53   2.75   5.18   2.79   5.43   1.68   4.38   2.34 -99.99
198805   2.83   1.16   2.00   2.28   1.89  -0.09   1.12   2.01   0.80 -99.99
198806  -5.99  -7.74  -5.77  -6.71  -7.03  -8.59  -5.24  -6.15  -7.11 -99.99
198807   2.17   2.63   4.58   3.17   5.25   3.17   4.16   2.97   4.48 -99.99
198808  -4.95  -5.21  -6.00  -5.50  -5.71  -5.66  -5.94  -5.43  -6.26 -99.99
198809   6.51   9.52   5.17   9.08   3.25  10.36   3.83   8.61   5.02 -99.99
198810   7.50   5.35  11.64   6.15  11.40   4.83   7.25   6.91  11.89 -99.99
198811   3.70   4.79   4.53   5.02   4.52   5.03   3.82   4.60   4.59 -99.99
198812   5.57   7.50   4.38   7.73   3.88   8.19   4.36   7.11   4.22 -99.99
198901   3.01   3.77   3.10   3.95   2.14   3.53   2.73   4.73   0.17 -99.99
198902   3.07   3.66   0.50   3.93   2.50   4.05   2.77   3.03   0.83 -99.99
198903   2.39   5.17  -0.78   3.48   0.10   6.12   0.39   4.34  -0.38 -99.99
198904   1.41  -0.07   1.31  -0.66   2.18  -0.01   1.26  -0.02   1.52 -99.99
198905  -0.67  -0.82   1.34  -3.25   1.46  -0.95   0.07  -0.69   1.37 -99.99
198906   4.55   3.91   2.55   3.09   4.42   3.27   4.51   3.38   3.60 -99.99
198907  11.65  10.78  14.53  12.01  14.62   8.53  14.31  11.79  12.74 -99.99
198908  -1.91  -0.87  -1.30  -0.88  -1.35  -0.01  -1.85  -1.92  -0.75 -99.99
198909  -2.04  -1.74  -1.69  -1.27  -3.69  -1.58  -3.77  -1.79  -3.21 -99.99
198910  -6.17  -6.68  -3.96  -6.15  -5.31  -5.42  -6.34  -6.15  -2.61 -99.99
198911  -1.04  -3.19  -0.13  -4.44   1.77  -2.17   2.05  -2.52   1.89 -99.99
198912  10.80  10.76  11.31   9.35   9.77  10.91  10.91  10.44  14.84 -99.99
199001   0.13  -1.72   1.48  -3.94   0.88  -0.77   3.06  -1.79   3.19 -99.99
199002  -5.83  -6.12  -6.41  -4.81  -6.36  -6.23  -5.88  -5.33  -6.26 -99.99
199003  -2.99  -6.23  -2.49  -3.73  -2.86  -3.85  -2.33  -4.74  -1.99 -99.99
199004   1.05  -1.23  -0.29  -0.51  -0.54  -0.99   2.18  -0.42   2.32 -99.99
199005  12.08   9.01  12.91   8.63  13.88   5.56  18.08   9.31  17.16 -99.99
199006   6.04   5.85   4.48   5.03   4.06   4.22   5.25   4.99   4.94 -99.99
199007   4.72   6.84   3.20   8.31   3.17   6.82   2.68   6.59   2.40 -99.99
199008 -13.10 -15.19 -12.32 -15.79 -12.16 -16.36 -10.10 -14.00  -9.28 -99.99
199009 -22.37 -21.12 -24.35 -20.16 -24.25 -20.49 -22.11 -20.58 -21.66 -99.99
199010   4.02  -4.04   7.56  -2.02   8.08  -4.07  14.11  -2.24  13.82 -99.99
199011  -7.09  -7.58  -7.11  -7.92  -6.67  -9.37  -8.96  -8.38  -8.65 -99.99
199012   3.07   6.26   1.70   7.67   2.16   8.00   0.45   4.96  -0.55 -99.99
199101  14.44  17.98  11.23  17.76   9.42  19.63   8.00  20.68   8.09 -99.99
199102   9.39  15.94   7.19  10.11   7.72  16.44   7.21  11.62   8.20 -99.99
199103  -4.61  -1.34  -6.61  -0.80  -6.03  -0.94  -6.00   1.51  -6.74 -99.99
199104  -4.74  -4.98  -4.14  -6.41  -4.90  -4.29  -3.47  -5.15  -4.88 -99.99
199105   4.86   4.52   3.42   7.89   5.26   4.59   5.55   6.65   5.71 -99.99
199106  -2.00   0.43  -3.28   1.05  -3.42  -0.06  -2.43   0.93  -3.46 -99.99
199107   3.31   4.01   3.92   4.62   3.22   3.34   2.31   2.19   3.89 -99.99
199108  -1.31  -5.75   2.47  -4.11   3.19  -3.63   2.88  -3.67   3.27 -99.99
199109  -1.84  -1.23  -4.19  -0.02  -3.13   1.53  -3.48  -1.58  -3.38 -99.99
199110  -3.24  -5.58  -1.55  -5.61  -0.60  -5.61   1.62  -7.04  -0.02 -99.99
199111  -3.88   0.12  -9.54   0.76  -8.13  -1.31  -6.73   1.71  -8.75 -99.99
199112   4.48  -2.74   8.58  -0.19   8.17  -1.75   9.42  -0.98   8.69 -99.99
199201   0.09   7.66  -1.81   1.46  -3.28   5.86  -0.64   6.60  -6.12  11.91
199202  -3.42  -4.96  -1.95  -4.27  -1.92   1.20  -1.08  -2.13  -4.54  -3.42
199203   5.51  10.80   2.23   8.39   0.61   8.42   2.38   7.96   0.98   9.72
199204  -1.36  -0.29  -2.68  -2.19  -2.82  -0.03  -1.58   0.42  -3.13   3.22
