This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 OP portfolios in Developed_ex_US.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
200011  ,-4.59  ,-1.46  ,-2.56  ,-5.23  ,-2.67  ,-4.04
200012   ,0.72   ,3.27   ,3.16   ,2.90   ,3.29  ,-0.56
200101   ,1.63   ,1.42   ,2.07   ,2.02   ,0.51   ,0.50
200102  ,-2.76  ,-2.01  ,-2.34  ,-7.22  ,-7.50  ,-9.23
200103  ,-7.91  ,-6.60  ,-7.74 ,-10.74  ,-8.00  ,-5.79
200104   ,6.87   ,7.32   ,6.43   ,6.73   ,7.43   ,9.70
200105  ,-0.34   ,0.40   ,1.06  ,-3.47  ,-1.66  ,-4.69
200106  ,-2.11  ,-2.26  ,-2.67  ,-2.54  ,-2.86  ,-5.02
200107  ,-4.77  ,-3.03  ,-3.20  ,-3.32  ,-2.85  ,-1.73
200108  ,-0.65   ,1.55   ,0.56  ,-3.00  ,-1.31  ,-3.01
200109 ,-13.05 ,-11.80 ,-13.46 ,-12.57  ,-9.71  ,-9.12
200110   ,4.06   ,3.39   ,4.83   ,4.36   ,2.20   ,2.56
200111   ,2.56   ,2.34   ,2.93   ,5.56   ,4.17   ,1.49
200112  ,-3.22  ,-2.16  ,-0.73   ,0.09   ,0.06  ,-0.26
200201  ,-2.10  ,-1.30  ,-0.79  ,-6.72  ,-4.53  ,-4.17
200202   ,1.43   ,2.66   ,2.39  ,-1.93   ,2.18   ,2.13
200203   ,3.16   ,5.16   ,5.36   ,4.79   ,5.33   ,5.54
200204   ,2.47   ,4.44   ,3.97  ,-0.98   ,2.63   ,0.18
200205   ,4.87   ,5.84   ,5.40   ,1.15   ,2.19   ,2.02
200206  ,-2.37  ,-1.07  ,-1.67  ,-5.84  ,-3.18  ,-2.31
200207  ,-6.80  ,-5.91  ,-6.79 ,-10.95  ,-9.27  ,-8.86
200208  ,-1.20  ,-1.03  ,-0.77  ,-0.36   ,0.41  ,-0.12
200209  ,-8.10  ,-7.15  ,-8.14 ,-14.94 ,-10.28  ,-8.65
200210  ,-0.35  ,-1.88  ,-1.04   ,8.38   ,3.88   ,3.98
200211   ,2.34   ,2.39   ,1.72   ,8.05   ,4.99   ,2.44
200212   ,0.65   ,1.03   ,0.76  ,-5.35  ,-2.64  ,-1.58
200301   ,0.31   ,0.49   ,1.00  ,-1.94  ,-3.57  ,-2.83
