This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 BE/ME portfolios in Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
201108  -3.46  -3.57  -2.76  -7.12  -8.95  -7.29
201109  -2.09  -1.41   0.40  -1.61  -0.87   2.63
201110  -2.53  -3.22  -3.98   0.89  -1.60  -2.51
201111  -2.51  -2.53  -1.21  -3.77  -4.16  -4.21
201112   2.32   1.42   2.85   0.10   1.37   2.41
201201   5.25   5.49   8.00   2.85   4.41   5.04
201202  -0.56   0.76   1.12   3.61   4.49   2.83
201203   2.11   2.86   2.66   1.71   1.65  -0.19
201204   2.53   1.16   0.32  -1.00  -2.36  -3.37
201205  -8.68  -8.08  -7.95  -7.26  -8.89  -9.43
201206   4.62   3.47   4.33   4.62   3.89   7.20
201207  -1.22  -0.62  -2.64   0.22  -1.73  -5.19
201208   0.45  -0.81  -1.43   0.54  -0.43  -2.90
201209   2.86   1.44   1.99   1.22   2.26   4.30
201210   1.09  -1.34  -2.93  -2.81  -1.04  -2.09
201211   0.92   0.53   1.78   0.87   2.71   1.70
201212  -1.18   1.39   5.36   1.33   3.45   8.95
201301   8.21   4.58   4.27   3.04   3.49   4.78
201302   4.67   3.11   2.39   2.40   3.12   3.21
201303  12.69   9.71   7.30   6.00   5.02   4.11
201304  19.30   9.77   6.69   7.99   7.74  12.00
201305  -1.58  -6.42  -7.40  -5.94  -3.90  -6.57
201306  -8.55  -3.72  -3.20   1.09   1.08   2.87
201307   4.94   4.14   3.59   1.18   0.85   1.58
201308  -3.08  -1.97  -2.07  -2.51  -2.66  -2.31
201309  12.22  10.00  11.31   9.77   7.21   9.26
