This file was created using the 202005 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 OP/BE portfolios in Developed.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  OP/BE is operating profitability at the last fiscal year end of the prior calendar
year divided by BE as of 6 months before formation.  Firms with negative
OP are included in any portfolio.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



    Average Value Weighted Returns -- Daily
                 Small                 Big
,SMALL LoBO,ME1 BO2,SMALL HiBO,BIG LoBO,ME2 BO2,BIG HiBO
20050919  ,-0.39  ,-0.24  ,-0.05  ,-0.58  ,-0.56  ,-0.17
20050920  ,-0.05  ,-0.15  ,-0.38  ,-0.16  ,-0.20  ,-0.30
20050921  ,-0.31  ,-0.16   ,0.05  ,-0.65  ,-0.49  ,-0.10
20050922  ,-0.46  ,-0.54  ,-0.65  ,-0.45  ,-0.25  ,-0.13
20050923  ,-0.06  ,-0.31  ,-0.40   ,0.13  ,-0.11  ,-0.40
20050926   ,0.91   ,0.92   ,0.81   ,0.82   ,0.85   ,0.87
20050927  ,-0.60  ,-0.52  ,-0.55  ,-0.43  ,-0.36  ,-0.43
20050928   ,0.33   ,0.35   ,0.62   ,0.57   ,0.67   ,0.71
20050929   ,0.68   ,0.44   ,0.44   ,0.91   ,0.46   ,0.54
20050930   ,0.16   ,0.16   ,0.11   ,0.07   ,0.21  ,-0.21
20051003  ,-0.02  ,-0.04   ,0.07  ,-0.23  ,-0.02  ,-0.22
20051004  ,-0.18  ,-0.12  ,-0.25  ,-0.22  ,-0.19  ,-0.59
20051005  ,-1.31  ,-1.14  ,-1.13  ,-1.02  ,-1.00  ,-1.41
20051006  ,-0.77  ,-0.58  ,-0.67  ,-0.44  ,-0.36  ,-0.77
20051007   ,0.22   ,0.02   ,0.12  ,-0.17  ,-0.16   ,0.07
20051010  ,-0.38  ,-0.32  ,-0.29  ,-0.43  ,-0.34  ,-0.48
20051011  ,-0.46  ,-0.16  ,-0.01  ,-0.14  ,-0.14   ,0.24
20051012  ,-0.48  ,-0.27  ,-0.35  ,-0.56  ,-0.48  ,-0.55
20051013  ,-0.35  ,-0.61  ,-0.81  ,-0.21  ,-0.53  ,-0.83
20051014   ,0.57   ,0.44   ,0.45   ,0.74   ,0.57   ,0.56
20051017  ,-0.13  ,-0.28  ,-0.18  ,-0.10  ,-0.21   ,0.08
20051018  ,-0.92  ,-0.86  ,-1.00  ,-0.83  ,-0.64  ,-1.18
20051019   ,0.11  ,-0.09  ,-0.38   ,0.31   ,0.09   ,0.08
20051020  ,-0.39  ,-0.13  ,-0.40  ,-0.51  ,-0.50  ,-0.76
20051021  ,-0.10  ,-0.34  ,-0.30   ,0.03  ,-0.26  ,-0.26
20051024   ,1.07   ,0.99   ,1.13   ,1.25   ,1.23   ,1.35
20051025   ,0.48   ,0.63   ,0.87   ,0.13   ,0.39   ,0.54
20051026  ,-0.21  ,-0.03  ,-0.07  ,-0.10  ,-0.14  ,-0.27
20051027  ,-0.62  ,-0.49  ,-0.43  ,-0.43  ,-0.66  ,-0.82
20051028   ,0.28   ,0.23   ,0.17   ,0.46   ,0.33   ,0.67
20051031   ,1.01   ,1.00   ,0.86   ,1.41   ,1.15   ,0.83
20051101   ,0.14   ,0.38   ,0.36   ,0.53   ,0.31   ,0.12
20051102   ,0.84   ,0.82   ,0.80   ,0.92   ,0.73   ,0.84
20051103   ,0.15   ,0.01   ,0.11   ,0.24   ,0.40   ,0.42
20051104  ,-0.22  ,-0.27  ,-0.41  ,-0.28  ,-0.22  ,-0.70
20051107   ,0.32   ,0.32   ,0.34   ,0.39   ,0.27   ,0.19
20051108  ,-0.20  ,-0.17  ,-0.06  ,-0.16  ,-0.21  ,-0.03
20051109  ,-0.02  ,-0.08  ,-0.02   ,0.03   ,0.00  ,-0.25
20051110  ,-0.16  ,-0.26  ,-0.43   ,0.24   ,0.36  ,-0.28
20051111   ,0.55   ,0.58   ,0.59   ,0.63   ,0.78   ,0.65
20051114  ,-0.59  ,-0.61  ,-0.54  ,-0.43  ,-0.30  ,-0.30
20051115  ,-0.69  ,-0.60  ,-0.55  ,-0.59  ,-0.30  ,-0.20
20051116  ,-0.27  ,-0.20  ,-0.10  ,-0.03  ,-0.15  ,-0.05
20051117   ,1.32   ,1.13   ,1.15   ,1.23   ,1.11   ,0.90
20051118   ,0.61   ,0.60   ,0.43   ,0.63   ,0.74   ,0.52
20051121   ,0.35   ,0.22   ,0.29   ,0.15   ,0.38   ,0.37
20051122   ,0.60   ,0.64   ,0.70   ,0.54   ,0.47   ,0.69
20051123   ,0.13   ,0.27   ,0.24   ,0.52   ,0.42   ,0.26
20051124  ,-0.14  ,-0.05  ,-0.11  ,-0.11  ,-0.13  ,-0.18
20051125   ,0.01  ,-0.09  ,-0.12  ,-0.06   ,0.01   ,0.09
20051128  ,-0.01   ,0.18   ,0.29  ,-0.03   ,0.02  ,-0.39
20051129  ,-0.09   ,0.08   ,0.02  ,-0.30  ,-0.35  ,-0.09
20051130   ,0.41   ,0.53   ,0.57  ,-0.40  ,-0.52  ,-0.43
20051201   ,0.98   ,0.83   ,0.70   ,1.15   ,1.07   ,1.11
20051202   ,0.44   ,0.64   ,0.54   ,0.42   ,0.47   ,0.46
20051205   ,0.34   ,0.53   ,0.74  ,-0.06   ,0.07   ,0.15
20051206   ,0.00   ,0.01   ,0.08   ,0.12   ,0.11   ,0.23
20051207  ,-0.23  ,-0.37  ,-0.20  ,-0.24  ,-0.35  ,-0.46
20051208   ,0.12  ,-0.02   ,0.15   ,0.00  ,-0.02   ,0.19
20051209   ,0.54   ,0.56   ,0.54   ,0.51   ,0.31   ,0.10
20051212   ,0.96   ,1.16   ,1.35   ,0.75   ,0.83   ,0.73
20051213  ,-0.19   ,0.04   ,0.18   ,0.01   ,0.26   ,0.35
20051214   ,0.34   ,0.56   ,0.52   ,0.16   ,0.42   ,0.40
20051215  ,-0.12  ,-0.18  ,-0.08  ,-0.28  ,-0.33  ,-0.28
20051216   ,0.16   ,0.21   ,0.17   ,0.18   ,0.32   ,0.03
20051219  ,-0.65  ,-0.48  ,-0.34  ,-0.35  ,-0.36  ,-0.37
20051220  ,-0.24  ,-0.15  ,-0.19  ,-0.08  ,-0.16  ,-0.26
20051221   ,0.68   ,0.61   ,0.55   ,0.57   ,0.57   ,0.31
20051222   ,0.57   ,0.51   ,0.36   ,0.49   ,0.37   ,0.26
20051223   ,0.31   ,0.22   ,0.13   ,0.14   ,0.07   ,0.07
20051226   ,0.13   ,0.25   ,0.28   ,0.03  ,-0.03   ,0.05
20051227  ,-0.83  ,-0.77  ,-0.63  ,-0.70  ,-0.63  ,-0.75
20051228   ,0.50   ,0.46   ,0.43   ,0.27   ,0.22   ,0.23
20051229   ,0.33   ,0.49   ,0.51   ,0.19   ,0.15   ,0.13
20051230  ,-0.20  ,-0.16  ,-0.06  ,-0.47  ,-0.52  ,-0.42
20060102   ,0.02  ,-0.02  ,-0.02   ,0.04   ,0.04   ,0.08
20060103   ,1.62   ,1.55   ,1.72   ,1.78   ,1.64   ,1.90
20060104   ,1.31   ,1.23   ,1.19   ,1.19   ,1.08   ,0.94
20060105   ,0.34   ,0.29   ,0.31   ,0.07  ,-0.04  ,-0.07
20060106   ,1.22   ,1.12   ,1.07   ,1.07   ,0.88   ,1.04
20060109   ,0.40   ,0.17   ,0.16   ,0.06   ,0.12   ,0.13
20060110   ,0.17  ,-0.12  ,-0.19  ,-0.30  ,-0.54  ,-0.34
20060111   ,0.51   ,0.42   ,0.66   ,0.77   ,0.85   ,0.52
20060112  ,-0.10   ,0.13   ,0.02  ,-0.42  ,-0.42  ,-0.52
20060113   ,0.58   ,0.75   ,0.80   ,0.25   ,0.10   ,0.29
20060116   ,0.10   ,0.05   ,0.15  ,-0.16  ,-0.17   ,0.00
20060117  ,-1.22  ,-1.41  ,-1.61  ,-0.99  ,-0.82  ,-0.55
20060118  ,-1.67  ,-2.02  ,-2.18  ,-0.94  ,-0.78  ,-1.10
20060119   ,1.91   ,1.83   ,1.99   ,0.86   ,0.86   ,0.80
20060120  ,-0.45  ,-0.22  ,-0.11  ,-0.96  ,-0.92  ,-0.60
20060123  ,-0.24  ,-0.33  ,-0.65   ,0.15   ,0.28   ,0.34
20060124   ,1.02   ,0.97   ,1.28   ,0.26   ,0.29   ,0.13
20060125   ,0.14   ,0.28   ,0.24   ,0.11   ,0.07  ,-0.04
20060126   ,0.86   ,0.59   ,0.51   ,0.88   ,0.81   ,0.43
20060127   ,0.63   ,0.62   ,0.66   ,0.83   ,0.57   ,0.88
20060130   ,0.29   ,0.25   ,0.18   ,0.21   ,0.04   ,0.33
20060131   ,0.53   ,0.61   ,0.57   ,0.16   ,0.25   ,0.06
20060201  ,-0.05  ,-0.29  ,-0.33   ,0.00  ,-0.03  ,-0.27
20060202  ,-0.18   ,0.04  ,-0.21  ,-0.58  ,-0.37  ,-0.64
20060203  ,-0.40  ,-0.23  ,-0.14  ,-0.53  ,-0.50  ,-0.57
20060206   ,0.50   ,0.34   ,0.46   ,0.07   ,0.02  ,-0.05
20060207  ,-0.31  ,-0.01  ,-0.20  ,-0.34  ,-0.32  ,-0.64
20060208  ,-0.58  ,-0.76  ,-0.77  ,-0.17  ,-0.09  ,-0.21
20060209   ,0.26   ,0.27   ,0.14   ,0.22   ,0.50   ,0.32
20060210  ,-0.51  ,-0.57  ,-0.67  ,-0.15  ,-0.29  ,-0.48
20060213  ,-1.45  ,-1.56  ,-1.71  ,-0.55  ,-0.38  ,-0.39
20060214   ,0.72   ,0.56   ,0.57   ,0.77   ,0.80   ,0.64
20060215   ,0.11  ,-0.07  ,-0.02  ,-0.11  ,-0.09   ,0.04
20060216   ,0.41   ,0.10   ,0.18   ,0.73   ,0.74   ,0.69
20060217  ,-0.31  ,-0.58  ,-0.51  ,-0.14  ,-0.10   ,0.02
20060220  ,-0.61  ,-0.95  ,-0.76  ,-0.15  ,-0.08   ,0.09
20060221   ,0.30   ,0.68   ,0.84  ,-0.04   ,0.12   ,0.13
20060222   ,0.57   ,0.56   ,0.54   ,0.77   ,0.71   ,0.13
20060223   ,0.87   ,1.04   ,1.16   ,0.28   ,0.31   ,0.12
20060224   ,0.63   ,0.42   ,0.56   ,0.24   ,0.10   ,0.19
20060227   ,0.32   ,0.39   ,0.07   ,0.44   ,0.50   ,0.24
20060228  ,-0.31  ,-0.23  ,-0.22  ,-0.72  ,-0.57  ,-0.58
20060301   ,0.39   ,0.04   ,0.05   ,0.60   ,0.41   ,0.54
20060302   ,0.16   ,0.06   ,0.06  ,-0.01   ,0.08   ,0.11
20060303  ,-0.36  ,-0.36  ,-0.18  ,-0.23  ,-0.27  ,-0.05
20060306  ,-0.53  ,-0.32  ,-0.38  ,-0.31  ,-0.36  ,-0.53
20060307  ,-1.41  ,-1.32  ,-1.48  ,-0.86  ,-0.84  ,-0.80
20060308  ,-0.44  ,-0.45  ,-0.55  ,-0.30  ,-0.19  ,-0.09
20060309   ,0.31   ,0.50   ,0.52   ,0.13   ,0.07   ,0.18
20060310   ,0.58   ,0.49   ,0.43   ,0.49   ,0.71   ,0.55
20060313   ,1.01   ,1.13   ,1.19   ,0.94   ,0.68   ,0.84
20060314   ,0.82   ,0.85   ,0.84   ,0.81   ,0.87   ,0.84
20060315   ,0.70   ,0.60   ,0.72   ,0.62   ,0.52   ,0.50
20060316   ,0.17   ,0.28   ,0.13   ,0.23   ,0.34   ,0.39
20060317   ,0.59   ,0.63   ,0.51   ,0.50   ,0.48   ,0.15
20060320   ,0.29   ,0.18   ,0.08   ,0.20   ,0.10  ,-0.12
20060321  ,-0.75  ,-0.66  ,-0.73  ,-0.65  ,-0.50  ,-0.51
20060322   ,0.62   ,0.72   ,0.56   ,0.21   ,0.23   ,0.52
20060323  ,-0.11  ,-0.27  ,-0.08  ,-0.62  ,-0.44  ,-0.48
20060324   ,0.78   ,0.61   ,0.65   ,0.49   ,0.42   ,0.59
20060327   ,0.40   ,0.33   ,0.33  ,-0.18  ,-0.22  ,-0.28
20060328  ,-0.27  ,-0.26  ,-0.33  ,-0.54  ,-0.51  ,-0.47
20060329   ,1.07   ,0.87   ,0.90   ,0.84   ,0.58   ,0.59
20060330   ,0.83   ,0.90   ,0.92   ,0.74   ,0.94   ,0.68
20060331   ,0.05  ,-0.06  ,-0.07  ,-0.39  ,-0.46  ,-0.68
20060403   ,0.27   ,0.54   ,0.56   ,0.63   ,0.52   ,0.75
20060404   ,0.42   ,0.56   ,0.73   ,0.50   ,0.49   ,0.38
20060405   ,0.24   ,0.24   ,0.43   ,0.51   ,0.57   ,0.51
20060406   ,0.33   ,0.35   ,0.43   ,0.07   ,0.07   ,0.00
20060407  ,-0.71  ,-0.61  ,-0.63  ,-0.96  ,-0.95  ,-0.94
20060410  ,-0.17   ,0.08   ,0.04  ,-0.04   ,0.06   ,0.35
20060411  ,-0.73  ,-0.54  ,-0.41  ,-0.87  ,-0.67  ,-0.57
20060412  ,-0.15  ,-0.40  ,-0.26  ,-0.27  ,-0.37  ,-0.43
20060413   ,0.41   ,0.19   ,0.31   ,0.37   ,0.15   ,0.17
20060414  ,-0.04  ,-0.08  ,-0.09  ,-0.07  ,-0.02  ,-0.04
20060417   ,0.13   ,0.18   ,0.35   ,0.10   ,0.30   ,0.40
20060418   ,1.70   ,1.59   ,1.50   ,1.37   ,1.36   ,1.42
20060419   ,0.90   ,0.67   ,0.71   ,0.64   ,0.66   ,0.72
20060420  ,-0.54  ,-0.44  ,-0.66  ,-0.12   ,0.02  ,-0.22
20060421   ,0.28   ,0.41   ,0.32   ,0.25   ,0.50   ,0.60
20060424  ,-0.36  ,-0.17  ,-0.15  ,-0.36  ,-0.28  ,-0.17
20060425   ,0.29   ,0.28   ,0.49  ,-0.08  ,-0.11  ,-0.10
20060426   ,0.37   ,0.43   ,0.38   ,0.38   ,0.46   ,0.12
20060427   ,0.00   ,0.18  ,-0.04   ,0.43   ,0.45   ,0.19
20060428   ,0.44   ,0.52   ,0.53  ,-0.14   ,0.18   ,0.26
20060501  ,-0.15  ,-0.10  ,-0.19  ,-0.22  ,-0.27  ,-0.06
20060502   ,0.73   ,0.80   ,0.87   ,0.90   ,0.83   ,0.87
20060503   ,0.13   ,0.18   ,0.16  ,-0.36  ,-0.20  ,-0.52
20060504   ,0.55   ,0.57   ,0.46   ,0.49   ,0.51   ,0.40
20060505   ,0.83   ,0.81   ,1.07   ,1.12   ,1.23   ,0.93
20060508   ,0.37   ,0.53   ,0.58   ,0.30   ,0.24   ,0.22
20060509   ,0.28   ,0.26   ,0.46   ,0.30   ,0.31   ,0.45
20060510  ,-0.22  ,-0.17  ,-0.11  ,-0.07  ,-0.28  ,-0.07
20060511  ,-1.10  ,-0.78  ,-0.86  ,-0.88  ,-0.83  ,-0.58
20060512  ,-1.12  ,-1.12  ,-1.23  ,-1.19  ,-1.09  ,-1.20
20060515  ,-2.07  ,-2.00  ,-2.19  ,-1.02  ,-1.10  ,-1.05
20060516  ,-0.44  ,-0.42  ,-0.35  ,-0.30  ,-0.02   ,0.13
20060517  ,-1.47  ,-1.39  ,-1.62  ,-1.97  ,-2.17  ,-2.06
20060518  ,-1.11  ,-0.80  ,-1.04  ,-0.71  ,-0.43  ,-0.34
20060519  ,-0.01  ,-0.19  ,-0.04  ,-0.01   ,0.02  ,-0.25
20060522  ,-1.99  ,-1.72  ,-2.10  ,-1.36  ,-1.22  ,-1.00
20060523  ,-0.08  ,-0.10   ,0.27   ,0.02   ,0.14   ,0.26
20060524  ,-0.54  ,-0.49  ,-0.73  ,-0.36  ,-0.41  ,-0.58
20060525   ,1.19   ,1.05   ,1.35   ,1.21   ,0.90   ,1.32
20060526   ,0.93   ,0.82   ,0.93   ,1.01   ,1.01   ,0.95
20060529   ,0.39   ,0.37   ,0.29   ,0.08   ,0.10   ,0.21
20060530  ,-1.08  ,-0.88  ,-0.98  ,-1.09  ,-1.06   ,0.60
20060531  ,-0.09  ,-0.13  ,-0.05   ,0.17   ,0.15  ,-1.52
20060601   ,0.49   ,0.23   ,0.08   ,0.76   ,0.78   ,0.66
20060602   ,0.85   ,0.91   ,1.10   ,0.88   ,0.86   ,0.82
20060605  ,-1.33  ,-1.10  ,-1.03  ,-1.27  ,-1.28  ,-1.31
20060606  ,-1.84  ,-2.01  ,-1.91  ,-1.71  ,-1.46  ,-1.18
20060607  ,-0.78  ,-0.95  ,-1.05  ,-0.54  ,-0.35  ,-0.77
20060608  ,-2.43  ,-2.66  ,-2.64  ,-1.86  ,-1.79  ,-1.77
20060609   ,0.37   ,0.77   ,0.84   ,0.49   ,0.55   ,0.42
20060612  ,-1.27  ,-0.75  ,-0.85  ,-1.20  ,-1.09  ,-0.89
20060613  ,-2.75  ,-2.66  ,-3.01  ,-2.18  ,-2.24  ,-1.94
20060614   ,0.54   ,0.51   ,0.62   ,0.45   ,0.52   ,0.62
20060615   ,2.96   ,2.69   ,2.96   ,2.61   ,2.23   ,2.02
20060616   ,0.11   ,0.31   ,0.33  ,-0.05   ,0.09   ,0.08
20060619  ,-0.76  ,-0.57  ,-0.60  ,-0.31  ,-0.51  ,-0.81
20060620  ,-0.22  ,-0.37  ,-0.30  ,-0.06   ,0.01   ,0.12
20060621   ,0.89   ,0.48   ,0.67   ,0.83   ,0.76   ,0.91
20060622   ,0.07   ,0.12   ,0.06  ,-0.12  ,-0.17  ,-0.06
20060623  ,-0.14  ,-0.22  ,-0.17  ,-0.28  ,-0.32   ,0.09
20060626   ,0.59   ,0.74   ,0.57   ,0.60   ,0.52   ,0.35
20060627  ,-0.64  ,-0.25  ,-0.31  ,-0.84  ,-0.74  ,-0.47
20060628  ,-0.45  ,-0.43  ,-0.43   ,0.04  ,-0.16   ,0.13
20060629   ,2.40   ,2.06   ,2.22   ,2.34   ,2.38   ,2.27
20060630   ,1.74   ,1.75   ,1.65   ,1.19   ,1.35   ,1.27
20060703   ,0.48   ,0.56   ,0.74   ,0.62   ,0.56   ,0.64
20060704   ,0.31   ,0.17   ,0.35   ,0.30   ,0.16   ,0.13
20060705  ,-1.14  ,-1.07  ,-1.35  ,-1.35  ,-1.27  ,-1.05
20060706   ,0.22   ,0.31   ,0.19   ,0.38   ,0.47   ,0.54
20060707  ,-0.38  ,-0.24  ,-0.29  ,-0.27  ,-0.09  ,-0.09
20060710  ,-0.41  ,-0.29  ,-0.41   ,0.07   ,0.13  ,-0.07
20060711   ,0.12  ,-0.02  ,-0.19  ,-0.17  ,-0.18   ,0.01
20060712  ,-1.14  ,-1.31  ,-1.06  ,-0.94  ,-0.94  ,-0.83
20060713  ,-1.23  ,-1.18  ,-1.04  ,-1.39  ,-1.42  ,-1.04
20060714  ,-1.12  ,-1.16  ,-1.25  ,-1.23  ,-1.24  ,-0.88
20060717  ,-1.29  ,-1.22  ,-1.40  ,-0.77  ,-0.74  ,-1.10
20060718  ,-0.82  ,-0.94  ,-1.37  ,-0.64  ,-0.37  ,-0.43
20060719   ,1.50   ,1.46   ,1.39   ,1.86   ,2.17   ,1.80
20060720  ,-0.07   ,0.23   ,0.53   ,0.23   ,0.23   ,0.00
20060721  ,-0.81  ,-0.67  ,-0.51  ,-0.71  ,-0.42  ,-0.66
20060724   ,0.75   ,0.59   ,0.33   ,1.25   ,1.23   ,1.20
20060725   ,0.41   ,0.35   ,0.16   ,0.44   ,0.45   ,0.43
20060726   ,0.37   ,0.17   ,0.34   ,0.46   ,0.47   ,0.59
20060727  ,-0.01   ,0.18   ,0.24   ,0.35   ,0.37   ,0.25
20060728   ,1.18   ,1.42   ,1.24   ,1.39   ,1.24   ,1.11
20060731   ,0.58   ,0.67   ,0.83   ,0.02  ,-0.06   ,0.07
20060801  ,-0.35  ,-0.28  ,-0.21  ,-0.44  ,-0.28  ,-0.27
20060802   ,0.59   ,0.50   ,0.57   ,0.56   ,0.57   ,0.63
20060803   ,0.07   ,0.23   ,0.17  ,-0.34   ,0.06  ,-0.27
20060804   ,0.22   ,0.27   ,0.45   ,0.43   ,0.72   ,0.42
20060807  ,-0.89  ,-0.88  ,-1.00  ,-0.97  ,-0.93  ,-0.71
20060808  ,-0.34  ,-0.31  ,-0.16   ,0.06   ,0.04   ,0.05
20060809  ,-0.10   ,0.02  ,-0.07   ,0.17   ,0.21   ,0.30
20060810  ,-0.12   ,0.06  ,-0.10  ,-0.22  ,-0.20  ,-0.30
20060811  ,-0.61  ,-0.51  ,-0.58  ,-0.54  ,-0.50  ,-0.52
20060814   ,0.25   ,0.30   ,0.28   ,0.54   ,0.49   ,0.28
20060815   ,1.26   ,1.26   ,1.13   ,1.38   ,1.40   ,1.02
20060816   ,1.08   ,1.01   ,1.28   ,1.15   ,1.15   ,0.76
20060817   ,0.24   ,0.26   ,0.19   ,0.27   ,0.10   ,0.01
20060818   ,0.29   ,0.21   ,0.30   ,0.12   ,0.13   ,0.23
20060821  ,-0.06  ,-0.12  ,-0.06  ,-0.29  ,-0.23   ,0.05
20060822   ,0.11   ,0.03   ,0.02  ,-0.05  ,-0.01   ,0.02
20060823  ,-0.26  ,-0.40  ,-0.13  ,-0.27  ,-0.38  ,-0.49
20060824  ,-0.14  ,-0.34  ,-0.31  ,-0.13  ,-0.11  ,-0.10
20060825  ,-0.03  ,-0.11  ,-0.02  ,-0.18  ,-0.17  ,-0.07
20060828   ,0.05   ,0.05  ,-0.07   ,0.22   ,0.40   ,0.26
20060829   ,0.85   ,0.78   ,0.79   ,0.76   ,0.61   ,0.32
20060830   ,0.37   ,0.26   ,0.15   ,0.32   ,0.30   ,0.08
20060831   ,0.34   ,0.27   ,0.18   ,0.18   ,0.08  ,-0.01
20060901   ,0.33   ,0.34   ,0.42   ,0.52   ,0.55   ,0.53
20060904   ,0.51   ,0.62   ,0.77   ,0.45   ,0.54   ,0.49
20060905   ,0.31   ,0.28   ,0.28  ,-0.09  ,-0.22  ,-0.08
20060906  ,-1.08  ,-0.95  ,-0.88  ,-1.03  ,-0.85  ,-1.24
20060907  ,-0.92  ,-0.90  ,-0.94  ,-0.94  ,-1.05  ,-0.99
20060908  ,-0.13  ,-0.03  ,-0.20   ,0.11   ,0.18  ,-0.12
20060911  ,-0.85  ,-0.61  ,-0.76  ,-0.38  ,-0.26  ,-0.74
20060912   ,0.52   ,0.43   ,0.33   ,0.80   ,0.86   ,0.54
20060913   ,0.32   ,0.45   ,0.31   ,0.29   ,0.44   ,0.57
20060914   ,0.04   ,0.02   ,0.03   ,0.10   ,0.24  ,-0.05
20060915  ,-0.10  ,-0.04   ,0.08   ,0.19   ,0.16  ,-0.24
20060918   ,0.09   ,0.05   ,0.18   ,0.01   ,0.11   ,0.43
20060919  ,-0.35  ,-0.29  ,-0.13  ,-0.51  ,-0.34  ,-0.47
20060920   ,0.27   ,0.39   ,0.24   ,0.49   ,0.70   ,0.17
20060921   ,0.28   ,0.38   ,0.54   ,0.31   ,0.35   ,0.39
20060922  ,-0.77  ,-0.84  ,-0.60  ,-0.56  ,-0.68  ,-0.67
20060925   ,0.19   ,0.18  ,-0.03   ,0.30   ,0.40   ,0.09
20060926   ,0.01  ,-0.05  ,-0.14   ,0.48   ,0.47   ,0.69
20060927   ,0.78   ,0.65   ,0.71   ,0.45   ,0.58   ,0.91
20060928   ,0.25   ,0.25   ,0.38   ,0.20   ,0.18   ,0.34
20060929  ,-0.22  ,-0.39  ,-0.09  ,-0.02  ,-0.21  ,-0.32
20061002  ,-0.07   ,0.11   ,0.08   ,0.12   ,0.25   ,0.06
20061003  ,-0.52  ,-0.44  ,-0.55  ,-0.18   ,0.05  ,-0.63
20061004   ,0.43   ,0.34   ,0.30   ,0.70   ,0.75   ,0.61
20061005   ,0.96   ,0.81   ,0.89   ,0.71   ,0.53   ,0.80
20061006  ,-0.58  ,-0.70  ,-0.80  ,-0.50  ,-0.54  ,-0.49
20061009   ,0.24   ,0.17   ,0.20   ,0.04   ,0.10   ,0.13
20061010  ,-0.17  ,-0.23  ,-0.24   ,0.12   ,0.09   ,0.09
20061011  ,-0.53  ,-0.67  ,-0.68  ,-0.28  ,-0.16  ,-0.23
20061012   ,1.11   ,1.11   ,1.04   ,0.71   ,0.94   ,0.86
20061013   ,0.56   ,0.67   ,0.68   ,0.31   ,0.02   ,0.35
20061016   ,0.88   ,1.02   ,1.04   ,0.39   ,0.26   ,0.89
20061017  ,-0.30  ,-0.28  ,-0.25  ,-0.61  ,-0.60  ,-0.48
20061018   ,0.14   ,0.18   ,0.36   ,0.26   ,0.35   ,0.32
20061019   ,0.87   ,0.83   ,0.87   ,0.43   ,0.29   ,0.63
20061020  ,-0.22  ,-0.20  ,-0.09   ,0.01   ,0.24   ,0.08
20061023   ,0.04  ,-0.04   ,0.09   ,0.26   ,0.32   ,0.32
20061024  ,-0.05   ,0.05   ,0.08   ,0.02  ,-0.01   ,0.21
20061025   ,0.51   ,0.54   ,0.34   ,0.27   ,0.34   ,0.70
20061026   ,0.87   ,0.88   ,0.90   ,0.97   ,0.64   ,0.61
20061027  ,-0.32  ,-0.33  ,-0.16  ,-0.44  ,-0.34  ,-0.37
20061030  ,-0.19  ,-0.37  ,-0.39  ,-0.23  ,-0.37  ,-0.51
20061031   ,0.52   ,0.47   ,0.61   ,0.23   ,0.19   ,0.27
20061101  ,-0.79  ,-0.85  ,-0.54  ,-0.29  ,-0.25  ,-0.25
20061102  ,-0.18  ,-0.31  ,-0.20  ,-0.05  ,-0.10  ,-0.08
20061103   ,0.19  ,-0.01  ,-0.13  ,-0.13  ,-0.27  ,-0.04
20061106   ,0.62   ,0.60   ,0.49   ,0.93   ,1.00   ,0.91
20061107   ,0.37   ,0.38   ,0.45   ,0.56   ,0.57   ,0.39
20061108  ,-0.04  ,-0.20  ,-0.25  ,-0.02  ,-0.13  ,-0.01
20061109  ,-0.17  ,-0.17  ,-0.08  ,-0.01  ,-0.23  ,-0.03
20061110   ,0.29   ,0.19   ,0.16   ,0.10   ,0.09  ,-0.08
20061113  ,-0.29  ,-0.36  ,-0.49   ,0.15  ,-0.01  ,-0.22
20061114   ,0.92   ,1.20   ,1.13   ,0.54   ,0.48   ,0.53
20061115   ,0.44   ,0.38   ,0.31   ,0.35   ,0.34   ,0.42
20061116  ,-0.23  ,-0.14  ,-0.28  ,-0.19   ,0.11  ,-0.19
20061117  ,-0.14  ,-0.22  ,-0.23  ,-0.13  ,-0.05  ,-0.18
20061120  ,-0.47  ,-0.80  ,-0.79  ,-0.22  ,-0.39  ,-0.24
20061121   ,0.27   ,0.30   ,0.31   ,0.29   ,0.23   ,0.39
20061122   ,0.91   ,1.07   ,1.28   ,0.80   ,0.74   ,0.66
20061123   ,0.15   ,0.15   ,0.18   ,0.06   ,0.00   ,0.01
20061124   ,0.34   ,0.31   ,0.34  ,-0.14  ,-0.11   ,0.05
20061127  ,-0.82  ,-0.75  ,-0.53  ,-0.98  ,-1.11  ,-0.86
20061128   ,0.06   ,0.06   ,0.24   ,0.05   ,0.05   ,0.30
20061129   ,0.88   ,1.02   ,0.98   ,0.99   ,0.92   ,1.12
20061130   ,0.84   ,0.74   ,0.99   ,0.63   ,0.27   ,0.32
20061201   ,0.09   ,0.01   ,0.26  ,-0.13  ,-0.13   ,0.05
20061204   ,0.85   ,0.88   ,0.70   ,0.82   ,0.66   ,0.78
20061205   ,0.13   ,0.14   ,0.15   ,0.48   ,0.19   ,0.50
20061206   ,0.03   ,0.08   ,0.09   ,0.04   ,0.09  ,-0.13
20061207  ,-0.02   ,0.05   ,0.18   ,0.08   ,0.13   ,0.01
20061208  ,-0.33  ,-0.41  ,-0.38  ,-0.33  ,-0.17  ,-0.40
20061211   ,0.29   ,0.42   ,0.47   ,0.58   ,0.50   ,0.30
20061212  ,-0.13  ,-0.05  ,-0.02   ,0.16   ,0.29   ,0.08
