This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 INV portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
                     Small                                 2                                  3                                  4                                Big
          Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High
199306   1.80  -0.64  10.88  -0.23  -0.66  -1.48   1.85  -0.10  -7.12  12.82  -1.46  -3.46  -1.57  -2.81  -2.49  -3.31  -2.81  -1.91  -3.54  -1.83  -2.35  -2.55  -1.25  -3.75  -4.52
199307  15.77   5.48   7.94   8.04  10.48   3.21   3.98   2.22  -4.92   1.79   1.40   7.00  -2.82  -2.59   2.12  -3.88   9.34   1.43  -0.61  -0.80   8.56   7.03   0.77  -0.31  -2.98
199308   3.78   6.71   1.67   7.89   4.64   5.63   8.13   2.46   3.61   9.66   6.62   2.23   4.63   6.06   4.64   5.54   2.45  10.60   8.29   3.74  -0.33   6.04   9.90   8.53   4.60
199309  -5.03  -1.94  -0.86  -4.50  -8.73   0.36  -1.32  -0.37  -3.01  -4.37  -2.00  -3.57  -4.46   0.07  -1.17  -2.75  -2.73   0.58  -3.10  -1.50  -4.15  -1.35   0.96   4.14   5.28
199310   9.55   9.36   9.90  13.32  11.79  11.21   9.31   7.85  14.82  10.12   7.46   9.61   7.70  22.79  15.26  14.08   9.41  11.23  15.46  18.33  14.03  13.24  16.62  20.53  21.70
199311  -0.13   0.60   1.57  -1.95  -3.23  -2.23  -1.22   1.98  -0.21   2.09  -1.38  -2.63   0.20   1.43   1.21  -3.32   1.32  -1.83  -1.96   0.04  -2.66  -3.69  -3.88  -1.05   0.94
199312  18.47  12.90  14.48  18.55  16.27  17.60  12.88  11.85  11.75  13.81  15.59  19.48  24.90  17.69  20.45  16.77  12.99  15.98  12.14  14.70  15.92  15.20  19.21  33.07  31.77
199401  16.86  11.32  13.12   9.60  13.08   6.28   0.81   2.83  -4.82   3.27   4.47   4.23   4.92   0.18  -0.96   8.10   1.25   0.44   1.43  -0.50   8.04   7.74  -2.58  -2.06  -4.40
199402   3.23  -2.12  -0.58   0.97  -0.18   1.63   1.24  -2.41  -1.93  -3.08  -2.16  -3.54  -1.52  -2.81  -3.11  -3.27  -3.17  -3.89  -3.31  -5.34  -6.02  -6.10  -7.93  -8.54  -7.87
199403 -12.11  -9.17  -7.25  -9.13  -8.25 -12.22  -8.06  -4.90 -11.69  -9.53  -8.72 -10.05 -10.14 -12.18  -9.10  -8.25  -7.30 -10.09  -9.84 -10.28  -6.24 -11.70  -8.74  -9.75  -9.71
199404   0.38   0.42  -0.57   0.69  -1.21   4.51   4.04   0.62   0.60  -1.12   2.63   3.73   5.71   4.06   0.02  -0.28   2.14   4.31   3.92  -1.60   2.43   3.71   5.68   0.62  -3.19
199405   1.24   4.18  -0.35  -0.62  -0.34  -0.23   4.48  -1.17   0.90   2.10   3.24   2.48  -0.23   2.39  -0.55   5.07   3.78   1.15  -0.53   3.09   5.01   5.85   5.00   4.78   7.13
199406  -2.63  -5.06  -2.51  -2.67  -2.12  -3.25  -4.39  -4.84  -6.79  -4.54  -3.90  -2.35 -10.12  -4.79  -4.52  -6.76  -3.34  -4.97  -4.45  -4.97  -5.84  -4.90  -5.06  -8.32 -10.93
199407   0.98   2.67   1.70   0.58   2.33   2.45   3.29   2.18   2.18  -0.29   3.16   2.20   3.30   0.49  -1.44   3.61   4.17   3.51   3.44   3.62   3.72   4.57   5.00   8.87   7.17
199408   1.58   0.46   4.65   3.37  -0.70   1.20   2.16   2.73   1.57  -1.66   3.82   5.01   1.61   0.98   4.14   4.17   1.28   1.89   0.28   3.35   1.94   4.80   5.99   5.67   1.13
199409  -2.27  -1.97  -2.06  -0.10  -1.72  -1.09  -0.80  -1.53   2.58  -2.40   1.66  -1.91  -0.40  -0.93  -2.97  -1.72  -2.23   0.83   0.39   1.61  -2.12  -3.56  -3.87  -1.55  -1.70
199410  -0.03  -1.35  -3.89  -2.55  -2.85   0.30  -1.52  -0.21  -1.18  -2.89   1.53   2.47   0.13   0.45  -1.25   0.12   1.86   2.25   2.39  -0.34   2.90   0.28   3.66   0.86  -0.23
199411  -5.48  -4.36  -3.87  -7.35  -8.38  -5.23  -5.52  -7.02  -7.47 -12.27  -6.94  -3.94  -4.50  -8.15 -11.47  -4.35  -6.13  -5.58 -11.96 -10.48  -5.89  -3.29  -8.02 -12.87 -11.81
199412  -1.52  -3.25  -3.02  -2.65  -2.38  -2.31  -1.12  -2.98  -6.09  -4.89   0.27   0.36  -2.40  -3.58  -1.38   0.53   1.10  -0.39  -1.32  -1.52  -1.28   0.25   1.69  -3.34  -2.96
199501  -4.09  -7.38  -7.54  -8.85  -8.76  -6.94  -6.95  -7.30  -8.62 -10.86  -6.13  -8.52  -7.23  -8.06  -9.92  -4.97  -8.75  -6.52  -6.95 -10.35  -0.28  -8.44  -8.12  -8.20 -10.19
199502  -2.24   0.76  -3.41  -2.29  -2.27   2.15  -1.59   3.22   0.28   3.22   2.09   1.94   2.45   2.74   2.56  -0.97   2.70   2.62   6.23   3.49   1.46   6.47   5.18  15.30   9.27
199503  -2.76   0.48   0.56  -0.58  -4.54   0.20   1.26  -0.08  -3.38  -3.99  -1.36  -0.96  -0.48   0.02  -0.61   0.67   0.12   0.47  -1.07  -1.10  -0.01   2.35   1.24   1.84   0.22
199504   3.15   2.49   0.00  -1.58   0.82   3.19   0.60   0.53   0.26  -2.77   1.39   1.31   2.38   0.81   1.28   5.97   4.11   4.04   0.10   1.52   5.44   2.83   3.33  -3.37  -3.67
199505  -1.88  -2.56  -2.50  -0.18   0.64  -0.05   0.11   1.52   1.35   4.28   1.40   1.97   3.26   3.91   4.27  -1.61   0.35   4.20   5.92   5.04  -0.09   1.69   5.76  11.10   8.94
199506  -0.90  -1.41   0.28  -0.29  -3.03  -0.57  -0.56  -2.70   2.21   2.96  -1.17  -8.19  -2.17  -1.64   3.27   1.17  -2.03  -2.31  -2.96   1.17  -2.77  -0.02  -3.31  -3.11  -1.75
199507   6.13   6.86   4.81   8.99  12.23   6.81   6.92   6.24   8.06   8.74   8.03   5.50   8.01   5.39   8.78   6.16   4.01   5.06   5.94   5.54   8.62   6.41   2.31   3.66   4.23
199508   9.10   6.87   1.78   5.93   7.18   2.20   5.05   3.62   3.65   0.30   2.39   3.90  -1.65  -0.13  -0.07   0.55  -0.63  -3.33  -0.80   0.82   0.87  -0.92  -1.26  -4.20  -3.89
199509   0.25   2.16   2.75   0.85   0.22   2.01   4.03   1.27   6.43  -0.74   0.87  -1.18   1.08   0.69   2.39   0.65   1.78   2.12   3.33   0.26   2.14   0.40   1.42   4.17   6.35
199510  -4.27  -3.81  -0.71  -2.36  -2.66  -4.16  -1.15  -0.69  -0.53  -3.88  -2.16  -1.69  -2.00  -2.01  -2.80  -0.10  -1.34  -1.76  -3.06  -2.25  -1.71   1.08  -0.64   1.60   0.95
199511   2.61   7.90   0.29   4.31   4.55   1.52   1.06  -0.27   0.99  -1.50   0.00   0.68   0.31   0.04  -1.32   0.68   1.64   2.16   1.41  -0.52   2.54   0.77   0.86   1.52   2.19
199512  -1.19   0.46  -1.26  -3.22   0.59   5.60   3.98   1.66   2.36   1.10   3.51   4.09   1.31   2.49   1.71   2.44   5.86   2.31   2.24   0.38   2.21   3.30   3.10   6.85   2.21
