This file was created using the 202005 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Developed.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  INV is percentage difference in Total Assets at the last fiscal year end of the prior calendar
year from the previous fiscal year as of 6 months before formation.  Firms with negative
INV are included in any portfolio.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



    Average Value Weighted Returns -- Daily
                 Small                 Big
            Low     2    High    Low     2    High
20040514  -0.77  -0.26  -0.35  -0.28   0.07   0.00
20040517  -2.52  -1.61  -1.95  -1.16  -0.96  -1.06
20040518   1.20   0.76   0.73   0.81   0.56   0.66
20040519   2.07   1.51   1.75   1.62   0.83   0.80
20040520  -0.13   0.09   0.01  -0.60  -0.14  -0.33
20040521   1.19   0.95   0.90   0.41   0.53   0.59
20040524   0.73   0.59   0.66   0.58   0.24   0.32
20040525   1.29   1.15   1.14   0.72   1.11   1.29
20040526   0.47   0.41   0.56   0.49   0.51   0.36
20040527   0.71   0.86   0.82   1.45   0.94   0.96
20040528   0.42   0.38   0.42  -0.08  -0.01   0.08
20040531   0.21   0.13   0.15   0.04   0.09   0.04
20040601   0.37   0.20   0.20  -0.40  -0.10   0.05
20040602  -0.01   0.04   0.06   0.20   0.28   0.24
20040603  -1.44  -1.00  -0.99  -0.71  -0.58  -0.59
20040604   0.75   0.67   0.58   0.99   0.67   0.57
20040607   1.94   1.62   1.53   1.74   1.56   1.70
20040608  -0.04  -0.01  -0.10   0.02   0.05  -0.02
20040609  -1.17  -1.14  -1.07  -1.45  -1.13  -1.22
20040610   0.66   0.67   0.67   0.61   0.62   0.63
20040611  -0.32  -0.41  -0.36  -0.54  -0.35  -0.44
20040614  -1.03  -0.87  -0.79  -1.10  -0.99  -0.94
20040615   1.25   1.06   1.18   1.16   0.93   1.01
20040616   0.12  -0.09   0.13  -0.19   0.03   0.29
20040617   0.35   0.22   0.40   0.01   0.09   0.22
20040618   0.18   0.28   0.23   0.32   0.24   0.23
20040621   0.00   0.15   0.04  -0.08  -0.16  -0.09
20040622   0.08   0.02  -0.13  -0.29  -0.02  -0.21
20040623   0.78   0.51   0.47   0.66   0.56   0.55
20040624   0.81   0.79   0.93   0.65   0.44   0.59
20040625   0.55   0.37   0.42   0.15  -0.36  -0.33
20040628   0.28   0.31   0.38   0.22   0.12   0.19
20040629   0.23  -0.02  -0.08  -0.30  -0.21  -0.33
20040630   0.68   0.79   0.93   0.46   0.43   0.30
20040701  -0.67  -0.33  -0.19  -0.74  -0.71  -0.42
20040702   0.17   0.24   0.19  -0.06  -0.03  -0.16
20040705  -0.40  -0.54  -0.42  -0.36  -0.27  -0.36
20040706  -1.12  -0.74  -0.97  -0.96  -0.47  -0.86
20040707   0.20   0.35   0.26   0.45   0.40   0.21
20040708  -1.10  -0.78  -0.95  -0.50  -0.41  -0.69
20040709   0.65   0.71   0.72   0.52   0.45   0.51
20040712  -0.04   0.30   0.19  -0.15   0.09   0.02
20040713  -0.22  -0.22  -0.35  -0.25  -0.09  -0.04
20040714  -0.66  -0.52  -0.74  -0.39  -0.24  -0.34
20040715  -0.28  -0.32  -0.49  -0.60  -0.47  -0.75
20040716   0.13   0.40   0.41   0.17   0.20   0.18
20040719  -0.20   0.00  -0.24  -0.21  -0.05  -0.27
20040720   0.04  -0.16  -0.17   0.16   0.01  -0.11
20040721  -1.15  -0.89  -0.97  -0.71  -0.77  -0.39
20040722  -0.49  -0.46  -0.58  -0.57  -0.50  -0.40
20040723  -1.13  -0.79  -1.02  -0.96  -1.04  -1.07
20040726  -0.84  -0.49  -0.80  -0.70  -0.31  -0.35
20040727  -0.01  -0.25  -0.39   0.20   0.34   0.39
20040728   0.08   0.08   0.06   0.20   0.18   0.25
20040729   0.51   0.20   0.22   0.84   0.49   0.50
20040730   0.71   0.44   0.68   0.34   0.20   0.43
20040802  -0.11   0.10  -0.02   0.14   0.26   0.15
20040803  -0.52  -0.34  -0.61  -0.16  -0.10  -0.29
20040804  -0.65  -0.63  -0.78  -0.63  -0.48  -0.79
20040805  -0.66  -0.54  -0.61  -0.69  -0.88  -0.95
20040806  -0.73  -0.18  -0.28  -0.97  -0.77  -0.81
20040809  -0.70  -0.42  -0.52  -0.40  -0.30  -0.27
20040810   0.70   0.40   0.50   0.78   0.68   0.76
20040811  -0.33   0.05  -0.05  -0.68  -0.03   0.03
20040812  -0.82  -0.58  -0.64  -0.73  -0.68  -0.57
