This file was created by CMPT_ME_BEME_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for the intersections of  2
ME portfolios and  3 D/P portfolios.   

The portfolios are constructed at the end of Jun.  ME is market cap at the end
of Jun.  D/P is the total dividends paid from July of t-1 to June of t per dollar of equity in June of t.
Firms with negative or zero
D/P are not included in any portfolio.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weight Average Returns -- Monthly
               Small                 Big         
          Low     2    High    Low     2    High 
193302 -10.44 -17.33 -16.72 -11.12 -16.17 -19.01
193303  10.84   5.05  10.85   5.83   6.68   9.44
193304  37.80  42.54  49.05  36.24  46.47  53.25
193305  63.71  58.53  69.30  27.65  27.48  40.79
193306  18.32  18.30  26.86  13.91  13.84  15.88
193307 -11.53  -5.34  -6.94 -13.21  -8.71  -8.80
193308  14.06   7.58   7.75  17.86  13.31   5.14
193309  -9.15  -5.96  -7.20  -9.89  -8.39  -9.60
193310 -16.42  -5.68  -6.16  -6.08  -5.71  -7.20
193311   6.26   3.92   1.27  13.03   6.44   5.54
193312  10.37   6.89   0.73   6.31   0.51  -0.38
193401  27.56  24.11  21.21  13.45  13.87  13.99
193402  -2.04  -3.24   3.89  -1.15  -1.39   0.88
193403   7.03   8.48   2.65   0.79   0.83  -0.64
193404  -2.60   1.14   2.54  -2.19   0.12   3.08
193405 -10.42  -5.16  -5.07  -8.72  -5.83  -4.71
193406   1.84   3.43   2.58   4.43   3.91   1.84
193407 -19.95 -19.72 -11.68 -11.97  -8.40  -7.68
193408  11.82  18.15   3.02   7.26   5.29   2.28
193409   1.72   3.44  -1.40  -2.41   0.77  -0.42
193410   4.04   0.39  -1.39   0.46   0.63   1.76
193411  11.79  10.47   8.86  12.59   9.50   6.70
193412   2.45   5.88  -1.66   1.63   2.26   0.62
193501  -3.93  -1.81   0.12  -3.74  -2.10  -2.02
193502  -0.39   0.80  -4.79   0.06   0.14   1.24
193503  -4.44  -4.33  -5.43  -4.91  -4.18  -0.80
193504   3.46   7.63   8.32  10.72   6.23   6.09
193505   2.71   4.12   0.97   3.17   2.64   2.66
193506   8.30   2.80   4.54   6.90   5.71   6.30
193507   6.61   9.72   3.74   6.65   4.82   5.67
193508   2.90   1.23   4.88   0.90   0.87   1.35
193509   2.13   5.50   0.29   3.90   2.64   0.65
193510   8.91   8.55   5.84   8.18   5.97   4.41
193511   9.56   9.37   3.14   5.17   2.50   4.41
193512  11.64   2.58   6.79   5.22   4.31   3.16
193601   4.26   4.49   5.65   8.53   4.73   6.30
193602   6.76   3.54   0.63   2.59   2.30   1.11
193603   3.03   2.76   0.09   1.47   0.32  -0.43
193604 -11.87  -7.95  -7.01  -7.85  -7.21  -6.27
193605   4.89   4.78   2.86   4.34   3.35   3.55
193606   1.72  -0.01   1.89   1.46   2.81   1.44
193607  10.92   8.40   4.58   8.43   5.44   3.93
193608   0.04   2.29   0.38   2.30   1.53   1.42
193609   4.03   6.18   1.27   1.90   1.86   1.40
193610   4.97   4.32   8.51   8.95   5.15   3.78
193611   6.27   6.39   7.15   5.51   4.21   4.27
193612   4.65   0.09  -1.68   3.27  -0.24  -1.96
193701   5.66   6.99   4.74   3.33   2.43   2.92
193702   0.64   2.25  -0.75   2.68   0.40   1.12
193703  -3.45   1.17  -0.82   0.63  -1.89  -2.18
193704  -8.13  -9.44  -7.40  -8.20  -6.48  -5.95
193705  -1.82  -1.49  -0.99   0.14  -0.89  -2.13
193706  -8.49  -7.35  -4.37  -3.98  -4.56  -5.04
193707   7.88   8.66   7.63   9.45   8.31   8.21
193708  -6.52  -2.81  -2.63  -5.68  -3.27  -3.94
193709 -21.08 -18.57 -15.89 -18.75 -14.13 -13.90
193710 -11.56  -9.58  -9.11 -11.65  -8.18  -8.73
193711 -12.00 -11.91 -12.24  -8.30  -9.61  -8.92
193712 -13.17  -8.95 -10.67  -4.03  -6.46  -9.10
193801   4.20   5.06   6.22  -0.90   2.70   5.54
193802   8.95   7.08   4.76   8.57   6.28   5.49
193803 -31.70 -26.13 -25.62 -27.21 -22.78 -25.26
193804  23.95  16.92  19.77  18.69  15.06  16.74
193805  -8.86  -5.36  -6.18  -6.72  -4.14  -5.69
193806  34.37  26.64  26.85  32.85  25.34  27.26
193807  15.65  12.20  13.50   8.74   8.22  11.33
193808  -7.96  -2.66  -5.77  -4.33  -2.94  -4.44
193809  -4.07  -3.59  -2.06   0.15  -0.26  -0.76
193810  16.54  13.78  11.63  11.69   9.13  10.41
193811  -5.91  -2.65  -2.75  -0.98  -2.14  -1.35
193812   3.75   2.22   1.52   5.45   3.88   2.24
193901  -7.42  -8.57  -7.18  -8.54  -5.66  -6.14
193902   3.81   5.81   5.60   3.19   4.04   4.91
193903 -21.32 -16.09 -13.30 -17.46 -12.04 -12.60
193904  -0.54   0.83  -0.89  -0.14  -0.90  -0.64
193905   9.15  10.39   8.25   7.93   7.70   9.97
193906  -9.34  -6.46  -4.30  -8.69  -4.92  -6.74
193907  13.96  10.70  12.16  11.86   8.94   8.71
193908 -11.23  -9.44  -8.66  -9.48  -6.86  -7.38
193909  26.97  26.58  15.01  21.46  11.43  15.95
193910   2.10   2.54   6.65   0.35   2.57   0.74
193911  -4.63  -4.88  -3.25  -5.17  -1.92  -3.77
193912   3.11   3.15   1.45   3.30   3.46   2.05
194001  -1.94  -0.26   1.48  -2.46  -0.68   0.30
194002   5.25   2.46   3.51   2.12   1.86   1.14
194003   3.82   3.10   2.54   2.27   2.30   0.46
194004   0.91   3.57   1.16  -1.02   0.06   0.78
194005 -23.61 -23.11 -24.90 -25.21 -21.47 -24.60
194006   5.24   5.05   4.96   5.46   6.43   6.81
194007   4.97   3.57   5.43   2.68   4.35   5.77
194008   1.65   2.30   3.29   2.04   2.26   2.82
194009   6.56   5.13   2.99   2.67   3.51   4.67
194010   5.54   4.45   3.44   4.11   3.78   3.70
194011  -0.55   3.50   3.10  -0.80  -0.89   2.18
194012  -0.91  -1.72  -2.25   0.05   0.49  -0.03
194101  -2.15   0.48   1.15  -4.03  -2.51  -3.14
194102  -0.40  -2.38  -2.10  -2.36  -1.11  -0.65
194103   1.47   3.34   1.28   0.89   0.83   0.89
194104  -5.18  -4.81  -6.33  -5.13  -4.91  -5.33
194105   2.85   2.60   0.01   1.55   0.90   1.00
194106   4.99   7.55   4.13   6.80   5.55   5.46
194107  14.34  10.47   9.63   9.37   7.04   7.49
194108  -0.99  -1.25  -0.82  -0.47   0.04  -0.30
194109  -2.17   0.42  -1.49  -0.88  -1.58  -0.95
194110  -6.04  -4.66  -5.40  -4.47  -5.42  -6.65
194111  -2.60  -2.93  -2.55  -1.65  -2.17  -1.76
194112  -9.54  -5.80  -9.37  -3.98  -3.38  -7.25
194201  11.53   8.63  12.65   1.11   3.57   7.72
194202   0.86  -1.28  -1.33  -3.82  -1.45  -1.68
194203  -4.45  -3.07  -3.36  -6.00  -5.64  -4.07
194204  -3.98  -4.07  -3.43  -4.87  -5.71  -3.62
194205   2.43   1.74   4.38   5.47   4.54   4.31
194206   0.39   2.73   1.66   3.46   2.66   2.26
194207   4.50   4.49   3.64   3.28   4.59   4.31
194208   3.46   3.26   2.11   1.90   2.47   1.65
194209   5.12   1.84   3.42   2.44   3.08   2.62
194210  11.70   7.08   8.47   5.89   7.23   9.96
194211  -0.32   0.18  -0.58   0.61  -1.01  -1.23
194212   5.21   3.29   2.29   6.41   4.82   4.15
194301  16.38  12.25  16.27   6.63   9.35  11.33
194302   8.52   9.14  10.25   5.03   6.66   9.11
194303  13.93  12.01  12.49   7.56   8.33   9.43
194304   4.72   1.58   2.91   0.68   1.16  -0.39
194305   9.43   8.82   8.39   5.54   4.65   5.46
194306   0.55   1.63   1.60   1.72   2.53   0.62
194307  -6.44  -6.02  -5.76  -5.94  -4.36  -5.53
194308   0.40   0.36  -0.05   1.98   1.09   1.26
194309   3.69   4.80   2.23   2.57   2.86   2.43
194310  -1.82  -0.73   0.91  -0.92  -0.80   0.38
194311 -10.01  -6.84  -7.61  -7.41  -6.11  -7.69
194312   9.49   9.35   8.24   8.91   7.25   7.79
194401   4.79   4.12   5.22   1.94   2.98   2.81
194402   1.79   0.87   2.53   0.14   0.42   2.47
194403   5.91   2.51   3.85   3.60   2.94   3.01
194404  -2.98  -2.37  -2.33  -2.31  -2.08  -3.23
194405   8.59   6.46   7.15   6.55   5.71   4.98
194406  11.61   9.54  10.25   6.61   7.07   7.39
194407  -1.31  -1.34  -0.48  -2.34  -0.83  -0.70
194408   3.31   3.64   2.37   2.67   2.03   2.16
194409  -0.41   0.26   1.92  -0.64  -0.12   2.04
194410  -0.93   0.66   2.17  -0.84   0.40   1.18
194411   2.61   2.68   3.22   1.05   2.06   3.13
194412   8.16   6.36   7.09   4.69   5.00   6.74
194501   3.79   4.05   5.48   3.24   2.39   2.59
194502   9.33   8.58   9.00   7.01   6.96   8.17
194503  -7.46  -5.12  -4.90  -4.68  -3.87  -3.98
194504  10.59   8.68   7.63   9.11   8.05   7.15
194505   3.32   2.87   2.28   1.98   2.02   1.50
194506   4.01   0.69   3.65   0.18  -0.25   3.82
194507  -4.32  -3.44  -2.93  -3.97  -2.15  -3.06
194508   9.38   7.22   5.55   9.79   6.93   3.77
194509   6.42   7.28   6.58   5.72   5.82   6.31
194510   7.95   6.79   7.81   4.25   4.75   5.72
194511  11.83   9.06  10.82   7.43   5.68   9.49
194512   2.63   3.37   2.12   2.63   2.16   0.89
194601  10.34   9.72   9.68   6.27   5.63   7.78
194602  -8.04  -7.14  -4.15  -6.89  -5.63  -5.83
194603   7.35   6.44   4.25   7.74   7.93   5.07
194604   6.21   7.04   6.84   3.64   5.03   3.02
194605   6.29   6.06   5.70   5.34   5.69   4.68
194606  -6.03  -4.98  -4.29  -5.52  -4.29  -4.06
194607  -5.05  -5.10  -2.62  -3.54  -3.10  -3.13
194608  -9.29  -7.62  -5.84  -7.19  -7.03  -5.27
194609 -15.61 -14.25 -12.41 -12.26 -10.58 -10.49
194610  -2.58  -0.83  -0.77  -1.77  -1.83  -0.13
194611  -0.67  -0.69   0.84   0.39   0.46  -0.18
194612   5.01   6.57   3.24   6.89   6.42   2.63
194701   3.27   4.07   4.12   1.30   1.33   2.33
194702  -1.23  -0.21   0.34  -1.28  -1.00  -0.52
194703  -3.74  -3.06  -2.32  -1.94  -1.66  -2.50
194704 -10.60  -7.72  -6.90  -7.72  -6.15  -6.57
194705  -5.55  -4.49  -3.45  -3.42  -1.41  -2.82
194706   5.57   5.87   3.69   6.68   6.17   3.82
194707   6.89   5.29   6.97   4.25   5.66   6.16
194708  -1.31  -1.93  -1.04  -1.77  -1.01  -1.38
194709   1.57   0.74   0.42  -0.06   0.14   0.29
194710   3.82   3.26   4.68   3.15   3.34   1.77
194711  -2.12  -3.09  -3.19  -1.43  -2.41  -2.04
194712   4.03  -0.11  -0.10   4.49   2.67   1.59
194801  -3.05  -2.12  -0.54  -4.24  -3.57  -0.49
194802  -6.92  -6.20  -5.38  -5.45  -4.57  -5.62
194803   9.62   8.86   7.65   9.62   8.71  10.90
194804   2.98   3.04   2.67   4.74   3.24   4.26
194805   8.75   7.58   9.54   8.58   7.72   7.78
194806  -1.38  -1.54  -1.75  -1.49  -1.19  -1.58
194807  -5.74  -5.11  -4.42  -6.45  -4.02  -4.24
194808  -1.35  -0.65   0.24  -0.38   0.42   1.63
194809  -4.46  -3.81  -3.38  -4.18  -3.28  -3.68
194810   6.80   4.08   4.06   6.96   4.92   4.09
194811 -12.65  -9.74  -9.45 -11.38  -8.73  -8.72
194812   1.52  -0.35  -1.07   4.58   2.23   1.76
194901   1.72   2.61   3.08  -0.01   1.49   1.15
194902  -5.20  -3.22  -5.40  -2.84  -2.63  -2.87
194903   8.33   6.18   5.80   5.98   4.06   3.83
194904  -2.20  -3.04  -2.74  -2.57  -2.98  -3.97
194905  -5.57  -3.80  -4.52  -3.98  -2.17  -2.60
194906  -1.75  -0.80  -1.06   0.08  -0.04  -0.75
194907   4.74   5.07   7.82   5.21   6.23   6.21
194908   2.14   3.12   3.51   2.36   2.34   2.33
194909   4.59   3.76   3.80   3.52   4.12   4.22
194910   5.78   4.03   4.24   2.70   2.91   2.86
194911  -1.58   0.49   1.48   2.06   1.67   3.02
194912   8.87   5.99   7.52   5.58   6.14   6.90
195001   3.54   3.34   7.54   1.34   2.20   3.96
195002   3.03   0.95   1.79   2.14   1.01   0.37
195003  -0.90  -0.80  -1.33   0.99   0.87  -1.37
195004   6.17   4.86   5.53   2.62   3.42   5.56
195005   1.66   2.64   4.42   3.46   4.13   3.88
195006  -8.37  -7.19  -8.17  -7.37  -6.21  -6.24
195007   5.15   5.05   7.01  -0.91   3.26   6.98
195008   5.61   5.22   6.03   4.99   4.54   5.18
195009   5.62   5.06   5.22   6.37   5.57   5.65
195010   0.49   0.21  -0.21  -0.75  -0.74  -1.56
195011   3.66   2.10   2.60   4.01   3.14   3.35
195012   8.81   8.39   8.36   5.24   6.07   7.99
195101   8.25   8.53   8.43   5.10   6.35   8.21
195102   1.16   0.93   1.23   1.72   1.83   1.22
195103  -3.18  -3.30  -4.13  -1.95  -2.65  -4.07
195104   5.44   3.33   3.99   4.70   3.45   4.87
195105  -2.82  -1.99  -2.18  -1.40  -1.62  -2.31
195106  -5.52  -4.42  -5.19  -1.78  -3.43  -5.52
195107   6.14   5.14   4.48   8.18   5.56   7.96
195108   5.44   5.12   4.96   3.37   3.91   5.33
195109   1.88   2.86   2.58   1.81   1.49   2.84
195110  -3.05  -3.08  -1.20  -2.80  -1.99  -2.57
195111   1.63   0.09  -0.09   1.09   1.36   1.88
195112   1.61   0.73   0.15   3.64   1.86   1.15
195201   3.64   1.15   1.43   1.62   2.19   1.25
195202  -3.14  -1.60  -1.50  -2.34  -2.01  -1.83
195203   2.72   2.61   1.91   3.93   3.06   4.39
195204  -5.06  -3.56  -4.52  -5.70  -3.25  -4.50
195205   1.53   1.94   2.52   3.26   2.84   2.45
195206   3.28   2.72   1.96   3.53   3.21   3.47
195207  -0.21   1.31   1.31   0.50   1.86   1.29
195208   1.02   0.42   0.54  -0.38  -0.20   0.36
195209  -0.82  -1.11  -1.34  -1.85  -1.21  -2.91
195210  -1.92  -1.71  -1.05  -0.75  -0.93  -1.65
195211   5.81   4.99   5.10   5.71   5.77   6.90
195212   2.16   2.33   1.04   2.81   2.67   2.40
195301   2.33   3.47   4.88  -0.63   0.74   3.23
195302   1.76   2.35   2.03   0.37   0.34  -0.12
195303  -0.64  -1.27  -1.67  -0.58  -0.85  -2.47
195304  -2.01  -1.91  -1.71  -2.97  -2.22  -2.36
195305   0.88   0.31   1.05   0.50   0.27   0.95
195306  -3.92  -3.28  -3.65  -2.23  -2.46  -3.42
195307   1.19   2.01   0.59   2.44   2.10   1.51
195308  -6.09  -4.00  -4.84  -4.15  -4.15  -6.18
195309  -1.39  -0.90  -1.78   1.08  -0.33  -1.86
195310   4.06   3.46   2.01   4.60   4.27   4.65
195311   2.43   1.62   1.91   3.23   2.94   1.36
195312  -1.23  -0.64  -3.21   0.50  -0.16  -2.87
195401   7.32   6.70   7.77   5.31   6.20   7.66
195402   0.93   1.19   0.92   1.73   1.81   1.53
195403   2.19   2.89   2.45   3.92   2.67   3.74
195404   0.91   1.56  -0.32   3.42   2.24   0.81
195405   4.78   3.84   3.85   3.38   3.93   5.30
195406   0.81   1.76   1.19   1.04   1.96   0.12
195407   8.11   9.49   6.73   5.03   6.87   6.80
195408   0.12   0.02   0.37  -2.56  -1.41  -2.66
195409   4.70   4.10   4.11   5.21   4.40   4.54
195410   0.08   0.01  -0.77  -0.86  -0.99  -0.25
195411   9.84   7.97   8.23  10.41   8.80  10.18
195412   8.44   9.29   9.55   5.12   6.35   9.88
195501   2.01   1.21   1.95  -0.08   0.75   2.48
195502   4.21   4.73   4.83   3.57   3.97   3.47
195503   0.59   0.19  -0.03   0.67  -0.79  -0.08
195504   0.55   2.67   2.24   2.86   2.52   2.68
195505   0.17   1.37  -0.18   1.91   0.46   0.48
195506   2.65   2.62   3.43   4.73   4.04   2.74
195507   0.90   1.51   1.18  -0.72   1.21   0.87
195508  -0.33  -0.56   1.08   1.00   0.44   2.74
195509   0.73  -0.42  -0.76  -1.27  -1.65  -0.76
195510  -0.80  -0.79  -0.77  -2.55  -1.80  -0.78
195511   6.88   4.09   3.74   8.12   5.68   5.47
195512   2.23   2.45   1.84   3.26   1.02   2.03
195601  -0.97  -1.80  -1.44  -3.90  -2.19  -2.43
195602   3.87   3.70   2.75   4.73   3.40   2.94
195603   5.44   3.92   3.51   8.35   5.46   3.37
195604   1.26   0.43   0.19   0.88  -0.49   1.25
195605  -3.49  -4.58  -3.55  -4.36  -3.20  -4.76
195606   1.93   1.49   1.35   4.51   2.31   2.56
195607   2.55   3.44   3.61   5.96   4.20   3.92
195608  -2.02  -0.90  -0.15  -3.54  -1.71  -0.76
195609  -2.99  -2.27  -2.52  -5.93  -3.49  -3.08
195610   1.91   0.49   0.44   0.91   1.03   1.04
195611  -0.23   0.55   0.73   1.05   0.69   0.36
195612   3.07   2.45   0.08   3.67   2.30   2.44
195701   1.61   1.45   2.42  -2.75  -0.32  -0.46
195702  -2.48  -2.49  -2.23  -1.63  -1.76  -2.64
195703   2.19   2.33   1.68   2.58   2.13   2.49
195704   2.72   2.17   2.11   4.08   2.47   1.85
195705   2.68   1.58   0.61   4.32   2.29   0.96
195706   0.11   0.05   0.22  -0.94  -1.68  -1.44
195707   0.88   0.19   1.17   0.22   0.49   0.46
195708  -4.78  -4.50  -3.86  -6.36  -4.08  -4.79
195709  -6.16  -4.71  -3.47  -6.10  -3.74  -5.57
195710  -9.43  -6.56  -6.17  -5.24  -4.08  -5.47
195711   1.62   2.28  -0.32   5.06   3.00  -0.93
195712  -5.34  -4.39  -5.82  -3.88  -2.24  -7.22
195801  11.32  10.67  12.92   5.16   8.74  12.86
195802  -1.81  -0.06  -0.86  -1.28  -0.24  -1.83
195803   4.84   3.43   3.32   4.07   3.08   3.14
195804   4.08   2.71   2.73   1.76   3.37   3.42
195805   6.68   4.43   2.45   3.32   3.55   3.32
195806   4.16   2.94   2.88   3.18   2.84   1.77
195807   5.45   4.76   6.80   4.79   4.06   8.52
195808   3.11   3.30   2.50   2.70   1.99   2.90
195809   6.50   4.63   6.30   4.96   3.60   5.96
195810   3.76   3.04   2.30   3.38   2.76   2.38
195811   6.18   4.19   3.73   4.27   3.57   3.15
195812   2.53   4.45   3.86   4.68   4.33   2.87
195901   4.94   6.32   6.47  -0.05   2.82   5.11
195902   4.05   3.65   2.48   2.84   2.04   3.41
195903   1.36   2.42   0.93   0.91   0.87   0.00
195904   1.79   3.18   2.30   2.67   2.50   3.75
195905   0.12   0.10   1.29   0.87   1.04   1.72
195906   0.71   0.05   0.70   1.01   0.08   1.05
195907   3.13   3.54   2.24   2.89   3.59   2.07
195908  -2.69  -0.08  -0.62  -2.22  -0.97  -0.83
195909  -4.78  -3.27  -3.42  -4.92  -5.07  -3.88
195910   2.60   2.99   0.47   3.56   1.48   0.68
195911   2.05   0.92   1.44   3.35   1.32   0.21
195912   4.95   2.23   0.62   1.92   2.37   1.18
196001  -5.10  -2.58  -0.82  -7.60  -5.23  -2.42
196002   0.60   0.61   0.21   1.36   1.25   0.01
196003  -3.01  -2.13  -2.55  -1.92  -2.15  -0.93
196004  -2.93  -2.28  -1.21  -1.44  -1.28  -0.89
196005   4.19   1.26   0.82   4.72   2.20   0.71
196006   1.50   3.02   1.54   1.54   3.15   2.86
196007  -2.75  -1.70  -0.22  -4.37  -0.78  -0.36
196008   3.58   3.54   2.18   2.83   3.59   3.84
196009  -7.45  -4.94  -5.12  -7.08  -4.71  -5.36
196010  -5.11  -2.37  -1.97  -2.12  -0.79  -0.34
196011   6.18   4.41   2.23   7.34   4.98   4.19
196012   3.58   4.57   1.62   5.41   4.41   3.46
196101   7.05   8.45   9.23   5.93   7.38   9.68
196102   8.54   7.09   4.92   5.62   4.95   4.30
196103   6.56   5.92   4.79   4.73   3.10   1.69
196104   1.43   2.34   0.87   0.38  -0.20   0.66
196105   4.72   5.72   4.40   3.79   4.52   3.25
196106  -5.48  -5.01  -3.94  -3.18  -3.29  -2.67
196107   1.06   0.34   0.98   1.24   2.56   2.16
196108   0.67   0.78   1.07   3.84   3.48   2.36
196109  -4.46  -2.27  -2.20  -2.62  -1.49  -2.19
196110   1.04   3.31   1.14   2.77   2.64   2.35
196111   6.10   5.99   3.69   4.91   4.33   2.59
196112   0.13   0.33   0.35  -2.29  -0.38   0.17
196201  -0.72   0.38   2.26  -4.32  -2.59   0.55
196202   1.20   1.24   2.12   0.95   1.85   1.57
196203  -1.39   0.42  -1.11  -1.03  -0.25  -0.47
196204  -9.51  -5.64  -5.28  -8.02  -5.27  -5.45
196205 -12.77  -9.60  -7.33 -11.94  -8.40  -5.35
196206 -10.72  -6.73  -6.38 -11.56  -6.95  -6.46
196207   7.44   6.49   4.20   8.04   4.70   3.09
196208   3.78   3.69   1.92   1.90   2.69   1.27
196209  -6.61  -5.76  -6.05  -6.51  -3.72  -5.68
196210  -4.34  -2.43  -1.79  -1.10  -0.19  -0.37
196211  16.39  12.64  12.79  14.78  10.93  12.52
196212  -2.64  -0.16  -2.40   0.32   1.37  -0.62
196301   9.23   8.52   9.64   5.14   5.60   8.35
196302  -1.91  -1.16  -0.56  -2.19  -1.21  -1.62
196303   1.28   1.88   1.92   1.89   2.45   3.15
196304   3.28   4.11   3.71   4.07   4.03   4.90
196305   4.89   3.21   3.87   3.03   1.51   3.77
196306  -1.26  -1.46  -1.88  -1.21  -1.39  -2.28
196307  -1.28  -0.55  -0.04  -0.39  -0.74  -1.55
196308   4.63   4.00   2.48   6.32   5.30   4.79
196309  -1.04  -0.87  -0.61  -2.50  -1.83  -1.46
196310   2.63   1.37   1.32   2.32   1.15   1.32
196311  -1.75  -1.72  -0.56  -0.38  -0.72  -0.77
196312  -0.94   0.65  -0.29   1.92   1.90   1.00
196401   2.77   3.44   3.52   1.94   1.24   1.75
196402   1.82   2.39   3.09   2.33   2.36   2.28
196403   2.98   2.60   2.73   1.75   1.84   4.76
196404  -0.20  -0.67   0.13  -0.31   0.45  -0.15
196405   1.70   0.52   0.63   1.29   2.06   0.93
196406   0.73   1.56   1.25   1.82   1.69   2.07
196407   2.90   2.07   3.55   2.29   2.98   2.92
196408   0.40  -0.46   0.31  -1.87  -0.33   0.49
196409   3.59   3.35   3.48   3.46   3.31   3.36
196410   1.53   2.03   1.75   1.01   1.80   1.17
196411  -0.05  -0.09   0.01   0.49   0.53  -0.08
196412  -0.53  -0.54  -1.37  -0.10  -0.38  -0.98
196501   7.56   6.32   6.29   5.87   4.80   4.65
196502   3.13   4.19   3.19   3.49   1.72   1.71
196503   1.47   1.77   1.56  -0.90   0.13   0.00
196504   4.74   4.67   4.19   3.18   2.70   3.33
196505   0.19  -0.51  -0.92   0.06  -0.91  -1.05
196506  -9.47  -8.25  -6.55  -6.60  -6.26  -5.58
196507   3.64   3.23   2.03   3.45   1.90   2.69
196508   5.85   4.50   2.48   5.01   3.64   2.41
196509   4.60   3.50   1.62   3.56   2.90   1.51
196510   7.49   5.81   4.59   4.01   2.80   3.41
196511   4.91   4.81   2.49   3.80   1.03   0.81
196512   4.50   3.76   3.92   2.53   1.61   2.87
196601   6.90   6.17   6.74   2.57   1.53   3.36
196602   3.01   2.95   2.63   0.43  -1.24  -0.60
196603  -1.47  -0.86  -1.83  -0.38  -2.87  -2.71
196604   6.45   5.28   3.24   3.50   1.76   1.08
196605  -9.54  -8.77  -7.15  -5.03  -5.30  -6.09
196606   0.59   0.47  -0.62  -0.56  -1.55  -0.32
196607  -1.46  -1.05  -0.99  -1.95  -1.03  -0.80
196608 -11.49  -9.74  -7.84  -9.39  -8.19  -6.91
196609  -2.52  -1.24  -0.84  -2.55  -0.43  -0.28
196610  -3.30  -0.47  -0.88   0.63   5.82   5.40
196611   7.01   2.66   0.75   8.76   0.59  -1.14
196612   4.10   1.31   0.34   1.51   2.43   1.51
196701  20.79  15.62  16.01  10.67   8.89  11.82
196702   5.32   4.20   2.30   2.49   0.33  -0.69
196703   7.22   6.83   4.08   5.48   4.67   3.97
196704   4.37   4.06   2.78   5.46   3.24   1.84
196705  -0.20  -0.56  -0.18  -3.16  -1.77  -2.24
196706  10.88   8.73   5.57   3.66   2.52   2.35
196707   8.29  10.11   7.63   4.64   5.92   5.24
196708  -0.63   1.33   2.03  -0.98  -0.30   1.50
196709   7.38   7.31   4.73   4.22   2.31   1.56
196710  -1.68  -2.11  -1.96  -2.73  -5.00  -5.14
196711   1.20  -0.09  -0.27   2.17   0.66  -0.73
196712  10.39   7.77   5.10   3.20   4.18   3.38
196801   0.39   3.58   6.33  -6.94  -1.85   1.38
196802  -7.11  -4.36  -1.75  -5.67  -3.28  -1.08
196803  -1.29  -0.83  -0.90   2.29  -0.42  -1.88
196804  16.66  13.79  11.71  13.00   8.60   7.15
196805  10.25  10.90   8.86   4.35   2.99   3.01
196806   0.98   1.80   4.15  -0.28   3.20   3.94
196807  -3.85  -2.83  -0.12  -6.33  -2.73  -1.19
196808   4.61   4.56   2.34   1.88   2.04   1.93
196809   6.77   6.76   4.96   5.45   6.28   4.57
196810   0.92   1.93   3.32   0.13   1.62   2.36
196811   7.43   7.33   6.18   7.03   7.03   6.93
196812   0.17   0.11   0.68  -3.57  -2.96  -1.56
196901  -0.79  -0.93   0.07  -2.01  -0.50   0.64
196902  -9.76  -7.00  -5.89  -7.41  -6.14  -5.43
196903   2.30   1.66   0.14   3.06   0.80   1.20
196904   0.38  -0.05  -0.27   2.18   1.29  -0.07
196905   0.35   0.05   0.13  -1.06   0.71  -0.29
196906 -13.85 -10.91  -8.37  -8.72  -8.18  -7.25
196907 -11.24  -9.28  -6.53  -7.40  -7.44  -5.35
196908   7.09   4.12   1.72   8.79   4.91   1.60
196909  -1.44  -1.35  -3.70  -0.54  -2.20  -3.10
196910  10.51   7.85   6.59   6.85   7.25   6.39
196911  -5.62  -5.10  -4.73  -3.23  -3.95  -4.52
196912  -6.43  -7.06  -6.45  -1.50  -2.65  -2.87
197001  -4.83  -1.81   0.32  -8.70  -8.01  -3.82
197002   3.29   2.24   4.33   4.51   7.03   6.85
197003  -4.67  -0.93   1.30  -3.18   0.73   1.96
197004 -19.65 -13.09  -8.55 -14.59 -10.52  -8.21
197005 -11.01  -8.90  -6.99 -10.09  -8.22  -5.53
197006  -8.31  -6.74  -4.74  -6.03  -4.47  -6.41
197007   5.98   7.19   5.39   5.76   9.45   8.13
197008   6.17   5.15   6.47   5.46   5.89   5.30
197009  14.71  11.90   8.19   7.76   4.03   4.37
197010  -5.69  -5.19  -4.64  -2.15  -2.89  -2.56
197011   0.14   0.26   2.33   4.30   4.78   6.61
197012   9.95  10.97  11.00   6.60   8.73   9.12
197101  13.32  14.73  13.16   6.08   6.05   6.49
197102   6.62   4.17   3.43   3.44   1.28   0.86
197103   6.66   6.06   5.62   5.83   3.65   2.78
197104   3.27   2.56   2.24   4.59   2.68   2.43
197105  -4.46  -5.40  -5.20  -2.33  -3.44  -3.63
197106  -1.74  -1.81  -1.98   0.84   0.22  -0.27
197107  -5.54  -4.34  -2.44  -4.26  -3.62  -3.04
197108   4.18   4.40   3.93   6.25   4.68   2.29
197109   0.27   0.42  -2.09   0.18  -0.42  -1.76
197110  -5.90  -5.09  -3.66  -5.69  -5.21  -2.41
197111  -3.50  -3.54  -2.66  -0.29  -1.20  -1.25
197112  12.58  12.36   9.01  11.56  10.07   9.08
197201  10.55   8.82   9.71   3.72   1.63   1.99
197202   4.77   4.44   1.88   6.46   2.75  -0.02
197203   0.47  -0.41   0.04   0.72   0.85   0.10
