yearmo,SENT^ ,SENT,pdnd,ripo,nipo,cefd,se,sd,s,,indpro,consdur,consnon,consserv,recess,employ,cpi
196906.0000,2.9197,2.8536,-16.4605,-2.5000,78.0000,-6.3378,743.7500,1786.0833,0.2810,,39.9922,90.5000,212.3000,298.1000,0.0000,70636.0000,36.6000
196907.0000,2.8552,2.8391,-14.3762,-11.9000,34.0000,-5.8258,592.7500,1888.0833,0.2861,,40.2033,88.6000,214.6000,299.5000,0.0000,70729.0000,36.8000
196908.0000,2.7012,2.7245,-16.0333,13.5000,33.0000,-3.3222,481.7500,944.0833,0.2896,,40.2957,90.7000,217.3000,301.9000,0.0000,71008.0000,37.0000
196909.0000,3.0634,3.0737,-16.1064,5.7000,54.0000,-8.1650,725.7500,1701.0833,0.2925,,40.2867,92.6000,216.0000,304.6000,0.0000,70914.0000,37.1000
196910.0000,2.8805,2.9223,-15.2639,13.8000,85.0000,-6.8079,649.7500,1282.0833,0.2997,,40.2985,91.4000,219.2000,307.9000,0.0000,71121.0000,37.3000
196911.0000,2.9976,2.9771,-13.2389,21.1000,68.0000,-6.2969,984.7500,1390.0833,0.3125,,39.9186,90.7000,219.3000,310.5000,0.0000,71086.0000,37.5000
196912.0000,3.1961,3.0993,-11.8075,-4.7000,71.0000,-7.5808,671.7500,1860.0833,0.3140,,39.8115,90.4000,220.7000,311.6000,0.0000,71241.0000,37.7000
197001.0000,2.9124,2.8816,-9.8637,8.3000,76.0000,-5.5929,546.5833,2120.0000,0.3103,,39.0743,89.3000,224.5000,314.9000,1.0000,71176.0000,37.8000
197002.0000,2.1412,2.5025,-6.7203,2.7000,38.0000,-4.2415,497.5833,1334.0000,0.3013,,39.0485,91.0000,224.0000,319.0000,1.0000,71305.0000,38.0000
197003.0000,2.2315,2.4672,-2.4713,-2.5000,38.0000,-8.0942,1184.5833,2385.0000,0.3009,,38.9978,88.5000,225.0000,318.8000,1.0000,71451.0000,38.2000
197004.0000,2.0509,2.3301,6.0507,-10.7000,34.0000,-9.1024,731.5833,2470.0000,0.2928,,38.8975,90.0000,224.7000,321.4000,1.0000,71348.0000,38.5000
197005.0000,1.7282,2.0426,8.5263,-28.8000,11.0000,-7.4485,498.5833,3440.0000,0.2688,,38.8522,91.2000,227.2000,324.1000,1.0000,71124.0000,38.6000
197006.0000,1.2827,1.6028,10.1304,6.4000,26.0000,-4.2781,688.5833,2367.0000,0.2626,,38.7265,91.9000,227.8000,326.6000,1.0000,71029.0000,38.8000
197007.0000,1.2815,1.5566,12.5590,1.6000,23.0000,-6.6323,647.5833,2151.0000,0.2617,,38.8216,91.4000,228.3000,328.8000,1.0000,71053.0000,39.0000
197008.0000,0.9918,1.3466,11.9520,-11.0000,17.0000,-2.1016,368.5833,1936.0000,0.2512,,38.7524,92.3000,229.1000,331.4000,1.0000,70937.0000,39.0000
197009.0000,0.9729,1.2540,5.3337,3.0000,20.0000,-2.7554,734.5833,2814.0000,0.2431,,38.4852,92.3000,231.7000,335.0000,1.0000,70944.0000,39.2000
197010.0000,0.7258,0.9578,9.8568,0.3000,23.0000,0.7009,1113.5833,2693.0000,0.2433,,37.7154,89.7000,232.5000,336.1000,1.0000,70521.0000,39.4000
197011.0000,0.4717,0.7192,12.7765,9.7000,30.0000,2.4819,928.5833,3284.0000,0.2299,,37.4870,85.2000,233.5000,337.9000,1.0000,70409.0000,39.6000
197012.0000,0.4363,0.6097,14.1290,0.8000,22.0000,0.3464,739.5833,3270.0000,0.2229,,38.3479,87.1000,237.4000,341.1000,0.0000,70792.0000,39.8000
197101.0000,0.4643,0.4381,11.0879,24.2000,17.0000,0.0270,530.7500,2487.4167,0.2205,,38.6429,97.4000,236.3000,342.4000,0.0000,70865.0000,39.8000
197102.0000,0.1789,0.1845,10.2975,35.8000,19.0000,2.7688,565.7500,2336.4167,0.2163,,38.5692,97.2000,236.5000,345.7000,0.0000,70807.0000,39.9000
197103.0000,-0.1187,-0.0025,6.7604,9.3000,32.0000,3.5449,1334.7500,4642.4167,0.2077,,38.5274,99.6000,234.6000,347.8000,0.0000,70860.0000,40.0000
197104.0000,-0.5334,-0.4131,9.7785,37.1000,32.0000,6.4064,1460.7500,2483.4167,0.2209,,38.7438,100.3000,238.1000,350.4000,0.0000,71036.0000,40.1000
197105.0000,-0.7486,-0.6326,9.3913,16.3000,29.0000,9.2756,674.7500,2499.4167,0.2289,,38.9404,99.6000,237.8000,353.7000,0.0000,71247.0000,40.3000
197106.0000,-0.8805,-0.7468,10.1780,21.0000,30.0000,11.7311,1373.7500,2903.4167,0.2382,,39.1037,103.0000,240.6000,356.1000,0.0000,71254.0000,40.6000
197107.0000,-0.8854,-0.6997,12.4439,-2.9000,32.0000,10.4458,2237.7500,1810.4167,0.2667,,38.9902,101.1000,239.1000,358.7000,0.0000,71315.0000,40.7000
197108.0000,-0.9516,-0.7998,11.2120,41.7000,31.0000,13.0149,729.7500,1704.4167,0.2739,,38.7639,102.2000,240.3000,362.3000,0.0000,71373.0000,40.8000
197109.0000,-0.8842,-0.6479,11.8014,8.9000,37.0000,14.2793,1237.7500,2433.4167,0.2843,,39.3939,107.0000,241.8000,364.2000,0.0000,71614.0000,40.8000
197110.0000,-1.1115,-0.7269,13.6309,12.7000,35.0000,12.7542,1124.7500,2554.4167,0.2853,,39.6888,107.2000,241.2000,367.4000,0.0000,71642.0000,40.9000
197111.0000,-1.2443,-0.8522,15.2934,19.4000,49.0000,12.9913,939.7500,3143.4167,0.2864,,39.8572,107.3000,244.0000,369.7000,0.0000,71847.0000,40.9000
