This file was created using the 202005 Bloomberg database.

Missing data are indicated by -99.99.



,WML
19930408   ,-0.49
19930409   ,-0.38
19930412   ,-0.06
19930413   ,-0.12
19930414   ,-0.66
19930415   ,-0.33
19930416   ,-0.24
19930419    ,0.02
19930420   ,-0.03
19930421   ,-0.08
19930422   ,-0.27
19930423    ,0.48
19930426   ,-0.10
19930427    ,0.04
19930428   ,-0.52
19930429    ,0.20
19930430   ,-0.64
19930503   ,-0.11
19930504   ,-0.03
19930505   ,-0.08
19930506   ,-0.62
19930507   ,-0.17
19930510    ,0.00
19930511   ,-0.40
19930512   ,-0.53
19930513    ,0.37
19930514   ,-0.16
19930517    ,0.02
19930518   ,-0.08
19930519    ,0.24
19930520    ,0.01
19930521    ,0.17
19930524    ,0.10
19930525    ,0.07
19930526    ,0.65
19930527    ,0.44
19930528    ,0.08
19930531   ,-0.39
19930601   ,-0.09
19930602    ,0.05
19930603    ,0.48
19930604    ,0.19
19930607   ,-0.01
19930608   ,-0.12
19930609   ,-0.06
19930610   ,-0.12
19930611    ,0.31
19930614    ,0.10
19930615   ,-0.14
19930616   ,-0.29
19930617   ,-0.08
19930618   ,-0.15
19930621   ,-1.03
19930622    ,0.38
19930623    ,0.65
19930624    ,0.77
19930625    ,0.53
19930628    ,0.21
19930629   ,-0.07
19930630    ,0.13
19930701   ,-0.02
19930702    ,0.02
19930705   ,-0.03
19930706    ,0.11
19930707   ,-0.18
19930708   ,-0.36
19930709    ,0.26
19930712   ,-0.14
19930713    ,0.56
19930714    ,0.35
19930715   ,-0.11
19930716    ,0.02
19930719   ,-0.52
19930720   ,-0.35
19930721   ,-0.01
19930722    ,0.40
19930723   ,-0.51
19930726   ,-0.07
19930727    ,0.36
19930728    ,0.07
19930729    ,0.74
19930730    ,0.46
19930802   ,-0.05
19930803   ,-0.13
19930804    ,0.29
19930805   ,-0.35
19930806   ,-0.22
19930809    ,0.05
19930810    ,0.13
19930811    ,0.39
19930812    ,0.24
19930813   ,-0.23
19930816   ,-0.28
19930817   ,-0.12
19930818   ,-0.53
19930819   ,-0.64
19930820   ,-0.03
19930823    ,0.19
19930824   ,-0.10
19930825   ,-0.34
19930826    ,0.03
19930827    ,0.24
19930830    ,0.11
19930831    ,0.04
19930901   ,-0.11
19930902   ,-0.44
19930903   ,-0.15
19930906   ,-0.09
19930907   ,-0.01
19930908   ,-0.34
19930909    ,0.00
19930910   ,-0.12
19930913   ,-0.09
19930914   ,-0.14
19930915    ,0.03
19930916    ,0.09
19930917   ,-0.18
19930920   ,-0.50
19930921    ,0.12
19930922   ,-0.61
19930923    ,0.41
19930924   ,-0.25
19930927   ,-0.05
19930928    ,0.23
19930929    ,0.20
19930930    ,0.39
19931001    ,0.60
19931004   ,-0.13
19931005   ,-0.02
19931006    ,0.36
19931007    ,0.19
19931008   ,-0.14
19931011   ,-0.05
19931012   ,-0.22
19931013    ,0.00
19931014   ,-0.01
19931015    ,0.26
19931018   ,-0.08
19931019   ,-0.09
19931020   ,-0.44
19931021   ,-0.46
19931022    ,0.14
19931025   ,-0.20
19931026   ,-0.32
19931027    ,0.13
19931028    ,0.07
19931029    ,0.05
19931101    ,0.01
19931102    ,0.19
19931103    ,0.14
19931104    ,0.02
19931105   ,-0.27
19931108   ,-0.35
19931109   ,-0.31
19931110   ,-0.31
19931111    ,0.42
19931112    ,0.58
19931115   ,-0.33
19931116   ,-0.24
19931117   ,-0.11
19931118    ,0.11
19931119   ,-0.34
19931122   ,-0.30
19931123   ,-0.06
19931124   ,-0.49
19931125   ,-0.60
19931126   ,-1.01
19931129   ,-2.09
19931130    ,0.40
19931201    ,1.48
19931202    ,0.22
19931203    ,0.10
19931206   ,-0.36
19931207    ,0.32
19931208   ,-0.39
19931209    ,0.32
19931210    ,0.44
19931213   ,-0.01
19931214   ,-0.34
19931215   ,-0.36
19931216    ,0.16
19931217    ,0.20
19931220   ,-0.51
19931221    ,0.22
19931222    ,0.01
19931223   ,-0.08
19931224   ,-0.15
19931227   ,-0.33
19931228    ,0.29
19931229   ,-0.15
19931230    ,0.18
19931231    ,0.00
19940103   ,-0.23
19940104    ,0.27
19940105    ,0.00
19940106   ,-0.02
19940107    ,0.06
19940110    ,0.05
19940111   ,-0.18
19940112   ,-0.36
19940113   ,-0.01
19940114    ,0.31
19940117    ,0.07
19940118    ,0.08
19940119   ,-0.19
19940120    ,0.04
19940121    ,0.60
19940124   ,-0.16
19940125    ,0.17
19940126   ,-0.07
19940127    ,0.39
19940128   ,-0.04
19940131    ,0.88
19940201    ,0.44
19940202   ,-0.48
19940203    ,0.13
19940204    ,0.07
19940207    ,0.01
19940208   ,-0.13
19940209    ,0.14
19940210    ,0.24
19940211    ,0.05
19940214   ,-0.08
19940215   ,-0.26
19940216   ,-0.05
19940217    ,0.01
19940218    ,0.10
19940221    ,0.16
19940222    ,0.19
19940223    ,0.18
19940224    ,0.56
19940225    ,0.07
19940228    ,0.24
19940301    ,0.13
19940302   ,-0.50
19940303   ,-0.14
19940304    ,0.03
19940307    ,0.21
19940308   ,-0.02
19940309   ,-0.11
19940310    ,0.37
19940311    ,0.11
19940314   ,-0.09
19940315   ,-0.22
19940316   ,-0.10
19940317   ,-0.15
19940318   ,-0.16
19940321   ,-0.20
19940322   ,-0.19
19940323    ,0.16
19940324    ,0.27
19940325   ,-0.08
19940328   ,-0.18
19940329    ,0.19
19940330    ,0.06
19940331   ,-0.46
19940401   ,-0.09
19940404   ,-0.11
19940405   ,-0.04
19940406    ,0.26
19940407   ,-0.02
19940408   ,-0.13
19940411   ,-0.19
19940412    ,0.06
19940413    ,0.13
19940414   ,-0.20
19940415   ,-0.23
19940418   ,-0.04
19940419    ,0.03
19940420   ,-0.42
19940421   ,-0.19
19940422   ,-0.32
19940425    ,0.07
19940426   ,-0.12
19940427    ,0.03
19940428    ,0.12
19940429   ,-0.16
19940502   ,-0.03
19940503    ,0.12
19940504    ,0.12
19940505   ,-0.36
19940506    ,0.27
19940509   ,-0.09
19940510   ,-0.23
19940511    ,0.44
19940512   ,-0.07
19940513    ,0.18
19940516   ,-0.14
19940517    ,0.15
19940518    ,0.13
19940519   ,-0.05
19940520   ,-0.12
19940523    ,0.06
19940524   ,-0.08
19940525    ,0.08
19940526   ,-0.26
19940527    ,0.33
19940530   ,-0.15
19940531    ,0.00
19940601    ,0.40
19940602   ,-0.34
19940603   ,-0.26
19940606   ,-0.24
19940607    ,0.21
19940608   ,-0.16
19940609    ,0.19
19940610   ,-0.10
19940613    ,0.02
19940614   ,-0.34
19940615   ,-0.14
19940616   ,-0.17
19940617    ,0.19
19940620   ,-0.12
19940621    ,0.13
19940622    ,0.09
19940623    ,0.41
19940624    ,0.30
19940627   ,-0.21
19940628   ,-0.03
19940629    ,0.19
19940630    ,0.33
19940701    ,0.08
19940704    ,0.04
19940705    ,0.29
19940706   ,-0.13
19940707   ,-0.18
19940708   ,-0.05
19940711   ,-0.19
19940712   ,-0.03
19940713    ,0.03
19940714    ,0.02
19940715   ,-0.08
19940718   ,-0.15
19940719   ,-0.01
19940720    ,0.29
19940721   ,-0.04
19940722   ,-0.11
19940725   ,-0.42
19940726   ,-0.20
19940727   ,-0.12
19940728   ,-0.19
19940729    ,0.19
19940801    ,0.16
19940802   ,-0.03
19940803    ,0.08
19940804   ,-0.22
19940805   ,-0.07
19940808   ,-0.08
19940809    ,0.20
19940810   ,-0.07
19940811    ,0.05
19940812   ,-0.07
19940815   ,-0.06
19940816   ,-0.11
19940817    ,0.11
19940818    ,0.28
19940819   ,-0.20
19940822   ,-0.11
19940823   ,-0.12
19940824   ,-0.35
19940825   ,-0.05
19940826   ,-0.08
19940829    ,0.06
19940830    ,0.34
19940831    ,0.15
19940901    ,0.10
19940902    ,0.49
19940905   ,-0.25
19940906    ,0.12
19940907   ,-0.20
19940908   ,-0.06
19940909    ,0.26
19940912   ,-0.19
19940913    ,0.05
19940914   ,-0.14
19940915   ,-0.15
19940916    ,0.07
19940919   ,-0.01
19940920    ,0.23
19940921    ,0.27
19940922    ,0.29
19940923    ,0.04
19940926   ,-0.25
19940927    ,0.08
19940928    ,0.07
19940929    ,0.54
19940930   ,-0.08
19941003    ,0.16
19941004   ,-0.07
19941005    ,0.11
19941006   ,-0.01
19941007    ,0.11
19941010   ,-0.12
19941011    ,0.09
19941012    ,0.04
19941013    ,0.08
19941014    ,0.58
19941017    ,0.15
19941018    ,0.18
19941019    ,0.01
19941020    ,0.02
19941021    ,0.01
19941024    ,0.02
19941025   ,-0.13
19941026   ,-0.01
19941027   ,-0.01
19941028    ,0.14
19941031   ,-0.06
19941101    ,0.30
19941102   ,-0.32
19941103   ,-0.13
19941104    ,0.10
19941107   ,-0.20
19941108   ,-0.17
19941109   ,-0.06
19941110    ,0.05
19941111   ,-0.14
19941114   ,-0.06
19941115    ,0.28
19941116    ,0.05
19941117    ,0.27
19941118    ,0.02
19941121   ,-0.15
19941122   ,-0.18
19941123    ,0.19
19941124   ,-0.57
19941125   ,-0.22
19941128    ,0.18
19941129    ,0.02
19941130    ,0.25
19941201   ,-0.13
19941202   ,-0.08
19941205    ,0.10
19941206    ,0.08
19941207   ,-0.12
19941208    ,0.11
19941209    ,0.14
19941212   ,-0.06
19941213   ,-0.13
19941214   ,-0.12
19941215    ,0.02
19941216    ,0.04
19941219    ,0.04
19941220   ,-0.26
19941221    ,0.21
19941222    ,0.06
19941223    ,0.02
19941226   ,-0.01
19941227    ,0.27
19941228    ,0.26
19941229    ,0.14
19941230    ,0.09
19950102   ,-0.09
19950103    ,0.21
19950104   ,-0.10
19950105    ,0.12
19950106    ,0.11
19950109    ,0.38
19950110    ,0.01
19950111    ,0.24
19950112    ,0.04
19950113    ,0.22
19950116   ,-0.07
19950117   ,-0.22
19950118   ,-0.70
19950119    ,0.28
19950120   ,-0.17
19950123    ,0.59
19950124   ,-0.36
19950125   ,-0.50
19950126    ,0.01
19950127   ,-0.01
19950130   ,-1.79
19950131   ,-1.00
19950201    ,0.38
19950202    ,0.35
19950203    ,0.02
19950206   ,-0.52
19950207   ,-0.10
19950208    ,0.35
19950209   ,-0.13
19950210   ,-0.16
19950213    ,0.06
19950214    ,0.37
19950215   ,-0.23
19950216    ,0.10
19950217    ,0.13
19950220    ,0.15
19950221   ,-0.12
19950222    ,0.09
19950223    ,0.04
19950224   ,-0.06
19950227    ,0.03
19950228   ,-0.27
19950301    ,0.31
19950302   ,-0.11
19950303   ,-0.17
19950306    ,0.14
19950307    ,0.28
19950308   ,-0.07
19950309    ,0.02
19950310    ,0.04
19950313   ,-0.05
19950314    ,0.18
19950315   ,-0.07
19950316   ,-0.10
19950317    ,0.15
19950320    ,0.04
19950321   ,-0.20
19950322    ,0.21
19950323   ,-0.17
19950324   ,-0.04
19950327   ,-0.54
19950328   ,-1.07
19950329    ,0.30
19950330   ,-0.33
19950331    ,0.37
19950403    ,0.43
19950404    ,0.09
19950405    ,0.21
19950406    ,0.11
19950407   ,-0.23
19950410   ,-0.40
19950411    ,0.11
19950412   ,-0.10
19950413   ,-0.10
19950414    ,0.14
19950417    ,0.19
19950418   ,-0.01
19950419    ,0.01
19950420   ,-0.07
19950421   ,-0.18
19950424    ,0.12
19950425   ,-0.31
19950426    ,0.27
19950427   ,-0.05
19950428   ,-0.15
19950501   ,-0.15
19950502   ,-0.13
19950503   ,-0.02
19950504   ,-0.14
19950505   ,-0.19
19950508   ,-0.18
19950509   ,-0.32
19950510   ,-0.19
19950511    ,0.24
19950512   ,-0.05
19950515    ,0.21
19950516    ,0.13
19950517    ,0.12
19950518    ,0.25
19950519    ,0.17
19950522    ,0.64
19950523    ,0.40
19950524   ,-0.09
19950525    ,0.46
19950526    ,0.12
19950529    ,0.07
19950530   ,-0.13
19950531   ,-0.13
19950601   ,-0.08
19950602   ,-0.23
19950605    ,0.07
19950606    ,0.24
19950607    ,0.41
19950608    ,0.20
19950609    ,0.41
19950612    ,0.68
19950613    ,0.29
19950614    ,0.05
19950615    ,0.02
19950616   ,-0.23
19950619   ,-0.06
19950620    ,0.20
19950621   ,-0.13
19950622    ,0.06
19950623   ,-0.34
19950626   ,-0.24
19950627    ,0.48
19950628    ,0.20
19950629   ,-0.13
19950630   ,-0.04
19950703    ,0.19
19950704   ,-0.46
19950705   ,-0.19
19950706   ,-0.08
19950707   ,-0.63
19950710   ,-0.85
19950711    ,0.07
19950712   ,-0.65
19950713   ,-0.23
19950714   ,-0.21
19950717   ,-0.20
19950718    ,0.15
19950719    ,0.41
19950720    ,0.37
19950721   ,-0.17
19950724    ,0.15
19950725    ,0.20
19950726    ,0.26
19950727   ,-0.02
19950728    ,0.25
19950731    ,0.05
19950801    ,0.08
19950802   ,-0.26
19950803   ,-0.38
19950804   ,-0.21
19950807   ,-0.16
19950808    ,0.33
19950809    ,0.01
19950810   ,-0.14
19950811    ,0.04
19950814   ,-0.03
19950815   ,-0.18
19950816   ,-0.35
19950817   ,-0.07
19950818    ,0.21
19950821   ,-0.05
19950822   ,-0.17
19950823    ,0.33
19950824    ,0.17
19950825   ,-0.13
19950828   ,-0.01
19950829   ,-0.26
19950830   ,-0.12
19950831    ,0.32
19950901    ,0.21
19950904    ,0.25
19950905    ,0.28
19950906    ,0.15
19950907    ,0.13
19950908    ,0.14
19950911    ,0.33
19950912   ,-0.12
19950913    ,0.00
19950914   ,-0.12
19950915    ,0.04
19950918   ,-0.29
19950919    ,0.41
19950920    ,0.05
19950921    ,0.00
19950922    ,0.15
19950925    ,0.07
19950926    ,0.19
19950927    ,0.35
19950928    ,0.01
19950929    ,0.20
19951002    ,0.14
19951003    ,0.26
19951004   ,-0.10
19951005   ,-0.16
19951006    ,0.24
19951009   ,-0.02
19951010   ,-0.18
19951011    ,0.00
19951012    ,0.14
19951013    ,0.32
19951016    ,0.23
19951017    ,0.08
19951018    ,0.46
19951019    ,0.29
19951020    ,0.45
19951023    ,0.10
19951024   ,-0.02
19951025    ,0.04
19951026   ,-0.33
19951027    ,0.03
19951030    ,0.11
19951031   ,-0.13
19951101    ,0.16
19951102   ,-0.06
19951103    ,0.27
19951106    ,0.02
19951107    ,0.05
19951108   ,-0.21
19951109    ,0.29
19951110    ,0.14
19951113    ,0.02
19951114    ,0.08
19951115   ,-0.34
19951116   ,-0.20
19951117    ,0.04
19951120    ,0.05
19951121   ,-0.20
19951122   ,-0.05
19951123    ,0.09
19951124    ,0.02
19951127   ,-0.18
19951128   ,-0.11
19951129    ,0.36
19951130    ,0.06
19951201    ,0.08
19951204    ,0.08
19951205    ,0.11
