This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 BE/ME portfolios in Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
                     Small                                 2                                  3                                  4                                Big
          Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High
199505  -8.09  -8.18  -9.19  -7.36  -6.86  -8.93 -10.75 -10.61  -9.51  -9.22 -10.03  -9.79  -9.21  -9.19 -10.06 -11.51  -8.14  -7.80  -5.16  -8.90  -4.19  -5.36  -6.56  -6.09  -8.12
199506  -8.17  -5.53  -5.44  -6.34  -4.41  -6.68  -4.29  -5.70  -3.71  -5.86  -4.67  -5.03  -4.47  -3.98  -5.16  -3.62  -6.05  -3.44  -4.08  -5.14  -5.17  -4.35  -3.71  -1.99  -2.89
199507   7.18   6.55   4.40   3.53   2.85   9.76   5.13   7.75   6.59   4.20   7.84   8.55   7.68   6.62   4.67   8.46   7.06   7.37   3.40   5.17   6.41   7.20   6.41   5.68   6.51
199508   0.95   1.28   0.50   0.18  -1.54   2.25  -1.79   3.13   2.31  -1.08   0.03   0.99  -0.48  -0.95  -2.11   0.92   1.21  -0.67  -1.39  -2.80  -3.32  -4.88  -2.61  -2.66  -1.20
199509  -5.02  -3.97  -3.79  -2.40  -4.15  -3.06  -4.48  -3.17  -3.60  -3.98  -1.76  -1.24  -3.50  -0.89  -5.39  -1.87  -2.64  -4.29  -3.49  -3.06  -0.43   0.18   0.52  -1.22  -3.66
199510  -1.46  -0.43  -0.11  -3.17  -2.49  -1.41  -1.87  -1.31  -2.27  -3.30  -2.44  -3.79  -4.02  -3.64  -3.08  -4.16  -3.06  -3.50  -0.73  -3.85  -3.67  -4.94  -4.73  -3.10  -4.85
199511   6.27   6.94   3.81   6.81   5.43   5.08   4.09   4.27   5.29   6.84   3.17   3.01   5.58   3.20   5.36   5.48   3.17   3.31   2.31   4.45   4.37   5.36   4.63   4.68   3.00
199512   7.00   7.02   8.61   9.06  11.43   6.38   3.86   5.57   5.08   8.90   3.79   5.01   6.96   7.14   5.89   3.96   5.13   6.03   4.61   5.42   3.07   5.49   3.77   5.35   7.06
199601   1.65   2.85   2.64   2.24   2.84   1.18   1.93   3.54   1.10   1.71   0.44   0.99   2.68   1.10   1.59   0.81   1.70   0.15   0.57   0.18  -3.20  -3.27  -0.80   0.54  -0.74
199602  -2.06  -4.29  -3.13  -2.93  -1.61  -1.60  -1.22  -1.75  -1.89  -2.87  -0.45  -1.30  -1.70  -1.35  -0.65  -0.36  -1.09  -1.12  -1.22  -1.58  -1.80  -1.29  -1.45  -0.91  -2.00
199603   5.55   2.31   0.52   4.35   1.05   2.26   1.88   1.05   3.00   1.28   2.03   1.78   3.30   2.75   1.76   3.07   2.64   4.03   2.90   3.41   3.11   4.10   3.17   1.82   2.53
199604  15.45  13.04  18.67  14.51  16.31  10.06   9.08   9.90   9.53   9.24   9.29  10.10  11.46   9.58  11.10   7.30   8.05   8.64   8.35   8.73   5.33   5.27   5.58   6.75   7.84
199605  -3.62  -2.90  -4.34  -3.00  -2.63  -3.31  -3.59  -3.28  -4.41  -2.80  -5.24  -2.05  -5.32  -4.16  -2.97  -4.38  -4.34  -5.26  -4.45  -3.70  -3.98  -5.44  -5.94  -2.89  -5.17
199606  -2.09  -0.29  -1.37  -2.31  -2.04  -1.59  -1.61  -2.45   0.61  -0.92   0.55  -0.24   0.43   0.40  -0.27  -0.16   1.04   0.63  -0.07   0.15   0.23  -0.51   0.04   3.16   1.13
199607  -6.77  -4.97  -3.23  -4.36  -2.76  -7.56  -6.84  -6.04  -5.83  -4.80  -7.20  -5.97  -5.77  -6.01  -6.40  -6.08  -5.32  -4.25  -4.82  -5.21  -4.96  -4.51  -3.87  -3.39  -5.66
199608  -3.16  -4.09  -4.72  -4.60  -3.70  -3.56  -4.14  -2.50  -4.32  -3.70  -3.09  -3.04  -4.96  -4.41  -4.29  -4.67  -4.79  -5.40  -4.65  -5.02  -3.82  -4.44  -4.87  -4.68  -3.95
199609  -0.60  -4.03  -3.13  -2.76  -2.37  -2.88  -1.19  -1.22  -0.33  -1.68   1.32  -0.49   0.22   0.83   0.90  -0.19   1.42   1.45   2.81   2.17   3.71   3.36   3.84   4.45   3.37
199610  -5.47  -3.93  -5.44  -2.90  -5.28  -6.52  -7.08  -6.46  -7.01  -5.91  -8.63  -7.34  -7.00  -7.86  -7.17  -6.72  -7.70  -6.54  -5.91  -6.74  -7.04  -6.71  -6.82  -7.24  -6.76
199611  -5.98  -4.32  -4.84  -3.42  -4.03  -3.79  -3.41  -4.05  -3.14  -2.93  -1.88  -2.51  -2.23  -2.68  -3.41  -2.68   0.11  -1.76  -1.46  -1.89   0.21   1.86   2.84   3.69   1.08
199612 -11.43 -11.94 -10.68  -9.15  -9.40 -11.16 -11.73 -11.04  -9.74 -10.21 -10.31 -10.27 -10.80 -10.59 -10.19  -9.18  -8.95  -9.56  -8.04  -7.75  -7.97  -6.57  -5.07  -3.55  -5.91
199701 -10.45  -9.60  -9.26 -12.87  -9.84  -9.54 -10.30  -9.45 -11.38 -11.22  -7.81  -8.48  -8.25  -9.61  -9.94 -10.07  -9.01 -10.08  -9.22 -11.10 -13.17 -10.83 -10.10  -9.03  -8.01
199702  -2.50  -1.70  -0.44  -1.72  -0.46  -1.59  -0.46  -0.32   0.71  -0.36  -0.52  -0.25  -1.00  -0.24   0.27  -0.22  -0.41   0.77   1.06  -0.34   4.30   2.89   0.77   0.84   0.35
199703  -8.09  -7.72  -7.08  -6.65  -7.13  -8.37  -7.95  -7.78  -5.84  -5.94  -7.65  -7.97  -7.01  -7.64  -5.96  -7.47  -6.46  -6.37  -4.21  -4.86  -3.48  -3.41  -2.36  -2.42  -0.43
199704  -4.95  -2.65  -5.74  -4.42  -4.66  -1.70  -2.03  -3.33  -3.79  -3.83   1.66   1.25  -0.67  -1.55  -2.10   1.92   2.89   1.84   0.84  -0.62   1.99   2.33   1.86   5.89   1.82
199705  17.50  17.40  17.59  16.85  14.56  18.02  17.48  16.49  16.01  15.24  18.94  16.41  15.64  17.60  14.52  19.12  14.91  13.32  14.00  11.77  17.52  11.35  10.80   8.60  13.25
199706   4.68   3.76   3.92   3.85   2.81   1.82   1.15   1.35   4.62   3.06   2.76   1.89   1.68   3.59   2.81   3.22   2.75   3.31   2.65   3.15   6.78   7.88   5.09   5.57   7.08
199707 -13.19 -10.83 -12.70 -11.01 -11.51 -12.09 -11.76 -10.23 -12.21 -11.52  -7.87  -6.10  -9.73 -10.62  -9.15  -4.16  -6.41  -4.57  -7.45  -9.29  -0.69  -1.80  -3.32  -6.19  -4.00
199708 -10.45  -8.36 -10.34  -9.25  -9.53 -10.61  -9.63 -10.47  -9.74 -10.89 -13.54 -11.51 -11.10 -11.37 -12.09 -12.23 -11.69 -11.72  -7.64 -11.98  -8.34 -10.17  -9.91  -5.79  -9.86
199709 -18.06 -14.01 -15.94 -13.28 -14.00 -13.84 -13.45 -14.90 -13.05 -12.63 -14.00  -9.31 -11.64 -10.11 -12.52  -4.42  -7.13  -6.26  -6.38  -8.62   0.51   2.24  -3.92  -0.64  -3.99
199710   3.36   0.06  -1.81  -3.84  -1.26   1.09   0.23  -0.24   0.28  -0.79   0.90  -0.94   1.58   0.81   0.10  -2.44  -3.63  -2.00  -1.31   0.43  -9.65 -10.07  -6.39 -13.66  -6.99
199711 -21.69 -15.89 -18.68 -16.04 -17.40 -17.65 -20.90 -17.67 -15.27 -18.91 -15.82 -15.76 -13.16 -15.99 -16.82 -12.03 -10.29 -11.57 -11.29 -17.07  -4.47  -3.80  -9.37  -5.49 -12.57
199712 -13.54 -15.04 -13.62 -15.46 -13.54 -15.99 -18.74 -15.91 -15.60 -12.98 -12.63 -16.55 -14.89 -12.52 -14.12  -9.66 -17.83 -15.91 -14.46 -14.05  -4.59  -4.77  -7.87  -7.29  -8.84
199801  25.93  25.92  30.17  22.79  23.15  26.32  27.30  23.25  22.03  25.22  21.08  24.01  19.40  17.27  21.67  14.81  17.76  15.68  15.67  20.07   8.18   6.48  11.76  11.07  11.37
199802   7.02   2.78   4.79   3.41   5.87   6.73   6.29   3.89   6.57   6.97   4.42   4.07   5.18   4.46   5.30  -0.47   2.74   1.40   3.23   5.94  -0.05   0.63   1.28   0.24   0.60
199803 -10.48 -10.10  -9.70  -7.03  -8.35 -10.43  -9.22 -11.53  -7.20  -8.20  -9.62  -8.20  -7.70  -5.45  -7.31  -5.56  -5.19  -3.98  -5.16  -7.25  -7.24  -6.00  -6.63  -7.77  -1.45
199804  -6.67  -4.47  -5.17  -5.06  -6.03  -6.13  -7.49  -1.84  -5.26  -5.64  -1.89   1.30  -3.73  -2.95  -3.51  -2.31  -1.86  -2.46  -5.22  -6.20  -0.51  -1.75   0.66  -3.13  -4.52
