This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
200409   5.77   5.62   6.55   5.68   5.09   5.76
200410   3.43   4.31   5.22   1.75   4.06   3.30
200411   8.58   8.41   9.58   8.82   6.89   7.66
200412   0.45   2.82   3.04   2.79   2.92   3.90
200501   2.15   2.09   2.58  -0.75  -0.30  -1.02
200502   1.79   4.48   2.64   5.22   3.66   3.14
200503  -3.73  -2.97  -3.55  -2.57  -2.78  -2.88
200504  -4.00  -1.65  -3.68  -2.74   1.06   0.78
200505  -2.39  -1.07  -4.34   1.22   0.17  -0.43
200506   2.61   3.26   1.41   5.19   3.48   4.88
200507   2.69   2.20   3.03   3.79   4.01   3.89
200508   0.93   1.27   1.94  -0.20   0.33   0.29
200509   4.36   3.60   4.54   3.01   3.82   6.81
200510  -4.17  -3.94  -5.34  -4.53  -6.16  -6.52
200511   2.74   2.06   1.56   2.61   3.74   4.15
200512   2.43   1.57   0.76   3.46   1.87   2.73
200601   6.02   5.75   9.81   6.11   7.04   4.90
200602   4.70   1.16   1.88   0.48  -0.61   0.52
200603   7.00   4.15   5.87   2.23   1.51   3.11
200604   6.22   5.54   6.19   5.16   7.21   8.01
200605  -4.51  -4.93  -5.96  -5.90  -5.57  -4.47
200606  -1.74  -1.29  -2.62  -0.05   1.13  -1.70
200607   3.46   2.15   3.27   1.68   1.08   1.37
200608   2.83   2.38   1.89   3.13   3.24   2.25
200609   2.38   1.47  -2.33   1.08   0.02  -0.35
200610   6.76   5.76  10.66   6.40   5.52   7.61
200611   6.92   5.55   6.41   6.13   4.71   3.26
200612   3.31   2.99   2.89   5.47   4.04   4.23
200701   6.92   5.54   5.62   2.26   1.87   1.21
200702   3.87   2.15   4.03  -0.12   1.78   1.35
200703   6.08   7.22   4.97   4.48   4.41   6.49
200704   9.75   8.20   9.13   4.72   4.63   4.62
200705  11.96   8.92   8.58   1.41   3.55   3.38
200706   7.49   4.12   5.95   1.22   2.26   3.63
200707   6.17   5.99   2.40  -1.12   2.11   3.19
200708 -12.87 -12.80 -14.19  -2.44  -1.90  -5.70
200709   9.28   7.65  11.56  10.21  13.34  18.14
200710   4.79   5.10   7.46   6.35   9.49  10.62
200711  -7.24  -8.28  -9.89  -5.46  -5.59  -7.23
200712  -1.01  -0.39  -1.42   2.46  -1.53  -0.33
200801 -13.75 -13.95 -16.63  -7.25  -9.38 -16.26
200802   5.47   4.00   5.78   4.91   1.08   6.01
200803  -9.10  -9.27  -9.73  -4.15  -3.99  -9.19
200804   4.10   4.19   6.09   5.33   8.36   8.88
200805   4.77   1.95   9.52   2.15   2.75   6.01
200806  -8.13  -9.18  -6.99  -7.87  -7.16 -10.87
200807  -4.95  -5.85 -10.72  -2.50  -4.27  -8.81
200808  -8.31  -9.84 -12.32  -3.82  -5.38 -10.85
200809 -16.60 -17.82 -21.67 -11.71 -17.74 -23.53
200810 -28.34 -29.46 -37.09 -23.25 -25.25 -28.19
200811  -5.30  -6.40  -8.52  -2.71  -5.54 -12.18
200812   7.75   9.10  12.46   6.40   6.22  11.63
200901  -6.43  -7.07  -8.78  -7.26  -7.38  -8.71
200902  -2.38  -3.66   0.60  -6.65  -4.98  -2.40
200903   5.54   4.60  11.99   6.61  11.85  15.46
200904  11.79  14.35  16.02  10.74  14.05  18.13
200905  25.46  28.95  31.20  11.66  19.89  18.43
200906   1.65   0.60   1.32   2.67   1.24   2.90
200907  12.45  14.02  13.24  10.64  13.47  13.31
200908   0.78   6.10   5.50   0.66   1.21   2.29
200909   8.08   7.39  10.36   6.62   8.80  10.00
200910   3.97   3.33   2.08   1.80   1.17   0.41
200911   4.38   4.56   3.62   3.04   0.98   4.69
200912   1.95   2.28   2.19   3.91   1.93   2.44
201001  -2.01  -2.26  -2.66  -5.62  -6.17  -8.30
201002   1.54   1.29   0.18   0.97   2.63   4.73
201003   7.12   6.48   7.98   6.34   7.26   9.52
201004   3.85   5.43   2.89   1.20   1.57  -2.52
201005 -13.87 -12.35 -16.70 -10.42 -12.02 -12.83
201006  -0.63  -0.45  -1.97  -0.06   0.48  -1.14
201007   9.52   8.80   6.69  10.39   9.02  10.38
201008  -0.46  -0.54  -1.88  -0.86  -1.20   0.03
201009  13.79  14.63  15.26  13.01  13.39  11.03
201010   5.82   3.90   5.11   3.82   3.84   2.82
201011   0.86  -0.31  -0.83  -1.30  -0.47  -2.76
201012   9.02   8.43   9.74   7.48   5.57   7.54
201101  -0.14  -1.87  -3.20  -0.65  -0.29  -1.50
201102   0.40  -1.71   0.52  -0.37  -0.43   0.82
201103   0.77   1.27   1.72   1.36   2.32   3.30
201104   3.97   4.57   3.25   4.48   4.05   6.54
201105  -4.44  -3.29  -4.94  -1.68  -2.14  -3.06
201106  -5.59  -2.90  -5.39  -2.52  -2.38  -1.07
201107   2.82   1.67   2.87   0.63   1.16   1.86
201108  -9.54  -8.91  -9.27  -5.19  -6.53  -7.16
