This file was created by CMPT_ME_BEME_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for the intersections of  2
ME portfolios and  3 E/P portfolios.   

The portfolios are constructed at the end of Jun.  ME is market cap at the end
of Jun.  E/P is is earnings before extraordinary at the last fiscal year end of the prior calendar 
year divided by ME at the end of December of the prior year.  Firms with negative or zero
E/P are not included in any portfolio.
196403   3.17   3.24   4.67   0.81   2.29   2.04
196404  -1.76  -1.97  -1.24  -0.92   1.09   3.56
196405   1.56   0.94   0.62   0.97   0.44   2.35
196406   0.32   1.09   2.14   1.97   1.49   0.52
196407   2.43   2.78   1.84   0.78   3.26   2.70
196408  -0.94  -0.55  -1.14  -2.22  -1.13  -0.29
196409   2.66   2.72   2.90   2.31   3.12   4.06
196410   0.30   2.19   1.64   0.02   1.51   0.23
196411  -0.80  -0.04  -0.96  -0.24  -0.16   0.03
196412   0.77  -0.66  -1.53   1.08  -0.12  -1.05
196501   6.27   6.27   5.98   4.62   2.30   2.66
196502   4.28   3.73   3.34   0.69  -1.11   0.50
196503   1.80  -0.51   0.84  -1.59  -1.22  -1.15
196504   2.81   5.88   4.37   3.59   3.37   2.40
196505   0.01  -0.31  -0.75   0.18  -1.75  -1.22
196506 -11.43  -9.30  -8.70  -4.80  -4.58  -5.15
196507   2.62   2.88   3.25   0.93   1.96   3.02
196508   7.19   5.32   3.97   2.05   2.62   3.03
196509   4.23   4.80   3.72   3.13   3.02   3.86
196510   7.02   5.42   6.59   1.66   3.43   5.86
196511   3.27   6.18   4.78  -0.71  -1.21   0.02
196512   6.00   2.25   3.67   0.66   0.69   3.09
196601   6.42   5.23   6.58  -0.39   0.83   4.21
196602   4.75   2.19   3.08  -1.41  -2.63  -1.04
196603  -0.94  -3.09  -2.48  -1.87  -2.63  -2.49
196604   6.11   7.24   3.82   2.95   0.49   1.63
196605 -11.53  -9.97 -10.30  -4.60  -5.95  -6.89
196606   1.45   0.14  -0.61  -1.63  -1.26  -0.11
196607  -2.13  -2.37  -1.16  -1.77  -0.68  -1.65
196608 -11.41 -10.14 -10.57  -7.64  -7.86  -8.21
196609  -2.56  -2.17  -1.24  -1.80   0.67  -1.86
196610  -3.96  -1.26  -0.04   3.46   5.93   4.56
196611   8.75   2.74   2.59   4.96  -2.73  -0.49
196612   4.28   1.74   0.70  -0.48   0.68   0.48
196701  18.64  15.61  17.64   6.89   7.21  11.70
196702   5.66   1.97   1.78   2.62  -1.44  -1.97
196703   7.23   6.69   5.00   3.72   4.15   5.64
196704   5.84   3.33   4.49   5.82   3.04   2.57
196705  -1.99  -1.44  -2.49  -5.24  -5.03  -3.37
196706  11.78   6.96   7.55   1.93   1.07   3.73
196707   8.07   7.56   9.20   2.60   6.74   6.54
196708  -2.05   0.21   0.95  -1.11  -1.83  -0.40
196709   6.37   4.24   5.46   3.51   2.86   2.14
196710  -0.24  -2.87  -4.14  -1.19  -4.18  -4.80
196711   0.13   0.42   0.07   1.16  -1.29  -0.74
196712  11.92   5.83   7.25   1.66   3.78   4.03
196801  -2.93   1.59   2.08  -5.83  -2.44  -2.99
196802  -8.31  -5.69  -4.78  -3.37  -3.15  -4.58
196803  -1.81  -1.34  -0.38   1.76  -1.01   0.58
196804  18.49  12.88  13.73   9.47   6.35  11.09
196805  10.17   7.73   9.09   1.52   0.23   2.85
196806  -0.51   1.28   1.25   0.16   2.25   0.18
196807  -5.49  -3.32  -1.64  -5.21  -1.30   3.12
196808   3.83   3.50   3.58   0.76   1.31   0.52
196809   8.12   6.80   5.45   2.81   4.57   4.14
196810  -1.16   1.31   2.29  -1.58   2.15   2.36
196811   8.66   7.90   6.42   6.01   4.06   5.89
196812   0.66  -1.45  -1.12  -5.10  -4.14  -2.56
196901  -2.10  -1.45  -0.40  -2.03  -0.01  -0.64
196902 -10.75  -8.18  -7.35  -4.41  -5.36  -5.61
196903   3.47   2.44   2.26   3.93   2.60   3.13
196904   1.03   0.83   1.18   3.48   1.87  -0.16
196905   0.04  -0.34   0.16  -0.81  -0.36   1.33
196906 -13.04 -11.52  -9.96  -2.81  -7.45  -8.15
196907 -11.24  -9.88  -7.01  -4.82  -6.61  -7.02
196908   7.40   5.09   3.29   6.84   4.55   2.06
196909  -0.82  -2.33  -2.27  -0.43  -3.75  -4.37
196910  10.84   7.96   6.00   6.15   6.39   2.71
196911  -5.34  -6.05  -4.95  -2.10  -4.49  -4.37
196912  -5.36  -5.36  -5.24   0.54  -2.38  -3.15
197001  -5.84  -5.95  -2.31  -8.47  -7.31  -7.85
197002   3.21   3.36   4.46   3.48   7.15   6.20
197003  -5.39  -0.93  -0.42  -2.62  -0.08   2.17
197004 -20.96 -13.86 -10.96 -11.06  -9.93  -7.74
197005 -11.69 -10.08  -8.71  -8.77  -6.57  -3.79
197006  -9.80  -7.65  -4.28  -6.37  -4.03  -4.74
197007   7.16   6.93   6.05   4.59   9.45   7.85
197008   6.39   6.01   6.15   3.70   4.71   4.44
197009  16.38  10.48   9.17   7.44   0.40   2.91
197010  -7.64  -5.62  -4.76  -0.81  -2.29  -1.00
197011  -0.28   2.03   2.88   4.59   5.55   4.47
197012   7.00   9.84   9.92   4.80   6.66   6.20
197101  11.84  10.78  11.44   4.37   4.57   2.74
197102   4.13   3.02   3.08   2.05  -0.40   1.98
197103   7.46   6.28   3.78   5.51   3.36   2.51
197104   3.48   3.62   2.39   3.71   3.11   3.52
197105  -4.19  -5.59  -5.54  -3.00  -4.71  -5.19
197106   0.06  -1.04  -2.28   0.93  -0.09  -0.33
197107  -7.18  -5.02  -4.56  -4.55  -3.40  -4.34
197108   4.39   4.48   4.24   5.94   1.21   1.61
197109  -1.23   0.31  -1.23   0.45  -1.21  -2.47
197110  -5.76  -5.90  -4.97  -3.95  -3.58  -5.29
197111  -2.65  -3.27  -3.33   0.46  -0.81  -1.38
197112  13.75  11.40  11.10   9.04   8.57   8.28
197201  11.43   5.97   7.38   2.47   0.08   4.86
197202   4.91   2.66   2.72   4.47   0.54   0.75
197203   1.43   0.19  -0.51   2.24  -0.71  -1.26
197204   0.27   1.25   0.09   0.96  -0.04  -0.91
197205  -0.73  -2.33  -2.63   2.56   0.67  -0.73
197206  -2.61  -2.86  -3.51  -1.31  -2.32  -4.15
197207  -4.66  -3.41  -2.24   0.73  -1.34  -0.98
197208  -0.55   1.59   2.07   0.48   5.44   7.03
197209  -3.45  -3.18  -2.76  -0.35  -2.13   0.22
197210  -4.02  -1.25   0.94   0.61   1.25   1.33
197211   3.53   5.71   6.44   1.89   7.05   6.69
197212  -1.08  -1.66  -1.62   3.02  -0.74  -0.35
197301  -7.09  -5.82  -3.97  -2.13  -4.86  -0.56
197302 -10.74  -8.93  -5.64  -3.00  -4.99  -5.78
197303  -3.97  -3.11  -1.74  -1.03  -0.64   0.43
197304 -10.04  -7.24  -4.21  -6.31  -4.37  -1.48
197305 -10.54  -8.15  -6.73  -0.84  -1.83  -4.31
197306  -5.04  -3.61  -3.02  -0.77  -2.03  -0.11
197307  19.37  10.45   7.81   6.34   3.21   1.77
197308  -3.24  -5.62  -5.40  -3.40  -3.78  -2.89
197309  10.74  10.26   7.27   1.84   8.74   8.65
197310  -1.66  -0.50  -0.28   0.61  -1.47  -1.80
197311 -22.22 -19.32 -16.37 -12.02 -12.27 -12.58
197312  -2.63  -1.58  -2.85  -1.18   5.12   3.24
197401   7.23   9.82  11.62  -2.29  -0.07   4.50
197402  -1.09   0.33   1.59  -1.04  -0.29   1.42
197403  -0.94   0.24  -0.38  -2.03  -3.32  -3.16
197404  -6.66  -5.06  -4.65  -3.46  -5.46  -7.06
197405  -8.09  -7.67  -7.19  -1.92  -5.85  -6.35
197406  -3.26  -2.39  -2.08  -1.63  -2.51  -4.48
197407  -6.69  -4.14  -3.75 -10.37  -2.70  -8.18
197408  -9.15  -8.93  -7.97 -10.57  -7.80  -6.47
197409 -12.25  -7.73  -7.96 -14.20  -6.75  -9.24
197410  13.76   7.75   7.52  21.71  13.26   1.55
197411  -4.91  -5.26  -6.09  -4.39  -4.80  -6.40
197412  -7.37  -6.04  -7.82  -3.79  -0.51  -1.22
197501  24.38  26.23  29.02  10.12  15.65  22.88
197502   7.19   3.98   1.48   8.08   1.99   0.66
197503   7.21   5.33   9.01   2.92   0.99   6.26
197504   6.35   3.77   2.33   5.66   2.53   4.27
197505  10.17   6.09   6.52   4.99   4.67   4.97
197506   6.57   6.43   6.33   3.88   5.99   8.45
197507  -3.19  -2.34  -2.86  -7.71  -4.98  -4.89
197508  -4.56  -4.80  -6.37  -3.22  -1.75  -1.06
197509  -4.12  -4.09  -3.07  -4.31  -2.86  -3.26
197510   1.47   2.54   2.34   7.68   3.72   2.39
197511   0.77   2.30   3.37   3.14   1.47   1.81
197512  -2.02  -1.05  -1.26  -2.28   0.38   0.35
197601  16.97  16.51  22.20  10.79  11.99  18.44
197602   6.92   6.97  10.01  -1.62  -0.11   1.42
197603   1.23   0.69   1.34   2.81   2.42   2.05
197604  -1.44  -0.58  -1.69  -1.89  -0.21   0.45
197605  -2.28  -1.93  -3.06  -2.37   0.53  -1.02
197606   3.23   3.51   3.26   4.42   4.15   6.02
197607  -0.94   0.71   0.05  -1.42   0.10  -1.19
197608  -3.56  -1.66  -1.76  -0.47  -0.15  -1.98
197609   2.45   2.85   2.51   1.97   2.76   3.06
197610  -3.30  -1.69  -2.05  -2.49  -1.98  -2.09
197611   3.87   2.86   3.07  -1.46   0.70   1.75
197612   9.43   9.05   9.26   4.26   6.21   8.41
197701   0.38   1.61   2.78  -7.35  -2.02  -0.11
197702  -1.94  -1.36  -0.16  -2.22  -2.48  -2.90
197703  -0.38   0.23   0.34  -2.09  -0.95   0.19
197704   0.52   0.88   2.01  -1.54   1.72   2.34
197705  -0.45  -0.49   0.29  -2.61  -1.44  -1.05
197706   7.74   5.64   6.19   5.89   3.37   4.39
197707  -0.87   0.44   0.31  -1.34  -1.60  -2.69
197708   0.75  -1.05  -1.82   0.18  -4.22  -3.56
197709   0.82   0.80   1.66  -1.43   0.83   0.47
197710  -3.40  -2.41  -1.77  -4.64  -3.86  -4.20
197711   8.06   6.66   7.70   3.64   2.14   4.81
197712   3.18   1.07   1.34   0.20   0.50  -0.18
197801  -3.77  -3.55  -2.67  -6.14  -6.23  -5.31
197802   1.34   1.70   2.17  -3.74  -0.86  -0.92
197803   6.94   5.92   6.12   1.80   3.11   3.90
197804   8.96   7.58   7.37  11.35   5.96   6.41
197805   7.50   5.00   5.31   1.50  -0.29   2.14
197806   0.53  -0.34  -0.28  -1.41  -2.09  -1.35
197807   6.71   5.30   5.04   6.90   3.75   6.21
197808   8.97   7.20   7.98   2.89   2.97   3.07
197809  -2.32  -0.71  -1.09  -2.68   0.65  -1.17
197810 -23.54 -18.23 -18.75  -9.81  -9.18 -13.13
197811   9.09   4.11   4.17   2.26   2.37   1.72
197812   3.27   1.10   1.63   2.78   0.18   0.42
197901   8.35   7.63   8.85   3.53   4.20   5.67
197902  -2.86  -2.85  -3.10  -4.25  -3.20  -4.34
197903  11.49   7.72   8.38   5.47   5.20   7.50
197904   1.70   3.04   2.55  -0.11   0.42   0.61
197905  -2.24  -1.75  -1.41  -2.58  -2.51  -1.73
197906   5.75   5.33   4.95   2.63   5.23   5.26
197907   2.28   2.86   3.93   0.10   1.63   2.38
197908   8.79   6.71   7.25   6.00   4.63   4.84
197909   1.23  -0.96  -2.15  -1.41   0.75  -0.69
197910  -9.40 -10.34 -11.70  -6.80  -6.14  -9.81
197911  10.47   6.43   6.24   5.99   4.62   3.30
197912   7.70   4.77   4.94   2.62   1.01   1.74
198001   8.29   6.46   8.10   5.09   5.77   5.60
198002  -0.01  -3.22  -4.13  -3.47   2.12  -5.60
198003 -19.75 -16.24 -17.20  -9.65 -11.40  -9.89
198004   6.32   5.81   5.41   3.49   5.81   3.57
198005   7.84   6.83   8.32   5.08   4.35   6.02
198006   4.53   4.31   4.39   2.95   3.13   1.90
198007  13.22   9.29   7.97  10.19   4.49   4.09
198008   8.64   4.12   3.25   1.73   0.41   1.38
198009   4.70   2.50   1.92   4.03   2.31   1.51
198010   5.56   2.90   2.41   1.60   1.47   1.51
198011  11.64   4.17   3.43  11.73   9.55  11.23
198012  -5.63  -2.21  -1.00  -2.41  -3.02  -5.18
198101  -3.72   1.00   0.91  -6.53  -3.89  -3.96
198102  -0.28   1.54   1.69   1.86   1.32   0.13
198103   7.98   7.85   6.68   3.76   3.78   2.98
198104   2.58   3.28   4.02  -2.09  -2.58   0.04
198105   4.87   2.37   1.82   0.89  -0.19  -0.92
198106  -5.28  -0.20   1.25  -4.10   0.84   0.69
198107  -2.70  -2.41  -2.18   1.14  -0.30  -0.59
198108 -10.32  -6.21  -5.04  -7.42  -6.63  -4.57
198109 -10.91  -6.52  -4.97  -6.91  -6.16  -3.54
198110  10.28   6.88   5.89   7.78   6.18   3.55
198111   1.00   4.14   4.72   3.95   3.57   3.74
198112  -2.39  -1.18  -1.54  -3.31  -2.74  -3.88
198201  -4.73  -3.43  -2.38  -2.42  -3.08  -1.16
198202  -7.82  -3.56  -1.55  -7.99  -5.73  -3.35
198203  -2.86  -0.51   0.16  -3.35  -0.53   0.27
198204   6.31   5.66   4.24   6.49   4.04   1.66
198205  -3.78  -2.26  -2.08  -4.55  -4.03  -2.99
198206  -4.28  -1.98  -1.85  -3.43  -0.84  -2.85
198207  -2.30  -0.25  -1.68  -0.42  -2.77  -4.37
198208   8.18   7.61   8.18  11.25  11.00  11.63
198209   2.70   3.82   5.34   1.91   0.94   1.08
198210  16.11  12.12  11.27  13.11  11.00   8.73
198211  10.12   7.89   7.50   6.94   3.00   0.96
198212   1.36   1.29  -0.01   1.75  -0.04   1.47
198301   9.84   4.60   4.50   2.75   4.13   3.37
198302   5.19   5.74   5.32   2.52   1.70   2.43
198303   2.91   5.53   5.89   2.73   2.83   3.76
198304   7.47   7.12   7.92   6.22   7.48   7.33
198305   8.24   5.34   3.60  -0.15  -1.03  -0.75
198306   5.53   4.37   2.49   5.75   2.79   0.61
198307  -5.50  -1.43   2.03  -5.13  -3.49  -2.20
198308  -5.11  -2.96  -0.39  -1.82  -0.01   3.03
198309   1.02   2.48   3.43   1.81   2.32   0.04
198310  -8.32  -4.76  -2.83  -5.03  -0.90  -1.01
198311   5.75   4.24   3.22   3.41   1.52   0.65
198312  -2.72  -0.62  -0.78  -1.47  -0.90  -1.28
198401  -4.33  -1.34   1.05  -6.01  -3.00   4.72
198402  -7.29  -4.98  -3.95  -5.97  -4.89  -1.74
198403   0.15   0.86   1.63   0.91   2.26  -1.01
198404  -1.49   1.51  -0.59   0.74   0.15   1.46
198405  -5.90  -4.40  -4.87  -6.78  -4.89  -5.31
198406   3.45   3.32   1.20   4.25   2.57   1.88
198407  -5.69  -3.15  -1.10  -2.02  -0.90  -2.49
198408  13.72  10.76   8.34  12.19  10.30   9.90
198409  -3.39   1.06   3.14  -4.05  -1.11   3.07
198410  -2.90  -0.97   2.54  -0.70   0.34   0.51
198411  -4.01  -1.79   1.38  -3.02  -1.61  -0.47
198412   1.87   2.18   2.32   1.99   2.44   2.22
198501  14.15  11.80   8.34  10.95   8.49   5.37
198502   2.20   3.39   1.63  -0.61   1.37   1.87
198503  -4.16  -1.19   1.17  -3.35  -0.42   1.43
198504  -2.54  -0.27   2.35  -2.00  -1.21   1.32
198505   3.34   4.90   4.07   5.94   6.63   4.20
198506   0.42   1.76   4.78   2.20   0.84   1.77
198507   2.82   2.65   0.64  -1.06   0.36  -2.62
198508  -2.04  -1.02   0.63  -1.55  -1.19  -0.19
198509  -7.29  -4.70  -3.73  -4.59  -2.97  -4.42
198510   2.66   3.48   4.43   4.52   4.20   5.43
198511   8.05   6.64   6.64   8.82   7.03   4.22
198512   4.62   4.25   3.99   3.93   4.85   4.15
198601   1.77   1.70   2.63   0.87  -0.14   1.41
198602   6.28   7.25   9.13   8.62   6.42   7.61
198603   3.63   5.39   4.91   4.99   5.64   5.25
198604   2.36   1.39   0.62  -0.59  -0.33  -3.24
198605   3.55   4.71   3.87   6.33   4.74   4.37
198606  -0.56   0.55   2.48   0.72   1.72   2.07
198607 -10.80  -8.71  -4.80  -6.46  -7.26  -2.43
198608   2.73   3.90   2.68   6.01   5.98   7.96
198609  -7.73  -6.08  -5.50 -10.35  -8.20  -8.63
198610   4.23   2.99   2.80   7.13   5.10   4.02
198611   0.20   0.30  -0.33   2.35   1.66   0.74
198612  -2.93  -2.00  -3.09  -2.06  -3.38  -3.31
198701  12.90  10.74   8.85  15.83  12.06  11.76
198702   8.95   6.52   5.67   7.86   4.95  -0.32
198703   0.70   1.86   2.32   1.75   2.76   0.61
198704  -3.68  -3.16  -4.32  -1.32  -1.59  -2.32
198705   0.42  -0.07  -1.47   2.05   0.13  -0.76
198706   1.46   3.95   2.75   4.24   4.88   4.89
198707   2.66   3.90   2.37   4.99   4.67   1.94
198708   3.47   3.53   4.38   4.04   3.83   4.12
198709  -2.08  -1.88  -2.19  -2.14  -2.68  -3.10
198710 -31.69 -28.72 -25.18 -23.28 -21.69 -17.87
198711  -5.99  -4.85  -3.21  -9.24  -8.37  -7.48
198712   9.68   8.11   4.63   8.63   7.80   3.34
198801   1.95   3.55   5.37   1.31   4.12   8.93
198802   7.76   8.74   6.55   5.14   4.79   1.68
198803   3.83   3.78   2.18  -2.91  -2.83  -3.77
198804   1.94   1.37   1.54  -0.51   1.20   0.66
198805  -2.83  -1.86  -1.38  -0.37  -0.34   2.06
198806   8.21   7.16   5.96   4.64   4.50   5.11
198807  -2.66  -0.79   0.55  -1.73  -0.45  -1.28
198808  -3.68  -2.30  -2.02  -2.93  -3.60  -2.60
198809   3.04   2.79   2.84   4.60   3.53   3.70
198810  -1.52  -0.12  -0.07   1.05   2.68   1.80
198811  -3.10  -2.68  -3.81  -1.53  -2.25  -2.64
198812   4.65   2.99   3.52   2.17   1.70   0.46
198901   4.08   3.50   5.62   6.94   6.73   5.86
198902   0.55   0.46   0.82  -2.69  -2.56  -2.09
198903   2.56   2.82   1.66   2.01   1.91   1.02
198904   5.07   4.09   4.71   6.45   4.71   3.27
198905   4.53   3.06   4.06   5.11   2.58   3.82
198906  -3.32  -0.80  -0.47  -1.68  -0.34   0.07
198907   4.75   3.94   3.07   9.57   8.07   6.82
198908   1.39   2.92   3.63   1.00   1.09   3.63
198909   0.52  -0.57   0.88   0.48  -0.86  -0.87
