This file was created using the 202005 Bloomberg database.

Missing data are indicated by -99.99.



,WML
19911001    ,0.19
19911002   ,-0.13
19911003    ,0.07
19911004    ,0.36
19911007    ,0.10
19911008   ,-0.01
19911009    ,0.33
19911010    ,0.28
19911011    ,0.06
19911014    ,0.29
19911015    ,0.03
19911016   ,-0.05
19911017   ,-0.33
19911018    ,0.41
19911021   ,-0.42
19911022    ,0.28
19911023    ,0.06
19911024   ,-0.46
19911025    ,0.38
19911028    ,0.74
19911029    ,0.25
19911030    ,0.52
19911031    ,0.04
19911101    ,0.01
19911104   ,-0.24
19911105    ,0.28
19911106   ,-0.16
19911107   ,-0.09
19911108    ,0.24
19911111    ,0.06
19911112    ,0.26
19911113    ,0.14
19911114    ,0.35
19911115   ,-0.06
19911118   ,-0.82
19911119   ,-0.55
19911120    ,0.18
19911121    ,0.16
19911122    ,0.02
19911125   ,-0.05
19911126   ,-0.26
19911127    ,0.23
19911128   ,-0.01
19911129    ,0.38
19911202    ,0.04
19911203    ,0.26
19911204    ,0.26
19911205    ,0.09
19911206    ,0.17
19911209   ,-0.04
19911210    ,0.58
19911211   ,-0.15
19911212    ,0.52
19911213    ,0.24
19911216   ,-0.16
19911217    ,0.30
19911218    ,0.20
19911219    ,0.39
19911220    ,0.31
19911223   ,-0.04
19911224    ,0.02
19911225    ,0.04
19911226   ,-0.42
19911227   ,-0.27
19911230   ,-0.13
19911231   ,-0.16
19920101   ,-0.01
19920102    ,0.52
19920103   ,-0.09
19920106    ,0.00
19920107   ,-0.19
19920108   ,-0.15
19920109   ,-0.41
19920110   ,-0.12
19920113   ,-0.12
19920114   ,-0.03
19920115   ,-0.11
19920116   ,-0.50
19920117   ,-0.44
19920120   ,-0.23
19920121    ,0.16
19920122    ,0.23
19920123    ,0.03
19920124    ,0.17
19920127   ,-0.40
19920128   ,-0.27
19920129    ,0.37
19920130    ,0.26
19920131   ,-0.12
19920203    ,0.23
19920204   ,-0.10
19920205    ,0.22
19920206   ,-0.10
19920207    ,0.36
19920210   ,-0.06
19920211    ,0.16
19920212    ,0.21
19920213    ,0.12
19920214    ,0.45
19920217    ,0.11
19920218    ,0.72
19920219    ,0.21
19920220   ,-0.15
19920221   ,-0.22
19920224   ,-0.36
19920225   ,-0.09
19920226    ,0.22
19920227    ,0.20
19920228    ,0.16
19920302   ,-0.03
19920303   ,-0.08
19920304    ,0.00
19920305    ,0.39
19920306    ,0.24
19920309   ,-0.19
19920310   ,-0.73
19920311    ,0.86
19920312    ,0.02
19920313   ,-0.22
19920316    ,0.23
19920317   ,-0.07
19920318    ,0.07
19920319   ,-0.44
19920320   ,-0.07
19920323    ,0.25
19920324    ,0.18
19920325    ,0.48
19920326   ,-0.03
19920327   ,-0.16
19920330    ,0.16
19920331    ,0.04
19920401    ,0.43
19920402   ,-0.01
19920403    ,0.15
19920406   ,-0.13
19920407    ,0.37
19920408    ,0.10
19920409    ,0.06
19920410    ,0.32
19920413    ,0.09
19920414    ,0.05
19920415    ,0.10
19920416   ,-0.08
19920417   ,-0.48
19920420   ,-0.07
19920421    ,0.28
19920422    ,0.06
19920423   ,-0.24
19920424   ,-0.08
19920427   ,-0.28
19920428   ,-0.12
19920429    ,0.18
19920430    ,0.10
19920501   ,-0.04
19920504    ,0.09
19920505    ,0.13
19920506   ,-0.17
19920507    ,0.11
19920508    ,0.28
19920511    ,0.18
19920512    ,0.56
19920513   ,-0.02
19920514    ,0.22
19920515    ,0.36
19920518   ,-0.40
19920519   ,-0.05
19920520    ,0.19
19920521   ,-0.23
19920522    ,0.00
19920525   ,-0.17
19920526   ,-0.31
19920527   ,-0.08
19920528    ,0.28
19920529   ,-0.19
19920601    ,0.05
19920602   ,-0.20
19920603    ,0.45
19920604    ,0.44
19920605   ,-0.02
19920608    ,0.22
19920609    ,0.15
19920610    ,0.21
19920611   ,-0.19
19920612    ,1.07
19920615    ,0.09
19920616    ,0.41
19920617   ,-0.09
19920618   ,-0.12
19920619    ,0.05
19920622   ,-0.01
19920623    ,0.33
19920624    ,0.51
19920625    ,0.37
19920626    ,0.85
19920629    ,0.57
19920630    ,0.28
19920701    ,0.21
19920702    ,0.12
19920703    ,0.07
19920706   ,-0.11
19920707    ,0.39
19920708   ,-0.05
19920709    ,0.32
19920710    ,0.38
19920713   ,-0.08
19920714   ,-0.11
19920715    ,0.38
19920716    ,0.49
19920717    ,1.00
19920720    ,1.05
19920721   ,-0.08
19920722    ,0.29
19920723    ,0.20
19920724   ,-0.15
19920727   ,-0.21
19920728    ,0.04
19920729    ,0.09
19920730    ,0.33
19920731   ,-0.12
19920803   ,-0.38
19920804    ,0.25
19920805    ,0.45
19920806    ,0.36
19920807    ,0.76
19920810    ,0.69
19920811    ,0.87
19920812    ,0.31
19920813    ,0.55
19920814   ,-0.19
19920817   ,-0.67
19920818    ,0.74
19920819    ,0.55
19920820    ,0.31
19920821    ,0.48
19920824    ,0.95
19920825    ,0.56
19920826    ,0.15
19920827   ,-0.43
19920828    ,0.09
19920831    ,0.08
19920901    ,0.75
19920902    ,0.17
19920903   ,-0.34
19920904    ,0.55
19920907    ,0.46
19920908    ,0.39
19920909    ,0.58
19920910    ,0.13
19920911   ,-0.09
19920914   ,-1.11
19920915    ,1.17
19920916    ,2.25
19920917   ,-1.36
19920918   ,-1.19
19920921   ,-0.69
19920922    ,0.28
19920923    ,0.18
19920924    ,0.08
19920925    ,0.20
19920928    ,0.83
19920929    ,0.91
19920930    ,0.35
19921001    ,0.33
19921002   ,-0.27
19921005    ,1.43
19921006   ,-0.18
19921007   ,-0.69
19921008   ,-0.79
19921009   ,-0.87
19921012    ,0.19
19921013   ,-0.23
19921014   ,-0.06
19921015    ,0.06
19921016   ,-0.46
19921019    ,0.10
19921020   ,-0.76
19921021   ,-0.31
19921022   ,-0.48
19921023   ,-0.32
19921026   ,-0.78
19921027   ,-0.05
19921028   ,-0.61
19921029   ,-0.56
19921030   ,-0.41
19921102   ,-0.60
19921103   ,-0.25
19921104    ,0.98
19921105    ,0.71
19921106   ,-0.09
19921109   ,-0.48
19921110   ,-0.60
19921111    ,0.08
19921112   ,-0.47
19921113   ,-0.69
19921116   ,-0.86
19921117   ,-0.71
19921118    ,0.57
19921119    ,0.65
19921120    ,0.14
19921123    ,0.72
19921124    ,0.76
19921125   ,-0.18
19921126    ,0.19
19921127    ,0.09
19921130   ,-0.11
19921201   ,-0.03
19921202    ,0.25
19921203    ,0.35
19921204   ,-0.01
19921207   ,-0.25
19921208    ,0.09
19921209    ,0.39
19921210    ,0.10
19921211    ,0.38
19921214    ,0.40
19921215    ,0.47
19921216    ,0.14
19921217    ,0.02
19921218   ,-0.30
19921221   ,-0.22
19921222   ,-0.18
19921223    ,0.07
19921224   ,-0.09
19921225   ,-0.02
19921228   ,-0.11
19921229   ,-0.14
19921230   ,-0.05
19921231    ,0.26
19930101   ,-0.03
19930104    ,0.25
19930105    ,0.22
19930106   ,-0.10
19930107   ,-0.59
19930108    ,0.02
19930111    ,0.24
19930112   ,-0.12
19930113   ,-0.01
19930114   ,-0.37
19930115   ,-0.75
19930118   ,-0.84
19930119   ,-0.32
19930120   ,-0.56
19930121    ,0.06
19930122   ,-0.07
19930125    ,0.34
19930126   ,-0.46
19930127   ,-0.25
19930128    ,0.49
19930129   ,-0.46
19930201   ,-0.03
19930202   ,-0.33
19930203    ,0.02
19930204    ,0.19
19930205   ,-0.77
19930208   ,-0.57
19930209   ,-0.16
19930210   ,-0.35
19930211    ,0.43
19930212   ,-0.11
19930215    ,0.00
19930216    ,0.16
19930217    ,0.18
19930218   ,-0.16
19930219    ,0.52
19930222    ,0.27
19930223   ,-0.02
19930224   ,-0.05
19930225   ,-0.30
19930226   ,-0.03
19930301   ,-0.23
19930302   ,-0.09
19930303    ,0.33
19930304   ,-0.29
19930305    ,0.26
19930308   ,-0.26
19930309    ,0.12
19930310   ,-0.25
19930311    ,0.40
19930312    ,0.18
19930315    ,0.02
19930316    ,0.35
19930317    ,0.43
19930318    ,0.28
19930319    ,0.42
19930322    ,0.77
19930323   ,-0.31
19930324    ,0.07
19930325    ,0.48
19930326   ,-0.11
19930329    ,0.36
19930330    ,0.17
19930331   ,-0.18
19930401    ,0.32
19930402    ,0.17
19930405   ,-0.01
19930406    ,0.00
19930407    ,0.06
19930408   ,-0.17
19930409   ,-0.02
19930412   ,-0.11
19930413   ,-0.13
19930414   ,-0.15
19930415   ,-0.19
19930416   ,-0.14
19930419   ,-0.59
19930420   ,-0.30
19930421   ,-0.38
19930422   ,-0.57
19930423    ,0.05
19930426   ,-0.36
19930427   ,-0.30
19930428   ,-0.25
19930429    ,0.26
19930430   ,-0.39
19930503   ,-0.18
19930504    ,0.01
19930505   ,-0.13
19930506   ,-0.19
19930507   ,-0.01
19930510   ,-0.06
19930511    ,0.03
19930512   ,-0.13
19930513    ,0.52
19930514   ,-0.19
19930517   ,-0.34
19930518   ,-0.14
19930519    ,0.37
19930520    ,0.13
19930521   ,-0.08
19930524    ,0.17
19930525   ,-0.10
19930526    ,0.54
19930527    ,0.14
19930528    ,0.43
19930531    ,0.05
19930601   ,-0.11
19930602   ,-0.19
19930603   ,-0.01
19930604    ,0.14
19930607    ,0.05
19930608    ,0.19
19930609   ,-0.14
19930610    ,0.17
19930611    ,0.02
19930614   ,-0.02
19930615    ,0.22
19930616    ,0.13
19930617    ,0.09
19930618    ,0.01
19930621    ,0.05
19930622    ,0.06
19930623    ,0.08
19930624    ,0.21
19930625    ,0.38
19930628    ,0.02
19930629    ,0.29
19930630    ,0.20
19930701    ,0.22
19930702    ,0.15
19930705    ,0.21
19930706    ,0.03
19930707   ,-0.37
19930708   ,-0.27
19930709   ,-0.04
19930712   ,-0.31
19930713    ,0.31
19930714    ,0.52
19930715   ,-0.08
19930716   ,-0.19
19930719   ,-0.20
19930720   ,-0.13
19930721    ,0.18
19930722    ,0.05
19930723   ,-0.13
19930726   ,-0.32
19930727    ,0.06
19930728    ,0.07
19930729    ,0.30
19930730    ,0.47
19930802   ,-0.18
19930803   ,-0.20
19930804   ,-0.01
19930805    ,0.07
19930806   ,-0.20
19930809   ,-0.02
19930810   ,-0.18
19930811    ,0.16
19930812    ,0.19
19930813   ,-0.32
19930816    ,0.14
19930817   ,-0.20
19930818   ,-0.40
19930819   ,-0.02
19930820   ,-0.26
19930823    ,0.02
19930824   ,-0.27
19930825   ,-0.49
19930826    ,0.53
19930827   ,-0.19
19930830   ,-0.33
19930831   ,-0.26
19930901    ,0.00
19930902   ,-0.61
19930903    ,0.10
19930906   ,-0.09
19930907    ,0.33
19930908    ,0.01
19930909    ,0.41
19930910    ,0.14
19930913    ,0.21
19930914    ,0.11
19930915   ,-0.20
19930916   ,-0.33
19930917    ,0.01
19930920   ,-0.04
19930921    ,0.21
19930922    ,0.08
19930923    ,0.46
19930924   ,-0.02
19930927    ,0.42
19930928   ,-0.09
19930929    ,0.29
19930930    ,0.26
19931001    ,0.27
19931004    ,0.10
19931005    ,0.12
19931006    ,0.14
19931007    ,0.10
19931008   ,-0.01
19931011    ,0.11
19931012   ,-0.18
19931013    ,0.28
19931014    ,0.19
19931015    ,0.12
19931018   ,-0.27
19931019    ,0.04
19931020    ,0.18
19931021   ,-0.01
19931022    ,0.10
19931025    ,0.05
19931026    ,0.17
19931027    ,0.23
19931028    ,0.29
19931029    ,0.23
19931101    ,0.18
19931102    ,0.11
19931103    ,0.25
19931104   ,-0.03
19931105   ,-0.15
19931108   ,-0.13
19931109   ,-0.01
19931110    ,0.10
19931111    ,0.14
19931112    ,0.01
19931115   ,-0.06
19931116   ,-0.03
19931117   ,-0.14
19931118    ,0.21
19931119   ,-0.19
19931122   ,-0.16
19931123   ,-0.32
19931124    ,0.06
19931125    ,0.02
19931126   ,-0.25
19931129   ,-0.38
19931130    ,0.20
19931201    ,0.13
19931202    ,0.25
19931203   ,-0.08
19931206    ,0.33
19931207   ,-0.01
19931208   ,-0.02
19931209   ,-0.17
19931210    ,0.09
19931213    ,0.02
19931214    ,0.10
19931215   ,-0.53
19931216    ,0.07
19931217    ,0.05
19931220    ,0.00
19931221    ,0.25
19931222    ,0.07
19931223    ,0.08
19931224    ,0.13
19931227    ,0.03
19931228   ,-0.08
19931229   ,-0.15
19931230    ,0.32
19931231   ,-0.09
19940103   ,-0.23
19940104    ,0.25
19940105    ,0.22
19940106   ,-0.40
19940107    ,0.36
19940110    ,0.19
19940111   ,-0.04
19940112    ,0.00
19940113   ,-0.21
19940114   ,-0.06
19940117    ,0.00
19940118    ,0.10
19940119   ,-0.08
19940120    ,0.07
19940121    ,0.17
19940124    ,0.06
19940125    ,0.16
19940126   ,-0.09
19940127    ,0.24
19940128    ,0.19
19940131    ,0.32
19940201    ,0.46
19940202    ,0.09
19940203    ,0.26
19940204    ,0.22
19940207   ,-0.55
19940208    ,0.04
19940209    ,0.03
19940210   ,-0.32
19940211   ,-0.03
19940214   ,-0.18
19940215    ,0.21
19940216    ,0.14
19940217    ,0.16
19940218    ,0.03
19940221    ,0.21
19940222    ,0.13
19940223   ,-0.09
19940224   ,-0.02
19940225   ,-0.54
19940228   ,-0.24
19940301   ,-0.33
19940302   ,-0.72
19940303    ,0.30
19940304    ,0.20
19940307    ,0.36
19940308    ,0.28
19940309    ,0.11
19940310    ,0.24
19940311   ,-0.34
19940314    ,0.01
19940315   ,-0.11
19940316    ,0.14
19940317    ,0.03
19940318   ,-0.30
19940321   ,-0.35
19940322    ,0.16
19940323    ,0.43
19940324   ,-0.25
19940325   ,-0.45
19940328   ,-0.50
19940329   ,-0.01
19940330    ,0.00
19940331   ,-0.27
19940401   ,-0.05
19940404    ,0.07
19940405   ,-0.47
19940406    ,0.45
19940407   ,-0.05
19940408    ,0.14
19940411   ,-0.01
19940412    ,0.33
19940413    ,0.35
19940414   ,-0.14
19940415   ,-0.19
19940418    ,0.20
19940419   ,-0.05
19940420    ,0.07
19940421   ,-0.29
19940422   ,-0.20
19940425    ,0.10
19940426   ,-0.10
19940427    ,0.23
19940428    ,0.16
19940429   ,-0.16
19940502    ,0.29
19940503    ,0.03
19940504    ,0.11
19940505   ,-0.59
19940506   ,-0.12
19940509   ,-0.46
19940510   ,-0.39
19940511    ,0.42
19940512   ,-0.05
19940513    ,0.57
19940516   ,-0.15
19940517    ,0.12
19940518    ,0.36
19940519   ,-0.09
19940520    ,0.01
19940523   ,-0.04
19940524   ,-0.18
19940525   ,-0.05
19940526   ,-0.14
19940527    ,0.42
19940530   ,-0.35
19940531   ,-0.10
19940601   ,-0.01
19940602   ,-0.48
19940603   ,-0.47
19940606    ,0.03
19940607    ,0.14
19940608   ,-0.35
19940609    ,0.07
19940610   ,-0.08
19940613   ,-0.04
19940614   ,-0.61
19940615    ,0.07
19940616   ,-0.35
19940617    ,0.25
19940620   ,-0.79
19940621    ,0.44
19940622    ,0.43
19940623    ,0.52
19940624    ,0.66
19940627   ,-0.48
19940628    ,0.21
19940629   ,-0.19
19940630    ,0.14
19940701   ,-0.45
19940704    ,0.04
19940705    ,0.15
19940706   ,-0.14
19940707   ,-0.06
19940708    ,0.09
19940711    ,0.13
19940712    ,0.16
19940713    ,0.02
19940714   ,-0.23
19940715   ,-0.14
19940718   ,-0.28
19940719    ,0.06
19940720    ,0.73
19940721   ,-0.14
19940722    ,0.11
19940725   ,-0.07
19940726    ,0.03
19940727    ,0.00
19940728   ,-0.20
19940729    ,0.33
19940801    ,0.31
19940802   ,-0.31
19940803   ,-0.01
19940804   ,-0.27
19940805    ,0.15
19940808    ,0.02
19940809   ,-0.16
19940810    ,0.12
19940811    ,0.25
19940812   ,-0.14
19940815    ,0.16
19940816   ,-0.25
19940817   ,-0.08
19940818    ,0.16
19940819    ,0.41
19940822    ,0.19
19940823   ,-0.09
19940824   ,-0.41
19940825    ,0.03
19940826   ,-0.30
19940829    ,0.11
19940830    ,0.19
19940831   ,-0.11
19940901    ,0.21
19940902    ,0.73
19940905   ,-0.73
19940906    ,0.14
19940907    ,0.23
19940908   ,-0.07
19940909    ,0.43
19940912   ,-0.38
19940913    ,0.20
19940914    ,0.17
19940915   ,-0.21
19940916    ,0.53
19940919    ,0.18
19940920   ,-0.34
19940921    ,0.13
19940922   ,-0.03
19940923   ,-0.10
19940926   ,-0.31
19940927    ,0.01
19940928    ,0.10
19940929    ,0.30
19940930   ,-0.16
19941003   ,-0.07
19941004   ,-0.06
19941005    ,0.08
19941006   ,-0.31
19941007   ,-0.31
19941010   ,-0.23
19941011    ,0.00
19941012   ,-0.07
19941013   ,-0.21
19941014    ,0.32
19941017    ,0.11
19941018   ,-0.04
19941019    ,0.18
19941020    ,0.06
19941021    ,0.05
19941024    ,0.30
19941025   ,-0.24
19941026    ,0.11
19941027   ,-0.28
19941028    ,0.16
19941031    ,0.10
19941101    ,0.08
19941102   ,-0.32
19941103   ,-0.04
19941104   ,-0.15
19941107    ,0.06
19941108   ,-0.01
19941109   ,-0.06
19941110    ,0.38
19941111   ,-0.14
19941114   ,-0.01
19941115   ,-0.26
19941116   ,-0.06
19941117    ,0.20
19941118   ,-0.02
19941121    ,0.00
19941122   ,-0.20
19941123    ,0.08
19941124   ,-0.18
19941125   ,-0.14
19941128   ,-0.24
19941129   ,-0.21
19941130    ,0.08
19941201   ,-0.15
19941202    ,0.14
19941205   ,-0.11
19941206    ,0.06
19941207   ,-0.36
19941208    ,0.11
19941209   ,-0.01
19941212   ,-0.10
19941213    ,0.42
19941214   ,-0.04
19941215    ,0.60
19941216    ,0.06
19941219    ,0.01
19941220   ,-0.44
19941221    ,0.21
19941222    ,0.03
19941223    ,0.00
19941226   ,-0.14
19941227    ,0.22
19941228   ,-0.13
19941229    ,0.12
19941230    ,0.36
19950102   ,-0.14
19950103   ,-0.09
19950104   ,-0.46
19950105    ,0.30
19950106   ,-0.42
19950109    ,0.31
19950110    ,0.01
19950111    ,0.02
19950112    ,0.08
19950113    ,0.10
19950116    ,0.26
19950117    ,0.14
19950118    ,0.22
19950119    ,0.48
19950120    ,0.23
19950123    ,0.71
19950124    ,0.15
19950125   ,-0.03
19950126   ,-0.20
19950127    ,0.32
19950130    ,0.22
19950131   ,-0.02
19950201   ,-0.03
19950202    ,0.08
19950203   ,-0.12
19950206   ,-0.36
19950207   ,-0.11
19950208    ,0.08
19950209    ,0.00
19950210    ,0.17
19950213    ,0.05
19950214    ,0.47
19950215   ,-0.08
19950216    ,0.13
19950217    ,0.30
19950220    ,0.37
19950221   ,-0.26
19950222    ,0.04
19950223   ,-0.61
19950224    ,0.28
19950227   ,-0.09
19950228    ,0.00
19950301    ,0.10
19950302   ,-0.16
19950303   ,-0.12
19950306    ,0.13
19950307    ,0.31
19950308    ,0.21
19950309    ,0.12
19950310    ,0.59
19950313   ,-0.26
19950314    ,0.02
19950315    ,0.04
19950316   ,-0.40
19950317    ,0.66
19950320   ,-0.34
19950321   ,-0.35
19950322    ,0.42
19950323    ,0.10
19950324   ,-0.11
19950327   ,-0.36
19950328   ,-0.09
19950329    ,0.16
19950330   ,-0.49
19950331    ,0.47
19950403    ,0.65
19950404   ,-0.17
19950405    ,0.22
19950406   ,-0.13
19950407   ,-0.40
19950410    ,0.03
19950411    ,0.42
19950412   ,-0.13
19950413   ,-0.37
19950414   ,-0.32
19950417    ,0.19
19950418    ,0.33
19950419    ,0.24
19950420    ,0.00
19950421   ,-0.18
19950424    ,0.06
19950425   ,-0.25
19950426   ,-0.19
19950427   ,-0.24
19950428   ,-0.67
19950501   ,-0.06
19950502    ,0.02
19950503   ,-0.08
19950504   ,-0.52
19950505   ,-0.39
19950508   ,-0.09
19950509   ,-0.69
19950510   ,-0.67
19950511    ,0.18
19950512   ,-0.19
19950515   ,-0.31
19950516   ,-0.19
19950517    ,0.24
19950518    ,0.44
19950519    ,0.22
19950522    ,0.86
19950523    ,0.82
19950524   ,-0.37
19950525    ,0.75
19950526    ,0.10
19950529    ,0.03
19950530   ,-0.67
19950531   ,-0.21
19950601    ,0.19
19950602   ,-0.26
19950605   ,-0.03
19950606    ,0.13
19950607    ,0.26
19950608    ,0.38
19950609    ,0.18
19950612    ,1.02
19950613    ,0.08
19950614    ,0.04
19950615    ,0.11
19950616    ,0.53
19950619    ,0.39
19950620    ,0.22
19950621   ,-0.20
19950622    ,0.05
19950623   ,-0.02
19950626    ,0.07
19950627    ,0.32
19950628    ,0.17
19950629    ,0.44
19950630    ,0.14
19950703    ,0.05
19950704   ,-0.28
19950705    ,0.27
19950706    ,0.19
19950707   ,-0.60
19950710    ,0.19
19950711   ,-0.16
19950712    ,0.10
19950713    ,0.36
19950714   ,-0.27
19950717   ,-0.19
19950718    ,0.25
19950719   ,-0.09
19950720   ,-0.02
19950721   ,-0.18
19950724    ,0.07
19950725   ,-0.22
19950726    ,0.09
19950727    ,0.16
19950728    ,0.31
19950731   ,-0.11
19950801   ,-0.30
19950802    ,0.02
19950803   ,-0.17
19950804   ,-0.19
19950807   ,-0.21
19950808    ,0.31
19950809    ,0.25
19950810   ,-0.02
19950811    ,0.17
19950814    ,0.02
19950815   ,-0.01
19950816   ,-0.10
19950817    ,0.31
19950818    ,0.42
19950821   ,-0.10
19950822    ,0.08
19950823    ,0.33
19950824    ,0.37
19950825    ,0.15
19950828    ,0.16
19950829   ,-0.17
19950830    ,0.09
19950831    ,0.22
19950901    ,0.18
19950904    ,0.58
19950905    ,0.24
19950906    ,0.22
19950907    ,0.36
19950908    ,0.23
19950911    ,0.65
19950912    ,0.17
19950913   ,-0.13
19950914    ,0.15
19950915    ,0.27
19950918   ,-0.08
19950919    ,0.42
19950920    ,0.45
19950921    ,0.21
19950922    ,0.16
19950925   ,-0.04
19950926    ,0.21
19950927    ,0.15
19950928    ,0.33
19950929   ,-0.02
19951002    ,0.29
19951003    ,0.35
19951004    ,0.28
19951005    ,0.11
19951006    ,0.45
19951009    ,0.19
19951010   ,-0.15
19951011    ,0.32
19951012    ,0.58
19951013    ,0.52
19951016    ,0.62
19951017    ,0.38
19951018    ,0.43
19951019    ,0.26
19951020    ,0.70
19951023    ,0.36
19951024    ,0.10
19951025   ,-0.18
19951026   ,-0.67
19951027   ,-0.30
19951030   ,-0.17
19951031   ,-0.20
19951101    ,0.12
19951102   ,-0.52
19951103    ,0.50
19951106    ,0.26
19951107    ,0.04
19951108   ,-0.29
19951109    ,0.34
19951110    ,0.06
19951113   ,-0.12
19951114    ,0.21
19951115   ,-0.33
19951116   ,-0.50
19951117    ,0.05
19951120    ,0.55
19951121    ,0.14
19951122    ,0.13
19951123    ,0.11
19951124   ,-0.23
19951127    ,0.09
19951128    ,0.07
19951129    ,0.29
19951130    ,0.59
19951201    ,0.32
19951204    ,0.58
19951205    ,0.24
19951206   ,-0.10
19951207   ,-0.48
19951208   ,-0.38
19951211   ,-0.06
