This file was created by CMPT_ME_BEME_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for the intersections of  2
ME portfolios and  3 D/P portfolios.   

The portfolios are constructed at the end of Jun.  ME is market cap at the end
of Jun.  D/P is the total dividends paid from July of t-1 to June of t per dollar of equity in June of t.
Firms with negative or zero
D/P are not included in any portfolio.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weight Average Returns -- Monthly
               Small                 Big         
          Low     2    High    Low     2    High 
195506   2.69   2.38   2.81   6.68   7.19   4.33
195507   0.20   0.86   1.10  -1.03   5.32   1.25
195508   0.06  -0.88   0.65   0.99  -1.67   2.22
195509   0.24  -1.00  -1.75  -0.73   0.05  -0.85
195510  -1.21  -1.34  -0.64  -3.32  -2.28  -0.58
195511   6.85   3.85   3.26   7.32   5.68   4.68
195512   1.94   2.55   0.83   2.85  -0.27   1.72
195601  -1.74  -2.57  -1.68  -4.19  -1.84  -2.75
195602   2.87   3.55   2.08   4.62   2.70   1.94
195603   5.44   3.35   2.42   8.12   5.65   3.35
195604   1.29   0.44   0.30   1.58  -0.97   1.91
195605  -3.23  -5.22  -4.40  -6.30  -4.74  -5.99
195606   1.75   1.35   1.23   4.82   2.39   2.23
195607   2.84   3.47   3.34   5.34   4.64   4.27
195608  -2.61  -1.47  -1.08  -5.00  -1.92  -1.25
195609  -3.86  -3.21  -3.48  -6.81  -3.44  -3.61
195610   1.58   0.56   0.26   0.96   0.28   0.19
195611   0.08   0.23   0.28  -0.17   0.02  -0.67
195612   3.35   3.14  -0.63   4.32   1.89   1.64
195701  -0.20  -0.07   1.77  -4.65  -2.69  -2.44
195702  -3.46  -3.24  -2.62  -1.94  -2.72  -3.39
195703   2.02   2.31   0.75   2.81   0.80   2.47
195704   2.18   2.60   1.68   5.55   3.53   1.77
195705   3.00   1.35   0.05   4.98   1.32  -0.46
195706  -0.27  -0.74  -1.08  -0.03  -1.68  -1.56
195707   0.39  -0.34   0.90   0.70   1.03  -0.01
195708  -6.06  -4.85  -4.81  -6.38  -3.39  -5.97
195709  -7.25  -5.64  -4.48  -6.71  -4.62  -6.05
195710  -9.56  -6.49  -6.13  -4.11  -3.39  -5.27
195711   1.78   2.11  -0.61   3.40  -0.06  -2.26
195712  -5.03  -4.97  -6.36  -4.14  -2.75  -6.80
195801   9.42   9.61  11.29   2.85   6.04  10.35
195802  -2.37  -0.15  -0.89  -2.88  -0.55  -2.58
195803   3.64   2.63   2.91   3.52   2.14   3.08
195804   3.33   1.70   2.70   2.56   3.66   4.12
195805   5.77   4.09   2.40   0.90   2.83   2.62
195806   3.20   2.55   1.87   3.18   1.90   2.06
195807   5.94   4.43   7.16   3.87   3.85   8.74
195808   2.92   3.01   1.74   1.69   0.78   2.02
195809   5.46   3.52   6.04   4.47   4.42   5.64
195810   3.65   2.51   2.23   2.48   2.49   2.44
195811   4.73   3.74   3.54   3.18   1.73   1.91
195812   1.79   3.29   3.22   5.25   5.53   3.43
195901   4.21   5.29   5.79  -0.81   1.72   4.15
195902   3.62   3.61   2.30   0.36   0.52   2.38
195903   1.64   2.08  -0.07   1.09  -0.57  -1.36
195904   2.63   2.87   2.98   4.03   3.56   3.54
195905  -0.56   0.07   1.14   2.16   1.07   1.81
195906   0.81   0.05   1.25  -0.28  -0.46   0.41
195907   2.89   3.84   1.50   3.20   3.83   1.60
195908  -3.30  -0.94  -1.13  -2.22  -0.75  -1.93
195909  -5.23  -3.97  -4.48  -4.63  -4.92  -4.18
195910   2.56   3.26   0.47   2.08   0.64   0.55
195911   2.45   0.46   1.30   3.89  -0.70  -0.93
195912   4.06   2.04  -0.01   2.79   2.90   1.13
196001  -6.25  -4.15  -1.09  -9.06  -5.77  -3.00
196002   0.98   0.22   0.81   1.49   0.85  -0.89
196003  -3.05  -2.83  -3.32  -0.70  -2.10  -1.76
196004  -2.06  -2.34  -1.03  -1.64  -1.78  -0.60
196005   4.86   1.38   0.95   5.42   0.68  -0.43
196006   0.82   2.72   1.04   1.70   2.38   3.01
196007  -3.42  -2.19  -0.33  -4.59  -0.77  -0.11
196008   3.59   3.09   1.49   1.97   3.56   1.69
196009  -8.43  -5.22  -5.77  -7.06  -5.55  -3.88
196010  -5.87  -2.26  -1.60  -1.17   0.35  -0.44
196011   7.16   4.08   2.28   6.14   3.45   0.63
196012   3.61   3.83   1.00   4.05   5.36   4.60
196101   5.79   7.73   9.57   3.89   7.12  10.14
196102   8.09   5.96   5.30   3.46   3.29   0.50
196103   7.16   4.76   3.29   2.81   2.62   1.71
196104   0.25   2.17  -0.08  -0.44   0.42   2.39
196105   4.11   5.15   4.27   3.15   1.62   0.70
