
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198701  13.51  14.07   9.81  12.76  16.26  12.06  11.66  14.40  14.84  14.13
198702   4.29   4.82   5.96   1.86   7.66   6.94   5.32   1.79   6.95   7.58
198703   9.98   7.51  11.47   5.31  13.77   9.02  10.11   6.83  10.65  11.63
198704  -3.31  -2.13  -3.50  -3.17  -3.08  -4.18  -2.45  -4.20  -0.09  -0.60
198705   0.13   0.52  -1.46  -0.67   0.64   0.86  -1.86   0.47  -2.80   2.40
198706   2.93   2.91   0.92   1.70   1.32   3.25   1.01   2.35   0.38  -2.78
198707   7.89   9.12   7.54   1.59  11.98   4.40  11.89   4.02  10.58  20.39
198708  -0.53  -2.54   1.90   1.01  -0.77   0.83   0.53  -0.62   3.95  -2.78
198709  -1.78  -0.67  -1.62  -4.37   0.29  -3.24   0.14  -4.28  -1.06   5.05
198710 -21.70 -20.15 -21.93 -16.34 -23.06 -16.55 -25.55 -16.59 -24.45 -28.18
198711  -2.87  -3.31   3.40  -0.51  -2.44  -3.89   1.96  -2.40   1.44   8.23
198712   7.27   8.72   3.32   6.53   7.79   7.41   5.19   7.40   5.73   2.33
198801  -0.65   0.07  -4.31   0.45  -8.61   2.20  -5.46   0.92  -6.92  -6.15
198802   5.89   6.58   6.26   4.65   6.20   7.82   6.70   4.84   7.31   8.17
198803   4.75   3.46   8.22   1.19   9.59   2.12   9.59   4.21   8.24  11.50
198804   1.04   0.98   1.63   0.17   3.34   1.89   1.99   0.74   1.47   5.46
198805  -3.50  -2.20  -5.14  -1.39  -5.05  -3.25  -4.21  -2.93  -5.10  -2.05
198806   7.41   7.36   8.32   7.95   8.03   4.30   6.86   7.14   5.84  11.47
198807  -1.48  -0.66  -3.09  -0.96  -1.27  -1.60  -1.50  -1.54  -0.92  -3.32
198808  -4.52  -4.73  -5.22  -2.91  -6.33  -4.93  -6.22  -3.16  -5.65  -7.32
198809   1.80   3.09   1.58   4.00  -2.38   2.52   1.03   3.07  -0.18  -1.21
198810   2.66   2.32   3.11   3.54   1.81   2.22   3.64   2.38   0.66   1.54
198811  -0.47   0.65  -0.70   0.76  -0.33   0.34  -0.34   1.26   0.24  -2.11
198812   2.86   2.72   1.80  -0.07   2.33   1.64   2.31   1.71   0.03   7.11
198901   8.01   5.74   7.56   9.32   6.06   9.77   7.99   7.28   6.20  15.12
198902  -2.81  -2.72  -2.74  -4.36  -0.03  -4.33  -0.83  -3.82  -0.69   0.86
198903   1.11   1.22  -0.87   1.09  -0.22  -0.77  -0.79   1.29  -1.52   0.01
198904   1.74   3.85  -1.87   3.34  -2.01   0.67  -1.21   3.15   0.67   1.78
198905   0.55   0.32   0.95  -0.17   0.52  -0.59   1.66   0.68   0.44   0.29
198906   2.20   1.26   5.52   0.31   4.40   1.90   5.60   1.48   5.50  -3.09
198907   7.00   9.01   6.70   8.60   5.95   7.38   7.10   6.51   9.01   6.60
198908   1.19   0.26   0.68   3.16   1.25   3.08  -1.85  -0.06   0.59  12.62
198909  -1.67  -2.93  -0.16  -3.51   2.58  -3.69   1.37  -1.93   0.60  -5.54
198910  -0.31  -0.64   0.13  -0.82   1.40  -2.53   0.05   0.34   0.72  -7.32
198911   0.76   1.88   1.91   0.78   3.20   1.21   2.79   0.63   1.38  -1.88
198912   1.61   0.62   0.17   1.94  -0.29   2.72  -0.27   1.63   0.76   1.71
199001  -9.19  -8.56  -7.64 -10.36  -5.89  -8.28  -9.42  -9.56  -5.58 -16.05
199002  -0.30  -2.23   0.07  -0.54  -1.51  -1.28  -0.19  -1.80  -2.39   2.00
199003   0.70   2.19   0.12   2.45  -1.09   1.48  -1.02   1.86   0.12  -3.26
199004  -7.62  -9.43  -7.11  -8.02  -9.22  -8.23  -8.22  -8.75  -7.81 -12.51
199005   6.58   5.94   8.49   7.62   5.21   7.78   6.12   7.21  10.14   1.10
199006  -0.60  -0.95   0.04  -0.66  -2.22   0.51  -1.54   0.33  -2.47  -1.04
199007   1.74  -0.13   0.71   1.93   4.90   0.06   3.35   0.57   2.69   4.61
199008  -5.62  -8.01  -5.07  -9.35  -2.45  -7.31  -3.25  -6.20  -6.70  -8.84
199009  -5.01  -6.89  -4.45  -7.66  -1.35  -5.85  -2.21  -7.88  -3.76  -2.56
199010  -3.46  -0.50  -6.08  -3.71  -9.00  -2.12  -6.80   0.05  -4.54  -8.41
199011   2.43   2.69   2.28   3.31  -0.79   1.85   2.42   3.45   2.07   0.26
199012   3.70   3.47   5.64   4.01   4.11   3.02   4.19   3.98   6.13  -1.58
199101  -0.05   3.83  -3.15   6.33  -5.26   3.26  -4.21   4.06  -5.72   4.81
199102   6.64  11.36   5.54   6.32   6.60   7.54   5.59   6.00   5.37  13.70
199103  -0.09  -1.65  -1.32   2.63  -4.33  -0.19  -2.69   0.06  -2.27   5.95
199104   0.40   1.75   1.84  -0.05   0.12  -1.00   0.26  -0.42   0.90  -0.15
199105   3.41   6.11   2.09   4.27   0.70   2.95   1.87   4.74   1.58   5.53
199106  -2.26  -3.54  -1.41  -3.65  -1.30  -1.76  -1.94  -4.22   0.65  -4.41
199107   1.17   0.40   1.10   0.64   0.30   1.63   0.14   1.45   3.67  -1.20
199108   0.33  -0.33  -0.85   2.43  -2.03  -1.19  -0.92   1.69  -3.81  -0.31
199109  -2.78  -5.23  -2.63  -3.08  -1.63  -4.65  -2.98  -3.00  -3.29  -1.85
199110   4.34   5.93   4.39   4.42   3.13   5.63   3.53   4.66   5.33  15.31
199111  -3.10  -3.06  -3.58  -2.80  -5.17  -2.66  -5.51  -1.64  -1.40  -6.17
199112  -0.17   0.44  -0.88   2.19  -2.97   0.16  -2.01   1.44  -0.96   2.79
199201   0.78   0.49   2.54  -2.01   0.16   0.18   2.25  -0.85   2.73   0.62
199202  -1.16  -1.12  -1.43  -1.61  -1.66  -2.04  -1.21  -1.93  -0.74  -0.43
199203  -5.38  -6.91  -4.33  -6.73  -5.29  -4.59  -4.45  -6.55  -4.91  -6.28
199204  -1.39   1.93  -2.35  -2.57   1.66  -0.52  -2.41  -1.23  -2.29   0.12
199205  -0.08  -0.54  -0.84  -1.64   3.97   1.05  -1.18  -0.36  -0.24  -1.07
199206  -0.22  -2.48  -0.82   3.20   0.17   0.32  -1.79   0.93  -0.77  -3.57
199207   2.66  -1.40   2.72   5.69   2.29   2.06   2.37   4.82   1.44   3.77
199208  -2.24  -2.04  -2.78  -1.70  -0.54  -0.87  -3.16  -0.92  -3.03  -2.39
199209  -6.79  -6.69  -5.05 -10.21  -5.42  -7.26  -3.46  -9.99  -5.38  -5.10
199210   1.75  -2.59   1.94   5.58  -2.03   2.46   1.37   3.60   2.59  -2.68
199211  -5.31  -8.95  -2.08  -7.65  -6.30  -5.86  -1.53  -8.07  -3.26  -0.79
199212   2.53   4.15   2.75   1.24   2.52   2.81   2.23   1.22   3.34   4.17
199301  -1.86  -4.07  -0.37  -1.21  -4.55   2.19  -0.51  -2.79  -1.17   2.27
199302   5.50   8.64   3.88   5.24  12.10   6.17   4.70   6.37   5.35   8.04
199303   3.21   3.99   1.24   1.04   4.97   1.62   2.88   2.87  -3.67   7.63
199304   3.83   4.61   4.15   3.52   8.68   0.77   5.02   2.53   5.08   5.60
199305   1.24   2.71   0.63   0.82   3.62   0.96   1.58   0.67   4.82   2.39
199306  -0.86   1.13  -0.85  -0.90   3.47   0.40  -3.63   0.22  -3.45   4.60
199307  -1.17  -0.45  -1.02   2.69  -1.17  -2.76  -1.42   0.52  -1.77  -5.48
199308   1.22   2.20  -0.13  -2.01  -1.10   2.47   2.99  -0.76   2.53   9.12
199309  -4.96  -5.29  -5.67  -2.21  -5.82  -1.98  -6.32  -3.67  -8.17  -3.51
199310   9.12   9.91  12.16   5.90   7.88   4.86  12.24   6.41  12.15  12.77
199311  -2.70   0.13  -3.98  -1.25  -6.30  -3.45  -4.58  -1.85  -0.77  -6.97
199312   4.12   4.03   5.48   4.81   5.67   2.80   2.93   4.18   6.84   4.93
199401   5.53   8.77   6.11   4.75   4.92   3.99   7.00   5.81   4.11   8.87
199402  -4.61  -4.16  -5.32  -4.58  -5.37  -2.14  -6.26  -3.82  -5.25  -6.01
199403  -4.37  -6.03  -1.07  -9.57  -2.86  -4.40  -1.90  -6.91  -1.70  -4.16
199404  -0.64  -1.37  -1.89  -1.43  -1.57   1.25  -3.32  -1.23  -4.43   0.67
199405   1.19   0.53   1.21   0.20   1.21  -0.45   2.22   0.18   3.65  -1.01
199406  -6.97  -4.84  -6.95  -6.97  -8.15  -7.39  -6.26  -7.32  -7.70  -9.64
199407   4.00   3.23   2.92   1.80   4.62   3.92   4.20   2.41   4.29   8.85
199408   6.32  10.10   3.37   8.67   4.54   6.50   4.59   7.12   5.61   3.20
199409   1.92   1.27   3.24   0.23   3.57   2.05   2.51   0.17   5.88   2.78
199410  -1.25  -0.75  -3.45   0.29  -2.73   0.96  -3.85   0.85  -3.28  -3.65
