DATE,GS20
1973-04-01,6.86
1973-05-01,6.99
1973-06-01,7.06
1973-07-01,7.29
1973-08-01,7.61
1973-09-01,7.25
1973-10-01,7.18
1973-11-01,7.3
1973-12-01,7.29
1974-01-01,7.48
1974-02-01,7.46
1974-03-01,7.73
1974-04-01,8.01
1974-05-01,8.14
1974-06-01,8.1
1974-07-01,8.26
1974-08-01,8.6
1974-09-01,8.60
1974-10-01,8.37
1974-11-01,7.99
1974-12-01,7.91
1975-01-01,7.88
1975-02-01,7.71
1975-03-01,7.99
1975-04-01,8.36
1975-05-01,8.22
1975-06-01,8.04
1975-07-01,8.17
1975-08-01,8.5
1975-09-01,8.57
1975-10-01,8.35
1975-11-01,8.28
1975-12-01,8.23
1976-01-01,8.01
1976-02-01,8.03
1976-03-01,7.97
1976-04-01,7.86
1976-05-01,8.13
1976-06-01,8.03
1976-07-01,8
1976-08-01,7.91
1976-09-01,7.78
1976-10-01,7.7
1976-11-01,7.64
1976-12-01,7.3
1977-01-01,7.48
1977-02-01,7.64
1977-03-01,7.73
1977-04-01,7.67
1977-05-01,7.74
1977-06-01,7.64
1977-07-01,7.6
1977-08-01,7.64
1977-09-01,7.57
1977-10-01,7.71
1977-11-01,7.76
1977-12-01,7.87
1978-01-01,8.14
1978-02-01,8.22
1978-03-01,8.21
1978-04-01,8.32
1978-05-01,8.44
1978-06-01,8.53
1978-07-01,8.69
1978-08-01,8.45
1978-09-01,8.47
1978-10-01,8.69
1978-11-01,8.75
1978-12-01,8.9
1979-01-01,8.98
1979-02-01,9.03
1979-03-01,9.08
1979-04-01,9.12
1979-05-01,9.21
1979-06-01,8.91
1979-07-01,8.92
1979-08-01,8.97
1979-09-01,9.21
1979-10-01,9.99
1979-11-01,10.37
1979-12-01,10.18
1980-01-01,10.65
1980-02-01,12.21
1980-03-01,12.49
1980-04-01,11.41
1980-05-01,10.44
1980-06-01,9.89
1980-07-01,10.32
1980-08-01,11.07
1980-09-01,11.47
1980-10-01,11.75
1980-11-01,12.44
1980-12-01,12.49
1981-01-01,12.29
1981-02-01,12.98
1981-03-01,12.94
1981-04-01,13.46
1981-05-01,13.82
1981-06-01,13.2
1981-07-01,13.92
1981-08-01,14.52
1981-09-01,15.07
1981-10-01,15.13
1981-11-01,13.56
1981-12-01,13.73
1982-01-01,14.57
1982-02-01,14.48
1982-03-01,13.75
1982-04-01,13.57
1982-05-01,13.46
1982-06-01,14.18
1982-07-01,13.76
1982-08-01,12.91
1982-09-01,12.16
1982-10-01,10.97
1982-11-01,10.57
1982-12-01,10.62
1983-01-01,10.78
1983-02-01,11.03
1983-03-01,10.8
1983-04-01,10.63
1983-05-01,10.67
1983-06-01,11.12
1983-07-01,11.59
1983-08-01,11.96
1983-09-01,11.82
1983-10-01,11.77
1983-11-01,11.92
1983-12-01,12.02
1984-01-01,11.82
1984-02-01,12
1984-03-01,12.45
1984-04-01,12.65
1984-05-01,13.43
1984-06-01,13.54
1984-07-01,13.36
1984-08-01,12.71
1984-09-01,12.42
1984-10-01,12.04
1984-11-01,11.66
1984-12-01,11.64
1985-01-01,11.58
1985-02-01,11.7
1985-03-01,12.06
1985-04-01,11.69
1985-05-01,11.19
1985-06-01,10.57
1985-07-01,10.68
1985-08-01,10.73
1985-09-01,10.8
1985-10-01,10.67
1985-11-01,10.24
1985-12-01,9.75
1986-01-01,9.59
1986-02-01,9.08
1986-03-01,8.09
1986-04-01,7.5
1986-05-01,7.81
1986-06-01,7.69
1986-07-01,7.29
1986-08-01,7.28
1986-09-01,7.56
1986-10-01,7.61
1986-11-01,7.42
1986-12-01,7.28
1987-01-01,7.24
1987-02-01,7.40
1987-03-01,7.40
1987-04-01,8.14
1987-05-01,8.70
1987-06-01,8.49
1987-07-01,8.54
1987-08-01,8.87
1987-09-01,9.51
1987-10-01,9.57
1987-11-01,8.91
1987-12-01,9.06
1988-01-01,8.76
1988-02-01,8.32
1988-03-01,8.50
1988-04-01,8.84
1988-05-01,9.16
1988-06-01,8.96
1988-07-01,9.10
1988-08-01,9.29
1988-09-01,9.02
1988-10-01,8.85
1988-11-01,8.99
1988-12-01,9.06
1989-01-01,9.02
1989-02-01,9.09
1989-03-01,9.26
1989-04-01,9.10
1989-05-01,8.85
1989-06-01,8.27
1989-07-01,8.05
1989-08-01,8.12
1989-09-01,8.18
1989-10-01,8.00
1989-11-01,7.89
1989-12-01,7.87
1990-01-01,8.24
1990-02-01,8.49
1990-03-01,8.58
1990-04-01,8.77
1990-05-01,8.75
1990-06-01,8.47
1990-07-01,8.49
1990-08-01,8.81
1990-09-01,8.96
1990-10-01,8.79
1990-11-01,8.47
1990-12-01,8.16
1991-01-01,8.18
1991-02-01,7.95
1991-03-01,8.20
1991-04-01,8.13
1991-05-01,8.17
1991-06-01,8.38
1991-07-01,8.37
1991-08-01,8.02
1991-09-01,7.80
1991-10-01,7.73
1991-11-01,7.67
1991-12-01,7.40
1992-01-01,7.31
1992-02-01,7.60
1992-03-01,7.76
1992-04-01,7.72
1992-05-01,7.65
1992-06-01,7.55
1992-07-01,7.22
1992-08-01,6.99
1992-09-01,6.88
1992-10-01,7.06
1992-11-01,7.24
1992-12-01,7.11
1993-01-01,6.97
1993-02-01,6.68
1993-03-01,6.40
1993-04-01,6.41
1993-05-01,6.48
1993-06-01,6.39
1993-07-01,6.22
1993-08-01,6.00
1993-09-01,5.68
1993-10-01,6.07
1993-11-01,6.38
1993-12-01,6.4
1994-01-01,6.39
1994-02-01,6.57
1994-03-01,7
1994-04-01,7.4
1994-05-01,7.54
1994-06-01,7.51
1994-07-01,7.67
1994-08-01,7.62
1994-09-01,7.87
1994-10-01,8.08
1994-11-01,8.2
1994-12-01,7.99
1995-01-01,7.97
1995-02-01,7.73
1995-03-01,7.57
1995-04-01,7.45
1995-05-01,7.01
1995-06-01,6.59
1995-07-01,6.74
1995-08-01,6.92
1995-09-01,6.65
1995-10-01,6.45
1995-11-01,6.33
1995-12-01,6.12
1996-01-01,6.11
1996-02-01,6.3
1996-03-01,6.74
1996-04-01,6.98
1996-05-01,7.11
1996-06-01,7.22
1996-07-01,7.14
1996-08-01,6.97
1996-09-01,7.17
1996-10-01,6.9
1996-11-01,6.58
1996-12-01,6.65
1997-01-01,6.91
1997-02-01,6.77
1997-03-01,7.05
1997-04-01,7.2
1997-05-01,7.02
1997-06-01,6.84
1997-07-01,6.56
1997-08-01,6.65
1997-09-01,6.56
1997-10-01,6.38
1997-11-01,6.2
1997-12-01,6.07
1998-01-01,5.88
1998-02-01,5.96
1998-03-01,6.01
1998-04-01,6
1998-05-01,6.01
1998-06-01,5.8
1998-07-01,5.78
1998-08-01,5.66
1998-09-01,5.38
1998-10-01,5.3
1998-11-01,5.48
1998-12-01,5.36
1999-01-01,5.45
1999-02-01,5.66
1999-03-01,5.87
1999-04-01,5.82
1999-05-01,6.08
1999-06-01,6.36
1999-07-01,6.28
1999-08-01,6.43
1999-09-01,6.50
1999-10-01,6.66
1999-11-01,6.48
1999-12-01,6.69
2000-01-01,6.86
2000-02-01,6.54
2000-03-01,6.38
2000-04-01,6.18
2000-05-01,6.55
2000-06-01,6.28
2000-07-01,6.20
2000-08-01,6.02
2000-09-01,6.09
2000-10-01,6.04
2000-11-01,5.98
2000-12-01,5.64
2001-01-01,5.65
2001-02-01,5.62
2001-03-01,5.49
2001-04-01,5.78
2001-05-01,5.92
2001-06-01,5.82
2001-07-01,5.75
2001-08-01,5.58
2001-09-01,5.53
2001-10-01,5.34
2001-11-01,5.33
2001-12-01,5.76
2002-01-01,5.69
2002-02-01,5.61
2002-03-01,5.93
2002-04-01,5.85
2002-05-01,5.81
2002-06-01,5.65
2002-07-01,5.51
2002-08-01,5.19
2002-09-01,4.87
2002-10-01,5.00
2002-11-01,5.04
2002-12-01,5.01
2003-01-01,5.02
2003-02-01,4.87
2003-03-01,4.82
2003-04-01,4.91
2003-05-01,4.52
2003-06-01,4.34
2003-07-01,4.92
2003-08-01,5.39
2003-09-01,5.21
2003-10-01,5.21
2003-11-01,5.17
2003-12-01,5.11
2004-01-01,5.01
2004-02-01,4.94
2004-03-01,4.72
2004-04-01,5.16
2004-05-01,5.46
2004-06-01,5.45
2004-07-01,5.24
2004-08-01,5.07
2004-09-01,4.89
2004-10-01,4.85
2004-11-01,4.89
2004-12-01,4.88
2005-01-01,4.77
2005-02-01,4.61
2005-03-01,4.89
2005-04-01,4.75
2005-05-01,4.56
2005-06-01,4.35
2005-07-01,4.48
2005-08-01,4.53
2005-09-01,4.51
2005-10-01,4.74
2005-11-01,4.83
2005-12-01,4.73
2006-01-01,4.65
2006-02-01,4.73
2006-03-01,4.91
2006-04-01,5.22
2006-05-01,5.35
2006-06-01,5.29
2006-07-01,5.25
2006-08-01,5.08
2006-09-01,4.93
2006-10-01,4.94
2006-11-01,4.78
2006-12-01,4.78
2007-01-01,4.95
2007-02-01,4.93
2007-03-01,4.81
2007-04-01,4.95
2007-05-01,4.98
2007-06-01,5.29
2007-07-01,5.19
2007-08-01,5.00
2007-09-01,4.84
2007-10-01,4.83
2007-11-01,4.56
2007-12-01,4.57
2008-01-01,4.35
2008-02-01,4.49
2008-03-01,4.36
2008-04-01,4.44
2008-05-01,4.60
2008-06-01,4.74
2008-07-01,4.62
2008-08-01,4.53
2008-09-01,4.32
2008-10-01,4.45
2008-11-01,4.27
2008-12-01,3.18
2009-01-01,3.46
2009-02-01,3.83
2009-03-01,3.78
2009-04-01,3.84
2009-05-01,4.22
2009-06-01,4.51
2009-07-01,4.38
2009-08-01,4.33
2009-09-01,4.14
2009-10-01,4.16
2009-11-01,4.24
2009-12-01,4.40
2010-01-01,4.50
2010-02-01,4.48
2010-03-01,4.49
2010-04-01,4.53
2010-05-01,4.11
2010-06-01,3.95
2010-07-01,3.80
2010-08-01,3.52
2010-09-01,3.47
2010-10-01,3.52
2010-11-01,3.82
2010-12-01,4.17
2011-01-01,4.28
2011-02-01,4.42
2011-03-01,4.27
2011-04-01,4.28
2011-05-01,4.01
2011-06-01,3.91
2011-07-01,3.95
2011-08-01,3.24
2011-09-01,2.83
2011-10-01,2.87
2011-11-01,2.72
2011-12-01,2.67
2012-01-01,2.70
2012-02-01,2.75
2012-03-01,2.94
2012-04-01,2.82
2012-05-01,2.53
2012-06-01,2.31
2012-07-01,2.22
2012-08-01,2.40
2012-09-01,2.49
2012-10-01,2.51
2012-11-01,2.39
2012-12-01,2.47
2013-01-01,2.68
2013-02-01,2.78
2013-03-01,2.78
2013-04-01,2.55
2013-05-01,2.73
2013-06-01,3.07
2013-07-01,3.31
2013-08-01,3.49
2013-09-01,3.53
2013-10-01,3.38
2013-11-01,3.50
2013-12-01,3.63
2014-01-01,3.52
2014-02-01,3.38
2014-03-01,3.35
2014-04-01,3.27
2014-05-01,3.12
2014-06-01,3.15
2014-07-01,3.07
2014-08-01,2.94
2014-09-01,3.01
2014-10-01,2.77
2014-11-01,2.76
2014-12-01,2.55
2015-01-01,2.20
2015-02-01,2.34
2015-03-01,2.41
2015-04-01,2.33
2015-05-01,2.69
2015-06-01,2.85
2015-07-01,2.77
2015-08-01,2.55
2015-09-01,2.62
2015-10-01,2.50
2015-11-01,2.69
2015-12-01,2.61
2016-01-01,2.49
2016-02-01,2.20
2016-03-01,2.28
2016-04-01,2.21
2016-05-01,2.22
2016-06-01,2.02
2016-07-01,1.82
2016-08-01,1.89
2016-09-01,2.02
2016-10-01,2.17
2016-11-01,2.54
2016-12-01,2.84
2017-01-01,2.75
2017-02-01,2.76
2017-03-01,2.83
2017-04-01,2.67
2017-05-01,2.70
2017-06-01,2.54
2017-07-01,2.65
2017-08-01,2.55
2017-09-01,2.53
2017-10-01,2.65
2017-11-01,2.60
2017-12-01,2.60
2018-01-01,2.73
2018-02-01,3.02
2018-03-01,2.97
2018-04-01,2.96
2018-05-01,3.05
2018-06-01,2.98
2018-07-01,2.94
2018-08-01,2.97
2018-09-01,3.08
2018-10-01,3.27
2018-11-01,3.27
2018-12-01,2.98
2019-01-01,2.89
2019-02-01,2.87
2019-03-01,2.80
2019-04-01,2.76
2019-05-01,2.63
2019-06-01,2.36
2019-07-01,2.36
2019-08-01,1.91
2019-09-01,1.97
2019-10-01,2.00
2019-11-01,2.13
2019-12-01,2.16
2020-01-01,2.07
2020-02-01,1.81
2020-03-01,1.26
2020-04-01,1.06
2020-05-01,1.12
2020-06-01,1.27
2020-07-01,1.09
