This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 OP portfolios in North_America.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
200102 -12.46  -2.70  -0.92 -15.56 -10.46  -7.27
200103  -7.37  -2.90  -3.50 -11.90  -4.80  -7.75
200104   9.64   6.50   6.57  12.82   6.78   8.16
200105   5.28   3.97   3.73  -0.16   1.47   0.46
200106   1.92   2.75   2.51  -3.10  -2.15  -2.00
200107  -9.24  -1.68  -1.62  -6.38  -1.09   0.35
200108  -6.03  -1.53  -3.65  -9.79  -5.98  -4.91
200109 -15.94 -12.01 -13.85 -12.48  -8.49  -7.02
200110   8.95   4.45   7.53   2.78   2.50   1.74
200111   9.12   7.12   6.87  10.10   8.01   6.98
200112   6.63   6.70   6.57  -0.04   2.05   1.13
200201  -2.74   0.06   1.84  -5.28  -1.53  -0.07
200202  -6.97   0.55   0.79  -6.71  -2.09  -0.27
200203   8.09   7.54   8.75   4.81   5.08   2.83
200204  -2.61   3.26   2.62  -8.06  -4.31  -6.17
200205  -4.25  -1.85  -2.59  -1.46  -0.61  -0.66
200206  -6.56  -3.67  -4.28 -12.86  -4.93  -7.73
200207 -14.91 -13.08 -12.75 -10.03  -8.66  -5.55
200208  -0.82   0.83   2.36   0.33   2.47  -0.35
200209  -9.28  -5.62  -5.42 -11.05 -10.17 -10.09
200210   5.03   2.99   1.55  10.02   7.96   7.37
200211  12.12   5.71   3.79  10.52   4.88   4.15
200212  -7.23  -2.34  -2.09  -8.52  -5.78  -3.63
200301  -1.09  -2.10  -2.00  -0.70  -3.61  -2.49
200302  -2.75  -2.46  -1.97  -2.91  -0.26  -1.85
200303   0.67   0.44   1.51   0.06   0.40   1.72
200304  10.78   8.15   8.06  11.16   8.48   6.34
200305  13.55   7.77   9.21   8.89   5.26   4.90
200306   2.49   2.29   3.68   1.06   1.58   1.44
200307   7.26   5.12   3.58   4.27   2.41  -0.16
200308   6.26   4.42   3.64   3.20   2.73   1.13
200309  -0.21  -1.49  -0.31  -2.87  -0.38  -0.64
200310   9.48   8.23   9.36   7.75   5.64   4.65
200311   3.86   3.53   3.82   1.78   1.14   1.11
200312   2.48   2.98   2.94   5.73   4.75   4.48
200401   6.08   1.95   2.72   4.16   1.18   1.18
200402   0.18   2.40   2.62   0.94   1.85   1.85
200403   0.17   1.32   2.58  -1.63  -1.25  -1.25
200404  -5.88  -3.15  -2.02  -3.93  -2.55   0.28
200405   1.62   0.99   0.87   2.40   2.11  -0.16
200406   2.93   4.53   5.21   2.36   2.23   1.27
200407  -8.45  -4.06  -2.86  -4.96  -2.37  -3.41
200408  -0.95  -0.20  -1.76  -1.13   0.51   0.92
200409   5.56   5.44   6.41   2.90   1.81   1.05
200410   2.00   2.34   2.94   1.43   2.48   1.01
200411   8.13   9.03  10.10   5.89   3.31   4.46
200412   3.79   2.57   2.91   3.89   2.79   3.98
200501  -4.78  -2.34  -0.94  -3.93  -2.35  -1.41
200502   1.94   2.75   4.08   0.67   3.29   2.41
200503  -3.73  -1.20  -2.05  -2.15  -0.97  -1.22
200504  -7.09  -5.34  -5.91  -2.80  -1.87  -2.38
200505   5.58   6.17   6.01   4.95   3.05   3.09
200506   4.03   3.83   5.49   0.05   0.99   1.06
200507   6.63   6.41   7.01   3.82   4.02   4.08
200508  -0.27  -1.25  -0.17   0.50  -1.38  -0.05
200509   1.51   0.94   2.24   0.48   1.22   1.56
200510  -3.91  -3.32  -4.66  -0.49  -1.67  -3.43
200511   5.02   4.78   5.99   4.97   4.39   3.05
200512   0.81  -0.19   1.31   0.50   0.46   0.31
200601   9.83   7.84   9.55   4.00   2.18   3.82
200602   0.07  -0.51  -2.73  -0.35   0.98  -1.27
200603   4.16   4.83   4.13   1.10   1.82   1.27
200604   0.99   2.00   3.15   1.16   1.42   1.85
200605  -5.78  -3.98  -4.56  -2.91  -2.60  -2.67
200606  -1.26  -0.26  -0.03  -0.68  -0.69   1.00
200607  -3.32  -2.18  -2.58  -1.46   0.37   0.42
