This file was created using the 202005 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  INV is percentage difference in Total Assets at the last fiscal year end of the prior calendar
year from the previous fiscal year as of 6 months before formation.  Firms with negative
INV are included in any portfolio.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



    Average Value Weighted Returns -- Daily
                 Small                 Big
            Low     2    High    Low     2    High
19910222  -0.19  -0.38  -0.26   0.91   0.61   0.61
19910225   0.34   0.70  -0.24   1.18   1.66   1.09
19910226   0.36   0.14  -0.07  -0.34  -0.08   0.34
19910227   0.65  -0.28   0.18  -0.41  -0.70  -0.78
19910228   1.21   0.19   1.27   1.82   1.20   1.31
19910301   1.03   0.77   0.46  -0.16  -0.60   0.27
19910304  -0.80  -0.51  -1.04  -0.84  -0.50  -0.50
19910305  -0.39  -0.58  -0.77  -0.89  -0.31  -0.39
19910306   1.16   0.66   0.21   2.39   1.87   1.85
19910307   0.35  -0.48  -0.10   0.38  -0.17  -0.03
19910308   0.07  -0.06   0.45  -0.18   0.19   0.20
19910311   0.78   0.43  -0.25   0.12   0.33   0.37
19910312   0.14  -0.02   0.32   0.01   0.20  -0.86
19910313   0.25  -0.15   0.42   0.20  -0.39   0.50
19910314   0.45  -0.40  -0.20   0.24  -0.08   0.17
19910315   0.59   0.76   0.12   0.71   1.64   1.80
19910318  -0.48  -1.13  -0.15   0.21   0.41   0.38
19910319   0.06   0.25  -0.23  -0.12   0.34   0.06
19910320  -1.15  -0.44  -0.83  -1.74  -2.12  -1.29
19910321   1.00   0.42   0.46   0.07  -0.24  -0.47
19910322   0.09   0.35  -0.15   0.34   1.13   1.45
19910325  -0.32  -0.30  -0.20   0.10  -0.30   0.26
19910326   0.33   0.30   0.50   0.38   0.10  -0.49
19910327   0.60  -0.10   0.00  -0.10   0.10  -0.41
19910328   0.46   0.55   0.33   0.57   0.99   1.04
19910329   0.34   0.50  -0.07   0.08   0.08   0.03
19910401  -0.24  -0.29  -0.16  -0.11  -0.11  -0.23
19910402  -0.08  -0.21  -0.16  -0.32   0.21   0.13
19910403   1.13   0.98   0.77   1.69   1.98   1.26
19910404   0.36   0.58   1.09   1.06  -0.22   0.96
19910405   0.34   0.54   0.71   0.08   0.11  -0.13
19910408  -0.40   0.06  -0.18  -0.42  -0.66  -0.22
19910409   0.01   0.47   0.42  -0.60  -0.48  -0.96
19910410  -0.25  -0.09   0.46  -0.61  -0.12   0.47
19910411  -0.34  -0.43  -0.23   0.04  -0.30  -0.58
19910412   0.44   0.68   0.32  -0.02   0.72   1.07
19910415  -0.12  -0.49  -0.53   0.04  -0.17  -0.41
19910416  -0.51   0.00  -0.11   0.48   0.11   0.39
19910417   1.07   0.26   0.64   1.14   0.47   0.18
19910418   0.64   0.43   0.40   0.92   0.89   1.04
19910419  -0.04  -0.11  -0.22  -0.14  -0.14  -0.56
19910422  -0.02  -0.83  -0.91  -1.15  -1.51  -1.63
19910423   0.49   0.86   1.17   0.30   0.40  -0.24
19910424   0.49  -0.03   0.74   0.69   0.66   0.49
19910425   0.15   0.00   0.01   0.17  -0.13   0.33
19910426   0.59   0.12   0.57   1.34   1.44   0.62
19910429  -0.20  -0.28   0.43   0.94   0.80   0.26
19910430   0.45   0.71  -0.28  -0.33  -1.02  -1.13
19910501  -0.29   0.22  -0.28  -0.13   0.10   0.22
19910502   0.18   0.37  -0.19   0.05   0.85   0.86
19910503  -0.44   0.40   0.11  -0.06   0.26  -0.32
19910506   0.71   0.21   0.30   5.94   0.02  -0.39
19910507   0.10   0.36   0.88   0.77   0.91   0.98
19910508   0.67   0.52  -0.09   0.82   0.54   0.44
19910509   0.19   0.02   0.19  -0.02  -0.04   0.10
19910510   0.50   0.14   0.13   0.42   0.05   0.12
19910513  -0.99  -0.46  -1.06  -1.43  -0.97  -0.47
19910514   0.27  -0.14  -0.07  -5.77   0.25   0.08
19910515   0.23   0.23   0.00   0.22   0.55  -0.30
19910516   0.17   0.30   0.60   1.25   1.64   0.90
19910517   0.07  -0.28  -0.14   0.14  -0.12   0.45
19910520   0.22   0.50  -0.21   0.79   0.25   0.72
19910521  -0.56  -0.51  -0.71  -0.67  -1.13  -1.36
19910522  -1.30  -1.20  -1.07  -0.84  -0.70  -0.15
19910523  -0.58  -0.40  -1.06  -1.25  -1.27  -0.81
19910524   0.84   0.17   0.69  -0.19  -0.35  -0.82
19910527  -0.43  -0.33  -0.47  -0.96  -1.45  -1.60
19910528   0.23   0.00   0.17  -0.41  -0.09  -0.05
19910529   0.00  -0.11  -0.01  -0.40   0.01   0.16
19910530  -0.19  -0.62  -0.50  -0.32   0.46   0.86
19910531   1.56   0.30  -0.11   0.59   0.69   1.03
19910603  -0.11  -0.04   0.03   0.47   0.53   0.00
19910604   0.07   0.25   0.43  -0.28  -0.50  -0.13
19910605  -2.18  -1.69  -1.42  -1.41  -0.87  -0.40
19910606  -0.22  -0.02   0.04   0.37  -0.34  -0.28
19910607   0.61  -0.10  -0.09  -0.56  -1.38  -0.70
19910610   0.30  -0.02   0.08  -0.33  -0.11  -0.29
19910611   0.93   0.53   1.03   0.72   0.53   0.48
19910612  -0.78  -0.46  -0.46   0.25   0.42   0.22
19910613  -0.04   0.00  -0.24  -0.53  -0.40  -0.06
19910614   1.11   0.60   0.26   0.83   0.59   0.51
19910617   1.92   0.87   1.22   1.69   1.38   0.74
19910618  -0.74   0.21   0.08   0.02  -0.02  -0.32
19910619  -0.01  -0.12  -0.35  -0.75   0.23  -0.66
19910620  -0.90  -0.46  -0.21  -0.33  -1.07  -0.79
19910621   0.25   0.34   0.14   0.39   0.24  -0.10
19910624  -0.15   0.06  -0.59  -0.26  -0.21  -0.31
19910625  -0.17  -0.34  -0.60  -0.10   0.26   0.04
19910626   0.56   0.29   0.40   0.50   0.74   0.41
19910627   0.19   0.33  -0.16  -0.21  -0.49  -0.13
19910628  -0.30   0.35   0.47   0.67   0.63   0.28
19910701   0.24  -0.29   0.46   0.54   1.35   1.13
19910702   0.59   0.38   0.10   0.80   1.19   1.00
19910703  -0.18  -0.03  -0.35  -0.43  -0.48  -0.59
19910704  -0.12  -0.17  -0.28   0.01   0.56  -0.39
19910705   1.00   0.65   0.63   1.16   1.16   0.83
19910708   0.16   0.50   0.54  -0.23  -0.60  -0.55
19910709   0.18   0.27   0.22   0.81   0.80   0.39
19910710   0.44   0.25   0.20   0.66   0.11   0.41
19910711   0.11  -0.06  -0.54  -0.32  -0.27  -0.20
19910712   0.49   0.47   0.34   0.31   0.41   0.39
19910715   0.71   0.85   0.86   0.61   0.89   0.46
19910716   0.40   0.45  -0.16   0.64   0.74   0.64
19910717   0.19  -0.09   0.08  -0.36  -0.50  -0.46
19910718  -0.11   0.00   0.06  -0.14  -0.16  -0.33
19910719   0.39   0.89   0.23   1.02   1.02   0.81
19910722   0.69   0.31   1.05   0.77   0.48   0.40
19910723   0.38   0.70  -0.08   0.39   0.35   0.21
19910724   0.52   0.12   0.45   0.26   0.34   0.25
19910725  -0.44   0.01  -1.02  -1.31  -0.82  -0.80
19910726   0.78   1.23   1.00   0.95   0.59   0.45
19910729   0.24   0.30   0.18   0.06  -0.13   0.13
19910730   0.73   0.92   0.97   0.49   0.04   0.16
19910731   0.15  -0.11  -0.50  -0.04   0.16  -0.36
19910801   0.17  -0.40   0.46   0.34   0.46   0.28
19910802   0.41   0.35   0.41   0.30   0.66   0.62
19910805  -0.14  -0.31  -0.47  -0.24  -0.22  -0.51
19910806   0.01   0.06   0.41   0.58  -0.36   0.01
19910807   0.50   0.54   0.32   1.01   0.61   1.11
19910808   0.00   0.39  -0.05  -0.10  -0.26  -0.11
19910809   0.13   0.49   0.20  -0.18  -0.35  -0.13
19910812  -0.27  -0.54  -0.49  -0.43  -0.16  -0.70
19910813  -0.25  -0.56  -0.81  -0.83  -0.62  -0.71
19910814  -0.11  -0.07  -0.14  -0.15   0.22   0.48
19910815  -0.29  -0.50  -0.38  -0.14  -0.13  -0.43
19910816  -0.07  -0.02   0.38   0.22  -0.06  -0.08
19910819  -1.80  -1.59  -2.17  -5.08  -6.38  -6.64
19910820   0.14  -0.05   0.55   2.41   2.57   1.93
19910821   0.70   0.61   0.84   0.91   0.78   0.75
19910822   1.64   1.14   0.91   1.87   3.27   3.79
19910823   0.17   0.22  -0.50  -0.71  -0.76  -0.71
19910826  -0.22  -0.21  -0.29  -0.45  -0.17  -0.28
19910827  -0.13  -0.26   0.29   0.29  -0.31  -0.07
19910828  -0.53  -0.97  -0.31  -0.16  -0.21  -0.30
19910829  -0.20   0.25  -0.03   0.54  -0.10   0.01
19910830   0.20  -0.14   0.22   0.12   0.52   0.62
19910902  -0.21  -0.61  -0.43   0.03   0.21   0.21
19910903   0.70   0.25   0.75   1.35   0.85   1.32
19910904   0.26   0.60   0.60   0.07  -0.08   0.14
19910905   0.57   0.33   0.58   0.01  -0.14   0.03
19910906   0.36   0.57   0.65   0.27  -0.24  -0.09
19910909   0.22   0.19   0.69  -0.37  -0.29  -0.39
19910910  -0.27  -0.04  -0.10  -0.18  -0.02  -0.01
19910911  -0.02   0.21  -0.06   0.18   0.09   0.27
19910912   0.69   0.45   1.14   1.03   0.72   0.54
19910913   0.06  -0.29   0.09   0.02   0.16  -0.05
19910916   0.16  -0.07  -0.24  -0.67  -0.62  -0.72
19910917   0.33   0.23   0.39   0.44  -0.17   0.15
19910918   0.15  -0.07  -0.38  -0.50  -0.71  -0.35
19910919  -0.19   0.42   0.12  -0.02  -0.67   0.15
