This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Developed_ex_US.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
202006   2.48   1.88   3.08   2.66   3.51   4.14



  Average Equal Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
199007   4.46   4.51   4.05   4.44   3.90   3.77
199008  -5.59  -8.19  -8.27 -12.39 -11.77 -12.11
199009  -7.49  -8.40 -10.01 -14.27 -13.78 -14.92
199010   0.96   4.47   1.85  15.92  14.36  15.71
199011  -4.40  -3.05  -3.42  -7.98  -8.14  -7.74
199012  -1.33  -0.20  -1.37  -0.19   0.40  -0.61
199101  -0.46  -1.72  -2.25  -0.33   1.07  -0.18
199102   9.91  10.38  10.93  14.62  14.46  15.01
199103   0.09  -1.65  -0.79  -4.17  -3.83  -4.15
199104   2.65   1.13   0.09   0.82  -0.04   0.46
199105  -0.51  -1.55  -2.49  -0.27  -0.01  -0.69
199106  -2.68  -3.86  -4.77  -6.00  -6.30  -6.39
199107   4.22   3.41   3.02   2.76   3.00   2.88
199108  -1.10  -0.92   0.15  -2.12  -3.11  -3.65
199109   6.47   5.47   6.28   7.52   6.12   5.91
199110   2.37  -0.42  -0.95   1.09   1.10   0.57
199111  -0.76  -1.85  -1.77  -6.16  -4.85  -5.60
199112   1.16   3.43   2.45   3.93   4.51   3.96
199201   0.44  -1.50  -2.20  -0.99  -1.23  -1.47
199202   1.21   0.93   0.01  -2.17  -2.47  -2.98
199203  -3.24  -3.02  -3.93  -6.51  -5.96  -6.66
199204   1.39   1.56   2.06  -1.24  -0.71  -1.83
199205   6.56   7.02   6.09   8.06   7.32   7.04
199206  -2.38  -1.07  -1.94  -5.46  -3.81  -5.57
199207  -3.29  -3.76  -3.72  -4.70  -4.51  -5.69
199208  -1.97   1.49   0.12   4.36   4.01   5.23
199209  -4.41  -4.03  -3.95  -3.65  -3.53  -3.93
199210  -7.94  -6.57  -6.13  -5.66  -4.54  -4.50
199211  -1.59  -2.56  -2.27  -0.16  -0.31  -0.24
199212   3.63   0.49   1.16   0.86   0.20   0.53
199301   5.34   2.15   3.85   0.56   1.68   1.21
199302   4.96   4.39   3.51   2.75   3.43   3.62
199303  10.80   9.04   8.10   9.80   9.00   9.29
199304   9.55   8.65   7.80  10.00   9.13   8.72
199305   7.33   6.33   6.45   4.19   3.32   3.85
199306  -3.20  -3.89  -3.30  -3.35  -3.55  -5.00
199307   4.46   3.41   3.70   4.13   3.58   2.81
199308   7.58   7.18   7.46   5.13   5.77   6.37
199309  -0.66  -0.19  -2.06  -3.16  -2.08  -1.95
199310   1.61   1.21   1.79  -0.08   0.13  -0.26
199311  -2.75  -2.67  -3.13  -9.13  -8.10  -8.41
199312   7.76   6.79   6.65   5.99   6.29   5.86
199401  16.65  12.26  11.89  14.47  10.66  11.32
199402   3.45   2.08   1.49   0.91   0.27   0.18
199403  -1.48  -0.43  -1.58  -0.76  -0.79  -1.15
199404   4.61   3.82   2.84   3.87   3.99   3.61
199405  -0.07  -0.13  -1.78  -0.41  -0.56  -1.78
199406   0.00   0.69  -0.77   2.39   2.03   1.82
199407   1.42   1.33   1.53   0.75   1.48   1.68
199408   0.94   1.12   0.72   0.97   1.33   0.22
199409  -0.32  -0.15  -0.45  -2.68  -2.59  -2.71
199410   0.98   1.29  -0.09   2.37   2.49   0.82
199411  -5.28  -4.87  -6.59  -5.80  -5.50  -6.11
199412   0.52   0.82   0.06   1.74   1.32   1.01
199501  -1.47  -1.65  -2.80  -4.17  -3.69  -2.51
199502   0.44   0.67   0.32  -1.53  -0.47  -1.38
199503   1.57   2.82   2.53   4.53   4.71   3.54
199504   1.83   1.23   2.09   3.64   3.43   3.06
199505  -0.32  -0.46   0.66  -2.93  -1.63  -1.72
199506  -0.74   0.18   0.44  -1.45  -0.99  -1.21
199507   4.13   3.48   5.43   5.63   4.34   5.38
199508   0.59  -0.22   0.61  -1.84  -3.18  -2.61
199509   1.47   0.71   1.48  -0.02   0.37   0.99
199510  -1.76  -1.00  -1.49  -2.48  -1.75  -2.63
199511   0.61  -0.79  -0.11   1.42   1.58   0.21
199512   2.26   2.44   2.57   3.22   3.34   3.39
199601   2.59   2.55   3.95   1.75   1.53   2.39
199602   3.33   2.56   3.91   1.23   1.50   1.61
199603   1.93   1.97   1.90   1.81   1.69   1.44
199604   5.07   3.80   3.56   4.17   4.36   4.46
199605   2.68   1.92   4.09  -0.61  -0.53   0.26
199606  -0.35  -0.71  -1.78   0.11   0.16  -0.51
199607  -2.07  -1.55  -3.18  -3.77  -2.95  -3.73
199608   1.87   1.30   3.29  -0.36  -0.22   0.64
199609  -0.04   0.02   0.71   1.18   1.36   1.09
199610   1.36   1.34   1.71  -1.45  -1.25  -1.19
199611   3.68   2.22   2.69   2.08   2.01   1.91
199612  -0.62  -0.72  -0.54  -2.77  -2.11  -2.02
199701  -0.28  -0.85  -0.25  -3.60  -3.44  -2.53
199702   2.75   1.95   2.55   0.21   1.01   0.44
199703  -0.51  -0.82  -2.62  -1.64  -1.86  -2.20
199704  -1.72  -2.10  -2.37  -0.85  -0.64  -0.09
199705   6.24   6.75   6.16   8.75   8.28   8.83
199706   0.30   2.02  -0.85   3.02   2.96   3.01
199707  -3.05  -2.83  -2.51  -1.67  -0.46   1.16
199708  -1.50  -1.64  -1.34  -4.40  -5.45  -6.00
