This file was created using the 202006 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RF
201010    ,4.98    ,0.49    ,0.08    ,0.01
201011   ,-8.03    ,1.17   ,-3.46    ,0.01
201012    ,9.04    ,2.32    ,1.11    ,0.01
201101    ,3.68   ,-0.49    ,5.52    ,0.01
201102    ,3.06   ,-1.16    ,0.70    ,0.01
201103   ,-0.17    ,2.13   ,-1.83    ,0.01
201104    ,8.14   ,-1.21   ,-0.68    ,0.00
201105   ,-3.06    ,0.17   ,-2.28    ,0.00
201106   ,-2.05   ,-1.40    ,0.11    ,0.00
201107   ,-3.33    ,0.27   ,-4.05    ,0.00
201108  ,-10.11    ,0.72   ,-3.74    ,0.01
201109  ,-11.61   ,-1.09   ,-1.79    ,0.00
201110   ,10.97   ,-3.42   ,-1.09    ,0.00
201111   ,-4.85   ,-2.60   ,-3.26    ,0.00
201112   ,-2.21   ,-1.00   ,-0.98    ,0.00
201201    ,5.69    ,2.79    ,0.94    ,0.00
201202    ,6.41    ,1.52   ,-0.37    ,0.00
201203    ,0.02    ,0.68   ,-1.56    ,0.00
201204   ,-2.23    ,1.32   ,-4.18    ,0.00
201205  ,-12.31    ,0.16   ,-2.48    ,0.01
201206    ,7.13   ,-4.54    ,3.01    ,0.00
201207    ,0.56   ,-1.21   ,-2.57    ,0.00
201208    ,4.50   ,-0.17    ,3.37    ,0.01
201209    ,3.49    ,1.46    ,2.14    ,0.01
201210    ,1.66   ,-0.74    ,2.04    ,0.01
201211    ,2.27   ,-2.47   ,-0.49    ,0.01
201212    ,3.38    ,2.31    ,3.08    ,0.01
201301    ,6.20    ,0.43    ,4.24    ,0.00
201302   ,-2.49    ,2.09   ,-3.44    ,0.00
201303   ,-0.54   ,-0.48   ,-4.36    ,0.00
201304    ,4.16   ,-1.63    ,3.55    ,0.00
201305    ,1.06    ,1.08    ,2.88    ,0.00
201306   ,-4.64    ,2.29   ,-2.45    ,0.00
201307    ,7.45   ,-1.61    ,2.77    ,0.00
201308   ,-0.70    ,2.77    ,0.57    ,0.00
201309    ,7.04    ,0.21    ,1.31    ,0.00
201310    ,4.49   ,-0.15    ,4.39    ,0.00
201311    ,1.33    ,0.88   ,-0.55    ,0.00
201312    ,2.37    ,0.54   ,-0.22    ,0.00
201401   ,-3.03    ,3.58    ,2.48    ,0.00
201402    ,7.42    ,0.42    ,0.64    ,0.00
201403   ,-0.55    ,0.30    ,1.78    ,0.00
201404    ,1.77   ,-2.21    ,0.46    ,0.00
201405    ,0.77   ,-0.70   ,-0.42    ,0.00
201406   ,-0.12    ,0.07   ,-1.62    ,0.00
201407   ,-4.10   ,-0.40    ,0.26    ,0.00
201408   ,-0.02   ,-0.98   ,-0.99    ,0.00
201409   ,-3.79   ,-2.29   ,-0.35    ,0.00
201410   ,-2.70   ,-1.26   ,-3.19    ,0.00
201411    ,2.12   ,-1.38   ,-1.93    ,0.00
201412   ,-3.70    ,2.20   ,-2.40    ,0.00
201501   ,-0.30   ,-1.60   ,-3.48    ,0.00
201502    ,6.21    ,1.02    ,1.91    ,0.00
201503   ,-2.28   ,-0.50   ,-0.42    ,0.00
201504    ,4.79    ,2.18    ,0.39    ,0.00
201505   ,-0.15    ,1.65   ,-2.59    ,0.00
201506   ,-2.84    ,2.02    ,0.13    ,0.00
201507    ,2.39   ,-0.81   ,-2.66    ,0.00
201508   ,-6.02    ,3.71   ,-0.99    ,0.00
201509   ,-4.27    ,1.11   ,-3.63    ,0.00
