This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 OP portfolios
and 2 BE/ME portfolios in Emerging_Markets.

The portfolios are constructed at the end of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,LoBM_LoINV,LoBM_HiINV,HiBM_LoINV,HiBM_HiINV
201308   ,1547   ,1471   ,5900   ,2713
201309   ,1544   ,1471   ,5892   ,2709
201310   ,1539   ,1469   ,5870   ,2705
201311   ,1535   ,1468   ,5859   ,2702
201312   ,1533   ,1468   ,5846   ,2697
201401   ,1528   ,1467   ,5834   ,2686
201402   ,1526   ,1467   ,5824   ,2677
201403   ,1522   ,1466   ,5812   ,2675
201404   ,1520   ,1464   ,5796   ,2668
201405   ,1514   ,1459   ,5784   ,2661
201406   ,1511   ,1456   ,5768   ,2660
201407   ,1875   ,1768   ,5961   ,2696
201408   ,1869   ,1764   ,5948   ,2692
201409   ,1868   ,1763   ,5943   ,2686
201410   ,1864   ,1762   ,5925   ,2682
201411   ,1862   ,1761   ,5925   ,2677
201412   ,1861   ,1758   ,5915   ,2673
201501   ,1859   ,1757   ,5906   ,2669
201502   ,1857   ,1752   ,5888   ,2667
201503   ,1854   ,1751   ,5881   ,2664
201504   ,1850   ,1747   ,5872   ,2659
201505   ,1844   ,1743   ,5860   ,2655
201506   ,1843   ,1736   ,5846   ,2655
201507   ,2031   ,1957   ,5831   ,2545
201508   ,2029   ,1956   ,5813   ,2542
201509   ,2026   ,1954   ,5809   ,2541
201510   ,2021   ,1954   ,5795   ,2537
201511   ,2016   ,1952   ,5784   ,2532
201512   ,2013   ,1950   ,5775   ,2524
201601   ,2007   ,1946   ,5770   ,2520
201602   ,2004   ,1942   ,5758   ,2513
201603   ,1999   ,1940   ,5750   ,2508
201604   ,1993   ,1938   ,5741   ,2504
201605   ,1990   ,1933   ,5727   ,2502
201606   ,1982   ,1931   ,5723   ,2497
201607   ,1918   ,2167   ,5718   ,2736
201608   ,1914   ,2166   ,5709   ,2732
201609   ,1909   ,2162   ,5699   ,2728
201610   ,1901   ,2159   ,5693   ,2725
201611   ,1898   ,2154   ,5684   ,2721
201612   ,1890   ,2151   ,5675   ,2716
201701   ,1888   ,2147   ,5658   ,2699
201702   ,1888   ,2144   ,5649   ,2694
201703   ,1885   ,2143   ,5639   ,2691
201704   ,1876   ,2140   ,5622   ,2681
201705   ,1872   ,2138   ,5609   ,2678
201706   ,1869   ,2134   ,5599   ,2675
201707   ,2071   ,2069   ,6057   ,2831
201708   ,2067   ,2064   ,6044   ,2825
201709   ,2064   ,2064   ,6026   ,2818
201710   ,2060   ,2062   ,6019   ,2812
201711   ,2056   ,2056   ,6005   ,2809
201712   ,2047   ,2056   ,5993   ,2804
201801   ,2042   ,2054   ,5987   ,2799
201802   ,2040   ,2053   ,5979   ,2796
201803   ,2037   ,2051   ,5968   ,2794
201804   ,2033   ,2049   ,5952   ,2788
201805   ,2029   ,2046   ,5947   ,2782
201806   ,2024   ,2042   ,5924   ,2774
201807   ,1999   ,2208   ,5941   ,2918
201808   ,1995   ,2206   ,5920   ,2913
201809   ,1978   ,2198   ,5876   ,2896
201810   ,1976   ,2192   ,5866   ,2889
201811   ,1972   ,2189   ,5858   ,2882
201812   ,1967   ,2183   ,5851   ,2880
201901   ,1964   ,2180   ,5840   ,2875
201902   ,1959   ,2178   ,5829   ,2874
201903   ,1956   ,2178   ,5817   ,2869
201904   ,1954   ,2178   ,5808   ,2867
201905   ,1954   ,2176   ,5797   ,2860
201906   ,1949   ,2172   ,5790   ,2858
201907   ,2018   ,2086   ,6149   ,3043
201908   ,2014   ,2083   ,6138   ,3035
201909   ,2013   ,2081   ,6129   ,3031
201910   ,2012   ,2079   ,6125   ,3028
201911   ,2011   ,2078   ,6117   ,3024
201912   ,2009   ,2075   ,6109   ,3019
202001   ,2001   ,2071   ,6104   ,3013
202002   ,2000   ,2067   ,6094   ,3012
202003   ,1996   ,2064   ,6084   ,3008
202004   ,1990   ,2063   ,6074   ,3007
202005   ,1989   ,2062   ,6064   ,3007
202006   ,1984   ,2056   ,6049   ,3001



  Average Firm Size
,LoBM_LoINV,LoBM_HiINV,HiBM_LoINV,HiBM_HiINV
199207      ,225.84      ,460.24      ,102.44      ,149.08
199208      ,222.27      ,484.24      ,101.35      ,148.38
199209      ,213.02      ,465.67       ,98.12      ,144.29
199210      ,217.57      ,463.21       ,98.00      ,149.96
199211      ,223.91      ,499.42      ,100.77      ,152.54
199212      ,214.29      ,519.13      ,100.05      ,149.33
199301      ,219.29      ,520.15      ,100.38      ,151.00
199302      ,219.14      ,504.38      ,100.52      ,151.53
199303      ,233.74      ,510.52      ,104.94      ,166.67
199304      ,233.68      ,545.63      ,105.42      ,171.77
199305      ,241.65      ,529.04      ,114.32      ,184.79
199306      ,244.64      ,550.40      ,120.75      ,195.59
199307      ,271.16      ,332.09      ,129.26      ,179.94
199308      ,284.80      ,352.15      ,131.75      ,185.96
199309      ,301.97      ,377.09      ,146.58      ,200.82
199310      ,302.06      ,382.55      ,160.47      ,211.59
199311      ,335.46      ,426.04      ,171.78      ,238.23
199312      ,335.94      ,443.94      ,187.04      ,258.35
199401      ,401.35      ,525.68      ,226.51      ,298.22
199402      ,390.54      ,508.91      ,216.26      ,292.02
199403      ,383.68      ,500.32      ,213.32      ,289.25
199404      ,342.69      ,445.09      ,190.25      ,252.61
199405      ,351.07      ,449.41      ,185.70      ,246.37
199406      ,360.83      ,448.72      ,185.81      ,249.34
199407      ,278.81      ,483.05      ,172.00      ,126.61
199408      ,300.16      ,517.72      ,183.74      ,134.20
199409      ,337.18      ,574.66      ,215.28      ,149.11
199410      ,351.51      ,589.38      ,220.98      ,150.46
199411      ,353.70      ,564.69      ,211.92      ,147.99
199412      ,348.73      ,531.55      ,204.46      ,140.33
199501      ,299.97      ,477.63      ,185.44      ,131.97
199502      ,262.88      ,412.97      ,162.15      ,112.33
199503      ,256.84      ,421.79      ,163.88      ,115.78
199504      ,258.59      ,417.57      ,162.82      ,116.34
199505      ,270.14      ,425.59      ,171.16      ,115.54
199506      ,281.45      ,453.68      ,180.90      ,122.68
199507      ,343.57      ,336.20      ,152.53      ,175.13
199508      ,352.27      ,344.73      ,157.09      ,182.01
199509      ,343.00      ,336.65      ,152.93      ,177.35
199510      ,339.18      ,332.14      ,154.25      ,177.35
199511      ,332.18      ,321.28      ,146.75      ,170.79
199512      ,327.19      ,319.20      ,144.01      ,171.26
199601      ,334.17      ,330.12      ,147.79      ,176.41
199602      ,368.82      ,356.38      ,162.03      ,193.79
199603      ,361.55      ,347.07      ,157.78      ,187.56
199604      ,365.98      ,349.11      ,160.53      ,190.52
199605      ,369.82      ,355.25      ,166.06      ,193.49
199606      ,366.04      ,348.20      ,162.25      ,191.92
199607      ,306.95      ,382.21      ,167.64      ,157.56
199608      ,293.00      ,361.75      ,158.43      ,147.67
199609      ,300.50      ,372.21      ,163.74      ,152.02
199610      ,305.22      ,377.89      ,163.92      ,156.06
199611      ,293.97      ,367.97      ,161.94      ,154.07
199612      ,296.24      ,371.77      ,163.89      ,157.98
199701      ,298.81      ,371.05      ,166.25      ,157.90
199702      ,316.77      ,389.66      ,178.97      ,171.15
199703      ,329.60      ,410.70      ,188.66      ,179.85
199704      ,323.76      ,409.28      ,183.70      ,174.64
199705      ,313.82      ,402.19      ,182.03      ,169.36
199706      ,317.90      ,420.07      ,185.94      ,173.91
199707      ,310.29      ,433.10      ,185.76      ,192.44
199708      ,305.50      ,442.75      ,186.07      ,193.95
199709      ,273.07      ,396.13      ,163.27      ,170.68
199710      ,270.23      ,395.18      ,174.20      ,171.21
199711      ,231.40      ,325.03      ,145.45      ,143.55
199712      ,215.82      ,311.75      ,140.39      ,134.45
199801      ,210.23      ,314.41      ,141.45      ,132.09
199802      ,201.18      ,297.52      ,131.83      ,124.42
199803      ,222.74      ,337.94      ,142.45      ,136.72
199804      ,228.00      ,347.33      ,149.32      ,144.39
199805      ,231.07      ,342.74      ,151.06      ,146.87
199806      ,205.31      ,305.04      ,131.25      ,131.19
199807      ,241.07      ,468.01      ,101.95      ,122.31
199808      ,239.39      ,483.64      ,104.24      ,125.52
199809      ,182.14      ,332.77       ,78.36       ,94.49
199810      ,188.19      ,349.31       ,82.02       ,98.77
199811      ,207.47      ,411.41       ,88.53      ,104.71
199812      ,215.74      ,435.28       ,93.76      ,114.49
199901      ,213.75      ,412.04       ,92.62      ,112.11
199902      ,212.08      ,411.52       ,90.63      ,107.24
199903      ,212.79      ,405.78       ,91.17      ,109.34
199904      ,222.65      ,439.60      ,102.97      ,119.81
199905      ,248.48      ,458.14      ,119.71      ,138.58
199906      ,234.86      ,459.06      ,120.02      ,132.60
199907      ,465.80      ,519.54      ,118.64      ,153.66
199908      ,485.38      ,502.96      ,115.20      ,148.13
199909      ,509.11      ,503.64      ,119.75      ,147.38
199910      ,495.15      ,491.54      ,116.82      ,140.94
199911      ,512.15      ,513.76      ,119.75      ,143.08
199912      ,601.60      ,551.47      ,124.70      ,152.30
200001      ,673.05      ,637.78      ,136.48      ,162.96
200002      ,672.67      ,631.90      ,140.04      ,164.85
200003      ,731.02      ,650.01      ,139.54      ,162.36
200004      ,734.60      ,655.39      ,139.63      ,162.67
200005      ,650.53      ,569.58      ,125.70      ,147.47
200006      ,648.45      ,546.23      ,120.98      ,142.07
200007      ,478.18      ,668.35      ,128.67      ,190.62
200008      ,436.66      ,608.15      ,127.12      ,186.27
200009      ,434.55      ,619.08      ,126.12      ,189.04
200010      ,384.06      ,552.94      ,113.58      ,172.26
200011      ,340.96      ,513.12      ,104.16      ,155.93
200012      ,320.72      ,454.82       ,97.04      ,142.35
200101      ,324.30      ,455.58       ,98.65      ,143.35
200102      ,361.66      ,519.80      ,109.61      ,159.74
200103      ,336.77      ,471.22      ,105.75      ,150.53
200104      ,314.62      ,419.08       ,98.76      ,136.96
200105      ,328.10      ,444.65      ,100.16      ,142.72
200106      ,325.26      ,444.42      ,102.27      ,144.54
200107      ,265.47      ,417.89       ,88.71      ,116.77
200108      ,253.54      ,390.99       ,81.22      ,107.68
200109      ,253.20      ,375.54       ,80.91      ,106.17
200110      ,221.26      ,313.09       ,67.91       ,89.63
200111      ,224.68      ,337.15       ,69.56       ,93.17
200112      ,235.39      ,376.92       ,76.38      ,105.46
200201      ,244.03      ,416.07       ,80.54      ,110.96
200202      ,253.04      ,421.96       ,84.23      ,115.66
200203      ,252.89      ,426.36       ,86.25      ,117.64
200204      ,264.80      ,458.65       ,91.68      ,125.25
200205      ,269.65      ,450.94       ,92.19      ,126.56
200206      ,263.81      ,439.45       ,90.75      ,123.95
200207      ,253.44      ,373.77       ,79.38      ,100.91
200208      ,225.51      ,347.16       ,74.59       ,94.14
200209      ,229.99      ,352.73       ,74.71       ,96.02
200210      ,205.41      ,319.10       ,66.51       ,84.42
200211      ,218.15      ,338.78       ,69.79       ,91.40
200212      ,227.52      ,359.62       ,74.38       ,96.69
200301      ,222.35      ,343.20       ,72.22       ,92.70
200302      ,222.07      ,335.22       ,72.84       ,93.57
200303      ,217.37      ,325.77       ,71.55       ,91.05
200304      ,212.71      ,316.60       ,68.83       ,88.33
200305      ,239.04      ,339.62       ,74.64       ,97.60
200306      ,253.98      ,361.83       ,80.80      ,103.98
200307      ,280.67      ,376.16       ,82.19      ,110.39
200308      ,287.80      ,402.92       ,85.99      ,116.55
200309      ,306.58      ,428.28       ,91.06      ,125.39
200310      ,311.47      ,430.90       ,92.88      ,127.14
200311      ,333.50      ,459.13      ,100.75      ,138.71
200312      ,337.95      ,457.36      ,102.81      ,141.88
200401      ,361.83      ,477.64      ,111.56      ,153.49
200402      ,369.46      ,504.16      ,115.20      ,158.73
200403      ,386.55      ,522.55      ,120.60      ,168.33
200404      ,389.03      ,533.47      ,121.81      ,171.52
200405      ,362.76      ,497.68      ,113.25      ,158.06
200406      ,358.52      ,484.80      ,109.17      ,152.29
200407      ,491.55      ,365.74       ,93.98      ,132.63
200408      ,475.84      ,351.04       ,93.24      ,129.65
200409      ,498.47      ,361.17       ,96.81      ,135.60
200410      ,525.76      ,382.43      ,101.95      ,143.98
200411      ,535.25      ,396.39      ,104.83      ,146.70
200412      ,582.81      ,427.40      ,114.88      ,160.47
200501      ,610.32      ,448.01      ,120.99      ,166.46
200502      ,621.10      ,449.12      ,121.35      ,168.38
200503      ,670.24      ,485.24      ,131.16      ,186.22
200504      ,624.95      ,457.55      ,123.28      ,175.38
200505      ,610.67      ,443.22      ,120.52      ,169.90
200506      ,627.30      ,465.62      ,123.93      ,172.97
200507      ,488.92      ,485.55      ,127.04      ,187.57
200508      ,527.92      ,509.77      ,134.27      ,200.57
200509      ,532.56      ,516.04      ,134.14      ,202.33
200510      ,582.91      ,556.31      ,144.17      ,221.20
200511      ,549.17      ,530.22      ,134.81      ,206.88
200512      ,594.66      ,560.94      ,144.33      ,224.88
200601      ,627.68      ,590.93      ,153.39      ,238.48
200602      ,699.72      ,650.18      ,168.55      ,261.38
200603      ,699.13      ,651.31      ,170.94      ,264.26
200604      ,698.56      ,662.15      ,171.97      ,267.85
200605      ,748.05      ,688.70      ,187.32      ,289.94
200606      ,673.55      ,615.09      ,169.46      ,257.88
200607      ,699.79      ,605.63      ,170.54      ,263.69
200608      ,711.49      ,612.55      ,172.06      ,265.09
200609      ,732.68      ,631.18      ,174.90      ,274.56
200610      ,740.56      ,642.19      ,177.83      ,272.12
200611      ,760.98      ,677.19      ,187.71      ,282.07
200612      ,807.94      ,730.67      ,203.35      ,303.81
200701      ,836.65      ,765.16      ,214.89      ,313.54
200702      ,830.28      ,758.42      ,213.17      ,309.20
200703      ,831.58      ,758.56      ,214.69      ,309.26
200704      ,862.59      ,792.41      ,225.68      ,320.30
200705      ,892.82      ,835.58      ,240.14      ,333.16
200706      ,922.87      ,880.66      ,253.74      ,353.60
200707      ,585.26      ,846.14      ,304.48      ,291.54
200708      ,630.83      ,884.55      ,318.15      ,312.50
200709      ,623.04      ,856.01      ,306.43      ,301.78
200710      ,660.73      ,947.89      ,334.54      ,332.17
200711      ,719.68     ,1038.90      ,366.80      ,365.20
200712      ,662.97      ,955.82      ,349.10      ,336.03
200801      ,669.80      ,956.01      ,357.37      ,334.99
200802      ,619.67      ,809.72      ,318.81      ,290.46
200803      ,655.17      ,878.98      ,340.33      ,310.94
200804      ,635.18      ,827.67      ,326.41      ,290.79
200805      ,671.55      ,886.19      ,352.08      ,311.42
200806      ,679.47      ,892.38      ,366.16      ,309.79
200807     ,1288.90      ,754.77      ,198.81      ,371.48
200808     ,1195.55      ,713.09      ,195.73      ,362.38
200809     ,1108.29      ,645.05      ,182.17      ,328.67
200810      ,924.52      ,503.55      ,151.22      ,271.39
200811      ,691.81      ,358.19      ,110.17      ,189.06
200812      ,636.84      ,323.51      ,104.92      ,173.73
200901      ,679.51      ,350.08      ,112.97      ,185.26
200902      ,648.23      ,324.89      ,105.51      ,172.21
200903      ,625.71      ,307.63      ,101.09      ,160.89
200904      ,701.12      ,351.66      ,113.80      ,183.75
200905      ,795.28      ,422.26      ,132.65      ,219.75
200906      ,923.75      ,505.05      ,153.87      ,262.10
200907      ,656.99      ,718.24      ,142.79      ,223.70
200908      ,722.06      ,792.27      ,157.76      ,254.19
200909      ,725.37      ,790.72      ,158.34      ,254.31
200910      ,796.21      ,861.52      ,171.72      ,274.65
200911      ,791.61      ,849.44      ,172.94      ,276.77
200912      ,830.14      ,890.86      ,177.56      ,288.51
201001      ,850.11      ,938.05      ,187.24      ,302.32
201002      ,805.11      ,892.71      ,181.61      ,287.48
201003      ,808.03      ,903.52      ,181.44      ,292.48
201004      ,873.40      ,975.66      ,194.63      ,318.63
201005      ,886.45      ,987.67      ,199.21      ,322.78
201006      ,816.65      ,901.05      ,180.72      ,288.27
201007      ,750.88      ,709.93      ,179.53      ,366.48
201008      ,816.55      ,756.93      ,194.26      ,396.42
201009      ,809.51      ,742.08      ,190.96      ,387.30
201010      ,901.32      ,828.27      ,211.98      ,428.78
201011      ,927.77      ,853.20      ,218.80      ,440.74
201012      ,918.05      ,838.63      ,212.98      ,427.11
201101      ,986.83      ,887.06      ,230.00      ,457.77
201102      ,961.51      ,861.90      ,225.51      ,448.08
201103      ,947.55      ,841.89      ,219.27      ,447.38
201104      ,993.89      ,883.22      ,231.11      ,475.30
201105     ,1035.83      ,914.90      ,240.80      ,488.67
201106     ,1012.73      ,899.75      ,234.18      ,467.66
201107      ,823.37     ,1046.73      ,281.14      ,353.52
201108      ,824.99     ,1052.27      ,280.50      ,352.97
201109      ,762.11      ,947.72      ,253.67      ,315.94
201110      ,660.38      ,797.78      ,216.78      ,265.37
201111      ,735.54      ,898.73      ,240.65      ,302.56
201112      ,695.48      ,835.39      ,223.66      ,285.64
201201      ,688.00      ,810.82      ,221.29      ,285.07
201202      ,744.52      ,904.25      ,248.73      ,320.77
201203      ,784.99      ,969.78      ,264.53      ,340.75
201204      ,761.66      ,949.40      ,254.47      ,329.52
201205      ,752.65      ,931.36      ,249.68      ,322.11
201206      ,677.06      ,835.40      ,221.82      ,285.27
201207      ,696.26      ,874.68      ,242.43      ,287.33
201208      ,706.81      ,889.05      ,243.20      ,288.97
201209      ,711.86      ,893.09      ,242.35      ,291.42
201210      ,741.21      ,948.41      ,257.13      ,310.94
201211      ,739.67      ,939.26      ,257.91      ,304.10
201212      ,746.24      ,957.14      ,259.73      ,306.69
201301      ,772.36      ,999.46      ,276.67      ,322.83
201302      ,785.74     ,1007.27      ,282.66      ,328.99
201303      ,781.45     ,1009.29      ,279.30      ,323.16
201304      ,790.93      ,995.35      ,276.81      ,321.82
201305      ,800.71     ,1010.39      ,278.58      ,324.25
201306      ,780.89     ,1006.55      ,270.97      ,313.22
201307      ,627.41      ,944.00      ,241.13      ,364.21
201308      ,636.83      ,952.43      ,245.99      ,369.14
201309      ,613.06      ,925.37      ,240.29      ,363.18
201310      ,650.22      ,988.77      ,258.07      ,386.00
201311      ,667.84     ,1043.06      ,268.85      ,401.40
201312      ,656.36     ,1035.00      ,262.69      ,394.61
201401      ,657.71     ,1026.81      ,261.29      ,390.52
201402      ,619.48      ,970.02      ,244.48      ,366.99
201403      ,640.12     ,1023.78      ,249.53      ,378.84
201404      ,652.91     ,1031.01      ,260.54      ,391.48
201405      ,659.37     ,1028.31      ,263.09      ,393.98
201406      ,679.28     ,1071.83      ,273.44      ,408.69
201407      ,616.52      ,968.55      ,281.73      ,433.01
201408      ,620.79      ,970.57      ,286.91      ,443.57
201409      ,640.87      ,983.08      ,292.03      ,453.00
201410      ,601.38      ,936.39      ,273.68      ,414.33
201411      ,602.85      ,954.90      ,273.62      ,410.73
201412      ,598.50      ,949.29      ,269.83      ,402.58
201501      ,571.81      ,910.48      ,260.53      ,381.67
201502      ,578.97      ,930.77      ,262.82      ,376.02
201503      ,596.15      ,944.19      ,269.54      ,389.44
201504      ,590.32      ,945.54      ,263.25      ,385.12
201505      ,625.86      ,994.44      ,288.31      ,419.12
201506      ,605.43      ,976.85      ,278.31      ,403.61
201507      ,552.04      ,813.31      ,273.40      ,494.03
201508      ,521.14      ,757.61      ,250.81      ,460.20
201509      ,483.20      ,686.46      ,226.50      ,417.51
201510      ,475.97      ,671.03      ,218.94      ,408.88
201511      ,498.43      ,726.06      ,233.47      ,442.48
201512      ,489.00      ,719.72      ,224.23      ,423.82
201601      ,475.60      ,707.87      ,220.48      ,409.09
201602      ,451.73      ,664.56      ,205.65      ,382.76
201603      ,443.73      ,656.74      ,206.64      ,382.95
201604      ,487.77      ,727.77      ,234.19      ,434.80
201605      ,493.67      ,727.73      ,240.25      ,438.49
201606      ,479.83      ,717.91      ,226.96      ,418.56
201607      ,605.74      ,699.23      ,259.10      ,404.77
201608      ,627.12      ,722.24      ,273.42      ,423.05
201609      ,632.68      ,745.24      ,280.21      ,432.56
201610      ,634.00      ,763.39      ,281.81      ,436.31
201611      ,628.04      ,746.62      ,286.89      ,440.17
201612      ,600.49      ,699.04      ,279.71      ,421.33
201701      ,600.70      ,693.60      ,282.67      ,424.90
201702      ,633.89      ,726.16      ,300.73      ,443.18
201703      ,645.11      ,750.29      ,313.53      ,462.34
201704      ,671.50      ,769.92      ,320.32      ,473.97
201705      ,688.21      ,790.84      ,323.26      ,478.83
201706      ,705.78      ,822.21      ,326.63      ,488.34
201707      ,479.75     ,1071.19      ,354.50      ,371.75
201708      ,493.05     ,1146.30      ,367.74      ,387.57
201709      ,500.68     ,1169.29      ,375.60      ,393.53
201710      ,500.40     ,1187.33      ,368.02      ,389.04
201711      ,509.08     ,1229.38      ,378.84      ,404.69
201712      ,511.20     ,1240.50      ,376.73      ,404.89
201801      ,527.82     ,1275.99      ,392.00      ,419.29
201802      ,555.18     ,1375.07      ,429.48      ,448.76
201803      ,534.50     ,1315.12      ,410.69      ,427.62
201804      ,533.34     ,1299.55      ,402.26      ,418.55
201805      ,527.15     ,1278.70      ,405.17      ,413.63
201806      ,507.26     ,1266.91      ,390.34      ,391.29
201807      ,624.64     ,1036.10      ,387.25      ,389.19
201808      ,636.06     ,1029.60      ,397.12      ,403.49
201809      ,633.71      ,992.63      ,388.97      ,396.37
201810      ,627.72      ,958.03      ,392.09      ,391.25
201811      ,564.90      ,860.68      ,367.04      ,356.05
201812      ,580.44      ,923.33      ,378.82      ,371.21
201901      ,577.35      ,887.31      ,371.48      ,365.62
201902      ,606.14      ,969.70      ,400.36      ,389.18
201903      ,612.52      ,968.69      ,401.77      ,389.95
201904      ,619.57      ,984.11      ,401.97      ,394.13
201905      ,628.15     ,1011.20      ,403.92      ,401.99
201906      ,592.99      ,922.84      ,382.70      ,382.52
201907      ,588.52     ,1144.64      ,373.84      ,426.31
201908      ,577.53     ,1142.67      ,359.41      ,413.74
201909      ,561.34     ,1102.95      ,336.69      ,391.88
201910      ,565.96     ,1131.68      ,343.85      ,398.52
201911      ,585.36     ,1181.69      ,355.31      ,415.79
201912      ,573.31     ,1193.72      ,352.09      ,416.92
202001      ,603.56     ,1288.93      ,374.66      ,445.16
202002      ,584.36     ,1258.08      ,348.29      ,421.22
202003      ,551.81     ,1212.61      ,323.93      ,391.93
202004      ,471.99     ,1041.81      ,262.91      ,301.43
202005      ,516.69     ,1147.96      ,287.61      ,334.18
202006      ,534.45     ,1179.56      ,286.85      ,336.44
