This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 OP portfolios
and 2 BE/ME portfolios in Emerging_Markets.

The portfolios are constructed at the end of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,LoBM_LoINV,LoBM_HiINV,HiBM_LoINV,HiBM_HiINV
199405  ,-0.58  ,-1.31  ,-0.81  ,-0.76
199406  ,-1.80  ,-1.78   ,1.74  ,-1.76
199407   ,4.58   ,4.54   ,4.09   ,3.95
199408   ,9.36  ,10.43   ,7.71   ,8.72
199409   ,2.99   ,1.97   ,2.69   ,2.05
199410   ,1.83   ,0.62   ,0.50  ,-0.35
199411  ,-2.32  ,-5.29  ,-3.65  ,-3.47
199412  ,-3.59  ,-2.89  ,-1.26   ,1.01
199501  ,-9.73 ,-11.90  ,-9.67 ,-10.33
199502   ,2.09   ,0.62   ,3.62   ,1.16
199503   ,1.47   ,0.96  ,-0.41  ,-0.71
199504  ,-2.41  ,-2.73  ,-1.72  ,-2.78
199505   ,2.46   ,4.95   ,5.28   ,3.90
199506  ,-0.73  ,-1.23   ,0.01  ,-0.04
199507   ,2.97   ,1.92   ,2.77   ,3.46
199508  ,-4.55  ,-3.88  ,-4.15  ,-4.32
199509   ,0.89   ,1.64   ,1.04   ,0.50
199510  ,-0.79  ,-1.57  ,-2.65  ,-2.56
199511  ,-5.29  ,-4.45  ,-3.58  ,-4.54
199512  ,-0.14   ,0.87   ,0.39   ,1.53
199601   ,7.35   ,6.09   ,4.35   ,5.89
199602   ,0.83   ,0.58   ,0.47   ,1.24
199603   ,2.32   ,1.85   ,2.39   ,1.93
199604   ,7.89   ,4.96   ,6.77   ,5.41
199605  ,-3.66  ,-2.38  ,-2.73  ,-1.82
199606  ,-0.66   ,0.20  ,-0.28   ,0.25
199607   ,1.36  ,-1.30  ,-2.11  ,-3.72
199608   ,2.06   ,1.73   ,0.94   ,0.98
199609   ,3.63   ,1.77   ,1.31   ,1.55
199610  ,-1.74   ,0.21  ,-1.10  ,-0.40
199611   ,0.36  ,-0.13   ,1.88   ,1.18
199612  ,-3.91  ,-1.55  ,-0.85  ,-0.38
199701   ,7.23   ,5.75   ,6.80   ,5.86
199702   ,4.12   ,4.38   ,4.36   ,3.85
199703  ,-0.17  ,-0.72  ,-0.88  ,-1.70
199704   ,0.02  ,-0.59  ,-0.33  ,-0.22
199705  ,-0.50   ,0.58   ,0.69  ,-0.60
199706   ,1.64   ,2.97   ,1.62   ,2.41
199707  ,-0.65   ,0.31  ,-0.68   ,1.31
199708  ,-7.87  ,-8.60  ,-8.62 ,-10.40
199709  ,-3.15  ,-3.79  ,-1.97  ,-0.98
199710 ,-20.99 ,-20.40 ,-13.62 ,-13.80
199711 ,-20.21 ,-15.96 ,-13.32 ,-12.75
199712 ,-24.89 ,-16.91 ,-11.98 ,-10.53
199801  ,20.51   ,9.61   ,0.01  ,-3.14
199802  ,15.38  ,20.36  ,20.57  ,21.81
199803   ,7.37   ,5.58   ,9.66   ,8.17
199804 ,-10.05  ,-7.82  ,-1.66  ,-0.60
199805 ,-14.35 ,-13.22 ,-10.48  ,-8.33
199806 ,-13.41 ,-14.55 ,-12.21 ,-13.02
199807   ,3.00   ,2.43   ,6.43   ,2.58
199808 ,-16.76 ,-18.47 ,-13.47 ,-16.63
199809   ,5.70   ,3.26   ,5.06  ,10.27
199810   ,6.28   ,4.95  ,12.07   ,8.76
199811  ,10.98  ,10.04  ,22.59  ,22.01
199812   ,1.11   ,2.47   ,5.27  ,-0.25
199901  ,-3.13  ,-1.28   ,0.93  ,-2.26
199902  ,-0.86  ,-1.24  ,-2.03  ,-3.40
199903   ,9.15  ,10.42   ,9.33   ,7.17
