This file was created by CMPT_ME_BEME_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for the intersections of  2
ME portfolios and  3 CF/P portfolios.   

The portfolios are constructed at the end of Jun.  ME is market cap at the end
of Jun.  CF/P is cashflow (earnings before extraordinary plus deferred tax income statement plus common equitys
 share of depreciation) at the last fiscal year end of the prior calendar year divided by ME at the end of December of the prior year.  Firms with negative or zero
CF/P are not included in any portfolio.
196403   2.20   2.78   5.92   0.67   2.58   2.88
196404  -2.12  -0.61  -1.60  -0.64   2.05   0.93
196405   1.82   0.56   1.54   1.14   1.70   3.30
196406   1.25   1.90   1.86   2.08   1.25   1.65
196407   1.40   2.20   3.04   0.92   3.41   2.09
196408  -1.45   0.21  -0.98  -1.60  -0.83   0.06
196409   4.36   2.65   2.99   2.23   3.27   5.18
196410  -1.00   2.75   1.83  -0.13   1.87   0.57
196411  -0.69   0.21  -0.59   0.38   0.83  -0.71
196412   0.49  -0.14  -1.41   1.21   0.19  -1.15
196501   5.90   6.70   6.43   4.65   2.28   3.81
196502   3.07   3.97   4.33   1.09  -0.39   0.56
196503   0.62   0.53   1.34  -1.39  -1.31  -0.40
196504   3.84   5.75   4.07   3.67   3.37   2.97
196505  -0.30  -0.20   0.09   0.64  -1.08  -0.77
196506 -11.21  -9.11  -8.46  -4.62  -4.48  -5.18
196507   2.83   2.84   3.58   1.44   1.11   3.60
196508   8.46   4.97   4.52   2.79   3.08   2.03
196509   5.77   4.55   3.56   3.40   2.73   4.79
196510   6.81   6.15   6.64   2.21   2.88   5.54
196511   4.48   4.99   6.04  -0.63   0.33   1.41
196512   5.57   2.98   3.90   0.57   1.47   2.23
196601   6.31   4.47   7.76  -0.33   1.34   3.13
196602   6.93   2.27   3.65  -1.04  -2.35   0.48
196603  -1.47  -2.88  -1.95  -1.93  -2.37  -1.12
196604   7.40   5.88   4.61   2.10   2.04   2.80
196605 -11.75  -9.48 -10.35  -4.25  -5.16  -6.34
196606   1.90  -0.63   0.31  -1.29  -1.98   1.58
196607  -2.76  -1.69  -1.10  -1.85  -0.61  -0.56
196608 -10.88 -10.05  -9.91  -7.27  -7.04  -7.94
196609  -1.41  -1.62  -1.74  -1.24   0.25  -0.74
196610  -3.20  -1.18  -0.30   4.14   5.78   3.56
196611   8.30   3.23   3.05   5.08  -1.56   0.31
196612   3.58   2.29   1.26  -0.53   1.16   0.00
196701  17.96  16.23  17.27   6.88   7.29  12.00
196702   5.40   2.20   2.65   2.55  -0.42  -1.27
196703   6.98   6.41   5.98   3.99   4.18   5.57
196704   5.79   3.94   4.23   5.96   2.79   3.88
196705  -1.91  -1.38  -1.43  -4.96  -4.23  -3.06
196706  11.70   7.70   7.90   2.02   1.33   3.10
196707   7.03   7.84   9.49   4.23   4.48   6.78
196708  -1.89   0.74   0.85  -0.58  -1.18  -0.22
196709   7.20   4.84   5.18   3.93   2.90   1.88
196710   0.47  -3.08  -3.88  -0.99  -3.44  -5.47
196711   0.46   1.24  -0.01   1.83  -0.35  -0.63
196712  12.11   6.36   7.36   1.76   3.29   4.97
196801  -3.24   0.98   2.89  -6.29  -2.25  -2.30
196802  -8.24  -5.85  -4.13  -2.98  -2.76  -3.18
196803  -2.01  -1.31  -0.01   2.17  -0.79   0.70
196804  18.20  13.14  14.10  10.49   6.11   9.65
196805  10.50   7.99   9.20   2.36   0.57   2.59
196806  -0.90   1.08   1.87   0.21   2.34  -0.04
196807  -5.72  -3.06  -1.40  -5.32  -1.78   2.50
196808   3.58   3.31   5.00   1.10   1.34   1.97
196809   8.11   6.75   6.20   2.48   5.07   4.46
196810  -0.83   1.09   2.39  -1.43   1.93   2.75
196811   8.16   7.83   7.44   6.53   3.92   6.51
196812   0.71  -0.21  -1.34  -5.11  -3.39  -3.55
196901  -1.86  -1.40  -0.24  -2.07   0.07  -0.23
196902 -10.81  -7.84  -7.40  -4.16  -4.70  -4.86
196903   3.61   1.86   3.07   4.27   2.34   3.28
196904   1.36   1.31   0.49   3.66   1.08   1.78
196905  -0.06   0.56   0.34  -0.18  -0.84   2.44
196906 -12.81 -10.85 -10.51  -2.61  -7.16  -7.74
196907 -11.41  -9.24  -7.63  -4.58  -6.45  -7.04
196908   7.42   4.96   4.16   7.12   4.71   3.07
196909  -0.43  -2.52  -1.92   0.13  -3.52  -4.58
196910  11.34   7.80   6.48   6.46   6.46   2.95
196911  -5.44  -4.82  -6.12  -1.98  -3.62  -3.70
196912  -5.29  -4.85  -5.74   1.11  -2.14  -3.46
197001  -5.88  -4.83  -2.95  -8.03  -7.46  -7.86
197002   2.99   3.82   4.71   3.97   6.94   7.41
197003  -5.24  -0.94   0.33  -2.38   0.48   1.96
197004 -21.32 -12.85 -10.91 -10.67 -10.27  -7.62
197005 -11.49  -9.91  -8.00  -8.27  -6.97  -2.37
197006  -9.70  -6.50  -5.56  -5.60  -4.17  -4.88
197007   7.16   7.09   6.40   4.92   9.17   9.41
197008   6.57   5.99   7.67   3.91   4.21   7.00
197009  16.51  11.16   9.89   7.03   1.44   1.60
197010  -7.42  -5.83  -4.74  -0.86  -2.67  -0.29
197011  -0.48   2.73   2.71   4.82   6.65   5.32
197012   7.56   9.56  10.08   5.21   7.46   5.55
197101  11.30  11.76  11.76   4.11   6.23   2.60
197102   4.54   2.94   3.50   2.38  -0.74   2.64
197103   8.38   5.83   4.42   6.03   3.15   2.65
197104   3.77   2.94   3.77   3.28   2.72   4.95
197105  -4.49  -5.06  -4.93  -2.81  -3.94  -4.46
197106   0.55  -1.34  -1.67   1.03   1.02  -1.23
197107  -6.68  -4.79  -4.97  -4.42  -3.76  -3.59
197108   4.62   4.49   4.99   5.84   3.70   1.53
197109   0.54  -1.25  -0.67   0.55  -1.08  -1.77
197110  -5.92  -4.41  -6.16  -3.32  -4.24  -4.36
197111  -2.02  -3.32  -2.85   1.01  -0.91  -0.25
197112  13.42  11.41  12.12   9.00   9.33   8.35
197201  10.18   6.84   8.28   2.36   1.35   2.19
197202   4.66   3.22   3.25   4.55   2.08   1.07
197203   0.87   1.17  -0.72   2.53   0.62  -2.52
197204   1.08   0.33   0.44   1.05   0.43  -0.75
197205  -0.66  -2.03  -2.18   2.99  -0.40   2.25
197206  -3.10  -2.22  -3.19  -1.09  -2.57  -3.36
197207  -5.04  -2.85  -2.13   1.02  -1.50  -0.95
197208  -0.89   2.56   2.18   0.28   6.12   8.09
197209  -3.46  -2.99  -2.84   0.14  -2.68   0.01
197210  -3.63  -0.24  -0.06   0.66   1.53   1.53
197211   3.43   5.64   7.54   1.77   7.01   8.58
197212  -0.99  -1.35  -1.70   3.24  -1.10   0.01
197301  -8.30  -4.71  -3.36  -1.96  -5.41  -0.27
197302 -11.05  -7.27  -6.30  -2.95  -3.96  -5.05
197303  -3.97  -2.92  -1.10  -1.04  -0.70   0.82
197304 -10.56  -6.15  -4.40  -6.44  -4.27  -1.19
197305  -9.90  -7.70  -6.62  -0.47  -1.93  -3.07
197306  -5.33  -3.15  -2.60  -0.50  -2.01  -0.24
197307  18.10  10.19   9.18   6.68   3.15   2.55
197308  -3.61  -5.09  -4.75  -3.47  -2.38  -2.69
197309  10.92   9.46   8.76   1.46   9.16   9.12
197310  -1.82   0.40   0.15   0.17   0.13  -1.72
197311 -22.05 -18.03 -16.56 -11.69 -12.47 -10.03
197312  -3.02  -0.96  -1.68  -1.58   5.00   5.56
197401   7.50   9.91  12.50  -1.60  -0.76   2.17
197402  -0.56   0.71   2.27  -1.23   0.77   2.14
197403  -0.48   0.31   0.31  -1.89  -3.00  -2.95
197404  -7.16  -4.77  -3.94  -3.61  -5.58  -4.74
197405  -8.20  -7.16  -6.43  -1.83  -5.84  -3.00
197406  -3.68  -2.07  -0.79  -2.20  -2.21  -1.10
197407  -6.08  -4.13  -3.17 -10.18  -2.62  -7.29
197408  -9.34  -7.83  -7.38 -10.24  -6.66  -4.74
197409 -11.11  -7.52  -7.70 -14.08  -6.62  -8.34
197410  12.44   8.88   7.56  22.04  14.05   2.84
197411  -4.00  -5.13  -5.25  -3.94  -3.53  -4.83
197412  -6.72  -5.41  -7.44  -3.58  -0.19  -0.83
197501  24.59  26.83  29.22  10.40  15.25  22.48
197502   6.63   4.52   2.11   8.45   3.47   2.01
197503   6.79   6.39   9.46   3.13   0.94   6.72
197504   4.85   4.76   3.18   5.50   3.33   4.89
197505   9.14   7.43   6.78   5.20   6.59   3.20
197506   7.42   6.48   6.83   4.08   6.39   7.69
197507  -2.73  -2.83  -1.99  -8.23  -4.08  -4.80
197508  -4.12  -4.61  -5.82  -2.87  -1.11  -0.70
197509  -4.11  -3.28  -3.14  -4.79  -1.66  -3.41
197510   1.27   3.21   2.48   7.86   4.85   3.25
197511   1.41   2.83   3.64   3.72   2.11   3.71
197512  -1.10  -1.00  -0.50  -2.45   0.55   0.73
197601  15.93  18.09  22.12  11.11  11.59  18.74
197602   6.04   7.98  10.83  -1.75   1.16   2.68
197603   1.93   1.07   1.44   2.92   3.12   1.70
197604  -1.42  -0.72  -1.07  -2.34   0.62  -0.10
197605  -1.71  -1.67  -2.66  -1.79   0.39   0.07
197606   3.80   3.55   3.92   4.76   4.31   5.90
197607  -0.44   0.84   0.19  -1.12  -0.75   0.46
197608  -3.43  -0.93  -1.62  -0.24   0.46   0.49
197609   2.50   2.71   3.44   1.30   3.59   4.09
197610  -2.71  -1.22  -2.35  -2.41  -2.36  -0.73
197611   3.67   3.26   3.87  -0.88   1.18   2.31
197612   9.79   9.65   9.37   4.27   6.96   6.53
197701   0.08   1.84   3.49  -7.65  -2.11  -0.53
197702  -1.78  -0.91   0.47  -1.51  -2.55  -0.79
197703   0.20   0.38   0.72  -1.34  -1.15  -0.85
197704   1.08   0.54   2.59  -1.86   2.08   2.14
197705  -0.55   0.72   0.39  -2.29  -0.36  -0.07
197706   7.26   6.27   6.76   5.94   4.42   3.60
197707  -0.13   0.43   0.29  -1.00  -1.80  -1.77
197708   1.15  -0.77  -1.52   1.07  -3.25  -3.13
197709   0.95   1.43   1.70  -1.21  -0.06   2.42
197710  -2.89  -2.01  -1.90  -4.45  -3.62  -3.92
197711   7.63   7.48   8.50   4.23   4.14   3.36
197712   2.61   1.74   2.06   0.15   0.70   0.99
197801  -3.76  -3.32  -2.13  -5.99  -5.84  -5.74
197802   1.47   2.41   2.58  -2.87  -1.27   1.38
197803   7.02   5.97   6.90   2.09   3.06   4.10
197804   8.74   7.72   7.95  11.41   7.09   5.70
197805   6.92   5.91   6.06   1.97   1.93   0.54
197806   0.42   0.09   0.07  -0.91  -1.89  -1.79
197807   6.34   5.37   5.75   7.09   4.69   4.53
197808   8.17   8.09   9.23   3.43   4.22   3.64
197809  -1.35  -1.66  -0.04  -2.88   0.26   1.04
197810 -21.61 -18.24 -20.26  -9.44 -10.28  -9.68
197811   7.50   5.61   5.47   2.53   3.59   3.46
197812   2.98   2.18   2.13   2.74   0.55   1.04
197901   8.25   7.65   9.67   3.33   5.48   4.72
197902  -3.13  -2.50  -1.86  -4.10  -2.40  -2.16
197903  10.09   8.51   9.62   5.17   6.31   6.57
197904   1.62   2.52   4.01   0.26  -0.15   1.35
197905  -2.40  -1.37  -0.34  -2.05  -0.91  -1.49
197906   5.46   5.68   5.89   2.65   6.32   4.83
197907   2.81   3.23   3.39   0.01   2.38   1.96
197908   8.37   7.44   8.29   6.36   5.83   5.73
197909   0.85  -0.70  -1.38  -2.06   1.10   0.96
197910  -9.45  -9.82 -11.79  -6.87  -6.71  -6.28
197911  10.46   6.63   7.34   5.78   6.07   5.42
197912   7.53   4.66   6.89   2.13   2.22   1.48
198001   8.13   6.42   9.49   2.76   6.75   8.08
198002  -0.93  -2.89  -1.88  -4.59   1.69   1.90
198003 -18.94 -15.31 -18.41  -7.31 -11.45 -11.80
198004   6.89   6.03   4.75   4.10   6.07   4.26
198005   7.86   7.95   8.35   5.75   6.10   5.14
198006   4.63   4.69   4.89   3.02   3.20   3.42
198007  12.96   8.42   9.52  11.14   4.66   4.47
198008   7.90   4.48   4.77   2.05   1.09   2.38
198009   4.46   2.97   2.58   3.48   3.79   1.61
198010   5.85   2.36   3.32   0.43   2.77   2.12
198011  11.20   4.71   4.24  10.71  10.88  12.61
198012  -5.16  -1.06  -1.71  -0.57  -2.82  -5.84
198101  -3.36   0.97   1.34  -5.48  -5.04  -3.35
198102  -0.11   2.16   2.36   3.11   1.72   1.11
198103   7.67   7.85   8.17   4.78   5.05   1.44
198104   2.59   3.99   3.43  -0.87  -3.52  -0.01
198105   4.38   3.05   2.75   2.26  -0.09   0.11
198106  -4.91   1.11   0.47  -4.53   1.31   1.25
198107  -2.58  -2.25  -1.98   0.27  -0.20   0.89
198108  -9.72  -5.51  -4.99  -7.70  -5.23  -4.05
198109 -10.52  -6.05  -4.62  -6.39  -5.30  -4.42
198110  10.70   6.46   6.38   8.03   6.25   3.41
198111   1.01   4.98   5.02   3.06   5.39   4.45
198112  -2.10  -1.26  -0.75  -2.87  -3.04  -2.67
198201  -5.09  -2.56  -2.03  -2.40  -2.02  -1.98
198202  -6.98  -2.95  -1.38  -6.75  -4.95  -2.90
198203  -2.42   0.15   0.60  -1.94  -0.71   0.61
198204   6.17   5.51   4.92   5.03   5.24   2.01
198205  -3.34  -1.77  -1.62  -4.17  -2.93  -1.39
198206  -3.80  -1.82  -0.96  -2.73  -1.04  -2.29
198207  -2.20  -0.28  -1.17  -1.61  -1.38  -3.67
198208   8.04   8.48   8.63  13.11  10.86  13.22
198209   2.80   4.39   5.48   1.42   2.49   0.70
198210  15.33  12.52  12.60  14.84  11.30   8.60
198211  10.07   7.96   8.45   8.39   4.52   1.27
198212   1.20   0.73   2.27  -0.48   1.86   1.93
198301   9.54   5.23   5.03   2.11   3.14   5.85
198302   5.17   5.18   6.71   3.58   3.22   1.77
198303   3.10   5.65   6.70   3.28   3.43   3.26
198304   7.78   7.71   7.08   5.65   7.81   7.76
198305   8.11   5.25   5.05   0.51  -0.93   0.53
198306   5.77   4.24   2.89   5.23   3.44   2.27
198307  -5.65  -0.56   1.79  -5.53  -3.49  -1.57
198308  -4.85  -2.09  -0.59  -1.90   0.24   4.50
198309   1.00   3.35   2.82   1.56   3.19   0.34
198310  -8.59  -4.10  -2.87  -4.56  -0.90  -0.79
198311   5.51   4.86   3.45   4.66   1.77   1.35
198312  -2.78  -0.37  -0.27  -2.44   0.21  -0.75
198401  -4.25  -0.60   1.01  -5.39  -2.87   4.61
198402  -6.62  -5.11  -2.83  -5.03  -4.53  -1.44
198403   0.16   1.53   1.76   1.54   2.32  -0.25
198404  -1.19   0.51   0.78  -0.21   0.27   2.21
198405  -5.79  -4.48  -3.83  -6.66  -4.68  -3.98
198406   4.25   3.43   0.36   5.13   2.55   2.26
198407  -5.42  -2.03  -2.82  -2.17  -0.75  -1.95
198408  13.63  10.21  10.00  12.11  10.73  11.37
198409  -3.22   1.90   2.30  -3.36  -0.83   2.81
198410  -2.66   0.43   1.13  -0.29   1.35  -0.01
198411  -3.96  -0.44   0.85  -2.28  -1.23   0.09
198412   2.15   2.32   2.80   2.77   2.51   2.54
198501  14.23  11.12   8.75  10.15   9.06   5.82
198502   2.67   2.95   2.21   0.32   1.48   2.85
198503  -4.02  -0.43   1.29  -1.36  -0.67   1.56
198504  -2.14   0.83   1.13  -1.55  -0.91   1.07
198505   3.59   5.00   3.82   6.13   7.16   5.23
198506   0.67   3.36   3.10   2.36   0.88   2.10
198507   3.17   2.28   0.84  -0.21  -0.55  -1.21
198508  -1.80  -0.41   0.77  -1.61  -0.65   0.75
198509  -6.89  -4.62  -3.56  -3.98  -3.20  -3.51
198510   2.98   4.06   3.47   4.36   4.81   5.41
198511   8.35   7.08   6.02   9.56   7.55   4.78
198512   4.90   3.95   4.55   5.01   5.60   3.59
198601   2.21   1.37   2.82   2.02   0.17   0.40
198602   6.89   8.04   7.91   9.17   7.85   6.82
198603   3.74   5.33   5.74   6.48   5.67   4.92
198604   2.12   1.50   1.38   0.15  -0.43  -2.71
198605   3.42   5.60   3.47   6.45   4.97   5.15
198606  -0.16   0.55   2.33   2.48   1.05   2.41
198607 -10.44  -8.01  -6.33  -6.28  -7.11  -2.41
198608   3.07   3.42   4.13   5.71   5.80   9.54
198609  -7.79  -5.98  -4.14  -9.95  -9.09  -7.07
198610   4.20   2.86   3.55   6.73   4.96   5.20
198611   0.16   0.52   0.23   2.13   1.92   2.03
198612  -2.62  -2.23  -2.29  -1.64  -3.40  -2.90
198701  13.09  10.63   9.37  14.96  12.38  12.26
198702   8.83   6.83   5.89   7.92   6.51  -0.78
198703   1.04   2.04   2.86   1.22   1.77   3.21
198704  -3.04  -3.09  -4.01  -2.13  -1.25  -1.29
198705   0.08  -0.04   0.17   1.17   0.82   0.29
198706   1.37   3.96   3.14   4.92   5.04   4.99
198707   2.43   3.87   3.16   5.95   4.52   2.57
198708   3.36   3.93   4.13   4.78   4.70   3.45
198709  -1.97  -2.10  -1.16  -2.14  -2.69  -2.22
198710 -31.45 -27.60 -27.06 -22.38 -23.34 -16.93
198711  -5.31  -4.73  -3.04  -9.16  -7.50  -7.44
198712   9.55   7.87   6.01   8.96   7.57   5.26
198801   1.91   4.62   4.60   1.78   3.83   8.07
198802   8.18   8.24   7.96   5.30   5.47   2.79
198803   3.83   3.72   3.24  -2.98  -3.05  -2.43
198804   2.50   1.00   2.23  -0.65   0.47   2.29
198805  -2.78  -1.65  -0.57   0.44   0.01   2.04
198806   7.60   7.20   6.91   4.75   6.04   3.96
198807  -2.54  -0.46   0.33  -1.58  -0.26  -0.48
198808  -3.33  -2.05  -1.76  -2.78  -2.49  -2.92
198809   2.55   3.20   3.13   4.97   3.92   3.59
198810  -1.47  -0.33   0.41   1.02   3.14   2.78
198811  -3.31  -2.43  -3.28  -1.55  -2.17  -0.79
198812   4.35   3.41   4.45   2.27   2.02   1.33
198901   3.69   4.21   5.72   7.09   6.46   7.19
198902   0.79   1.10   0.56  -2.34  -1.91  -2.04
198903   3.10   2.50   3.04   2.25   1.32   2.64
198904   5.35   4.01   4.75   6.14   4.43   5.03
198905   4.51   3.53   5.02   4.85   3.91   3.61
198906  -3.37  -0.44  -0.29  -1.22  -0.15   0.03
198907   4.30   4.22   4.16  10.18   8.15   7.19
198908   2.34   3.02   3.10   0.90   1.73   3.65
198909   0.93   0.35   0.35   0.67  -1.10  -0.17
