date,recession
01-Jun-1910,1
01-Jul-1910,1
01-Aug-1910,1
01-Sep-1910,1
01-Oct-1910,1
01-Nov-1910,1
01-Dec-1910,1
01-Jan-1911,1
01-Feb-1911,1
01-Mar-1911,1
01-Apr-1911,1
01-May-1911,1
01-Jun-1911,1
01-Jul-1911,1
01-Aug-1911,1
01-Sep-1911,1
01-Oct-1911,1
01-Nov-1911,1
01-Dec-1911,1
01-Jan-1912,1
01-Feb-1912,0
01-Mar-1912,0
01-Apr-1912,0
01-May-1912,0
01-Jun-1912,0
01-Jul-1912,0
01-Aug-1912,0
01-Sep-1912,0
01-Oct-1912,0
01-Nov-1912,0
01-Dec-1912,0
01-Jan-1913,0
01-Feb-1913,1
01-Mar-1913,1
01-Apr-1913,1
01-May-1913,1
01-Jun-1913,1
01-Jul-1913,1
01-Aug-1913,1
01-Sep-1913,1
01-Oct-1913,1
01-Nov-1913,1
01-Dec-1913,1
01-Jan-1914,1
01-Feb-1914,1
01-Mar-1914,1
01-Apr-1914,1
01-May-1914,1
01-Jun-1914,1
01-Jul-1914,1
01-Aug-1914,1
01-Sep-1914,1
01-Oct-1914,1
01-Nov-1914,1
01-Dec-1914,1
01-Jan-1915,0
01-Feb-1915,0
01-Mar-1915,0
01-Apr-1915,0
01-May-1915,0
01-Jun-1915,0
01-Jul-1915,0
01-Aug-1915,0
01-Sep-1915,0
01-Oct-1915,0
01-Nov-1915,0
01-Dec-1915,0
01-Jan-1916,0
01-Feb-1916,0
01-Mar-1916,0
01-Apr-1916,0
01-May-1916,0
01-Jun-1916,0
01-Jul-1916,0
01-Aug-1916,0
01-Sep-1916,0
01-Oct-1916,0
01-Nov-1916,0
01-Dec-1916,0
01-Jan-1917,0
01-Feb-1917,0
01-Mar-1917,0
01-Apr-1917,0
01-May-1917,0
01-Jun-1917,0
01-Jul-1917,0
01-Aug-1917,0
01-Sep-1917,0
01-Oct-1917,0
01-Nov-1917,0
01-Dec-1917,0
01-Jan-1918,0
01-Feb-1918,0
01-Mar-1918,0
01-Apr-1918,0
01-May-1918,0
01-Jun-1918,0
01-Jul-1918,0
01-Aug-1918,0
01-Sep-1918,1
01-Oct-1918,1
01-Nov-1918,1
01-Dec-1918,1
01-Jan-1919,1
01-Feb-1919,1
01-Mar-1919,1
01-Apr-1919,0
01-May-1919,0
01-Jun-1919,0
01-Jul-1919,0
01-Aug-1919,0
01-Sep-1919,0
01-Oct-1919,0
01-Nov-1919,0
01-Dec-1919,0
01-Jan-1920,0
01-Feb-1920,1
01-Mar-1920,1
01-Apr-1920,1
01-May-1920,1
01-Jun-1920,1
01-Jul-1920,1
01-Aug-1920,1
01-Sep-1920,1
01-Oct-1920,1
01-Nov-1920,1
01-Dec-1920,1
01-Jan-1921,1
01-Feb-1921,1
01-Mar-1921,1
01-Apr-1921,1
01-May-1921,1
01-Jun-1921,1
01-Jul-1921,1
01-Aug-1921,0
01-Sep-1921,0
01-Oct-1921,0
01-Nov-1921,0
01-Dec-1921,0
01-Jan-1922,0
01-Feb-1922,0
01-Mar-1922,0
01-Apr-1922,0
01-May-1922,0
01-Jun-1922,0
01-Jul-1922,0
01-Aug-1922,0
01-Sep-1922,0
01-Oct-1922,0
01-Nov-1922,0
01-Dec-1922,0
01-Jan-1923,0
01-Feb-1923,0
01-Mar-1923,0
01-Apr-1923,0
01-May-1923,0
01-Jun-1923,1
01-Jul-1923,1
01-Aug-1923,1
01-Sep-1923,1
01-Oct-1923,1
01-Nov-1923,1
01-Dec-1923,1
01-Jan-1924,1
01-Feb-1924,1
01-Mar-1924,1
01-Apr-1924,1
01-May-1924,1
01-Jun-1924,1
01-Jul-1924,1
01-Aug-1924,0
01-Sep-1924,0
01-Oct-1924,0
01-Nov-1924,0
01-Dec-1924,0
01-Jan-1925,0
01-Feb-1925,0
01-Mar-1925,0
01-Apr-1925,0
01-May-1925,0
01-Jun-1925,0
01-Jul-1925,0
01-Aug-1925,0
01-Sep-1925,0
01-Oct-1925,0
01-Nov-1925,0
01-Dec-1925,0
01-Jan-1926,0
01-Feb-1926,0
01-Mar-1926,0
01-Apr-1926,0
01-May-1926,0
01-Jun-1926,0
01-Jul-1926,0
01-Aug-1926,0
01-Sep-1926,0
01-Oct-1926,0
01-Nov-1926,1
01-Dec-1926,1
01-Jan-1927,1
01-Feb-1927,1
01-Mar-1927,1
01-Apr-1927,1
01-May-1927,1
01-Jun-1927,1
01-Jul-1927,1
01-Aug-1927,1
01-Sep-1927,1
01-Oct-1927,1
01-Nov-1927,1
01-Dec-1927,0
01-Jan-1928,0
01-Feb-1928,0
01-Mar-1928,0
01-Apr-1928,0
01-May-1928,0
01-Jun-1928,0
01-Jul-1928,0
01-Aug-1928,0
01-Sep-1928,0
01-Oct-1928,0
01-Nov-1928,0
01-Dec-1928,0
01-Jan-1929,0
01-Feb-1929,0
01-Mar-1929,0
01-Apr-1929,0
01-May-1929,0
01-Jun-1929,0
01-Jul-1929,0
01-Aug-1929,0
01-Sep-1929,1
01-Oct-1929,1
01-Nov-1929,1
01-Dec-1929,1
01-Jan-1930,1
01-Feb-1930,1
01-Mar-1930,1
01-Apr-1930,1
01-May-1930,1
01-Jun-1930,1
01-Jul-1930,1
01-Aug-1930,1
01-Sep-1930,1
01-Oct-1930,1
01-Nov-1930,1
01-Dec-1930,1
01-Jan-1931,1
01-Feb-1931,1
01-Mar-1931,1
01-Apr-1931,1
01-May-1931,1
01-Jun-1931,1
01-Jul-1931,1
01-Aug-1931,1
01-Sep-1931,1
01-Oct-1931,1
01-Nov-1931,1
01-Dec-1931,1
01-Jan-1932,1
01-Feb-1932,1
01-Mar-1932,1
01-Apr-1932,1
01-May-1932,1
01-Jun-1932,1
01-Jul-1932,1
01-Aug-1932,1
01-Sep-1932,1
01-Oct-1932,1
01-Nov-1932,1
01-Dec-1932,1
01-Jan-1933,1
01-Feb-1933,1
