This file was created using the 202005 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 OP/BE portfolios in Europe.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  OP/BE is operating profitability at the last fiscal year end of the prior calendar
year divided by BE as of 6 months before formation.  Firms with negative
OP are included in any portfolio.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



    Average Value Weighted Returns -- Daily
                 Small                 Big
            Low     2    High    Low     2    High
20040727  -0.65  -0.72  -0.73   0.31   0.08  -0.08
20040728   0.10   0.32   0.25   0.27   0.36   0.24
20040729   0.05   0.16   0.15   0.92   1.00   1.23
20040730   0.08  -0.01   0.08  -0.12  -0.12   0.07
20040802  -0.12  -0.05   0.07  -0.06  -0.05  -0.18
20040803   0.31   0.48   0.39   0.27   0.54   0.85
20040804  -0.66  -0.54  -0.54  -0.93  -0.82  -0.78
20040805   0.05  -0.01   0.04   0.34   0.26  -0.20
20040806   0.77   0.96   1.02  -0.49  -0.19  -0.35
20040809  -0.71  -0.84  -0.83  -1.07  -0.76  -0.72
20040810  -0.29  -0.11  -0.37   0.24   0.22   0.37
20040811  -0.39  -0.37  -0.27  -0.65  -0.67  -0.74
20040812  -0.21   0.03  -0.44  -0.28   0.05   0.02
20040813   1.19   0.93   0.86   0.98   0.55   0.84
20040816   0.08  -0.04   0.05   0.99   0.77   0.72
20040817   0.19   0.15   0.00   0.47   0.13  -0.10
20040818  -0.15  -0.26  -0.25   0.17  -0.20   0.00
20040819   0.63   0.62   0.47   0.57   0.46   0.45
20040820  -0.48  -0.39  -0.33  -0.64  -0.52  -0.44
20040823  -0.79  -0.72  -0.77   0.09  -0.35  -0.13
20040824  -0.43  -0.47  -0.44  -0.45  -0.44  -0.63
20040825   0.22   0.11  -0.02   0.23   0.27   0.31
20040826   0.47   0.39   0.42   0.79   0.78   1.00
20040827  -0.43  -0.42  -0.48  -0.13  -0.09   0.00
20040830   0.20   0.25   0.41   0.20   0.13   0.06
20040831   0.79   0.91   0.81   0.09   0.29   0.33
20040901   0.19   0.17   0.08   0.66   0.81   0.45
20040902   0.30   0.13   0.12   0.46   0.14   0.42
20040903  -0.76  -0.81  -0.78  -0.40  -0.21  -0.09
20040906   0.35   0.31   0.25   0.41   0.48   0.44
20040907   0.26   0.35   0.43   0.31   0.41   0.04
