This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in North_America.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
200104   6.79   6.58  11.63   6.13   6.68  14.23
200105   4.43   3.93   5.00   2.51   0.90  -1.51
200106   1.02   3.73   3.08  -2.90  -2.39  -0.85
200107  -2.93  -1.18 -11.44  -1.02   0.16  -4.36
200108  -0.62  -2.70  -8.79  -2.94  -4.84 -11.14
200109 -13.01 -11.79 -18.54  -6.53  -7.05 -12.84
200110   4.72   4.86  12.49   1.17   0.40   6.41
200111   6.99   7.00  10.31   5.80   7.77  10.15
200112   5.86   6.89   7.24   2.71   1.76  -0.70
200201   1.38   0.23  -4.54  -0.73  -1.40  -2.41
200202  -0.19  -0.43  -8.23   0.68  -1.18  -6.20
200203   8.71   7.30   8.41   4.30   3.54   4.53
200204   2.29   3.65  -5.09  -3.28  -4.88  -9.72
200205  -1.39  -2.14  -6.08   1.01  -0.49  -3.36
200206  -4.05  -3.61  -8.71  -5.67  -8.81  -6.97
200207 -15.31 -11.31 -14.77  -9.49  -6.02  -8.52
200208  -0.20   0.17   0.75  -0.05   0.90   1.36
200209  -8.59  -6.12  -7.08 -11.38 -10.14  -9.40
200210   3.94   2.88   4.12   8.24   8.11   8.03
200211  10.94   6.35   8.67   9.27   5.23   3.37
200212  -5.91  -3.43  -4.78  -6.95  -5.07  -4.65
200301  -1.55  -1.10  -2.00  -1.87  -2.95  -2.16
200302  -3.05  -2.35  -2.22  -1.95  -1.81  -0.56
200303   1.16   1.46  -0.22  -0.40   1.35   1.50
200304  10.20   9.30   9.21   8.32   7.87   8.26
200305  12.39   8.74  11.63   8.75   3.93   6.93
200306   2.36   2.86   3.08   0.99   1.51   1.92
200307   7.25   5.12   5.60   2.00   1.86   1.58
200308   6.12   4.12   5.68   4.34   2.08   0.93
200309   0.25  -0.90  -1.63  -2.72  -0.45  -0.56
200310   9.60   8.24   8.96   8.07   5.33   4.68
200311   4.07   3.98   3.13   1.80   1.49   0.55
200312   3.70   2.16   2.18   5.31   4.55   4.88
200401   6.81   2.84   2.44   2.04   1.49   2.44
200402   0.25   2.13   1.91   0.78   2.23   1.32
200403   0.24   0.98   1.28  -2.05  -0.84  -1.50
200404  -5.46  -3.19  -4.27  -2.54  -2.14  -0.75
200405   1.41   1.16   1.42   1.96   1.02   1.28
200406   3.87   3.98   3.78   2.22   1.72   1.96
200407  -7.10  -4.66  -6.65  -4.32  -2.78  -3.94
200408  -1.24  -0.28  -0.90  -0.45   0.57   0.24
200409   4.77   5.13   6.96   1.78   1.38   2.76
200410   2.08   2.21   2.39   3.32   1.45   0.83
200411   8.51   8.63   8.96   4.17   4.10   5.02
200412   3.98   2.77   3.09   3.53   3.54   3.38
200501  -3.79  -2.95  -3.14  -3.51  -1.46  -3.35
200502   2.75   2.15   2.62   1.77   3.07   1.30
200503  -2.64  -1.94  -3.47  -0.13  -1.66  -1.76
200504  -6.81  -5.79  -6.13  -2.48  -2.46  -1.71
200505   6.11   5.70   5.62   3.67   2.82   4.83
200506   4.08   3.62   4.86   1.21   0.48   1.11
200507   6.37   6.39   7.07   3.57   3.75   4.95
200508  -0.32  -0.55  -0.64  -0.97  -0.14  -0.41
200509   1.42   0.75   2.04   0.55   0.58   2.88
200510  -4.05  -2.47  -4.86  -2.52  -2.21  -1.29
200511   4.59   4.79   5.72   3.98   3.77   4.77
200512   1.37  -0.02   0.61   0.25   0.16   1.08
200601   8.66   8.29  10.40   3.38   2.78   3.89
200602   1.17  -0.58  -1.90   0.53  -0.08  -0.91
200603   3.94   4.54   4.64   1.32   1.38   1.69
200604   0.86   1.78   2.01   1.54   1.34   1.72
200605  -5.23  -3.96  -5.83  -1.95  -1.97  -4.66
200606  -0.91  -0.08  -1.42   0.04  -0.42   0.49
200607  -2.77  -2.62  -3.45  -0.26   0.34  -0.55
200608   3.44   3.11   2.41   3.97   2.08   1.01
200609  -0.03   0.56  -0.86   2.90   1.53   1.42
200610   5.99   5.01   6.03   3.36   3.07   4.48
200611   2.54   2.04   2.16   1.28   2.07   3.83
200612   0.82   1.29  -0.03   2.38   1.06  -0.81
200701   2.85   1.08   1.14   1.73   1.30   2.31
200702   0.15  -0.20   0.07  -2.22  -1.23  -1.05
200703   1.22   1.46   1.34   0.65   1.26   2.51
200704   3.10   2.07   3.66   5.03   4.25   3.89
200705   3.64   3.88   4.69   3.79   3.59   5.69
200706  -0.44  -0.94  -1.05  -1.74  -1.30  -1.12
200707  -6.72  -5.97  -4.70  -3.52  -2.95  -1.69
200708  -0.57   1.76  -1.01   1.26   0.90   1.74
200709   1.35   1.12   4.65   2.52   4.16   6.22
200710   2.78   1.95   4.15   3.08   2.21   2.64
200711  -8.20  -7.62  -9.65  -4.54  -4.05  -5.88
200712   0.27  -0.57   0.69  -1.21  -0.41   0.63
200801  -6.34  -5.25  -8.81  -5.68  -4.96  -7.96
200802  -2.85  -2.40  -0.93  -2.97  -1.96  -1.60
200803   0.33   0.08  -3.00  -1.18  -0.86  -1.37
200804   2.09   3.17   3.58   3.43   5.14   6.63
200805   4.67   4.17   5.97   3.10   1.04   3.55
200806  -7.87  -8.90  -5.79  -8.01  -7.99  -7.25
200807   2.77   2.88  -1.47  -0.35  -1.21  -3.76
200808   3.50   3.87   2.02   2.17   0.97  -0.58
200809  -8.52  -8.52 -13.62  -8.81  -8.01 -14.14
