This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 OP portfolios
and 2 INV portfolios in Emerging_Markets.

The portfolios are constructed at the end of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,LoOP_LoINV,LoOP_HiINV,HiOP_LoINV,HiOP_HiINV
201408   ,6218   ,2849   ,1587   ,1598
201409   ,6215   ,2843   ,1584   ,1597
201410   ,6200   ,2841   ,1577   ,1594
201411   ,6200   ,2837   ,1575   ,1592
201412   ,6189   ,2831   ,1575   ,1591
201501   ,6180   ,2827   ,1573   ,1590
201502   ,6163   ,2824   ,1570   ,1586
201503   ,6157   ,2824   ,1566   ,1582
201504   ,6146   ,2818   ,1564   ,1579
201505   ,6131   ,2812   ,1561   ,1577
201506   ,6116   ,2809   ,1561   ,1573
201507   ,6383   ,2878   ,1462   ,1618
201508   ,6367   ,2876   ,1458   ,1616
201509   ,6364   ,2874   ,1454   ,1615
201510   ,6348   ,2871   ,1451   ,1614
201511   ,6336   ,2866   ,1447   ,1612
201512   ,6326   ,2859   ,1445   ,1609
201601   ,6320   ,2853   ,1440   ,1607
201602   ,6305   ,2848   ,1440   ,1601
201603   ,6297   ,2843   ,1435   ,1599
201604   ,6285   ,2839   ,1432   ,1597
201605   ,6273   ,2835   ,1427   ,1594
201606   ,6261   ,2828   ,1427   ,1594
201607   ,6149   ,3167   ,1474   ,1732
201608   ,6138   ,3164   ,1472   ,1730
201609   ,6125   ,3161   ,1470   ,1725
201610   ,6117   ,3157   ,1464   ,1723
201611   ,6107   ,3153   ,1462   ,1718
201612   ,6094   ,3148   ,1459   ,1715
201701   ,6080   ,3136   ,1455   ,1706
201702   ,6073   ,3129   ,1453   ,1705
201703   ,6063   ,3126   ,1450   ,1704
201704   ,6043   ,3119   ,1444   ,1698
201705   ,6027   ,3116   ,1443   ,1696
201706   ,6014   ,3111   ,1443   ,1694
201707   ,6400   ,3077   ,1713   ,1819
201708   ,6390   ,3071   ,1706   ,1814
201709   ,6372   ,3066   ,1703   ,1812
201710   ,6364   ,3061   ,1700   ,1809
201711   ,6348   ,3058   ,1698   ,1803
201712   ,6333   ,3054   ,1693   ,1802
201801   ,6321   ,3050   ,1694   ,1799
201802   ,6313   ,3046   ,1692   ,1799
201803   ,6300   ,3043   ,1691   ,1798
201804   ,6284   ,3039   ,1687   ,1794
201805   ,6279   ,3036   ,1683   ,1788
201806   ,6252   ,3026   ,1682   ,1786
201807   ,6176   ,3084   ,1761   ,2038
201808   ,6156   ,3080   ,1756   ,2035
201809   ,6098   ,3063   ,1753   ,2027
201810   ,6087   ,3056   ,1752   ,2021
201811   ,6078   ,3049   ,1749   ,2018
201812   ,6069   ,3046   ,1746   ,2013
201901   ,6057   ,3040   ,1744   ,2011
201902   ,6043   ,3039   ,1742   ,2009
201903   ,6031   ,3034   ,1739   ,2009
201904   ,6024   ,3032   ,1735   ,2009
201905   ,6015   ,3026   ,1733   ,2006
201906   ,6004   ,3023   ,1732   ,2003
201907   ,6348   ,3067   ,1812   ,2058
201908   ,6336   ,3060   ,1809   ,2053
201909   ,6326   ,3056   ,1809   ,2051
201910   ,6321   ,3052   ,1809   ,2050
201911   ,6313   ,3048   ,1808   ,2049
201912   ,6307   ,3041   ,1804   ,2048
202001   ,6298   ,3034   ,1800   ,2045
202002   ,6289   ,3032   ,1798   ,2042
202003   ,6279   ,3026   ,1794   ,2041
202004   ,6268   ,3024   ,1790   ,2041
202005   ,6258   ,3024   ,1789   ,2040
202006   ,6245   ,3015   ,1782   ,2037



  Average Firm Size
,LoOP_LoINV,LoOP_HiINV,HiOP_LoINV,HiOP_HiINV
199207      ,119.80      ,158.45      ,178.78      ,431.16
199208      ,117.28      ,155.44      ,178.34      ,457.88
199209      ,111.79      ,149.71      ,174.55      ,442.02
199210      ,111.74      ,150.97      ,178.62      ,448.77
199211      ,117.59      ,158.66      ,178.15      ,472.85
199212      ,114.06      ,161.37      ,175.37      ,476.16
199301      ,115.96      ,160.19      ,176.47      ,481.30
199302      ,114.02      ,159.66      ,180.98      ,468.75
199303      ,116.02      ,172.02      ,199.43      ,479.19
199304      ,119.81      ,176.41      ,192.34      ,511.92
199305      ,124.22      ,185.95      ,210.60      ,502.88
199306      ,131.35      ,195.57      ,212.06      ,528.56
199307      ,117.80      ,211.37      ,312.66      ,289.52
199308      ,120.21      ,225.95      ,327.59      ,298.03
199309      ,133.23      ,244.49      ,349.76      ,317.26
199310      ,146.41      ,251.11      ,351.21      ,328.27
199311      ,158.05      ,288.30      ,385.51      ,358.62
199312      ,169.68      ,314.55      ,395.17      ,369.07
199401      ,206.90      ,368.64      ,470.53      ,430.62
199402      ,195.55      ,357.36      ,462.53      ,421.10
199403      ,196.58      ,349.40      ,444.41      ,419.51
199404      ,174.79      ,309.13      ,398.44      ,369.30
199405      ,171.73      ,306.45      ,403.53      ,368.43
199406      ,169.47      ,305.58      ,420.78      ,373.05
199407      ,173.28      ,186.42      ,256.99      ,350.95
199408      ,186.92      ,197.67      ,272.30      ,377.26
199409      ,220.08      ,221.62      ,304.94      ,415.81
199410      ,231.52      ,226.37      ,305.60      ,424.55
199411      ,226.61      ,221.10      ,297.00      ,406.72
199412      ,223.16      ,209.51      ,283.18      ,382.77
199501      ,195.52      ,191.02      ,258.08      ,348.97
199502      ,167.92      ,163.29      ,232.42      ,301.37
199503      ,166.46      ,169.76      ,234.55      ,305.12
199504      ,166.73      ,166.82      ,233.05      ,306.56
199505      ,175.60      ,168.45      ,243.23      ,309.88
199506      ,183.29      ,178.98      ,258.55      ,329.77
199507      ,147.03      ,191.50      ,272.19      ,294.08
199508      ,152.77      ,199.22      ,276.19      ,300.93
199509      ,147.99      ,193.69      ,269.05      ,293.63
199510      ,147.83      ,191.66      ,268.28      ,292.34
199511      ,140.78      ,184.46      ,262.12      ,284.53
199512      ,137.74      ,181.41      ,257.53      ,287.18
199601      ,138.96      ,186.39      ,267.46      ,297.06
199602      ,153.21      ,205.31      ,291.60      ,319.33
199603      ,150.05      ,199.33      ,286.76      ,309.38
199604      ,153.89      ,200.45      ,288.25      ,314.16
199605      ,158.66      ,207.56      ,294.72      ,314.81
199606      ,153.52      ,206.03      ,293.78      ,308.03
199607      ,148.52      ,194.25      ,318.60      ,280.86
199608      ,143.17      ,183.65      ,297.54      ,264.35
199609      ,146.97      ,190.73      ,308.06      ,269.50
199610      ,148.67      ,194.44      ,309.00      ,275.99
199611      ,145.48      ,190.13      ,301.18      ,271.30
199612      ,147.92      ,193.69      ,302.61      ,274.96
199701      ,149.26      ,193.50      ,307.90      ,275.22
199702      ,159.22      ,207.46      ,331.16      ,291.56
199703      ,168.98      ,217.95      ,341.25      ,306.97
199704      ,164.95      ,211.86      ,335.30      ,306.19
199705      ,162.11      ,202.78      ,329.02      ,305.55
199706      ,165.53      ,208.65      ,335.43      ,320.24
199707      ,159.54      ,222.15      ,381.51      ,380.61
199708      ,158.98      ,224.72      ,378.58      ,388.08
199709      ,141.73      ,199.89      ,331.39      ,345.52
199710      ,143.09      ,200.74      ,352.90      ,344.95
199711      ,117.45      ,166.38      ,305.33      ,286.32
199712      ,111.31      ,156.72      ,292.07      ,275.54
199801      ,109.73      ,153.58      ,293.05      ,279.88
199802      ,101.89      ,142.67      ,279.92      ,268.32
199803      ,111.66      ,159.92      ,304.16      ,302.52
199804      ,117.52      ,166.13      ,312.04      ,313.35
199805      ,118.84      ,167.38      ,315.67      ,309.21
199806      ,105.41      ,150.36      ,273.54      ,274.43
199807       ,89.58      ,180.30      ,220.84      ,303.06
199808       ,90.91      ,185.72      ,221.97      ,312.47
199809       ,68.65      ,139.41      ,168.25      ,211.76
199810       ,70.87      ,147.57      ,175.56      ,219.98
199811       ,75.31      ,157.06      ,195.72      ,264.77
199812       ,80.90      ,167.27      ,202.41      ,285.24
199901       ,79.30      ,160.94      ,204.02      ,272.21
199902       ,77.37      ,153.12      ,201.29      ,275.39
199903       ,76.79      ,154.23      ,204.24      ,273.21
199904       ,85.91      ,168.91      ,219.66      ,294.45
199905       ,96.94      ,191.73      ,251.51      ,306.51
199906       ,97.55      ,185.10      ,242.75      ,307.60
199907      ,119.70      ,205.04      ,348.88      ,310.83
199908      ,117.67      ,198.64      ,356.54      ,298.64
199909      ,123.01      ,202.30      ,370.69      ,292.08
199910      ,119.74      ,196.84      ,360.29      ,280.69
199911      ,122.83      ,203.14      ,372.91      ,290.50
199912      ,131.04      ,216.11      ,428.31      ,312.68
200001      ,141.59      ,238.26      ,484.91      ,355.32
200002      ,143.22      ,237.96      ,492.57      ,354.94
200003      ,143.06      ,234.05      ,536.60      ,368.59
200004      ,142.11      ,233.39      ,541.73      ,373.87
200005      ,127.39      ,206.71      ,480.97      ,330.59
200006      ,123.16      ,199.37      ,475.48      ,316.07
200007      ,130.45      ,248.39      ,330.05      ,472.23
200008      ,127.32      ,236.37      ,306.30      ,436.31
200009      ,125.77      ,239.81      ,302.62      ,444.47
200010      ,112.31      ,214.61      ,269.76      ,402.81
200011      ,103.26      ,192.81      ,237.56      ,376.59
200012       ,95.60      ,173.96      ,227.06      ,335.84
200101       ,96.17      ,171.44      ,233.01      ,340.64
200102      ,106.62      ,192.32      ,259.73      ,387.00
200103      ,101.88      ,181.10      ,241.06      ,351.05
200104       ,94.52      ,164.48      ,227.10      ,312.75
200105       ,95.54      ,170.31      ,235.18      ,333.08
200106       ,97.23      ,169.31      ,232.62      ,337.44
200107       ,81.91      ,152.14      ,249.05      ,317.55
200108       ,75.01      ,138.84      ,236.98      ,300.03
200109       ,75.28      ,136.58      ,234.20      ,288.39
200110       ,64.79      ,113.95      ,198.08      ,242.08
200111       ,66.97      ,121.04      ,198.98      ,257.28
200112       ,72.69      ,134.99      ,213.37      ,290.78
200201       ,74.57      ,144.78      ,229.60      ,318.23
200202       ,77.83      ,151.26      ,238.43      ,321.04
200203       ,79.41      ,151.53      ,241.98      ,327.10
200204       ,83.68      ,162.53      ,255.79      ,350.60
200205       ,85.43      ,161.35      ,251.37      ,347.48
200206       ,83.72      ,156.43      ,247.23      ,340.73
200207       ,77.55      ,114.23      ,205.74      ,281.37
200208       ,72.40      ,103.90      ,186.62      ,265.49
200209       ,72.26      ,105.46      ,190.28      ,269.91
200210       ,63.99       ,91.32      ,170.79      ,245.37
200211       ,67.07       ,98.94      ,180.34      ,261.66
200212       ,71.09      ,103.46      ,190.56      ,280.05
200301       ,68.44      ,100.10      ,187.28      ,265.16
200302       ,68.78      ,102.38      ,189.03      ,257.29
200303       ,67.63       ,99.17      ,184.11      ,251.11
200304       ,64.46       ,96.88      ,182.32      ,243.19
200305       ,70.03      ,105.36      ,203.31      ,264.47
200306       ,76.56      ,112.56      ,213.50      ,280.91
200307       ,83.87      ,123.18      ,223.85      ,298.71
200308       ,87.93      ,129.20      ,230.17      ,321.40
200309       ,92.95      ,137.61      ,245.11      ,342.99
200310       ,94.44      ,139.84      ,249.64      ,344.62
200311      ,102.54      ,152.65      ,268.44      ,367.43
200312      ,103.97      ,156.53      ,273.25      ,365.70
200401      ,111.64      ,168.03      ,296.89      ,384.71
200402      ,115.43      ,172.09      ,300.49      ,408.50
200403      ,121.32      ,181.03      ,312.13      ,426.59
200404      ,121.84      ,184.14      ,313.72      ,436.68
200405      ,113.42      ,169.66      ,291.62      ,406.53
200406      ,109.54      ,164.55      ,285.18      ,393.71
200407       ,98.26      ,141.01      ,410.46      ,307.28
200408       ,97.81      ,135.54      ,395.72      ,299.33
200409      ,101.55      ,140.56      ,415.05      ,310.50
200410      ,107.17      ,149.37      ,436.81      ,328.62
200411      ,109.66      ,152.93      ,447.13      ,339.24
200412      ,119.92      ,166.94      ,487.90      ,367.63
200501      ,125.56      ,173.66      ,515.63      ,384.41
200502      ,126.68      ,176.44      ,520.97      ,383.47
200503      ,135.68      ,190.74      ,567.58      ,422.99
200504      ,127.76      ,179.61      ,528.27      ,399.12
200505      ,125.01      ,172.88      ,512.96      ,389.28
200506      ,128.02      ,176.43      ,529.62      ,407.57
200507      ,116.92      ,208.84      ,575.26      ,433.61
200508      ,124.23      ,221.31      ,616.54      ,458.87
200509      ,123.08      ,225.46      ,626.77      ,460.53
200510      ,132.83      ,248.45      ,681.35      ,491.09
200511      ,126.09      ,234.69      ,631.19      ,464.45
200512      ,136.80      ,251.91      ,673.35      ,496.11
200601      ,145.01      ,265.11      ,713.32      ,525.70
200602      ,157.14      ,294.22      ,807.50      ,569.75
200603      ,160.04      ,296.76      ,801.77      ,572.49
200604      ,160.99      ,300.33      ,801.79      ,582.81
200605      ,174.12      ,319.93      ,864.65      ,615.08
200606      ,156.59      ,286.63      ,783.62      ,545.66
200607      ,163.54      ,275.29      ,659.35      ,569.45
200608      ,164.03      ,275.85      ,673.08      ,577.73
200609      ,166.78      ,288.70      ,691.68      ,588.64
200610      ,169.33      ,290.24      ,701.47      ,591.02
200611      ,178.06      ,299.10      ,725.24      ,627.40
200612      ,193.26      ,323.39      ,769.75      ,673.26
200701      ,203.53      ,335.48      ,802.58      ,701.85
200702      ,202.38      ,330.14      ,793.50      ,697.08
200703      ,203.44      ,329.96      ,796.51      ,697.33
200704      ,213.78      ,339.70      ,826.71      ,731.48
200705      ,227.48      ,353.69      ,857.78      ,768.86
200706      ,242.39      ,374.06      ,879.57      ,813.33
200707      ,260.69      ,366.05      ,720.71      ,752.15
200708      ,277.73      ,391.65      ,754.62      ,784.48
200709      ,269.31      ,377.47      ,736.02      ,761.21
200710      ,284.50      ,412.02      ,815.44      ,850.27
200711      ,308.35      ,457.84      ,902.29      ,922.56
200712      ,291.50      ,414.51      ,843.58      ,860.12
200801      ,295.40      ,414.41      ,863.40      ,859.35
200802      ,266.14      ,346.75      ,782.00      ,745.71
200803      ,284.30      ,373.86      ,828.26      ,807.21
200804      ,272.90      ,347.89      ,801.09      ,763.71
200805      ,287.67      ,375.28      ,870.55      ,812.75
200806      ,295.32      ,365.70      ,899.57      ,832.19
200807      ,187.20      ,441.61     ,1042.08      ,549.95
200808      ,185.41      ,419.18      ,965.19      ,540.06
200809      ,173.06      ,373.47      ,892.19      ,501.33
200810      ,143.72      ,300.57      ,743.25      ,405.59
200811      ,109.02      ,207.67      ,542.35      ,292.16
200812      ,105.25      ,190.02      ,495.27      ,265.72
200901      ,113.73      ,202.32      ,526.06      ,288.39
200902      ,104.49      ,187.14      ,506.72      ,269.34
200903      ,100.62      ,173.91      ,486.64      ,256.75
200904      ,113.28      ,197.87      ,544.78      ,295.15
200905      ,131.03      ,238.18      ,619.40      ,351.17
200906      ,152.50      ,286.63      ,715.89      ,414.30
200907      ,138.30      ,313.72      ,562.85      ,449.91
200908      ,153.59      ,352.36      ,613.24      ,499.01
200909      ,153.87      ,352.59      ,615.92      ,497.80
200910      ,166.56      ,383.05      ,675.02      ,539.13
200911      ,166.18      ,385.44      ,676.44      ,530.01
200912      ,173.39      ,401.86      ,697.49      ,556.68
201001      ,181.93      ,419.84      ,719.80      ,588.77
201002      ,175.15      ,397.16      ,688.50      ,564.01
201003      ,175.13      ,405.52      ,690.96      ,568.11
201004      ,189.32      ,443.81      ,740.17      ,607.66
201005      ,193.58      ,444.74      ,749.80      ,623.88
201006      ,177.18      ,400.56      ,682.42      ,565.19
201007      ,197.13      ,364.99      ,651.93      ,654.31
201008      ,215.39      ,389.13      ,701.14      ,707.56
201009      ,211.48      ,381.83      ,696.49      ,690.69
201010      ,237.54      ,421.85      ,765.40      ,771.52
201011      ,244.12      ,437.63      ,791.54      ,788.03
201012      ,237.16      ,425.75      ,785.80      ,771.31
201101      ,256.33      ,453.67      ,843.95      ,820.80
201102      ,250.42      ,439.81      ,824.67      ,805.37
201103      ,244.39      ,432.29      ,809.78      ,799.35
201104      ,255.35      ,459.00      ,857.49      ,840.30
201105      ,264.29      ,476.39      ,900.65      ,861.82
201106      ,255.43      ,457.36      ,884.84      ,842.69
201107      ,279.24      ,403.25      ,843.33      ,860.92
201108      ,280.32      ,403.16      ,836.90      ,865.65
201109      ,250.82      ,360.95      ,783.02      ,779.80
201110      ,212.17      ,296.75      ,685.70      ,667.77
201111      ,238.33      ,336.21      ,752.74      ,756.71
201112      ,219.37      ,311.14      ,719.68      ,713.73
201201      ,216.33      ,307.36      ,714.40      ,697.06
201202      ,242.58      ,346.83      ,775.69      ,775.72
201203      ,258.38      ,367.14      ,815.81      ,834.27
201204      ,248.16      ,350.36      ,792.87      ,825.42
201205      ,243.32      ,341.64      ,784.03      ,813.22
201206      ,215.83      ,305.71      ,707.35      ,724.33
201207      ,211.03      ,341.34      ,885.47      ,731.25
201208      ,211.80      ,344.70      ,897.00      ,741.35
201209      ,213.07      ,348.67      ,891.44      ,742.12
201210      ,225.94      ,370.44      ,928.74      ,790.01
201211      ,225.17      ,364.72      ,934.82      ,777.63
201212      ,227.05      ,365.50      ,941.61      ,798.40
201301      ,240.59      ,383.63      ,982.39      ,833.73
201302      ,245.39      ,389.90     ,1001.61      ,841.10
201303      ,243.77      ,387.39      ,988.49      ,836.73
201304      ,241.70      ,387.17      ,995.48      ,821.07
201305      ,244.86      ,390.44      ,999.48      ,833.38
201306      ,240.37      ,381.60      ,963.63      ,824.44
201307      ,231.86      ,357.07      ,706.40      ,969.19
201308      ,238.63      ,359.33      ,707.91      ,982.40
201309      ,233.05      ,349.21      ,682.26      ,963.33
201310      ,250.53      ,372.24      ,722.01     ,1028.48
201311      ,261.24      ,387.99      ,740.37     ,1082.96
201312      ,255.84      ,385.28      ,725.38     ,1067.59
201401      ,256.19      ,383.45      ,718.63     ,1056.85
201402      ,241.50      ,360.84      ,669.06      ,997.38
201403      ,247.87      ,375.26      ,684.97     ,1047.41
201404      ,255.42      ,383.56      ,713.39     ,1063.05
201405      ,256.18      ,381.86      ,726.28     ,1068.75
201406      ,265.31      ,395.32      ,751.83     ,1114.90
201407      ,257.80      ,440.61      ,771.96     ,1011.42
201408      ,260.39      ,447.40      ,785.71     ,1019.49
201409      ,266.24      ,458.11      ,806.39     ,1030.22
201410      ,249.40      ,423.13      ,758.09      ,976.66
201411      ,248.83      ,423.08      ,762.11      ,991.62
201412      ,245.33      ,417.38      ,756.11      ,981.29
201501      ,235.14      ,399.03      ,729.72      ,935.91
201502      ,237.33      ,400.81      ,738.40      ,945.53
201503      ,243.50      ,412.21      ,760.21      ,963.77
201504      ,239.33      ,413.78      ,745.73      ,954.99
201505      ,261.85      ,448.74      ,792.71     ,1003.38
201506      ,252.84      ,437.94      ,765.96      ,976.19
201507      ,246.94      ,411.97      ,776.52     ,1027.85
201508      ,227.15      ,379.69      ,730.38      ,965.02
201509      ,206.09      ,340.33      ,673.48      ,881.69
201510      ,201.94      ,334.85      ,651.49      ,859.31
201511      ,214.56      ,358.48      ,685.58      ,936.73
201512      ,208.39      ,349.67      ,662.72      ,915.65
201601      ,204.63      ,338.14      ,645.87      ,898.27
201602      ,190.22      ,312.50      ,616.06      ,850.89
201603      ,188.58      ,309.49      ,616.68      ,847.06
201604      ,212.62      ,345.45      ,682.14      ,950.68
201605      ,217.67      ,345.89      ,693.36      ,955.45
201606      ,207.50      ,333.17      ,663.70      ,934.14
201607      ,230.14      ,387.81      ,833.14      ,805.07
201608      ,240.65      ,402.27      ,872.25      ,836.57
201609      ,244.18      ,416.17      ,890.42      ,855.41
201610      ,246.43      ,421.11      ,889.31      ,874.94
201611      ,250.24      ,417.42      ,885.31      ,867.09
201612      ,241.34      ,395.89      ,857.68      ,817.24
201701      ,242.00      ,395.64      ,867.31      ,817.77
201702      ,258.31      ,413.62      ,913.11      ,854.21
201703      ,268.33      ,429.88      ,935.86      ,885.01
201704      ,274.90      ,441.11      ,968.95      ,908.33
201705      ,278.19      ,448.97      ,987.28      ,928.05
201706      ,281.79      ,461.58     ,1006.96      ,959.14
201707      ,270.33      ,483.09      ,817.92      ,979.69
201708      ,279.60      ,513.97      ,847.11     ,1037.64
201709      ,284.62      ,522.43      ,865.29     ,1059.83
201710      ,281.74      ,520.01      ,849.11     ,1078.09
201711      ,290.53      ,535.65      ,864.46     ,1123.76
201712      ,287.12      ,536.26      ,872.02     ,1136.40
201801      ,295.17      ,551.50      ,914.36     ,1174.08
201802      ,318.91      ,598.74      ,990.66     ,1252.80
201803      ,304.67      ,573.16      ,952.10     ,1194.51
201804      ,300.45      ,556.15      ,936.43     ,1192.50
201805      ,303.63      ,552.91      ,927.70     ,1167.85
201806      ,294.81      ,543.14      ,883.61     ,1135.93
201807      ,316.03      ,496.86      ,907.07      ,925.86
201808      ,319.33      ,508.52      ,941.89      ,922.17
201809      ,315.31      ,491.71      ,921.95      ,897.91
201810      ,314.78      ,481.95      ,927.04      ,867.55
201811      ,292.13      ,433.15      ,851.02      ,785.97
201812      ,301.89      ,459.17      ,873.93      ,835.61
201901      ,299.56      ,443.00      ,853.67      ,812.98
201902      ,321.45      ,480.81      ,906.11      ,878.79
201903      ,322.46      ,485.99      ,914.47      ,871.21
201904      ,322.18      ,490.92      ,924.68      ,886.70
201905      ,323.39      ,503.11      ,936.89      ,909.39
201906      ,306.59      ,469.53      ,883.79      ,836.44
201907      ,307.47      ,572.29      ,846.55      ,937.68
201908      ,296.07      ,558.16      ,825.19      ,939.06
201909      ,280.63      ,540.17      ,783.77      ,893.32
201910      ,284.69      ,542.82      ,798.62      ,928.16
201911      ,296.29      ,567.90      ,818.33      ,967.23
201912      ,294.23      ,581.41      ,801.81      ,960.70
202001      ,310.71      ,616.49      ,854.02     ,1046.52
202002      ,291.75      ,592.72      ,809.70     ,1014.68
202003      ,274.80      ,564.94      ,750.39      ,966.28
202004      ,230.43      ,463.35      ,609.74      ,810.61
202005      ,250.45      ,511.13      ,673.01      ,895.22
202006      ,253.29      ,531.97      ,680.83      ,898.82
