This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 OP portfolios
and 2 INV portfolios in Emerging_Markets.

The portfolios are constructed at the end of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,LoOP_LoINV,LoOP_HiINV,HiOP_LoINV,HiOP_HiINV
201502   ,2.60   ,2.89   ,2.90   ,2.04
201503  ,-1.73   ,0.30  ,-1.80  ,-0.86
201504   ,9.38   ,8.44   ,6.32   ,5.19
201505  ,-3.29  ,-2.35  ,-3.11  ,-2.73
201506  ,-1.94  ,-3.23  ,-2.30  ,-2.05
201507  ,-7.73  ,-7.35  ,-5.80  ,-6.03
201508  ,-8.82 ,-10.16  ,-7.79  ,-8.47
201509  ,-1.93  ,-0.79  ,-3.02  ,-2.37
201510   ,6.46   ,6.96   ,5.14   ,9.04
201511  ,-2.96  ,-2.61  ,-3.24  ,-2.39
201512  ,-1.58  ,-1.22  ,-2.11  ,-1.72
201601  ,-7.16  ,-7.67  ,-4.58  ,-5.53
201602  ,-0.92  ,-0.68   ,0.04  ,-0.46
201603  ,13.19  ,11.67  ,10.75  ,12.30
201604   ,2.40   ,0.57   ,1.69   ,0.47
201605  ,-4.59  ,-3.67  ,-3.94  ,-2.06
201606   ,3.89   ,3.11   ,5.19   ,4.47
201607   ,4.94   ,4.08   ,5.66   ,4.05
201608   ,1.95   ,3.53   ,2.22   ,2.25
201609   ,1.08   ,1.18   ,0.22   ,2.34
201610   ,1.51  ,-0.68  ,-0.50  ,-1.08
201611  ,-3.70  ,-5.06  ,-3.23  ,-5.80
201612   ,0.38  ,-0.12   ,1.44   ,0.02
201701   ,6.65   ,4.53   ,5.18   ,4.43
201702   ,3.81   ,4.03   ,2.35   ,3.66
201703   ,2.29   ,2.52   ,3.70   ,2.84
201704   ,1.13   ,1.82   ,2.01   ,2.21
201705   ,1.43   ,2.85   ,2.17   ,3.51
201706   ,0.09   ,1.18   ,0.69   ,1.22
201707   ,4.00   ,6.93   ,4.46   ,5.96
201708   ,1.80   ,1.68   ,2.64   ,2.19
201709  ,-0.86  ,-0.34  ,-1.82   ,1.73
201710   ,2.99   ,3.95   ,1.81   ,4.07
201711   ,0.09   ,0.04   ,0.70   ,1.12
201712   ,3.15   ,2.96   ,5.14   ,3.52
201801   ,7.99   ,8.47   ,8.28   ,6.73
201802  ,-4.58  ,-4.27  ,-3.86  ,-4.54
201803  ,-1.46  ,-2.96  ,-1.49  ,-0.20
201804   ,1.16  ,-0.59  ,-0.16  ,-2.17
201805  ,-3.07  ,-1.86  ,-4.31  ,-2.57
201806  ,-5.18  ,-3.33  ,-4.36  ,-4.30
201807   ,1.91   ,2.78   ,4.04  ,-0.26
201808  ,-1.94  ,-3.63  ,-1.99  ,-2.71
201809  ,-0.18  ,-2.00   ,0.86  ,-3.36
201810  ,-7.24 ,-10.17  ,-8.11  ,-9.42
201811   ,3.28   ,5.96   ,2.67   ,6.14
201812  ,-0.45  ,-3.49  ,-2.20  ,-2.45
201901   ,7.20   ,8.53   ,6.09   ,8.33
201902   ,0.22   ,1.07   ,0.83  ,-0.64
201903  ,-0.07   ,1.08   ,1.14   ,2.00
201904   ,0.61   ,2.53   ,1.45   ,2.56
201905  ,-5.00  ,-6.43  ,-5.38  ,-7.73
201906   ,4.95   ,5.38   ,5.43   ,6.59
201907  ,-3.09  ,-1.74  ,-2.03   ,0.21
201908  ,-5.09  ,-3.11  ,-4.68  ,-4.78
201909   ,1.47   ,0.55   ,2.28   ,4.16
201910   ,4.04   ,4.65   ,2.68   ,4.24
201911  ,-0.74   ,2.21  ,-2.07  ,-0.66
201912   ,5.86   ,5.92   ,6.71   ,9.06
202001  ,-6.18  ,-3.89  ,-5.13  ,-3.13
202002  ,-5.84  ,-4.78  ,-7.25  ,-4.60
202003 ,-16.01 ,-17.92 ,-18.58 ,-15.80
202004   ,8.77  ,10.45  ,10.67  ,10.52
202005   ,1.13   ,4.03   ,1.23   ,0.46
202006   ,6.18   ,8.42   ,3.92   ,9.24



  Average Equal Weighted Returns -- Monthly
,LoOP_LoINV,LoOP_HiINV,HiOP_LoINV,HiOP_HiINV
199207   ,2.47   ,0.21  ,-0.02   ,1.66
199208  ,-1.87  ,-2.37   ,0.48  ,-1.36
199209   ,0.56   ,3.03   ,1.44   ,3.92
199210   ,2.60   ,4.94   ,1.29   ,3.67
199211  ,-3.54   ,0.08  ,-2.32   ,0.19
199212   ,1.39   ,0.51   ,1.03  ,-1.24
199301   ,0.32   ,1.05   ,0.58   ,2.65
199302   ,4.50   ,8.91   ,6.10   ,7.70
199303   ,1.19   ,2.82   ,0.78   ,2.66
199304   ,7.18   ,5.88   ,7.24   ,8.40
199305   ,7.75   ,7.09   ,3.86   ,4.81
199306  ,-2.95  ,-1.24  ,-1.21  ,-0.84
199307   ,5.30   ,4.05   ,2.07   ,3.84
199308  ,11.26   ,8.19   ,6.06   ,7.05
199309   ,5.93   ,3.90   ,4.93   ,3.45
199310  ,13.14  ,13.39   ,8.23  ,13.15
199311   ,7.62   ,7.26   ,3.90   ,5.61
199312  ,16.86  ,19.83  ,14.62  ,17.52
199401  ,-3.16  ,-2.65  ,-2.89  ,-3.55
199402   ,2.83   ,1.51   ,1.81   ,0.93
199403  ,-6.91  ,-7.24  ,-7.25  ,-6.99
199404   ,1.33  ,-0.10   ,2.48   ,1.78
199405  ,-1.91  ,-1.44   ,2.58  ,-0.06
199406   ,1.14  ,-2.31  ,-0.31  ,-0.95
199407   ,4.26   ,3.60   ,3.92   ,4.98
199408   ,8.50   ,8.77   ,7.35  ,10.10
199409   ,3.34   ,1.47   ,1.49   ,2.85
199410   ,0.29   ,0.14   ,2.01  ,-0.16
199411  ,-3.38  ,-3.87  ,-3.03  ,-4.46
199412  ,-1.38   ,0.25  ,-2.83  ,-1.39
199501  ,-9.95 ,-11.50  ,-9.15 ,-10.03
199502   ,3.99   ,0.77   ,1.67   ,1.41
199503  ,-0.67  ,-1.72   ,1.76   ,2.19
199504  ,-2.37  ,-2.82  ,-0.95  ,-2.94
199505   ,3.93   ,3.79   ,5.79   ,4.99
199506  ,-0.38  ,-1.44   ,0.21   ,0.96
199507   ,3.03   ,3.08   ,2.26   ,2.46
199508  ,-3.97  ,-4.57  ,-5.10  ,-3.57
199509   ,1.51   ,0.95  ,-0.13   ,0.93
199510  ,-2.31  ,-2.21  ,-1.54  ,-1.91
199511  ,-3.82  ,-4.74  ,-4.70  ,-4.24
199512  ,-0.22   ,0.33   ,1.26   ,2.53
199601   ,5.05   ,5.11   ,5.00   ,6.99
199602  ,-0.36   ,0.08   ,2.68   ,2.26
199603   ,2.18   ,1.05   ,2.89   ,3.15
199604   ,7.41   ,6.92   ,6.49   ,2.97
199605  ,-3.01  ,-1.32  ,-2.88  ,-3.12
199606  ,-0.65  ,-0.36   ,0.44   ,1.20
199607  ,-0.94  ,-2.60  ,-1.56  ,-3.27
199608   ,1.41   ,1.24   ,1.06   ,1.18
199609   ,2.37   ,1.58   ,1.24   ,1.82
199610  ,-1.53  ,-0.39  ,-0.93   ,0.15
199611   ,1.97   ,0.43   ,0.06   ,1.08
199612  ,-1.55  ,-1.35  ,-2.01   ,0.12
199701   ,6.76   ,5.12   ,7.68   ,6.78
199702   ,4.33   ,4.08   ,3.85   ,3.95
199703  ,-1.09  ,-1.80   ,0.31  ,-0.66
199704   ,0.54  ,-0.18  ,-1.69  ,-0.57
199705   ,0.49  ,-0.98   ,0.08   ,0.97
199706   ,1.58   ,1.48   ,1.77   ,4.27
199707  ,-0.40   ,0.58  ,-1.29   ,1.47
199708  ,-8.24  ,-9.73  ,-9.08  ,-9.63
199709  ,-2.54  ,-1.77  ,-1.77  ,-2.60
199710 ,-16.44 ,-16.68 ,-14.38 ,-15.83
199711 ,-16.12 ,-14.53 ,-13.44 ,-13.06
199712 ,-16.48 ,-13.78 ,-14.29 ,-11.80
199801   ,6.45   ,2.24   ,5.21   ,1.17
199802  ,19.19  ,20.70  ,18.62  ,22.24
199803  ,10.09   ,8.06   ,6.35   ,5.64
199804  ,-4.35  ,-3.54  ,-4.18  ,-3.28
199805 ,-11.95 ,-10.77 ,-10.84  ,-9.32
199806 ,-12.58 ,-13.45 ,-12.46 ,-13.92
199807   ,6.47   ,3.19   ,3.94   ,1.54
199808 ,-13.50 ,-17.14 ,-15.69 ,-17.16
199809   ,5.73   ,7.90   ,3.53   ,8.31
199810  ,11.81  ,10.13   ,8.53   ,3.43
199811  ,22.50  ,18.84  ,14.58  ,17.64
199812   ,5.23   ,0.66   ,2.71   ,0.51
199901   ,1.59  ,-1.02  ,-3.75  ,-3.30
199902  ,-2.55  ,-3.73   ,0.23  ,-1.12
199903   ,9.02   ,7.94  ,10.14   ,8.47
199904  ,14.26  ,16.42  ,13.72  ,12.83
199905   ,8.92  ,10.47   ,6.70   ,8.52
199906  ,17.37  ,18.90  ,12.79  ,14.19
199907   ,3.46  ,-0.22   ,2.33  ,-2.21
199908   ,6.55   ,7.39   ,2.02   ,2.93
199909  ,-3.34  ,-5.32  ,-2.56  ,-3.92
199910   ,4.53   ,3.12   ,4.45   ,3.82
199911   ,5.11   ,3.46   ,6.12   ,5.50
199912   ,7.69   ,6.47   ,9.14  ,11.00
200001   ,8.77   ,7.34   ,6.79   ,4.66
200002   ,3.07   ,1.73   ,4.74   ,4.72
200003   ,2.68   ,1.73   ,5.09   ,3.42
200004  ,-8.64  ,-9.29  ,-6.64  ,-8.26
200005  ,-3.27  ,-3.27  ,-4.52  ,-5.14
200006  ,-0.06   ,1.11   ,0.15   ,0.24
200007  ,-2.29  ,-6.29  ,-2.91  ,-4.62
200008   ,0.90   ,0.36   ,2.42   ,2.74
200009  ,-8.60  ,-8.61  ,-6.81 ,-10.57
200010  ,-9.08 ,-10.60  ,-7.13  ,-8.33
200011  ,-3.89  ,-5.28  ,-4.48  ,-4.17
200012  ,-1.91  ,-4.46  ,-1.36  ,-5.78
200101  ,13.14  ,17.63  ,10.64  ,16.12
200102  ,-0.10  ,-2.24  ,-1.69  ,-3.49
200103  ,-7.25  ,-9.34  ,-5.70  ,-8.53
200104   ,0.70   ,2.55   ,2.11   ,3.06
200105   ,3.22   ,2.22   ,3.03   ,4.30
200106  ,-0.05  ,-2.24   ,2.56  ,-2.02
200107  ,-4.06  ,-6.08  ,-3.63  ,-3.30
200108   ,2.15  ,-1.66   ,1.86   ,0.70
200109 ,-13.57 ,-15.40 ,-12.37 ,-13.93
200110   ,6.16   ,8.53   ,5.78   ,6.55
200111  ,10.25  ,12.75  ,10.43  ,12.60
200112   ,4.84   ,4.85   ,5.82   ,5.76
200201   ,7.83   ,3.97   ,6.09   ,4.14
200202   ,1.46  ,-0.48   ,0.60  ,-0.05
200203   ,7.29   ,7.59   ,6.71   ,7.50
