This file was created using the 202006 Bloomberg database.

Missing data are indicated by -99.99.



        Mkt-RF     SMB     HML      RF
200812    6.64    0.57    0.64    0.00
200901   -9.02    4.53   -2.54    0.00
200902   -9.95    1.77   -3.57    0.01
200903    6.07   -2.13   -0.24    0.02
200904   12.38   -1.20    2.36    0.01
200905   13.67    2.92   -1.46    0.00
200906   -0.78    2.83    0.32    0.01
200907    9.26   -3.31    3.74    0.01
200908    4.20    1.96    3.68    0.01
200909    4.64    1.32   -0.06    0.01
200910   -1.83    1.45   -1.11    0.00
200911    2.32   -1.90   -1.59    0.00
200912    1.23   -1.52    1.06    0.01
201001   -4.01    3.74   -0.68    0.00
201002   -0.22    0.10   -1.10    0.00
201003    6.32   -1.28    3.97    0.01
201004   -0.66    4.18    0.06    0.01
201005  -10.71    0.27   -2.51    0.01
201006   -1.22    0.52   -2.08    0.01
201007    9.24   -2.74    2.39    0.01
201008   -3.27    0.76   -2.29    0.01
201009   10.01    0.51   -0.66    0.01
201010    3.98   -0.61   -0.68    0.01
201011   -4.29    2.94   -1.93    0.01
201012    8.27    2.10    0.98    0.01
201101    2.13   -1.07    4.20    0.01
201102    3.41   -0.41   -0.32    0.01
201103   -1.60    0.95   -1.32    0.01
201104    5.70   -1.63   -1.25    0.00
201105   -2.77   -0.08   -0.83    0.00
201106   -1.38   -0.68    1.23    0.00
201107   -1.18    2.39   -2.44    0.00
201108   -8.57    1.38   -2.39    0.01
201109  -10.32   -0.19    2.17    0.00
201110    8.74   -4.03   -2.51    0.00
201111   -4.62   -0.27   -1.20    0.00
201112   -1.31    0.00    0.88    0.00
201201    6.02    1.63    0.93    0.00
201202    5.35   -0.45   -0.08    0.00
201203   -0.25    0.32   -0.27    0.00
201204   -1.45    0.89   -2.24    0.00
201205  -11.24    0.66   -0.28    0.01
201206    5.81   -3.73    2.24    0.00
201207    0.79   -0.93   -1.99    0.00
201208    2.95   -0.76    0.90    0.01
201209    3.42    0.73    1.34    0.01
201210    0.77   -0.92    0.67    0.01
201211    1.79   -2.37    0.83    0.01
201212    3.29    0.48    3.65    0.01
201301    5.26    0.23    2.37    0.00
201302   -0.94    1.01   -1.05    0.00
201303    0.82    1.67   -3.08    0.00
201304    4.40   -1.15    1.62    0.00
201305   -1.49   -0.80    0.91    0.00
201306   -3.74    0.01   -0.17    0.00
201307    5.49   -0.52    0.83    0.00
201308   -1.04    1.59    0.25    0.00
201309    7.08    1.15    0.24    0.00
201310    3.30   -1.37    2.20    0.00
201311    0.62   -0.45   -0.17    0.00
201312    1.70    0.29   -0.47    0.00
201401   -3.19    4.04    1.24    0.00
201402    5.36   -1.90    0.22    0.00
201403   -0.25    0.43    1.09    0.00
201404    1.08   -1.99    0.74    0.00
201405    1.42   -0.60   -0.38    0.00
201406    1.48    2.01   -0.33    0.00
201407   -1.93    0.67    0.21    0.00
201408   -0.23    0.10   -0.10    0.00
201409   -4.10   -1.64   -0.06    0.00
201410   -1.80   -1.87   -2.32    0.00
201411    0.82   -1.91   -1.21    0.00
201412   -2.90    1.76   -0.62    0.00
201501   -0.27   -0.65   -1.16    0.00
201502    5.64   -1.39    0.76    0.00
201503   -1.27    0.77   -0.80    0.00
201504    4.90    2.47    0.86    0.00
201505   -0.42    1.97   -0.80    0.00
201506   -2.59    2.12    0.15    0.00
201507    0.77   -3.06   -3.15    0.00
201508   -6.34    1.85    0.05    0.00
201509   -4.64    1.81   -2.01    0.00
201510    6.83   -2.66    1.12    0.00
201511   -1.31    1.24   -2.28    0.00
201512   -1.21    2.66   -1.26    0.01
201601   -6.75   -0.64   -1.58    0.01
201602   -1.08    1.64   -0.44    0.02
201603    7.01    1.71   -0.22    0.02
201604    3.25    0.54    2.95    0.01
201605   -0.92    0.42   -2.03    0.01
201606   -3.28    1.13   -1.45    0.02
201607    5.03    0.01    2.22    0.02
201608    0.09   -0.24    2.47    0.02
201609    1.59    2.18   -0.46    0.02
201610   -1.67    0.29    5.12    0.02
201611   -2.20   -0.24    2.85    0.01
201612    2.79   -1.10    1.85    0.03
201701    3.56    1.33    0.85    0.04
201702    0.77    0.65   -0.72    0.04
201703    3.02   -1.03   -0.86    0.03
201704    2.77   -0.66   -0.64    0.05
201705    3.52   -0.31   -1.75    0.06
201706    0.35    1.47    1.18    0.06
201707    3.21    0.29    2.01    0.07
201708    0.24    0.48   -0.30    0.09
201709    2.15   -0.08    0.99    0.09
201710    1.41    0.00   -0.07    0.09
201711    0.74    0.07   -0.17    0.08
201712    1.78    1.78    0.06    0.09
201801    4.72    0.30    0.19    0.11
201802   -4.30    1.33   -0.36    0.11
201803   -1.24   -0.45   -1.58    0.12
201804    1.71   -2.11    2.13    0.14
201805   -1.73    1.78   -4.51    0.14
201806   -1.51   -1.25   -1.04    0.14
201807    1.76   -2.44    1.12    0.16
201808   -2.00    0.67   -3.37    0.16
201809    0.68   -0.90    1.60    0.15
201810   -8.72   -1.20    1.90    0.19
201811   -0.15    0.05   -1.51    0.18
201812   -5.27   -2.15    1.86    0.19
201901    6.44   -0.72   -1.50    0.21
201902    2.33   -0.65   -1.80    0.18
201903    0.39   -1.16   -2.05    0.19
201904    2.79   -0.69   -1.24    0.21
