cmtcode,date,value
2000003,1956-03-29,1.0116807750249E-01
2000003,1956-04-30,-4.4905473977272E-02
2000003,1956-05-31,3.5862386880150E-01
2000003,1956-06-29,5.0857817887116E-01
2000003,1956-07-31,1.6399883834149E-02
2000003,1956-08-31,1.1956287811771E-02
2000003,1956-09-28,2.1860312602470E-01
2000003,1956-10-31,3.9705802159449E-01
2000003,1956-11-30,-2.3253555749763E-01
2000003,1956-12-31,2.0515729250862E-01
2000003,1957-01-31,8.4732530421478E-01
2000003,1957-02-28,3.3718341745728E-02
2000003,1957-03-29,1.7629906387435E-01
2000003,1957-04-30,1.2749681257970E-01
2000003,1957-05-31,2.7520674735746E-01
2000003,1957-06-27,2.1146817977205E-01
2000003,1957-07-31,1.4296932861124E-01
2000003,1957-08-30,3.1502050348965E-01
2000003,1957-09-30,2.1115893770812E-01
2000003,1957-10-31,5.9335190292237E-01
2000003,1957-11-29,9.5310195890606E-01
2000003,1957-12-31,7.1615782507837E-01
2000003,1958-01-31,8.1534494839891E-01
2000003,1958-02-28,4.5320819486909E-01
2000003,1958-03-31,2.8501811088481E-01
2000003,1958-04-30,3.1015451021361E-01
2000003,1958-05-29,3.6606694725518E-01
2000003,1958-06-30,-2.1505009301763E-02
2000003,1958-07-31,-1.7559473957789E-01
2000003,1958-08-29,-8.1385869565217E-01
2000003,1958-09-30,-3.0821495595960E-02
2000003,1958-10-31,5.3200600176765E-01
2000003,1958-11-28,9.7487067775400E-02
2000003,1958-12-31,4.9813479834770E-01
2000003,1959-01-30,-1.7735175278365E-01
2000003,1959-02-27,3.6237170651153E-01
2000003,1959-03-31,2.6790519801429E-01
2000003,1959-04-30,7.0466752660010E-02
2000003,1959-05-29,2.4385425380931E-01
2000003,1959-06-30,2.0656399420265E-01
2000003,1959-07-31,2.2641407416918E-01
2000003,1959-08-31,1.0600891604116E-01
2000003,1959-09-30,1.6807040249449E-01
2000003,1959-10-30,1.0715054547475E+00
2000003,1959-11-30,8.7189684980086E-02
2000003,1959-12-31,3.4179117794418E-01
2000003,1960-01-29,6.7164230964344E-01
2000003,1960-02-29,4.9873159956512E-01
2000003,1960-03-31,1.1915877462096E+00
2000003,1960-04-29,-2.0835238995436E-01
2000003,1960-05-31,4.3691107413113E-01
2000003,1960-06-30,1.3748991039755E+00
2000003,1960-07-29,3.1045926560325E-01
2000003,1960-08-31,1.2045436192834E-01
2000003,1960-09-30,3.1639018344153E-01
2000003,1960-10-31,3.3403205084861E-01
2000003,1960-11-30,7.9851053917752E-02
2000003,1960-12-30,5.5295147162031E-01
2000003,1961-01-31,6.4683053040109E-02
2000003,1961-02-28,1.1572596982451E-01
2000003,1961-03-30,3.2784477915727E-01
2000003,1961-04-28,2.8173183502459E-01
2000003,1961-05-31,2.6036113795530E-01
2000003,1961-06-30,2.0187834635301E-01
2000003,1961-07-31,3.6470405908038E-01
2000003,1961-08-31,4.2133551324127E-01
2000003,1961-09-29,3.1117549224743E-01
2000003,1961-10-31,3.8030650576775E-01
2000003,1961-11-30,2.0912409292009E-01
2000003,1961-12-29,2.3577964698073E-01
2000003,1962-01-31,2.5926377211867E-01
2000003,1962-02-28,3.7188901752920E-01
2000003,1962-03-30,4.7561975868230E-01
2000003,1962-04-30,1.8137532589566E-01
2000003,1962-05-31,2.0861581263505E-01
2000003,1962-06-29,9.9474880900831E-02
2000003,1962-07-31,2.2033256446449E-01
2000003,1962-08-31,3.6662519621299E-01
2000003,1962-09-28,3.5816618911173E-01
2000003,1962-10-31,3.9092657777314E-01
2000003,1962-11-30,1.7456265583396E-01
2000003,1962-12-31,2.1955227499260E-01
2000003,1963-01-31,2.8089510113567E-01
2000003,1963-02-28,2.5771680606797E-01
2000003,1963-03-29,2.4387789072723E-01
2000003,1963-04-30,2.8472266212356E-01
2000003,1963-05-31,1.7772468176723E-01
2000003,1963-06-28,2.9351355381872E-01
2000003,1963-07-31,-1.2474157703277E-02
2000003,1963-08-30,2.4542803053534E-01
2000003,1963-09-30,3.3839562274554E-01
2000003,1963-10-31,1.8590296194418E-01
2000003,1963-11-29,2.8277069300168E-01
2000003,1963-12-31,3.2923705841713E-01
2000003,1964-01-31,4.7179117372936E-01
2000003,1964-02-28,1.6893893483832E-01
2000003,1964-03-31,4.1602051678688E-01
2000003,1964-04-30,5.2469063368547E-01
2000003,1964-05-28,2.5272873808698E-01
2000003,1964-06-30,3.9217963939658E-01
2000003,1964-07-31,4.4810594915601E-01
2000003,1964-08-31,1.9918545780744E-01
2000003,1964-09-30,2.7594530224035E-01
2000003,1964-10-30,2.2827088144598E-01
2000003,1964-11-30,1.4915552366247E-01
2000003,1964-12-31,5.3490551236880E-01
2000003,1965-01-29,3.0099304267471E-01
2000003,1965-02-26,1.6878863654475E-01
2000003,1965-03-31,4.6082270522932E-01
2000003,1965-04-30,3.2668450953934E-01
2000003,1965-05-28,3.3230866517685E-01
2000003,1965-06-30,4.7328533917431E-01
2000003,1965-07-30,2.6487499192454E-01
2000003,1965-08-31,2.5235762815826E-01
2000003,1965-09-30,2.0461084063421E-01
2000003,1965-10-29,4.0429275630953E-01
2000003,1965-11-30,3.1435807774540E-01
2000003,1965-12-31,3.1275692081775E-02
2000003,1966-01-31,5.2195502634022E-01
2000003,1966-02-28,2.4176436713009E-01
2000003,1966-03-31,6.9199642643387E-01
2000003,1966-04-29,3.9933888369897E-01
2000003,1966-05-31,3.3695652173913E-01
2000003,1966-06-30,4.3411612237734E-01
2000003,1966-07-29,7.6668775623405E-02
2000003,1966-08-31,3.3308712888414E-03
2000003,1966-09-30,4.6769503314009E-01
2000003,1966-10-31,4.0540812425809E-01
2000003,1966-11-30,5.1688596305500E-01
2000003,1966-12-30,8.8672016003632E-01
2000003,1967-01-31,7.2887811054427E-01
2000003,1967-02-28,2.6925519095918E-01
2000003,1967-03-31,8.7804060024393E-01
2000003,1967-04-28,2.0832304209556E-01
2000003,1967-05-31,4.2294879295375E-01
2000003,1967-06-30,-5.7106845182994E-01
2000003,1967-07-31,3.9627992008614E-01
2000003,1967-08-31,3.6044511477887E-01
2000003,1967-09-29,3.8979504989777E-01
2000003,1967-10-31,3.6079374624174E-01
2000003,1967-11-30,3.3355204183459E-01
2000003,1967-12-29,5.0630307335122E-01
2000003,1968-01-31,7.8114446275632E-01
2000003,1968-02-29,3.4713943137393E-01
2000003,1968-03-29,3.9245806751012E-01
2000003,1968-04-30,2.4334226499700E-01
2000003,1968-05-31,4.1089583266625E-01
2000003,1968-06-28,6.9313040792867E-01
2000003,1968-07-31,9.7318132908376E-01
2000003,1968-08-30,5.4434699327681E-01
2000003,1968-09-30,4.0905598627245E-01
2000003,1968-10-31,2.1432264607672E-01
2000003,1968-11-29,3.2151567938631E-01
2000003,1968-12-31,-1.3854653547534E-01
2000003,1969-01-31,5.9195110922320E-01
2000003,1969-02-28,3.7014038346580E-01
2000003,1969-03-28,7.6800088702862E-01
2000003,1969-04-30,5.4477130722878E-01
2000003,1969-05-29,1.2975047229393E-01
2000003,1969-06-30,-1.0009204142489E-01
2000003,1969-07-31,5.1581623030217E-01
2000003,1969-08-29,5.3636037033988E-01
2000003,1969-09-30,5.6525374915529E-01
2000003,1969-10-31,1.0917752016962E+00
2000003,1969-11-28,1.6500019901753E-01
2000003,1969-12-31,5.2078785749891E-01
2000003,1970-01-30,6.4628057582540E-01
2000003,1970-02-27,1.6646484373438E+00
2000003,1970-03-31,8.3666499341701E-01
2000003,1970-04-30,-2.9250877589151E-01
2000003,1970-05-29,7.5363068602421E-01
2000003,1970-06-30,8.8784786878859E-01
2000003,1970-07-31,9.4876723278712E-01
2000003,1970-08-31,6.9631472537041E-01
2000003,1970-09-30,6.8255057262121E-01
2000003,1970-10-30,7.8730904817863E-01
2000003,1970-11-30,1.7298894863009E+00
2000003,1970-12-31,5.1234246034154E-01
2000003,1971-01-29,1.3628092454218E+00
2000003,1971-02-26,9.4818737077758E-01
2000003,1971-03-31,3.4271831212340E-01
2000003,1971-04-30,-4.7666017270345E-01
2000003,1971-05-28,1.3627175429795E-01
2000003,1971-06-30,-5.3238440333113E-01
2000003,1971-07-30,7.0035704476791E-01
2000003,1971-08-31,1.2818989645875E+00
2000003,1971-09-30,4.1501562024066E-01
2000003,1971-10-29,1.1655259485680E+00
2000003,1971-11-30,3.8619324502512E-01
2000003,1971-12-31,8.9527268465512E-01
2000003,1972-01-31,5.8353369289754E-01
2000003,1972-02-29,3.4111171408635E-01
2000003,1972-03-30,-1.6440228252077E-01
2000003,1972-04-28,9.0875443176063E-01
2000003,1972-05-31,5.0843054645687E-01
2000003,1972-06-30,-1.0778707324722E-01
2000003,1972-07-31,7.6797179906835E-01
2000003,1972-08-31,-1.7436933707061E-01
2000003,1972-09-29,3.0088814496792E-01
2000003,1972-10-31,6.6024900766483E-01
2000003,1972-11-30,5.9174480815276E-01
2000003,1972-12-29,4.0245585246632E-01
2000003,1973-01-31,7.1113639596240E-03
2000003,1973-02-28,2.9780245907123E-01
2000003,1973-03-30,4.7784889771656E-02
2000003,1973-04-30,8.7622503806758E-01
2000003,1973-05-31,2.3169786702221E-01
2000003,1973-06-29,3.9893437191504E-02
2000003,1973-07-31,-3.1569356631727E-01
2000003,1973-08-31,9.5069083534036E-01
2000003,1973-09-28,1.6156388511696E+00
2000003,1973-10-31,9.8100280286515E-01
2000003,1973-11-30,4.3559936444920E-01
2000003,1973-12-31,5.5151692360431E-01
2000003,1974-01-31,7.6930328393184E-01
2000003,1974-02-28,4.4306583936334E-01
2000003,1974-03-29,-5.3372884276934E-01
2000003,1974-04-30,1.5552905801232E-01
2000003,1974-05-31,1.0088438880099E+00
2000003,1974-06-28,3.6989831259870E-01
2000003,1974-07-31,6.6638218568478E-01
2000003,1974-08-30,4.5505893819123E-02
2000003,1974-09-30,2.2223410084056E+00
2000003,1974-10-31,1.1351467123581E+00
2000003,1974-11-29,7.2433372880206E-01
2000003,1974-12-31,1.0211389014137E+00
2000003,1975-01-31,1.5997477965738E+00
2000003,1975-02-28,7.3901059630653E-01
2000003,1975-03-31,2.3136833186694E-01
2000003,1975-04-30,6.8132496677500E-02
2000003,1975-05-30,1.2460658888609E+00
2000003,1975-06-30,-1.1826149110197E-01
2000003,1975-07-31,2.8881264428104E-01
2000003,1975-08-29,4.8999467909559E-01
2000003,1975-09-30,4.5237966455065E-01
2000003,1975-10-31,2.0319557742871E+00
2000003,1975-11-28,3.4195952737241E-01
2000003,1975-12-31,1.1101712142375E+00
2000003,1976-01-30,1.1287500809953E+00
2000003,1976-02-27,-7.0096265538108E-03
2000003,1976-03-31,6.9072252163485E-01
2000003,1976-04-30,5.5248618784530E-01
2000003,1976-05-28,-1.0500663721196E-01
2000003,1976-06-30,9.1162871848554E-01
2000003,1976-07-30,8.9334572809323E-01
2000003,1976-08-31,7.9822844783191E-01
2000003,1976-09-30,6.4780302920431E-01
2000003,1976-10-29,7.7242094349405E-01
2000003,1976-11-30,1.0535234632943E+00
2000003,1976-12-31,5.7967463423755E-01
2000003,1977-01-31,-2.6449763387136E-01
2000003,1977-02-28,6.1483541517311E-01
2000003,1977-03-31,7.0349932260516E-01
2000003,1977-04-29,4.4168773309681E-01
2000003,1977-05-31,3.0027169003024E-01
2000003,1977-06-30,7.8875148679989E-01
2000003,1977-07-29,-1.1281457431581E-02
2000003,1977-08-31,4.5487633358478E-01
2000003,1977-09-30,2.8633249549012E-01
2000003,1977-10-31,2.7155850532595E-01
2000003,1977-11-30,6.8155944038251E-01
2000003,1977-12-30,3.9377102247480E-01
2000003,1978-01-31,4.1188703293755E-01
2000003,1978-02-28,5.4232991765125E-01
2000003,1978-03-31,5.6664529022758E-01
2000003,1978-04-28,4.5028014199562E-01
2000003,1978-05-31,3.0187064723921E-01
2000003,1978-06-30,2.5913110728330E-01
2000003,1978-07-31,7.5001631590337E-01
2000003,1978-08-31,6.1441297833918E-01
2000003,1978-09-29,1.6703987583808E-01
2000003,1978-10-31,-1.4864014355155E-01
2000003,1978-11-30,5.8214054098219E-01
2000003,1978-12-29,4.0080430763418E-01
2000003,1979-01-31,1.3594263519570E+00
2000003,1979-02-28,5.8482135214257E-01
2000003,1979-03-30,1.1134136249547E+00
2000003,1979-04-30,6.2543432939542E-01
2000003,1979-05-31,1.1964178618986E+00
2000003,1979-06-29,1.3529735449735E+00
2000003,1979-07-31,2.4428505515706E-01
2000003,1979-08-31,2.0113901199187E-01
2000003,1979-09-28,3.1042307092439E-01
2000003,1979-10-31,-8.4623736741002E-01
2000003,1979-11-30,2.2201906084967E+00
2000003,1979-12-31,4.4336907756158E-01
2000003,1980-01-31,4.3601467982452E-01
2000003,1980-02-29,-1.7205148410822E+00
2000003,1980-03-31,6.9832571141283E-01
2000003,1980-04-30,5.6059095440950E+00
2000003,1980-05-30,2.7163538020999E+00
2000003,1980-06-30,1.1975533997247E+00
2000003,1980-07-31,2.5524934383203E-01
2000003,1980-08-29,-1.1295702686431E+00
2000003,1980-09-30,4.6509082950316E-01
2000003,1980-10-31,9.6476361684914E-04
2000003,1980-11-28,-1.2994233192206E-01
2000003,1980-12-31,2.2956957793564E+00
2000003,1981-01-30,6.0771801883927E-01
2000003,1981-02-27,6.5898824771699E-01
2000003,1981-03-31,2.1683837319837E+00
2000003,1981-04-30,-7.2228640313427E-01
2000003,1981-05-29,1.0433364463835E+00
2000003,1981-06-30,1.5183802056601E+00
2000003,1981-07-31,-2.1637292136872E-02
2000003,1981-08-31,8.1215756739956E-01
2000003,1981-09-30,1.6832460199360E+00
2000003,1981-10-30,2.9558305252159E+00
2000003,1981-11-30,3.9117469351161E+00
2000003,1981-12-31,-1.4932647859601E-01
2000003,1982-01-29,7.2040041533125E-01
2000003,1982-02-26,1.1353337455871E+00
2000003,1982-03-31,1.2555560343256E+00
2000003,1982-04-30,1.6625609752129E+00
2000003,1982-05-28,1.7477375026604E+00
2000003,1982-06-30,4.8379993506481E-02
2000003,1982-07-30,2.6424806529519E+00
2000003,1982-08-31,2.5120402124525E+00
2000003,1982-09-30,1.8571679112399E+00
2000003,1982-10-29,1.6577820608219E+00
2000003,1982-11-30,1.0151953667316E+00
2000003,1982-12-31,1.2634546066827E+00
2000003,1983-01-31,7.3581914340001E-01
2000003,1983-02-28,1.0684026482011E+00
2000003,1983-03-31,2.1964683991966E-01
2000003,1983-04-29,1.2345292476667E+00
2000003,1983-05-31,2.4528219872205E-01
2000003,1983-06-30,5.1062743345885E-01
2000003,1983-07-29,2.1978545509406E-01
2000003,1983-08-31,8.9642489191870E-01
2000003,1983-09-30,1.4604224553172E+00
2000003,1983-10-31,9.7128019307874E-01
2000003,1983-11-30,6.8689153309076E-01
2000003,1983-12-30,7.2582041199892E-01
2000003,1984-01-31,1.2070468291910E+00
2000003,1984-02-29,4.6767919985184E-01
2000003,1984-03-30,2.3252450232837E-01
2000003,1984-04-30,8.5027974136486E-01
2000003,1984-05-31,-6.7906809940629E-02
2000003,1984-06-29,1.0672334713055E+00
2000003,1984-07-31,1.5195991471501E+00
2000003,1984-08-31,9.2955006347585E-01
2000003,1984-09-28,1.4104187050115E+00
2000003,1984-10-31,1.9387232029022E+00
2000003,1984-11-30,1.6028031879392E+00
2000003,1984-12-31,1.1919828300278E+00
2000003,1985-01-31,1.0537411183989E+00
2000003,1985-02-28,-2.4352309735292E-03
2000003,1985-03-29,9.3012058739850E-01
2000003,1985-04-30,1.4406375532439E+00
2000003,1985-05-31,1.6507563333239E+00
2000003,1985-06-28,1.0745222306506E+00
2000003,1985-07-31,4.5016946169789E-01
2000003,1985-08-30,8.9592847514716E-01
2000003,1985-09-30,7.5017757070755E-01
2000003,1985-10-31,9.0473455784747E-01
2000003,1985-11-29,8.5946752437135E-01
2000003,1985-12-31,8.7719298245617E-01
2000003,1986-01-31,7.1572742126677E-01
2000003,1986-02-28,8.7369189583841E-01
2000003,1986-03-31,1.1684595579801E+00
2000003,1986-04-30,8.7244594838944E-01
2000003,1986-05-30,3.2545602626918E-01
2000003,1986-06-30,1.0356437385539E+00
2000003,1986-07-31,8.6448149028986E-01
