This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 OP portfolios
and 2 BE/ME portfolios in Emerging_Markets.

The portfolios are constructed at the end of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,LoBM_LoOP,LoBM_HiOP,HiBM_LoOP,HiBM_HiOP
200603   ,1078   ,1026   ,5562   ,1046
200604   ,1076   ,1025   ,5552   ,1043
200605   ,1075   ,1023   ,5536   ,1041
200606   ,1075   ,1022   ,5527   ,1040
200607   ,1116   ,1073   ,5952   ,1302
200608   ,1113   ,1069   ,5941   ,1300
200609   ,1110   ,1066   ,5934   ,1300
200610   ,1108   ,1064   ,5925   ,1294
200611   ,1107   ,1064   ,5911   ,1292
200612   ,1103   ,1061   ,5908   ,1292
200701   ,1103   ,1058   ,5902   ,1290
200702   ,1100   ,1056   ,5897   ,1287
200703   ,1095   ,1055   ,5887   ,1285
200704   ,1089   ,1052   ,5876   ,1284
200705   ,1081   ,1050   ,5853   ,1281
200706   ,1079   ,1047   ,5838   ,1279
200707   ,1588   ,1414   ,5791   ,1605
200708   ,1587   ,1410   ,5783   ,1603
200709   ,1584   ,1406   ,5766   ,1599
200710   ,1579   ,1403   ,5753   ,1594
200711   ,1575   ,1401   ,5744   ,1590
200712   ,1572   ,1397   ,5728   ,1586
200801   ,1567   ,1396   ,5713   ,1583
200802   ,1561   ,1393   ,5701   ,1581
200803   ,1558   ,1390   ,5683   ,1577
200804   ,1555   ,1390   ,5658   ,1572
200805   ,1539   ,1389   ,5636   ,1570
200806   ,1530   ,1384   ,5627   ,1566
200807   ,1354   ,1215   ,7130   ,2052
200808   ,1346   ,1211   ,7117   ,2049
200809   ,1339   ,1207   ,7106   ,2045
200810   ,1335   ,1205   ,7090   ,2039
200811   ,1335   ,1203   ,7076   ,2029
200812   ,1330   ,1199   ,7059   ,2021
200901   ,1325   ,1197   ,7046   ,2016
200902   ,1322   ,1195   ,7032   ,2013
200903   ,1317   ,1193   ,7016   ,2011
200904   ,1313   ,1193   ,7003   ,2007
200905   ,1300   ,1190   ,6977   ,2001
200906   ,1292   ,1189   ,6958   ,2000
200907   ,1339   ,1240   ,7131   ,2097
200908   ,1329   ,1234   ,7114   ,2096
200909   ,1322   ,1229   ,7100   ,2090
200910   ,1318   ,1224   ,7086   ,2090
200911   ,1314   ,1222   ,7080   ,2088
200912   ,1311   ,1218   ,7070   ,2084
201001   ,1309   ,1215   ,7052   ,2077
201002   ,1300   ,1215   ,7024   ,2061
201003   ,1298   ,1213   ,6996   ,2056
201004   ,1290   ,1207   ,6982   ,2051
201005   ,1283   ,1205   ,6949   ,2048
201006   ,1271   ,1203   ,6936   ,2042
201007   ,1489   ,1448   ,6842   ,1857
201008   ,1486   ,1448   ,6829   ,1856
201009   ,1483   ,1448   ,6817   ,1853
201010   ,1479   ,1444   ,6807   ,1851
201011   ,1478   ,1441   ,6801   ,1849
201012   ,1476   ,1435   ,6788   ,1844
201101   ,1474   ,1432   ,6771   ,1842
201102   ,1472   ,1430   ,6758   ,1839
201103   ,1469   ,1428   ,6753   ,1838
201104   ,1467   ,1426   ,6740   ,1835
201105   ,1461   ,1419   ,6721   ,1828
201106   ,1451   ,1415   ,6699   ,1819
201107   ,1623   ,1481   ,7231   ,1811
201108   ,1620   ,1479   ,7221   ,1808
201109   ,1618   ,1476   ,7201   ,1808
201110   ,1613   ,1470   ,7188   ,1805
201111   ,1611   ,1470   ,7171   ,1798
201112   ,1608   ,1467   ,7156   ,1796
201201   ,1600   ,1463   ,7135   ,1791
201202   ,1595   ,1462   ,7121   ,1787
201203   ,1593   ,1459   ,7110   ,1786
201204   ,1592   ,1458   ,7094   ,1782
201205   ,1590   ,1455   ,7070   ,1773
201206   ,1588   ,1450   ,7052   ,1766
201207   ,1639   ,1411   ,7578   ,1543
201208   ,1636   ,1408   ,7570   ,1541
201209   ,1631   ,1405   ,7557   ,1540
201210   ,1622   ,1403   ,7547   ,1538
201211   ,1615   ,1396   ,7525   ,1533
201212   ,1611   ,1396   ,7506   ,1529
201301   ,1602   ,1392   ,7487   ,1528
201302   ,1600   ,1389   ,7464   ,1526
201303   ,1598   ,1388   ,7447   ,1524
201304   ,1570   ,1375   ,7400   ,1505
201305   ,1562   ,1373   ,7380   ,1498
201306   ,1553   ,1369   ,7363   ,1491
201307   ,1717   ,1448   ,7370   ,1477
201308   ,1712   ,1443   ,7353   ,1473
201309   ,1712   ,1440   ,7343   ,1471
201310   ,1708   ,1437   ,7322   ,1466
201311   ,1705   ,1435   ,7310   ,1464
201312   ,1704   ,1434   ,7295   ,1461
201401   ,1699   ,1433   ,7276   ,1455
201402   ,1698   ,1431   ,7257   ,1455
201403   ,1695   ,1429   ,7244   ,1452
201404   ,1692   ,1427   ,7225   ,1447
201405   ,1685   ,1423   ,7208   ,1444
201406   ,1681   ,1421   ,7193   ,1440
201407   ,2071   ,1698   ,7352   ,1565
201408   ,2063   ,1694   ,7339   ,1561
201409   ,2061   ,1694   ,7332   ,1557
201410   ,2058   ,1693   ,7318   ,1549
201411   ,2057   ,1689   ,7313   ,1548
201412   ,2054   ,1688   ,7299   ,1548
201501   ,2053   ,1686   ,7287   ,1547
201502   ,2052   ,1680   ,7268   ,1546
201503   ,2052   ,1676   ,7262   ,1542
201504   ,2047   ,1672   ,7249   ,1540
201505   ,2040   ,1669   ,7235   ,1538
201506   ,2037   ,1664   ,7220   ,1539
201507   ,2356   ,1773   ,7212   ,1397
201508   ,2354   ,1772   ,7196   ,1392
201509   ,2351   ,1770   ,7194   ,1388
201510   ,2346   ,1768   ,7177   ,1386
201511   ,2343   ,1764   ,7163   ,1384
201512   ,2339   ,1762   ,7149   ,1381
201601   ,2334   ,1757   ,7142   ,1379
201602   ,2329   ,1755   ,7126   ,1375
201603   ,2326   ,1751   ,7116   ,1372
201604   ,2321   ,1748   ,7105   ,1370
201605   ,2316   ,1745   ,7094   ,1365
201606   ,2307   ,1744   ,7084   ,1366
201607   ,2374   ,1844   ,7273   ,1444
201608   ,2372   ,1841   ,7261   ,1443
201609   ,2368   ,1835   ,7249   ,1440
201610   ,2360   ,1832   ,7245   ,1435
201611   ,2355   ,1829   ,7236   ,1431
201612   ,2347   ,1827   ,7225   ,1427
201701   ,2344   ,1823   ,7198   ,1418
201702   ,2341   ,1824   ,7187   ,1415
201703   ,2338   ,1823   ,7177   ,1412
201704   ,2329   ,1818   ,7154   ,1404
201705   ,2325   ,1816   ,7139   ,1403
201706   ,2318   ,1816   ,7128   ,1401
201707   ,2286   ,2020   ,7565   ,1607
201708   ,2282   ,2014   ,7552   ,1601
201709   ,2278   ,2014   ,7530   ,1595
201710   ,2275   ,2011   ,7520   ,1592
201711   ,2271   ,2005   ,7504   ,1590
201712   ,2266   ,2002   ,7489   ,1586
201801   ,2259   ,2002   ,7480   ,1584
201802   ,2258   ,2000   ,7468   ,1584
201803   ,2255   ,1998   ,7455   ,1584
201804   ,2251   ,1996   ,7439   ,1578
201805   ,2251   ,1988   ,7431   ,1575
201806   ,2243   ,1986   ,7397   ,1574
201807   ,2283   ,2118   ,7448   ,1838
201808   ,2279   ,2115   ,7424   ,1833
201809   ,2248   ,2109   ,7355   ,1827
201810   ,2244   ,2104   ,7340   ,1824
201811   ,2239   ,2102   ,7329   ,1820
201812   ,2234   ,2096   ,7321   ,1818
201901   ,2230   ,2094   ,7305   ,1816
201902   ,2224   ,2094   ,7296   ,1813
201903   ,2222   ,2093   ,7279   ,1811
201904   ,2219   ,2091   ,7270   ,1807
201905   ,2218   ,2091   ,7256   ,1803
201906   ,2211   ,2089   ,7248   ,1801
201907   ,2235   ,2005   ,7682   ,2007
201908   ,2230   ,2002   ,7668   ,2002
201909   ,2228   ,2001   ,7655   ,2001
201910   ,2225   ,2000   ,7647   ,2001
201911   ,2223   ,2000   ,7637   ,1999
201912   ,2219   ,1999   ,7626   ,1995
202001   ,2213   ,1993   ,7614   ,1994
202002   ,2212   ,1989   ,7603   ,1993
202003   ,2208   ,1986   ,7591   ,1991
202004   ,2204   ,1984   ,7582   ,1989
202005   ,2203   ,1982   ,7572   ,1989
202006   ,2197   ,1976   ,7555   ,1984



  Average Firm Size
,LoBM_LoOP,LoBM_HiOP,HiBM_LoOP,HiBM_HiOP
199107      ,161.75      ,336.93      ,143.79      ,169.92
199108      ,154.74      ,348.30      ,144.59      ,179.52
199109      ,144.54      ,351.44      ,141.03      ,178.57
199110      ,136.20      ,336.71      ,134.32      ,166.60
199111      ,137.32      ,356.27      ,137.42      ,170.02
199112      ,138.24      ,357.60      ,140.20      ,168.28
199201      ,143.79      ,384.05      ,148.90      ,205.02
199202      ,160.06      ,409.29      ,163.56      ,225.43
199203      ,157.87      ,446.34      ,170.67      ,263.67
199204      ,158.09      ,442.96      ,164.75      ,251.01
199205      ,153.30      ,436.84      ,160.43      ,243.61
199206      ,147.52      ,432.58      ,156.53      ,249.24
199207      ,167.90      ,355.96      ,109.29      ,114.48
199208      ,166.61      ,369.78      ,108.30      ,114.33
199209      ,158.43      ,356.22      ,104.29      ,111.29
199210      ,161.27      ,356.03      ,103.40      ,117.69
199211      ,174.27      ,373.14      ,108.45      ,119.51
199212      ,170.56      ,378.29      ,109.10      ,114.42
199301      ,173.75      ,378.39      ,109.34      ,117.90
199302      ,172.91      ,369.61      ,108.16      ,123.51
199303      ,170.39      ,385.28      ,114.88      ,130.61
199304      ,178.83      ,398.78      ,117.44      ,133.53
199305      ,178.70      ,398.23      ,124.85      ,146.47
199306      ,180.58      ,414.30      ,133.39      ,150.39
199307      ,122.47      ,276.65      ,121.51      ,136.84
199308      ,131.41      ,289.19      ,125.46      ,137.94
199309      ,140.83      ,309.22      ,138.28      ,148.40
199310      ,145.42      ,311.88      ,147.71      ,158.49
199311      ,166.14      ,341.81      ,160.88      ,172.10
199312      ,176.48      ,348.49      ,176.17      ,186.97
199401      ,208.05      ,409.37      ,209.94      ,216.65
199402      ,199.05      ,402.61      ,204.79      ,215.82
199403      ,196.30      ,395.34      ,202.13      ,211.83
199404      ,174.65      ,351.78      ,177.86      ,187.34
199405      ,174.37      ,358.50      ,175.16      ,181.01
199406      ,171.90      ,366.46      ,176.18      ,187.57
199407      ,211.71      ,372.29      ,118.41      ,162.73
199408      ,228.57      ,396.05      ,124.48      ,174.58
199409      ,260.33      ,434.11      ,142.92      ,198.29
199410      ,274.69      ,439.36      ,146.18      ,200.16
199411      ,271.09      ,424.48      ,142.80      ,190.58
199412      ,263.52      ,401.14      ,137.64      ,181.13
199501      ,226.81      ,363.08      ,126.31      ,165.38
199502      ,194.29      ,319.39      ,109.21      ,144.13
199503      ,191.41      ,324.00      ,111.30      ,143.04
199504      ,189.88      ,324.83      ,111.24      ,143.62
199505      ,198.39      ,328.66      ,114.07      ,150.32
199506      ,207.16      ,349.39      ,120.17      ,158.42
199507      ,259.97      ,335.70      ,132.19      ,199.64
199508      ,269.74      ,340.97      ,137.58      ,205.27
199509      ,260.88      ,333.16      ,133.88      ,199.39
199510      ,254.54      ,331.18      ,134.58      ,199.05
199511      ,244.87      ,325.99      ,128.74      ,190.11
199512      ,240.26      ,322.73      ,126.18      ,192.14
199601      ,244.82      ,334.63      ,128.92      ,200.02
199602      ,267.51      ,362.27      ,142.23      ,216.06
199603      ,263.80      ,354.08      ,138.24      ,209.60
199604      ,270.80      ,353.06      ,139.17      ,216.67
199605      ,280.87      ,355.45      ,143.91      ,221.95
199606      ,275.88      ,350.92      ,141.34      ,218.31
199607      ,279.11      ,377.07      ,138.15      ,201.14
199608      ,268.78      ,355.60      ,131.14      ,186.82
199609      ,276.69      ,365.49      ,135.35      ,192.37
199610      ,282.84      ,370.65      ,137.21      ,194.47
199611      ,271.40      ,362.83      ,135.82      ,191.04
199612      ,277.00      ,364.73      ,138.08      ,194.22
199701      ,275.71      ,368.05      ,139.14      ,195.72
199702      ,288.64      ,387.24      ,150.14      ,211.81
199703      ,300.44      ,405.05      ,159.75      ,217.80
199704      ,295.47      ,401.81      ,154.47      ,214.96
199705      ,283.60      ,394.89      ,150.41      ,213.86
199706      ,290.88      ,409.70      ,154.26      ,219.14
199707      ,270.01      ,446.29      ,154.37      ,258.75
199708      ,272.01      ,449.27      ,154.69      ,259.68
199709      ,247.52      ,395.73      ,136.21      ,228.58
199710      ,242.24      ,398.38      ,139.20      ,246.05
199711      ,196.39      ,338.72      ,116.24      ,208.41
199712      ,184.77      ,321.10      ,109.66      ,202.60
199801      ,183.24      ,319.43      ,107.25      ,207.96
199802      ,168.28      ,307.64       ,99.79      ,195.88
199803      ,190.66      ,346.12      ,109.24      ,210.93
199804      ,195.76      ,356.06      ,115.67      ,218.39
199805      ,195.75      ,354.65      ,117.69      ,219.80
199806      ,176.35      ,313.66      ,104.42      ,190.84
199807      ,244.27      ,367.05       ,86.47      ,136.33
199808      ,250.20      ,372.77       ,88.05      ,139.59
199809      ,183.79      ,261.57       ,67.22      ,103.80
199810      ,191.51      ,271.18       ,70.34      ,108.02
199811      ,205.00      ,323.07       ,74.13      ,117.90
199812      ,211.53      ,344.07       ,80.99      ,123.26
199901      ,203.01      ,331.72       ,79.07      ,124.71
199902      ,194.18      ,337.50       ,76.62      ,120.13
199903      ,195.21      ,335.19       ,76.84      ,122.61
199904      ,214.38      ,351.89       ,85.04      ,137.62
199905      ,236.18      ,369.40       ,97.62      ,159.21
199906      ,236.02      ,359.67       ,95.08      ,160.92
199907      ,321.36      ,561.73      ,112.10      ,161.61
199908      ,317.24      ,567.70      ,109.22      ,154.66
199909      ,322.93      ,580.23      ,113.50      ,151.98
199910      ,320.24      ,562.15      ,109.86      ,147.26
199911      ,335.58      ,582.57      ,111.67      ,152.56
199912      ,370.85      ,660.39      ,116.31      ,162.34
200001      ,415.48      ,757.10      ,124.57      ,180.01
200002      ,404.35      ,760.67      ,127.45      ,182.24
200003      ,409.02      ,823.83      ,124.56      ,185.68
200004      ,407.51      ,832.95      ,123.89      ,189.14
200005      ,358.75      ,730.67      ,111.29      ,172.50
200006      ,338.34      ,724.32      ,108.95      ,160.92
200007      ,350.42      ,774.18      ,123.88      ,197.05
200008      ,321.80      ,701.49      ,122.66      ,191.36
200009      ,323.61      ,703.77      ,122.26      ,193.77
200010      ,289.40      ,624.53      ,109.40      ,179.64
200011      ,264.29      ,569.78       ,99.54      ,165.32
200012      ,232.59      ,526.23       ,92.85      ,150.46
200101      ,230.59      ,531.32       ,92.74      ,156.19
200102      ,255.33      ,603.98      ,103.50      ,172.13
200103      ,230.09      ,548.79      ,100.33      ,159.70
200104      ,208.36      ,496.94       ,92.87      ,146.81
200105      ,214.77      ,528.19       ,94.48      ,152.56
200106      ,209.50      ,529.33       ,96.48      ,154.29
200107      ,188.46      ,497.31       ,85.33      ,130.64
200108      ,172.59      ,474.83       ,78.06      ,121.29
200109      ,169.28      ,460.68       ,77.99      ,118.59
200110      ,142.99      ,392.12       ,66.32       ,96.85
200111      ,152.80      ,411.17       ,68.82       ,97.90
200112      ,164.66      ,452.70       ,76.12      ,110.38
200201      ,177.30      ,490.38       ,78.82      ,120.83
200202      ,182.52      ,496.44       ,82.68      ,125.26
200203      ,182.03      ,502.60       ,83.94      ,129.18
200204      ,194.23      ,534.13       ,88.93      ,138.73
200205      ,191.08      ,529.83       ,90.76      ,135.97
200206      ,184.03      ,518.62       ,88.94      ,133.40
200207      ,210.66      ,432.14       ,73.48      ,121.17
200208      ,189.27      ,400.47       ,68.96      ,114.14
200209      ,191.30      ,406.82       ,69.18      ,116.06
200210      ,166.69      ,368.70       ,60.53      ,104.76
200211      ,172.44      ,393.80       ,64.49      ,109.67
200212      ,179.69      ,418.98       ,68.57      ,116.83
200301      ,172.65      ,402.93       ,66.15      ,111.75
200302      ,171.26      ,397.86       ,67.45      ,110.90
200303      ,166.66      ,385.71       ,65.74      ,109.26
200304      ,156.93      ,377.99       ,63.30      ,105.61
200305      ,173.81      ,410.14       ,68.53      ,118.87
200306      ,185.36      ,435.79       ,74.55      ,124.60
200307      ,168.91      ,431.27       ,79.20      ,117.08
200308      ,176.18      ,457.64       ,83.19      ,122.58
200309      ,186.49      ,485.93       ,88.35      ,132.13
200310      ,187.97      ,490.12       ,89.94      ,134.08
200311      ,205.43      ,519.99       ,97.84      ,146.08
200312      ,207.31      ,519.37      ,100.00      ,148.56
200401      ,220.08      ,545.63      ,107.70      ,163.49
200402      ,225.22      ,570.62      ,111.29      ,169.22
200403      ,234.73      ,592.79      ,117.43      ,177.59
200404      ,235.04      ,601.82      ,118.79      ,180.86
200405      ,218.85      ,561.69      ,110.13      ,167.31
200406      ,216.45      ,546.65      ,105.96      ,162.17
200407      ,277.35      ,512.24       ,87.01      ,198.28
200408      ,272.39      ,489.17       ,85.16      ,198.04
200409      ,278.60      ,511.04       ,88.88      ,205.65
200410      ,296.07      ,539.05       ,93.94      ,217.59
200411      ,305.42      ,552.60       ,95.88      ,224.69
200412      ,333.07      ,595.96      ,105.05      ,246.74
200501      ,344.53      ,628.52      ,110.01      ,258.04
200502      ,349.19      ,633.37      ,111.33      ,256.96
200503      ,373.36      ,687.31      ,120.17      ,287.53
200504      ,352.22      ,643.52      ,113.14      ,270.25
200505      ,340.39      ,627.25      ,110.26      ,262.63
200506      ,345.99      ,656.88      ,113.10      ,268.24
200507      ,272.14      ,651.80      ,116.14      ,269.79
200508      ,287.28      ,694.23      ,123.48      ,286.14
200509      ,290.68      ,701.45      ,123.81      ,288.54
200510      ,322.05      ,754.29      ,134.03      ,312.00
200511      ,306.06      ,713.66      ,126.69      ,284.26
200512      ,326.11      ,764.14      ,137.44      ,301.27
200601      ,341.87      ,807.98      ,145.56      ,321.07
200602      ,381.31      ,892.05      ,158.47      ,358.84
200603      ,382.85      ,891.01      ,161.45      ,359.26
200604      ,386.42      ,898.58      ,162.88      ,362.25
200605      ,410.81      ,943.68      ,175.58      ,400.69
200606      ,366.70      ,848.01      ,157.92      ,358.08
200607      ,372.82      ,872.75      ,169.20      ,350.41
200608      ,374.22      ,888.39      ,169.60      ,356.54
200609      ,384.61      ,916.58      ,175.36      ,359.36
200610      ,392.28      ,927.07      ,176.60      ,359.92
200611      ,409.60      ,965.31      ,183.70      ,381.81
200612      ,445.46     ,1027.86      ,198.94      ,410.51
200701      ,472.88     ,1063.14      ,206.66      ,435.19
200702      ,471.23     ,1054.81      ,204.52      ,430.27
200703      ,469.15     ,1056.65      ,205.69      ,431.14
200704      ,492.21     ,1095.72      ,213.34      ,456.01
200705      ,518.14     ,1140.50      ,224.82      ,479.40
200706      ,556.89     ,1177.01      ,237.52      ,509.85
200707      ,434.60     ,1011.09      ,242.45      ,428.97
200708      ,473.58     ,1054.41      ,255.83      ,451.12
200709      ,462.49     ,1029.57      ,246.16      ,436.42
200710      ,490.72     ,1135.63      ,265.14      ,492.36
200711      ,545.16     ,1236.04      ,289.35      ,547.36
200712      ,491.84     ,1151.16      ,271.73      ,515.46
200801      ,497.32     ,1152.96      ,273.37      ,530.60
200802      ,427.24     ,1017.02      ,240.44      ,472.06
200803      ,460.21     ,1088.56      ,256.84      ,504.32
200804      ,426.52     ,1049.33      ,245.68      ,473.65
200805      ,452.80     ,1123.65      ,262.61      ,516.23
200806      ,448.04     ,1145.01      ,266.11      ,540.67
200807      ,471.15     ,1402.44      ,228.69      ,306.10
200808      ,440.13     ,1311.55      ,223.71      ,300.38
200809      ,394.51     ,1211.87      ,203.76      ,280.10
200810      ,308.59      ,995.75      ,168.60      ,231.87
200811      ,222.74      ,735.22      ,121.25      ,160.62
200812      ,208.55      ,665.56      ,113.63      ,148.73
200901      ,225.74      ,711.69      ,121.60      ,159.79
200902      ,205.51      ,680.03      ,112.72      ,151.20
200903      ,196.26      ,651.39      ,105.97      ,144.90
200904      ,221.40      ,734.15      ,120.28      ,164.46
200905      ,260.40      ,845.86      ,142.63      ,192.58
200906      ,308.27      ,989.60      ,169.23      ,221.90
200907      ,408.23      ,947.41      ,153.98      ,223.30
200908      ,453.38     ,1038.33      ,172.90      ,248.09
200909      ,452.17     ,1041.76      ,173.36      ,247.90
200910      ,497.18     ,1136.21      ,187.31      ,271.06
200911      ,493.00     ,1123.32      ,188.34      ,272.90
200912      ,521.60     ,1174.58      ,194.95      ,281.11
201001      ,545.98     ,1216.51      ,204.06      ,298.38
201002      ,516.06     ,1155.73      ,195.72      ,288.21
201003      ,522.08     ,1163.08      ,197.61      ,288.59
201004      ,569.86     ,1249.97      ,215.14      ,307.09
201005      ,570.01     ,1274.61      ,218.90      ,313.07
201006      ,525.56     ,1162.34      ,197.56      ,280.64
201007      ,454.88      ,950.82      ,201.26      ,380.96
201008      ,488.43     ,1024.89      ,217.82      ,411.54
201009      ,479.95     ,1011.72      ,213.70      ,402.28
201010      ,542.64     ,1120.52      ,236.56      ,447.00
201011      ,559.19     ,1153.27      ,244.28      ,457.82
201012      ,546.15     ,1143.58      ,236.97      ,445.79
201101      ,572.59     ,1230.60      ,257.22      ,470.30
201102      ,554.22     ,1200.43      ,251.09      ,464.10
201103      ,545.38     ,1176.03      ,245.41      ,465.66
201104      ,563.59     ,1243.20      ,260.72      ,489.28
201105      ,579.10     ,1298.30      ,271.30      ,500.79
201106      ,565.22     ,1273.36      ,259.98      ,489.09
201107      ,530.65     ,1298.52      ,265.40      ,442.14
201108      ,535.63     ,1300.40      ,265.09      ,440.12
201109      ,478.58     ,1195.71      ,237.42      ,400.98
201110      ,405.15     ,1023.29      ,197.23      ,356.81
201111      ,455.44     ,1144.99      ,222.53      ,396.08
201112      ,418.26     ,1081.43      ,205.76      ,380.14
201201      ,411.17     ,1055.52      ,203.42      ,381.17
201202      ,456.10     ,1157.35      ,230.15      ,423.39
201203      ,482.27     ,1235.32      ,244.94      ,448.92
201204      ,465.75     ,1209.88      ,233.78      ,442.36
201205      ,460.78     ,1188.78      ,227.55      ,439.45
201206      ,412.76     ,1069.40      ,202.00      ,389.61
201207      ,398.79     ,1180.52      ,222.00      ,413.97
201208      ,400.00     ,1205.16      ,223.78      ,411.54
201209      ,408.65     ,1204.52      ,224.73      ,409.65
201210      ,431.83     ,1265.04      ,239.08      ,435.45
201211      ,432.50     ,1253.08      ,235.98      ,438.50
201212      ,433.85     ,1276.36      ,237.45      ,443.60
201301      ,453.54     ,1324.11      ,251.37      ,471.19
201302      ,460.49     ,1337.73      ,256.23      ,482.32
201303      ,460.52     ,1335.64      ,253.98      ,468.84
201304      ,460.14     ,1327.95      ,253.11      ,463.43
201305      ,465.83     ,1345.53      ,255.85      ,462.13
201306      ,462.91     ,1323.75      ,249.30      ,443.19
201307      ,424.68     ,1137.73      ,225.40      ,514.18
201308      ,433.42     ,1145.80      ,229.79      ,521.07
201309      ,419.00     ,1110.67      ,224.67      ,512.61
201310      ,447.99     ,1181.10      ,240.97      ,545.00
201311      ,467.27     ,1233.80      ,251.23      ,565.34
201312      ,468.42     ,1212.02      ,245.46      ,557.04
201401      ,468.37     ,1204.66      ,245.10      ,545.99
201402      ,447.86     ,1130.62      ,229.21      ,513.63
201403      ,470.96     ,1180.75      ,234.48      ,530.10
201404      ,474.88     ,1197.73      ,242.91      ,555.84
201405      ,470.53     ,1206.04      ,244.06      ,564.81
201406      ,485.55     ,1253.63      ,253.27      ,588.38
201407      ,448.87     ,1148.13      ,265.70      ,576.17
201408      ,448.71     ,1152.51      ,270.04      ,594.09
201409      ,461.99     ,1171.33      ,275.44      ,604.93
201410      ,435.29     ,1111.28      ,254.99      ,564.70
201411      ,441.43     ,1126.05      ,252.72      ,569.03
201412      ,440.42     ,1115.89      ,247.67      ,563.50
201501      ,425.72     ,1064.00      ,235.89      ,546.67
201502      ,435.62     ,1081.65      ,235.53      ,547.13
201503      ,444.96     ,1104.26      ,242.63      ,563.29
201504      ,447.93     ,1095.74      ,238.83      ,549.26
201505      ,485.12     ,1140.16      ,261.28      ,598.54
201506      ,476.32     ,1109.70      ,251.94      ,577.12
201507      ,428.36      ,977.39      ,248.57      ,783.83
201508      ,392.22      ,926.84      ,229.60      ,725.41
201509      ,355.55      ,852.63      ,206.77      ,662.64
201510      ,353.91      ,828.97      ,201.21      ,644.07
201511      ,377.59      ,885.84      ,214.31      ,699.90
201512      ,373.85      ,872.43      ,206.27      ,667.06
201601      ,366.22      ,853.84      ,200.78      ,653.12
201602      ,336.66      ,816.52      ,187.10      ,612.21
201603      ,326.12      ,812.53      ,187.78      ,613.01
201604      ,360.04      ,897.08      ,212.85      ,695.92
201605      ,358.61      ,905.59      ,217.96      ,702.10
201606      ,354.58      ,882.55      ,204.90      ,674.74
201607      ,386.15      ,958.24      ,238.98      ,594.04
201608      ,394.18      ,997.74      ,251.62      ,621.54
201609      ,406.38     ,1015.66      ,256.69      ,641.17
201610      ,415.44     ,1026.12      ,257.81      ,649.60
201611      ,404.91     ,1013.32      ,262.90      ,652.08
201612      ,380.81      ,958.30      ,253.84      ,633.76
201701      ,374.54      ,960.74      ,256.34      ,640.21
201702      ,394.26     ,1007.12      ,271.50      ,670.33
201703      ,404.57     ,1033.71      ,283.73      ,696.18
201704      ,417.56     ,1068.09      ,290.29      ,713.88
201705      ,429.64     ,1094.30      ,292.62      ,722.77
201706      ,448.76     ,1123.64      ,295.01      ,742.27
201707      ,478.87     ,1049.16      ,281.56      ,668.68
201708      ,512.60     ,1102.07      ,291.79      ,699.05
201709      ,525.02     ,1120.09      ,295.85      ,720.76
201710      ,527.25     ,1135.91      ,291.70      ,703.88
201711      ,539.16     ,1174.77      ,302.06      ,723.41
201712      ,541.97     ,1185.89      ,298.64      ,732.41
201801      ,551.84     ,1227.51      ,308.82      ,767.46
201802      ,603.42     ,1298.43      ,332.51      ,848.72
201803      ,576.08     ,1246.79      ,318.28      ,806.59
201804      ,563.00     ,1244.29      ,311.72      ,790.02
201805      ,558.97     ,1222.98      ,314.19      ,780.79
201806      ,557.80     ,1191.98      ,303.24      ,736.30
201807      ,516.61     ,1116.47      ,311.16      ,615.98
201808      ,513.38     ,1124.37      ,319.89      ,636.15
201809      ,501.07     ,1098.32      ,314.75      ,620.08
201810      ,488.80     ,1069.59      ,313.86      ,624.95
201811      ,430.59      ,970.61      ,292.42      ,574.31
201812      ,460.87     ,1018.24      ,302.18      ,596.60
201901      ,445.25      ,994.14      ,298.31      ,579.59
201902      ,484.81     ,1063.68      ,320.28      ,621.75
201903      ,492.75     ,1060.25      ,320.79      ,625.21
201904      ,500.19     ,1076.04      ,320.53      ,634.62
201905      ,508.09     ,1103.09      ,324.06      ,639.36
201906      ,465.31     ,1023.08      ,309.32      ,599.16
201907      ,583.18     ,1139.46      ,314.29      ,591.35
201908      ,571.96     ,1139.00      ,302.39      ,573.41
201909      ,562.75     ,1091.20      ,285.03      ,536.79
201910      ,562.12     ,1126.60      ,289.73      ,550.78
201911      ,591.62     ,1165.14      ,300.67      ,569.99
201912      ,602.40     ,1152.96      ,301.15      ,560.24
202001      ,638.32     ,1243.45      ,318.46      ,605.90
202002      ,619.26     ,1212.86      ,298.88      ,563.88
202003      ,599.01     ,1155.21      ,279.58      ,518.35
202004      ,522.89      ,981.26      ,224.42      ,405.18
202005      ,572.17     ,1082.49      ,245.94      ,448.48
202006      ,608.74     ,1092.59      ,245.89      ,449.83
