This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 OP portfolios
and 2 BE/ME portfolios in Emerging_Markets.

The portfolios are constructed at the end of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,LoBM_LoOP,LoBM_HiOP,HiBM_LoOP,HiBM_HiOP
200708  ,-2.66  ,-2.34  ,-3.75  ,-2.87
200709   ,6.14  ,10.41   ,7.88  ,12.82
200710  ,11.20   ,9.19   ,9.23  ,11.22
200711  ,-9.63  ,-6.54  ,-6.08  ,-5.74
200712   ,1.63   ,0.25   ,0.97   ,3.24
200801 ,-14.31 ,-11.90 ,-11.94 ,-11.00
200802   ,7.78   ,7.03   ,6.76   ,6.78
200803  ,-7.39  ,-2.99  ,-4.45  ,-6.09
200804   ,5.09   ,7.37   ,6.93   ,9.14
200805  ,-0.03   ,1.76   ,1.57   ,5.21
200806 ,-11.37  ,-9.54  ,-9.43  ,-7.68
200807  ,-6.71  ,-6.21  ,-1.84  ,-1.45
200808  ,-9.55  ,-7.40  ,-8.78  ,-6.46
200809 ,-21.61 ,-17.66 ,-17.19 ,-17.08
200810 ,-28.12 ,-26.35 ,-28.15 ,-26.29
200811  ,-6.60  ,-9.66  ,-6.31  ,-7.18
200812   ,8.03   ,7.35   ,7.26   ,7.43
200901  ,-9.02  ,-4.82  ,-7.35  ,-5.44
200902  ,-5.22  ,-4.29  ,-6.16  ,-4.06
200903  ,12.86  ,12.97  ,14.73  ,13.99
200904  ,16.98  ,15.32  ,18.62  ,17.37
200905  ,18.44  ,17.56  ,18.91  ,16.28
200906  ,-1.10  ,-1.89  ,-1.10  ,-1.34
200907  ,10.72  ,10.01  ,12.27  ,11.73
200908  ,-0.59   ,0.13   ,0.27  ,-0.02
200909   ,9.72   ,8.89   ,9.90   ,9.30
200910  ,-0.97  ,-1.21   ,0.66   ,0.70
200911   ,5.62   ,4.50   ,3.43   ,3.67
200912   ,5.08   ,3.73   ,4.64   ,6.27
201001  ,-5.85  ,-4.96  ,-4.36  ,-3.76
201002   ,1.14   ,0.67   ,0.78  ,-0.01
201003   ,8.83   ,7.51   ,8.88   ,7.04
201004  ,-0.18   ,2.07   ,1.58   ,2.15
201005  ,-8.40  ,-8.13  ,-9.35 ,-10.05
201006   ,0.57  ,-0.67  ,-0.07  ,-0.42
201007   ,7.35   ,8.37   ,8.41   ,8.27
201008  ,-1.78  ,-1.04  ,-1.43  ,-2.05
201009  ,12.90  ,10.90  ,10.79  ,11.27
201010   ,3.25   ,2.89   ,3.24   ,2.41
201011  ,-2.39  ,-1.14  ,-3.09  ,-2.80
201012   ,4.80   ,7.65   ,8.62   ,6.00
201101  ,-3.22  ,-2.30  ,-2.48  ,-1.33
201102  ,-1.77  ,-2.09  ,-2.26   ,0.33
201103   ,3.32   ,5.98   ,6.36   ,5.12
201104   ,2.72   ,4.48   ,4.13   ,2.51
201105  ,-2.49  ,-1.54  ,-3.90  ,-2.19
