This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and INV.

The portfolios are constructed at the end of June.  INV is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1,
divided by t-2 total assets.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
197607,   0.1549,   0.9240,  -0.4553,  -0.9103,  -0.3893,  -0.8740
197608,  -2.3563,  -1.2249,  -2.5940,  -1.7990,   0.9504,  -0.3867
197609,   1.5742,   3.1098,   3.2262,   2.3766,   2.1285,   2.9957
197610,  -2.1179,  -1.9074,  -2.1018,  -2.9454,  -1.7355,  -2.3263
197611,   2.9017,   3.6202,   3.8749,   0.7185,   1.1879,  -0.3967
197612,  10.7172,   9.6420,   9.0748,   7.6623,   5.9664,   4.8456
197701,   2.9498,   1.9623,   1.7228,  -2.9660,  -3.5609,  -5.5994
197702,  -1.0866,   0.0380,  -1.2167,  -2.3995,  -1.5506,  -1.8939
197703,   0.2024,   0.7753,   0.2955,  -0.9578,  -1.4968,  -0.8772
197704,   2.2398,   1.3735,   1.3559,   0.9001,   0.9272,  -0.5044
197705,   0.1136,   0.0914,  -0.0087,  -1.4081,  -0.8193,  -1.5127
197706,   7.0306,   5.5309,   7.6989,   4.1242,   4.2285,   5.8882
197707,   0.1269,   0.1232,   0.4612,  -1.3528,  -1.3030,  -1.7094
197708,  -1.7652,  -0.5626,   0.1028,  -0.2730,  -1.8782,  -0.8984
197709,   0.7409,   1.6076,   1.4828,  -1.3792,   0.4753,  -0.4438
197710,  -2.9493,  -1.6607,  -2.6533,  -4.4060,  -4.1697,  -3.7855
197711,   8.1343,   7.7354,   7.6929,   5.1524,   3.6174,   4.2957
197712,   2.0536,   1.3102,   2.6815,  -0.2525,   0.7184,   0.4214
197801,  -1.6186,  -3.0391,  -3.9160,  -5.4787,  -5.7492,  -6.2380
197802,   2.9973,   1.8249,   1.9864,  -1.4495,  -0.6399,  -2.5145
197803,   8.2169,   6.1884,   6.2608,   3.8548,   3.2328,   2.0421
197804,   7.2665,   7.2589,   9.4684,   9.7221,   7.4151,  10.2134
197805,   7.0098,   4.4901,   7.4432,   2.7314,   1.4550,   1.5856
197806,  -0.3899,   1.3315,  -0.3686,  -1.0191,  -1.7972,  -1.0059
197807,   5.0337,   5.6322,   6.4480,   5.8643,   5.4306,   6.0093
197808,   9.6715,   7.2950,   8.6233,   4.1263,   3.3203,   4.3370
197809,  -0.2272,  -1.1299,  -1.2649,   0.5726,  -0.6684,  -1.9995
197810, -20.9160, -17.5003, -22.4046, -10.7898,  -8.8675, -11.3630
197811,   5.1101,   4.9680,   7.8849,   3.7626,   2.8035,   3.4110
197812,   1.8938,   1.4453,   3.2275,   0.5206,   1.6942,   1.9483
197901,  10.1096,   7.7411,   8.4646,   5.3995,   4.3980,   3.8970
197902,  -2.1014,  -2.5640,  -2.9226,  -2.6945,  -2.7676,  -3.9481
197903,  10.1878,   7.4814,  10.7702,   7.9547,   5.0780,   6.8059
197904,   3.6608,   1.6926,   2.6953,   0.0307,   0.4786,   0.5704
197905,  -1.0435,  -1.3553,  -1.8358,  -2.4357,  -1.5050,  -0.9402
197906,   5.2026,   5.7735,   6.0912,   5.5203,   3.7092,   5.5305
197907,   2.9934,   3.4141,   2.4927,   2.8070,   0.7434,   2.1229
