This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 4 OP portfolios and 4 INV portfolios in Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
                                                                              Small                                                                                                                                            Big
                   Lo OP                                   2                                   3                               Hi OP                               Lo OP                                   2                                   3                               Hi OP
          Lo INV   2        3        Hi INV   Lo INV   2        3        Hi INV   Lo INV   2        3        Hi INV   Lo INV   2        3        Hi INV   Lo INV   2        3        Hi INV   Lo INV   2        3        Hi INV   Lo INV   2        3        Hi INV   Lo INV   2        3        Hi INV
199211    -0.11     1.00    -1.50    -3.19    -1.93     0.26     0.63    -2.33    -0.85    -0.38    -0.98    -1.29     2.63     0.35    -2.07     0.45     1.62     1.44     2.17     2.66     7.57     1.98     1.14     1.38     1.68     1.78     1.40     1.98    -0.20     3.43     1.98     3.32
199212     0.09    -0.97    -0.13     1.42     0.64     1.01     0.53     0.60     0.61     2.96     1.33     0.32    -1.20     0.28     2.97     1.00    -2.99    -3.07    -3.58    -3.72    -0.59    -1.20    -2.34    -0.29    -0.55     0.55    -0.64     0.19     1.83    -0.90    -1.32    -1.78
199301    -0.90    -2.41    -3.00    -2.68    -1.88    -3.00    -2.64    -3.67    -1.66    -2.19    -2.80    -1.57    -2.17    -1.45    -2.27    -3.69    -2.06    -1.32     0.30     1.12    -0.32    -0.39     1.35    -0.81    -0.92    -1.52    -0.79     0.08     0.79    -0.13    -0.06    -1.90
199302     6.09     7.35     4.65    10.35     4.10     5.54     6.83    10.80     5.98     5.45     6.64     4.08     5.18     7.89     4.42     5.34     2.93     6.69     4.10     6.66     6.46     3.82     4.51     5.00     3.50     2.54     1.00     4.19     8.77     4.48     3.59     3.70
199303    17.54    14.59    17.88    15.03    19.24    15.00    18.53    17.52    17.78    15.52    18.23    16.47    11.25    14.20    16.00    18.83    14.49    16.10    18.51    18.07    10.98    13.15    16.64    21.97    12.77    14.26    17.51    17.58    33.05    17.48    14.50    14.43
199304    21.69    19.60    19.82    19.46    17.90    18.31    18.58    16.12    23.42    16.54    16.72    17.13    17.89    17.04    16.38    18.48    19.08    15.86    19.31    16.99    14.95    19.63    15.71    16.92    15.64    19.60    16.34    19.42    15.49    16.46    16.13    14.85
199305    20.51    17.22    17.29    18.94    14.35    16.29    15.64    14.21    17.06    11.97    16.29    17.93    15.78    15.66    15.07    13.78     6.34     4.74     3.14     5.75     9.25     3.57     2.77     5.01     8.55     2.47     3.21     4.78     1.65    -0.01    -0.09     1.93
199306    -7.08    -3.94    -6.51    -9.75    -5.62    -6.29    -5.97    -6.17    -7.31    -5.53    -7.66    -6.64    -7.49    -7.17    -4.51    -7.64    -0.34    -6.28    -5.45    -3.55     0.02    -5.21    -5.91    -4.61    -0.73    -4.11    -4.68    -4.59    -7.85    -4.44    -4.34    -5.44
199307     0.76     3.50     3.83    -1.77     3.93     1.75     2.92     3.66     2.81     1.70     4.05     3.43     1.82     2.25     2.88     3.23     7.51     5.94     5.00     9.76     9.23     6.52     7.38     6.13     7.74     7.65     7.52     7.04     6.72     7.12     7.03     6.86
199308     0.57    -0.15     1.58     3.53     1.66     2.01     3.43     2.85     0.32     1.44     3.57     3.08     1.37     0.92     2.88     2.61     4.30     3.11     1.90     0.78     1.69     2.29     2.60     1.39     2.42     2.86     3.20     3.20     0.92     3.11     1.28     2.71
199309    -9.22    -7.84    -7.27    -7.77    -4.95    -4.43    -5.11    -4.90    -6.30    -0.86    -1.12    -2.61    -8.23    -3.06    -2.53    -1.27    -7.56    -7.17    -9.82    -2.24    -7.07    -4.61    -5.38    -3.09    -5.39    -2.63    -2.28    -2.71    -6.53    -8.11    -2.87    -1.69
199310   -10.84    -9.90   -13.64    -8.48   -10.06    -9.36    -9.66    -8.48    -8.54    -8.52    -7.70    -8.18   -10.02   -10.43    -8.76    -8.74    -2.26    -1.96    -3.21    -9.43     1.68    -2.82     0.90    -2.10    -3.09    -3.69    -0.78    -4.50    -2.84    -1.26    -0.31    -6.35
199311   -19.15   -20.50   -22.26   -17.87   -19.28   -18.15   -19.10   -15.58   -18.63   -16.14   -16.94   -16.76   -18.46   -16.77   -13.82   -15.79   -19.28   -16.75   -16.15   -14.07   -22.39   -14.32   -16.09   -14.10   -16.34   -14.32   -13.28   -13.29   -15.61   -13.87   -11.16   -12.29
199312     2.81     3.86     2.69     6.75     4.28     3.45     3.70     1.93     1.74     0.21     1.59     0.72     3.58     1.74     0.17    -1.45     1.38     3.21     1.95     1.48     4.13     1.21    -0.31     1.36     2.98     3.14     4.21     0.73     2.98     3.49     2.12     0.40
199401    23.80    20.46    23.54    18.72    19.18    18.17    18.86    16.31    21.12    17.12    16.14    16.56    20.62    17.27    15.99    18.19    25.80    19.41    18.03    20.79    16.50    14.99    17.40    14.91    15.51    13.50    13.32    15.19    15.69    19.98    14.40    15.60
199402     4.77     5.28     1.17     7.16     5.35     5.87     4.78     2.94     6.93     5.17     5.72     5.04     5.18     4.52     4.36     6.15     3.08     4.90     3.32     5.77     3.98     4.90     1.46     5.30     5.81     2.67     5.24     3.99     4.16     4.95     4.04     2.55
199403     5.98     3.56     7.17     4.90     4.00     4.14     2.99     3.43     1.92     3.56     1.40     2.85     2.12     1.05     1.97     0.99    -2.85     0.25    -0.98    -1.80    -4.64    -1.06    -3.05    -2.07    -0.31    -1.24    -1.19    -1.37     0.04    -3.78    -2.99    -2.25
199404     6.55     8.83     5.93     4.28     6.71     5.48     6.12     4.32     5.44     5.33     3.48     5.86     6.52     7.83     4.68     4.06     3.44     3.55     5.99     6.12     5.44     3.59     3.55     2.60     3.11     2.46     2.61     4.14     5.87     1.74     2.23     1.94
199405     1.48     1.18     0.77     2.70     2.66    -0.50     0.95    -0.64     1.65    -0.54     0.47    -1.96     1.17    -1.75    -0.78    -1.87     4.70     4.60     2.25    -1.06     3.20     1.30     3.07    -1.07     1.78     1.82     2.57    -0.83     1.43    -0.58     1.74    -1.17
199406    13.18    13.08    12.32     8.52    13.22    11.35     9.61     9.86    10.80    10.26    11.51    11.37    14.11     8.92     9.46     7.83     5.99     5.87     4.56     6.14     3.88     8.04     4.25     7.95     8.74     5.27     7.49     6.73     7.64     6.07     4.97     7.75
199407    -4.96    -3.77    -4.30    -3.70    -3.85    -2.69    -3.87    -2.19    -4.32    -1.54    -1.90    -2.49    -4.53    -2.56    -2.83    -2.39    -5.68    -4.46    -4.78    -5.04    -4.05    -3.70    -3.40    -2.60    -3.93    -5.51    -2.87    -2.01    -3.70    -2.32    -3.63    -2.94
199408    -1.78    -1.71    -2.06    -2.02    -2.16    -1.86    -1.83    -4.48    -0.52    -1.39    -1.66    -1.49    -1.40    -1.74    -2.35    -1.80    -0.22     2.16     3.79    -0.32    -3.86    -0.35     0.28    -1.26     0.63     2.54    -0.08    -0.11     1.23     0.25     3.52     0.36
199409    -6.54    -7.60    -5.52    -5.84    -3.38    -4.71    -4.33    -2.84    -2.12    -4.39    -3.40    -3.74    -3.56    -3.86    -3.26    -3.26    -3.67    -2.08    -1.38    -4.75    -2.75    -2.56    -1.87    -4.04    -1.96    -3.11    -2.82    -3.84    -0.89    -1.71    -1.48    -4.07
199410     4.21     5.11     6.34     6.45     3.03     3.50     3.20     0.97     2.23     1.58     1.36     0.14     3.91     1.99    -0.58    -1.20     3.14     4.79     3.82     3.60     2.58     4.16     2.32     0.76     4.23     4.79     0.64    -0.62     4.35     2.83     2.71    -0.40
199411    -9.60    -8.33    -8.93    -9.05    -7.58    -8.28    -7.65    -6.82    -5.73    -6.74    -7.10    -8.40    -7.90    -7.59    -8.08    -7.86    -6.56    -7.54    -7.09    -7.53    -5.95    -6.21    -4.95    -7.67    -5.33    -5.90    -4.02    -5.99    -6.09    -6.00    -6.28    -4.18
199412     4.21     3.90     3.63     4.48     3.38     2.85     1.60     2.18     3.54     2.09     1.80     0.55     2.81     1.69     1.95     0.96     4.23     2.00     0.59     2.81     4.12     1.23     0.99     2.20    -1.04     1.26    -0.01     1.43     3.24     1.42     1.82     0.45
199501   -10.10    -6.81    -8.10    -9.79    -9.25    -7.09    -7.14    -5.96    -5.12    -5.29    -0.15    -0.78    -5.50    -1.13    -0.68    -0.62    -5.27    -6.13    -7.57    -4.00    -3.28    -6.27    -7.97    -5.56    -5.75   -11.16    -6.42    -2.98   -12.01    -7.82    -8.80    -4.70
199502    -6.48    -6.53    -2.72    -4.43    -4.61    -3.89    -4.91    -3.90    -5.37    -6.35    -6.76    -7.29     0.46    -7.68    -7.17    -9.08    -6.58    -7.31    -5.64    -6.92    -6.01    -7.71    -4.58    -5.80    -4.54    -2.13    -4.86    -7.04    -3.47    -5.05    -5.14    -2.31
