TICKER,OFTIC,STATPERS,MEASURE,FISCALP,FPI,ESTFLAG,MEANEST,FPEDATS,ACTUAL
@SPX,SPX,15APR1999,EPS,ANN,1,P,38.02,31DEC1999,38.8769
@SPX,SPX,15APR1999,EPS,ANN,2,P,41.46,31DEC2000,40.2339
@SPX,SPX,15APR1999,EPS,ANN,3,P,45.41,31DEC2001,37.2616
@SPX,SPX,20MAY1999,EPS,ANN,1,P,38.11,31DEC1999,38.8769
@SPX,SPX,20MAY1999,EPS,ANN,2,P,41.52,31DEC2000,40.2339
@SPX,SPX,20MAY1999,EPS,ANN,3,P,45.41,31DEC2001,37.2616
@SPX,SPX,17JUN1999,EPS,ANN,1,P,38.03,31DEC1999,38.8769
@SPX,SPX,17JUN1999,EPS,ANN,2,P,41.63,31DEC2000,40.2339
@SPX,SPX,17JUN1999,EPS,ANN,3,P,45.41,31DEC2001,37.2616
@SPX,SPX,15JUL1999,EPS,ANN,1,P,37.95,31DEC1999,38.8769
@SPX,SPX,15JUL1999,EPS,ANN,2,P,41.52,31DEC2000,40.2339
@SPX,SPX,15JUL1999,EPS,ANN,3,P,45.41,31DEC2001,37.2616
@SPX,SPX,19AUG1999,EPS,ANN,1,P,37.78,31DEC1999,38.8769
@SPX,SPX,19AUG1999,EPS,ANN,2,P,41.42,31DEC2000,40.2339
@SPX,SPX,19AUG1999,EPS,ANN,3,P,44.86,31DEC2001,37.2616
@SPX,SPX,16SEP1999,EPS,ANN,1,P,37.87,31DEC1999,38.8769
@SPX,SPX,16SEP1999,EPS,ANN,2,P,41.51,31DEC2000,40.2339
@SPX,SPX,16SEP1999,EPS,ANN,3,P,45.47,31DEC2001,37.2616
@SPX,SPX,14OCT1999,EPS,ANN,1,P,37.73,31DEC1999,38.8769
@SPX,SPX,14OCT1999,EPS,ANN,2,P,41.41,31DEC2000,40.2339
@SPX,SPX,14OCT1999,EPS,ANN,3,P,45.37,31DEC2001,37.2616
@SPX,SPX,18NOV1999,EPS,ANN,1,P,37.73,31DEC1999,38.8769
@SPX,SPX,18NOV1999,EPS,ANN,2,P,41.52,31DEC2000,40.2339
@SPX,SPX,18NOV1999,EPS,ANN,3,P,45,31DEC2001,37.2616
