This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 OP portfolios in Developed.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
200604   2.97   4.18   4.63   2.36   3.43   3.43
200605  -6.00  -4.95  -5.10  -3.86  -3.67  -2.95
200606  -1.78  -1.57  -1.44  -0.43  -0.21   0.42
200607  -2.51  -2.03  -2.58  -0.19   0.69   0.53
200608   2.87   2.56   2.81   2.86   3.33   1.75
200609  -0.54   0.03   0.39   1.19   2.10   0.18
200610   4.19   4.01   4.38   3.49   3.32   4.28
200611   3.03   2.75   3.38   3.31   2.18   2.88
200612   1.92   2.07   2.74   2.38   2.98   1.44
200701   2.22   2.18   2.51   1.93   1.33   0.89
200702   1.07   1.47   1.25  -0.07  -0.84   0.03
200703   2.36   2.67   1.96   1.69   1.74   3.00
200704   3.31   3.35   3.61   3.88   4.44   4.32
200705   1.93   2.49   2.25   2.86   2.43   3.55
200706   0.46   0.70   0.78  -1.15  -1.28   0.75
200707  -1.78  -1.53  -1.90  -2.98  -1.86  -1.49
200708  -4.03  -2.75  -4.89  -0.70  -0.31  -0.18
200709   3.42   1.79   2.64   5.41   4.08   5.75
200710   3.79   3.50   5.25   3.10   3.22   3.99
200711  -7.54  -6.93  -7.86  -5.37  -3.80  -3.38
200712  -1.72  -2.04  -2.49  -1.65  -1.42  -0.61
200801  -8.22  -7.54  -9.69  -6.95  -7.55  -7.84
200802   1.64   1.55   3.04  -0.69  -0.96   1.28
200803  -2.07  -0.71  -1.54  -0.66  -1.02  -1.17
200804   2.02   2.64   3.37   4.88   4.58   6.39
200805   3.60   3.18   3.38   1.52   1.17   2.88
200806  -6.79  -6.67  -7.29  -9.75  -9.05  -5.92
200807  -2.78  -2.00  -2.93  -1.47  -1.58  -4.26
200808  -3.00  -1.41  -1.99  -2.94  -1.59  -1.67
200809 -12.76 -12.09 -13.91 -12.66 -11.35 -12.47
200810 -21.19 -21.61 -23.40 -22.48 -19.89 -16.55
200811  -6.97  -7.31  -7.43  -8.33  -6.99  -4.93
