This file was created using the 202006 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RF
200009   ,-7.45   ,-4.46    ,4.69    ,0.51
200010   ,-6.09   ,-2.51    ,1.54    ,0.56
200011   ,-0.98   ,-0.26    ,3.19    ,0.51
200012    ,4.09   ,-5.74    ,6.04    ,0.50
200101    ,2.81   ,-2.23   ,-0.67    ,0.54
200102   ,-3.70    ,0.22    ,8.66    ,0.38
200103  ,-13.24   ,-1.25    ,8.05    ,0.42
200104    ,6.50    ,0.33   ,-5.28    ,0.39
200105   ,-0.15    ,4.92    ,5.19    ,0.32
200106    ,1.36    ,0.00    ,0.06    ,0.28
200107   ,-3.97   ,-3.35    ,1.23    ,0.30
200108   ,-1.08   ,-0.78   ,-1.94    ,0.31
200109  ,-14.18   ,-2.19    ,0.23    ,0.28
200110    ,5.80    ,3.55   ,-1.13    ,0.22
200111    ,8.57   ,-0.42    ,0.88    ,0.17
200112    ,2.30   ,-2.61    ,2.98    ,0.15
200201    ,1.52    ,3.47    ,2.54    ,0.14
200202   ,-1.64    ,0.88    ,1.79    ,0.13
200203    ,4.54    ,0.79    ,0.23    ,0.13
200204    ,0.64   ,-2.10    ,6.08    ,0.15
200205    ,1.99    ,3.98    ,0.37    ,0.14
200206   ,-5.51   ,-0.80    ,4.01    ,0.13
200207   ,-6.15   ,-3.51    ,1.21    ,0.15
200208    ,0.03    ,1.72   ,-2.62    ,0.14
200209   ,-7.40   ,-0.72   ,-0.84    ,0.14
200210    ,4.55   ,-3.08    ,0.65    ,0.14
200211    ,2.57   ,-2.88    ,3.42    ,0.12
200212   ,-3.14    ,4.39   ,-1.30    ,0.11
200301    ,1.66    ,1.48   ,-0.47    ,0.10
200302   ,-1.40    ,0.67    ,3.56    ,0.09
200303   ,-0.52   ,-1.91   ,-2.76    ,0.10
200304    ,4.54   ,-1.43   ,-3.52    ,0.10
200305    ,7.17    ,2.07    ,6.16    ,0.09
200306    ,3.77    ,1.16    ,0.44    ,0.10
200307    ,3.38    ,5.00    ,6.31    ,0.07
200308    ,6.35    ,1.91    ,7.04    ,0.07
200309    ,5.34    ,3.37    ,1.11    ,0.08
200310    ,6.24   ,-0.41    ,0.44    ,0.07
200311    ,0.19    ,0.67   ,-1.90    ,0.07
200312    ,5.18   ,-0.59   ,-2.31    ,0.08
200401    ,4.44    ,0.48    ,8.28    ,0.07
200402    ,3.73    ,0.83    ,0.89    ,0.06
200403   ,-1.59   ,-1.60   ,-2.69    ,0.09
200404   ,-5.53   ,-1.89   ,-0.38    ,0.08
200405    ,0.11   ,-2.34   ,-0.16    ,0.06
200406    ,0.45   ,-0.95   ,-0.04    ,0.08
200407    ,0.98    ,0.87   ,-0.27    ,0.10
200408    ,2.60   ,-3.15    ,3.82    ,0.11
200409    ,5.37    ,0.83   ,-2.30    ,0.11
200410    ,3.21    ,1.87   ,-2.53    ,0.11
200411    ,7.70   ,-0.07    ,2.05    ,0.15
200412    ,2.86   ,-0.76    ,2.38    ,0.16
200501   ,-0.38    ,3.09   ,-0.75    ,0.16
200502    ,3.74   ,-1.34   ,-0.46    ,0.16
200503   ,-3.07   ,-0.62    ,1.21    ,0.21
200504   ,-0.71   ,-3.23    ,3.94    ,0.21
200505   ,-0.20   ,-3.21    ,1.03    ,0.24
200506    ,4.00   ,-2.35   ,-0.60    ,0.23
200507    ,3.55   ,-1.61    ,0.55    ,0.24
200508    ,0.08    ,1.37   ,-1.84    ,0.30
200509    ,3.96    ,0.09   ,-2.73    ,0.29
200510   ,-6.02    ,1.53    ,0.40    ,0.27
200511    ,3.11   ,-1.48   ,-0.60    ,0.31
200512    ,1.97   ,-0.89   ,-0.32    ,0.32
200601    ,6.18    ,0.77   ,-0.33    ,0.35
200602   ,-0.25    ,2.48    ,2.81    ,0.34
200603    ,1.98    ,3.02    ,1.28    ,0.37
200604    ,6.53   ,-0.66   ,-1.59    ,0.36
200605   ,-5.75    ,0.30   ,-0.32    ,0.43
200606   ,-0.39   ,-2.55    ,0.63    ,0.40
200607    ,1.11    ,1.71   ,-0.73    ,0.40
200608    ,2.46   ,-0.52   ,-0.20    ,0.42
200609   ,-0.10   ,-0.18    ,2.36    ,0.41
200610    ,6.02    ,2.28   ,-5.17    ,0.41
200611    ,4.49    ,1.25    ,1.60    ,0.42
200612    ,4.00   ,-1.32   ,-0.25    ,0.40
200701    ,1.77    ,3.36    ,3.32    ,0.44
200702    ,0.90    ,1.78   ,-0.04    ,0.38
200703    ,4.65    ,1.31   ,-2.05    ,0.43
200704    ,4.70    ,4.24    ,0.00    ,0.44
200705    ,3.15    ,5.20    ,4.27    ,0.41
200706    ,2.33    ,3.50    ,0.31    ,0.40
200707    ,1.31    ,2.48    ,3.60    ,0.40
200708   ,-4.20  ,-10.64   ,-0.40    ,0.42
200709   ,12.80   ,-3.70   ,-5.06    ,0.32
200710    ,8.20   ,-2.70   ,-1.08    ,0.32
200711   ,-6.55   ,-3.24    ,2.63    ,0.34
200712   ,-0.74   ,-0.39    ,0.80    ,0.27
200801  ,-10.82   ,-4.57    ,1.31    ,0.21
200802    ,2.89    ,2.33   ,-4.36    ,0.13
200803   ,-5.53   ,-4.36    ,2.25    ,0.17
200804    ,7.18   ,-3.00   ,-0.81    ,0.18
200805    ,3.20    ,3.47   ,-4.70    ,0.18
200806   ,-8.12   ,-0.19   ,-1.38    ,0.17
200807   ,-5.26   ,-3.57    ,5.65    ,0.15
200808   ,-6.64   ,-4.05   ,-1.58    ,0.13
200809  ,-17.71   ,-1.71    ,3.34    ,0.15
200810  ,-26.00   ,-7.44    ,3.62    ,0.08
200811   ,-6.16   ,-1.83    ,4.33    ,0.03
200812    ,7.41    ,1.90    ,2.54    ,0.00
200901   ,-7.60   ,-0.83    ,3.12    ,0.00
200902   ,-4.79    ,3.76   ,-4.25    ,0.01
200903   ,10.81   ,-1.98   ,-6.50    ,0.02
200904   ,13.96    ,0.72   ,-1.53    ,0.01
200905   ,18.48   ,10.37    ,5.35    ,0.00
200906    ,1.82   ,-0.37   ,-2.70    ,0.01
200907   ,12.82   ,-1.31    ,6.67    ,0.01
200908    ,1.64    ,4.53   ,-5.09    ,0.01
200909    ,8.70    ,0.31    ,0.51    ,0.01
200910    ,1.25    ,1.54    ,2.17    ,0.00
200911    ,2.65    ,2.16   ,-2.57    ,0.00
200912    ,2.45   ,-0.75    ,1.49    ,0.01
201001   ,-6.24    ,4.35   ,-0.02    ,0.00
201002    ,2.63   ,-2.48    ,1.58    ,0.00
201003    ,7.65   ,-0.65    ,1.21    ,0.01
201004    ,0.76    ,4.12   ,-0.87    ,0.01
201005  ,-12.21   ,-3.23    ,1.56    ,0.01
201006   ,-0.20   ,-1.56    ,1.30    ,0.01
201007    ,9.57   ,-0.68   ,-0.88    ,0.01
201008   ,-0.79   ,-0.11    ,0.47    ,0.01
201009   ,12.85    ,1.71   ,-0.80    ,0.01
201010    ,3.70    ,1.80   ,-2.33    ,0.01
201011   ,-1.15    ,0.96    ,0.67    ,0.01
201012    ,6.77    ,3.19   ,-2.81    ,0.01
201101   ,-0.79   ,-1.36    ,3.02    ,0.01
201102   ,-0.07    ,1.01   ,-4.39    ,0.01
201103    ,2.08   ,-0.61   ,-1.66    ,0.01
201104    ,4.77   ,-0.57   ,-0.54    ,0.00
201105   ,-2.53   ,-2.31    ,2.03    ,0.00
201106   ,-2.32   ,-2.31   ,-0.10    ,0.00
201107    ,1.29    ,1.94   ,-1.27    ,0.00
201108   ,-6.67   ,-2.08   ,-1.90    ,0.01
201109  ,-15.79   ,-0.53    ,1.84    ,0.00
201110   ,13.97   ,-3.00   ,-1.01    ,0.00
201111   ,-6.53    ,1.23   ,-1.09    ,0.00
201112   ,-1.04   ,-2.03    ,1.21    ,0.00
201201    ,9.86   ,-2.52    ,0.68    ,0.00
201202    ,5.29    ,2.88    ,0.85    ,0.00
201203   ,-2.16    ,0.50   ,-0.11    ,0.00
201204    ,1.16   ,-2.35    ,1.26    ,0.00
201205  ,-11.42    ,0.12    ,3.59    ,0.01
201206    ,4.46   ,-3.31    ,1.26    ,0.00
201207    ,4.76   ,-3.99    ,1.48    ,0.00
201208    ,1.13    ,0.72    ,0.23    ,0.01
201209    ,4.47    ,0.78    ,1.61    ,0.01
201210    ,1.77   ,-0.51   ,-0.63    ,0.01
201211    ,1.61   ,-3.13    ,2.89    ,0.01
201212    ,2.84    ,1.46    ,0.85    ,0.01
201301    ,5.54    ,0.83    ,2.94    ,0.00
201302    ,1.16   ,-0.89    ,1.44    ,0.00
201303   ,-0.31   ,-0.02   ,-0.88    ,0.00
201304    ,2.46   ,-5.84    ,2.16    ,0.00
201305   ,-6.20    ,1.27    ,3.11    ,0.00
201306   ,-6.22   ,-0.36    ,1.50    ,0.00
201307    ,3.47    ,2.44   ,-2.94    ,0.00
201308   ,-0.22    ,0.98   ,-1.38    ,0.00
201309    ,6.78    ,0.92   ,-2.17    ,0.00
201310    ,3.48   ,-2.24   ,-0.06    ,0.00
201311   ,-2.21   ,-0.61    ,1.72    ,0.00
201312   ,-0.20    ,0.89   ,-1.21    ,0.00
201401   ,-4.44    ,3.90   ,-1.23    ,0.00
201402    ,5.49   ,-1.46   ,-1.09    ,0.00
201403    ,1.66   ,-0.29    ,0.73    ,0.00
201404    ,1.42   ,-4.13    ,2.57    ,0.00
201405    ,1.75   ,-0.78    ,1.56    ,0.00
201406    ,0.13    ,1.30    ,0.80    ,0.00
201407    ,3.32   ,-0.05    ,2.75    ,0.00
201408   ,-0.14    ,2.14   ,-0.04    ,0.00
201409   ,-8.15    ,1.65    ,3.89    ,0.00
201410    ,3.56   ,-4.91   ,-1.94    ,0.00
201411   ,-2.72   ,-0.08    ,2.26    ,0.00
201412   ,-3.10   ,-2.36    ,0.83    ,0.00
201501    ,0.38   ,-3.39    ,4.36    ,0.00
201502    ,3.25    ,0.01   ,-3.18    ,0.00
201503   ,-0.83    ,0.07    ,1.18    ,0.00
201504    ,6.22   ,10.59    ,0.69    ,0.00
201505   ,-1.55    ,8.69    ,0.67    ,0.00
201506   ,-4.47    ,1.19   ,-0.21    ,0.00
201507   ,-3.45   ,-6.19   ,-2.77    ,0.00
201508  ,-10.81   ,-1.13    ,0.79    ,0.00
201509   ,-3.09    ,3.17   ,-0.32    ,0.00
201510    ,7.30   ,-1.32    ,1.18    ,0.00
201511   ,-2.08    ,2.12   ,-2.93    ,0.00
201512    ,1.88   ,-0.01   ,-2.64    ,0.01
201601   ,-9.02   ,-0.82   ,-0.32    ,0.01
201602    ,0.75   ,-0.75    ,3.21    ,0.02
201603   ,10.65   ,-2.45    ,1.04    ,0.02
201604    ,1.44    ,1.68    ,1.96    ,0.01
201605   ,-1.79    ,0.15   ,-2.04    ,0.01
201606    ,0.44    ,0.54    ,1.00    ,0.02
201607    ,5.87   ,-3.70    ,1.93    ,0.02
201608   ,-0.45    ,1.21    ,1.89    ,0.02
201609    ,2.68    ,1.56    ,0.60    ,0.02
201610   ,-1.45    ,1.22    ,2.81    ,0.02
201611   ,-0.29   ,-1.71    ,0.94    ,0.01
201612   ,-1.90    ,0.87    ,1.19    ,0.03
201701    ,5.91   ,-1.76    ,3.33    ,0.04
201702    ,2.23   ,-1.59    ,2.61    ,0.04
201703    ,2.82   ,-2.54   ,-1.06    ,0.03
201704    ,0.27   ,-1.64    ,1.25    ,0.05
201705   ,-0.21   ,-1.29    ,0.70    ,0.06
201706    ,1.91   ,-1.81   ,-0.92    ,0.06
201707    ,3.21   ,-0.11    ,2.57    ,0.07
201708    ,0.59   ,-1.04    ,1.78    ,0.09
201709   ,-0.21    ,1.71   ,-1.82    ,0.09
201710    ,1.52    ,1.51    ,1.27    ,0.09
201711    ,1.00   ,-1.74   ,-0.81    ,0.08
201712    ,3.03    ,1.01   ,-3.63    ,0.09
201801    ,4.12   ,-1.77    ,1.25    ,0.11
201802   ,-3.15   ,-0.46    ,0.26    ,0.11
201803   ,-3.36    ,0.98    ,0.66    ,0.12
201804    ,1.83   ,-4.82    ,2.19    ,0.14
201805    ,0.26    ,0.80   ,-2.68    ,0.14
201806   ,-3.00   ,-1.23   ,-0.59    ,0.14
201807    ,1.17   ,-2.72    ,1.36    ,0.16
201808   ,-2.43   ,-1.55   ,-3.03    ,0.16
201809   ,-0.81    ,0.30    ,3.13    ,0.15
201810   ,-9.40    ,0.23    ,1.53    ,0.19
201811    ,3.36   ,-1.44   ,-1.20    ,0.18
201812   ,-2.60   ,-2.50    ,1.17    ,0.19
201901    ,6.40   ,-4.96    ,0.95    ,0.21
201902    ,3.35   ,-1.02   ,-0.18    ,0.18
201903    ,0.75   ,-0.26    ,1.27    ,0.19
201904    ,1.61   ,-0.44   ,-2.37    ,0.21
201905   ,-4.30    ,0.73   ,-1.78    ,0.21
201906    ,5.07   ,-4.30    ,0.11    ,0.18
201907   ,-1.44    ,1.37   ,-3.51    ,0.19
201908   ,-6.26    ,1.97   ,-2.95    ,0.16
201909    ,1.17    ,1.23    ,0.53    ,0.18
201910    ,2.81   ,-2.70   ,-0.32    ,0.15
201911   ,-0.20   ,-1.53   ,-0.79    ,0.12
201912    ,2.99    ,1.49    ,1.21    ,0.14
202001   ,-2.87   ,-0.96   ,-2.86    ,0.13
202002   ,-6.81   ,-2.51    ,3.54    ,0.12
202003  ,-19.06   ,-2.73    ,0.99    ,0.12
202004   ,11.13    ,1.50   ,-5.85    ,0.00
202005    ,0.29    ,6.73   ,-8.50    ,0.01
202006    ,7.59   ,-3.11    ,1.19    ,0.01



 Annual Factors: January-December
,Mkt-RF,SMB,HML,RF
1991   ,31.87   ,-7.41   ,14.31    ,5.60
1992    ,4.15   ,-4.49    ,6.35    ,3.51
1993   ,80.87    ,0.86   ,26.76    ,2.90
1994  ,-19.14   ,-1.10    ,4.91    ,3.90
1995    ,9.54  ,-12.26    ,1.67    ,5.60
1996   ,18.46    ,3.72    ,9.24    ,5.21
1997  ,-26.45   ,-6.10   ,-1.13    ,5.26
1998  ,-12.67  ,-13.48    ,5.75    ,4.86
1999   ,43.18   ,20.21   ,13.67    ,4.68
2000  ,-20.75  ,-18.12   ,18.04    ,5.89
2001  ,-11.66   ,-3.56   ,17.41    ,3.83
2002   ,-8.70    ,2.32   ,14.16    ,1.65
2003   ,50.78   ,18.54   ,21.03    ,1.02
2004   ,26.69   ,-7.50   ,10.36    ,1.20
2005   ,10.17   ,-9.21   ,-0.32    ,2.98
2006   ,30.07    ,8.62    ,0.43    ,4.80
2007   ,31.81   ,-0.44    ,8.69    ,4.66
2008  ,-52.96  ,-12.01    ,5.13    ,1.60
2009   ,77.96   ,30.66   ,-8.05    ,0.10
2010   ,22.79    ,8.55   ,-0.65    ,0.12
2011  ,-15.29   ,-8.63   ,-2.78    ,0.04
2012   ,24.68  ,-10.84   ,16.94    ,0.06
2013    ,6.80   ,-2.72    ,4.84    ,0.02
2014   ,-2.06   ,-4.78   ,11.23    ,0.02
2015   ,-8.28   ,12.25   ,-3.83    ,0.02
2016    ,5.87   ,-2.00   ,14.43    ,0.20
2017   ,24.41  ,-11.07    ,6.28    ,0.80
2018  ,-14.04  ,-11.72    ,3.26    ,1.81
2019   ,12.03   ,-8.75   ,-9.34    ,2.14
