This file was created using the 202005 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 OP/BE portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  OP/BE is operating profitability at the last fiscal year end of the prior calendar
year divided by BE as of 6 months before formation.  Firms with negative
OP are included in any portfolio.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



    Average Value Weighted Returns -- Daily
                 Small                 Big
            Low     2    High    Low     2    High
19980520   0.96   0.21   0.38   0.11   0.46   0.03
19980521   0.77   1.19   0.94   1.17   2.03   0.94
19980522  -0.59  -0.39  -0.47  -1.00  -0.57  -0.56
19980525  -0.41  -0.32  -0.25  -0.25  -0.23  -0.31
19980526  -1.12  -0.74  -0.59  -0.65  -0.36  -0.77
19980527  -1.80  -1.49  -1.78  -3.91  -3.60  -2.20
19980528  -0.86  -0.63  -0.46  -1.07  -0.77   0.99
19980529  -0.02   0.12   0.12   0.25  -0.08  -0.12
19980601  -2.19  -2.02  -2.50  -2.70  -3.93  -1.78
19980602  -1.35  -0.54  -0.56  -0.43  -0.09  -0.03
19980603  -0.45  -0.36  -0.86   0.72   0.81  -0.46
19980604  -1.07  -1.02  -0.71  -2.12  -1.97  -0.71
19980605  -1.29  -1.23  -1.66  -1.59  -1.36  -1.33
19980608  -1.18  -1.29  -1.45  -1.41  -1.16  -0.91
19980609  -1.20  -1.21  -1.76  -1.47  -2.04  -1.18
19980610  -3.15  -2.91  -2.87  -4.32  -4.08  -2.40
19980611  -1.31  -1.40  -1.25  -1.82  -0.90  -1.31
19980612  -0.49  -0.02  -0.38   1.41   0.10   0.68
19980615  -2.04  -0.96  -0.26  -1.68  -4.37  -2.05
19980616  -0.77  -0.17  -0.56  -0.82  -0.38   0.57
19980617   3.00   2.32   2.81   5.79   5.65   3.99
19980618   2.46   1.74   2.03   4.64   5.11   2.75
19980619   1.57   1.56   0.56   1.27   0.91   0.87
