
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198811   1.35   3.64  -1.17   2.34  -0.52   3.41  -1.51   3.72  -0.99   6.89
198812  -2.48  -3.04  -1.76  -1.95  -2.98  -1.26  -3.05  -2.19  -2.84  -2.06
198901  10.76  10.27  10.35  12.90   9.36  11.68  10.42  10.98   9.68   8.92
198902  -2.11  -3.51  -1.26  -1.31  -3.34  -3.74  -1.80  -3.68  -0.55  19.39
198903   0.27   0.51   1.50   0.18   1.00   1.53   0.60   0.92  -0.04  -2.55
198904   1.85   1.90   2.21   1.36   2.40   0.98   3.30   1.80   2.94   2.47
198905  -6.33  -7.39  -5.42  -6.85  -6.04  -6.91  -5.77  -7.24  -4.19  12.76
198906  -0.40  -0.58  -0.75   0.14  -0.95  -0.13  -0.73  -0.49  -2.26  -0.26
198907  13.97  13.17  14.81  16.10  14.35  13.83  14.57  13.34  13.69  -9.40
198908  -2.75  -3.90   0.50  -3.67  -1.26  -4.58   0.47  -3.22  -0.34 -18.39
198909   0.02   1.36  -0.84   0.14  -0.07   1.57  -1.17   0.73  -0.62   2.82
198910  -9.29  -8.87  -7.70 -11.19  -8.02  -8.70  -9.85  -8.57  -9.23 -14.54
198911   5.39   6.67   5.82   6.88   5.79   4.00   5.69   6.15   5.12  -0.66
198912   8.95  11.16   7.29   8.19   9.00  11.00   8.25   9.78   7.22   7.65
199001   0.65   1.71  -0.37   1.92  -0.80   1.24  -0.58   1.06  -0.94   7.62
199002  -3.49  -4.12  -3.09  -3.12  -3.48  -2.86  -2.36  -3.51  -2.56  -0.63
199003  -2.23  -1.19  -1.61  -0.06  -1.91  -3.56  -1.27  -2.86  -1.37  -5.80
199004  -6.69  -7.44  -6.08  -6.13  -6.26  -7.41  -6.43  -8.38  -5.68  -7.69
199005  13.76  13.09  13.61  14.51  13.94  14.19  13.61  13.46  14.00  11.65
199006   5.28   3.68   5.98   1.84   5.78   5.39   6.17   3.41   5.84   4.73
199007   4.45   5.86   3.18   2.92   4.01   3.45   3.32   4.58   4.67   8.71
199008  -6.70  -7.88  -8.13 -10.65  -7.19  -3.73  -8.18  -4.65  -8.49  -3.90
199009  -8.95 -11.76  -7.89 -12.66  -8.38  -9.58  -7.51 -10.85  -8.32  -6.15
199010   7.11   9.30   6.82   7.70   7.81   5.05   7.15   5.84   8.15  11.88
199011   4.41   5.31   2.62   6.28   3.36   5.03   2.53   5.48   1.97   3.77
199012  -0.70  -1.12   0.08  -0.69   0.14  -1.92  -0.08  -2.40   1.85   3.46
199101   2.84   2.96   3.92  -0.16   3.87   0.61   4.69   2.84   3.14  15.61
199102   7.77   8.42   7.73  13.07   6.01   8.11   6.52  10.31   6.25   6.51
199103  -5.38  -6.46  -3.33  -5.46  -4.36  -5.02  -4.12  -4.77  -4.11 -10.45
199104  -0.08  -0.55  -0.93  -1.12   0.22   0.36  -0.58  -1.18   0.19   5.69
199105  -1.75  -4.15  -1.06  -3.87  -1.42  -0.70  -0.33  -2.45  -0.67   4.80
199106  -7.60 -10.48  -6.22  -6.85  -6.14  -8.95  -6.66  -8.52  -6.36 -16.58
199107  11.30  10.62  11.58   9.97  10.72  10.43  11.29   9.23  10.50  10.83
199108   1.98   2.15   2.80   1.78   1.36   2.78   1.49   1.98   2.28   1.26
199109   3.63   2.91   4.76   3.68   3.45   2.19   4.90   3.28   4.26  11.69
199110  -2.66  -5.25  -0.46  -3.31  -0.57  -3.64   0.14  -4.94   1.30 -10.03
199111  -4.24 -10.48  -1.77  -7.28  -2.56  -7.01  -2.08  -9.09  -2.18  -4.58
199112   8.19   3.89  11.20   2.97  11.24   2.22  12.77   4.72  12.18  10.92
199201  -1.23  -0.24  -0.27  -2.33  -2.18  -2.53  -0.10  -2.02  -0.60   0.68
199202  -1.86  -3.17  -1.70  -0.83  -2.49  -2.42  -1.09  -3.65  -1.30   1.18
199203  -5.64  -6.60  -5.61  -6.11  -6.32  -6.39  -5.79  -6.09  -6.44  -9.53
199204  11.98  18.64   9.75  13.08   9.55  14.06   9.07  16.57   8.88  13.33
199205   5.04   6.05   4.89   5.26   5.32   5.65   4.67   5.35   4.86   7.08
199206  -3.27  -5.36  -3.10  -2.96  -5.41  -7.44  -2.70  -9.40  -1.60  -1.05
199207  -4.73 -10.14  -3.32  -4.17  -2.23  -3.77  -2.94  -6.24  -3.57  -1.54
199208  -0.97  -3.48  -0.48   0.59  -1.00   0.24  -0.05  -3.27  -0.12   7.92
199209  -1.80  -0.17  -1.31  -5.00  -0.61  -4.22  -2.25  -0.22  -2.96  -6.18
199210  -8.70  -5.98  -8.34  -7.90  -8.83  -6.98  -8.42  -6.83  -9.04  -8.52
199211   1.97   3.02   1.36   3.38   0.96   2.51   1.27   1.28   1.64   5.77
199212   3.26   4.42   2.09   3.15   2.46   4.17   1.72   4.84   1.26   3.09
199301  -2.59   2.85  -4.77  -0.84  -4.17  -1.05  -5.46   3.06  -5.77   4.07
199302  -1.24   1.82  -3.00   0.93  -2.64   2.10  -4.40   0.41  -3.12   1.04
199303   5.94   8.90   3.66   7.49   3.24   9.19   2.28   6.98   2.59   1.39
199304   2.34   4.44   1.42   1.49   1.17   1.38   2.47   5.02   2.75   4.47
199305   0.24   2.03  -0.30  -0.09   1.89   1.18   0.28   0.60  -0.43   2.92
199306  -2.46  -2.47  -3.59  -4.03  -3.40  -2.54  -5.64  -1.77  -4.32  -1.44
199307   0.93   2.33  -0.09   2.95   0.33   1.93   0.75   2.97  -0.33  -1.92
199308   6.05   5.00   7.49   6.91   6.94   5.19   7.35   4.84   8.09  11.32
199309  -1.55   0.24  -3.67  -0.90  -0.88   1.04  -2.58   0.18  -3.60  -5.34
199310   2.95   2.87   2.86   4.06   3.74   3.33   2.38   3.39   2.67  -6.10
199311   0.10   0.61   0.01  -1.28   0.37   0.78   1.63   0.42   0.48  -0.72
