This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and INV.

The portfolios are constructed at the end of June.  INV is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1,
divided by t-2 total assets.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
               Small                 Big         
        LoINV     2   HiINV  LoINV     2   HiINV 
198012  -3.0424  -2.3902  -4.7031  -3.6331  -2.6829  -4.0926
198101   0.2518   0.7288  -2.9777  -3.2664  -3.1526  -8.4778
198102   1.3614   2.0903  -0.1354   2.2431   1.6758  -0.1478
198103   5.9776   6.6609   8.9344   6.2823   2.3578   4.5455
198104   2.9483   3.0132   3.1366  -0.5553  -1.6600  -2.9067
198105   2.4523   2.4092   4.2545  -1.1982   0.0615   0.6869
198106  -0.7745  -0.1277  -4.3324  -0.7315  -0.3425  -2.3401
198107  -2.4733  -2.2333  -2.6861  -3.7886  -0.9092   2.6731
198108  -7.6240  -6.0658  -9.2437  -6.5180  -5.6338  -7.3820
198109  -7.8425  -6.2435  -9.6294  -5.3204  -3.6633  -8.7846
198110   7.4648   6.6921   8.5057   4.2876   3.5966   9.0176
198111   2.4419   4.4897   2.0048   4.1074   3.6337   3.8251
198112  -1.3015  -1.5767  -2.9146  -1.9712  -2.4202  -4.8575
198201  -3.0416  -2.5059  -4.7426  -2.5094  -0.6963  -4.7433
198202  -3.7923  -2.4006  -6.7141  -3.1367  -4.3950  -8.9572
198203  -0.0189  -0.2292  -2.4252  -1.0663   0.0482  -3.0866
198204   5.1141   4.6769   6.2217   6.0541   3.0675   5.3910
198205  -2.8055  -2.1599  -3.2586  -4.6312  -3.7190  -3.5968
198206  -2.3709  -1.8794  -3.7482  -1.1266  -0.8061  -4.8801
198207  -0.8114  -1.0729  -2.4865  -2.6697  -1.6948  -3.8401
198208   8.2457   8.0292   8.0980  12.3404  10.5379  12.4648
198209   3.4225   4.4935   2.7558   0.6297   1.1893   1.6274
198210  13.1302  12.7219  14.6163  14.0183   9.5263  13.3746
198211   9.6616   8.5140   8.6092   4.4859   2.9628   5.2640
