This file was created by CMPT_ME_BRKPTS using the 202006 CRSP database.  It contains every 5th NYSE ME percentile (divided by 1000000).
193201,  701,      0.21,      0.42,      0.64,      0.88,      1.25,      1.72,      2.18,      2.81,      3.39,      4.27,      5.44,      6.62,      8.95,     11.86,     16.34,     24.88,     37.30,     57.25,    146.28,   2087.36
193202,  699,      0.17,      0.42,      0.64,      0.87,      1.25,      1.72,      2.26,      2.68,      3.43,      4.24,      5.22,      6.82,      9.13,     12.07,     16.67,     27.00,     40.38,     61.38,    161.21,   2353.24
193203,  698,      0.17,      0.34,      0.59,      0.77,      1.10,      1.47,      1.81,      2.29,      3.00,      3.64,      4.53,      6.00,      7.93,      9.79,     15.04,     22.50,     34.18,     53.33,    140.25,   2057.04
193204,  683,      0.14,      0.28,      0.41,      0.60,      0.87,      1.17,      1.47,      1.86,      2.51,      3.04,      3.93,      5.05,      6.42,      8.60,     12.78,     17.54,     29.12,     45.34,    108.36,   1826.15
193205,  684,      0.12,      0.22,      0.35,      0.47,      0.65,      0.82,      1.11,      1.47,      1.80,      2.26,      2.77,      3.48,      4.71,      6.25,      8.86,     13.79,     21.51,     34.64,     85.66,   1644.24
193206,  679,      0.12,      0.21,      0.35,      0.48,      0.66,      0.87,      1.14,      1.55,      1.91,      2.29,      2.89,      3.75,      4.92,      6.75,      9.35,     13.03,     20.80,     36.35,     80.40,   1434.33
193207,  688,      0.15,      0.28,      0.49,      0.67,      0.94,      1.22,      1.66,      1.99,      2.49,      3.03,      3.85,      5.18,      6.98,      8.98,     12.30,     18.15,     28.64,     44.15,    103.12,   1674.56
193208,  685,      0.33,      0.62,      0.86,      1.17,      1.58,      2.10,      2.62,      3.29,      3.92,      4.78,      6.00,      7.50,     10.40,     13.17,     18.26,     27.52,     41.77,     66.48,    151.85,   2136.34
193209,  687,      0.30,      0.50,      0.70,      1.01,      1.47,      1.87,      2.30,      2.90,      3.73,      4.38,      5.41,      7.16,      9.50,     12.97,     17.54,     26.05,     38.88,     62.43,    135.62,   2096.69
193210,  685,      0.21,      0.43,      0.57,      0.78,      1.21,      1.53,      1.89,      2.41,      3.01,      3.66,      4.56,      6.06,      7.61,     10.53,     15.06,     21.88,     31.41,     55.62,    119.21,   1933.44
193211,  683,      0.21,      0.37,      0.49,      0.74,      1.06,      1.33,      1.75,      2.16,      2.68,      3.41,      4.16,      5.49,      7.33,      9.69,     14.10,     20.86,     29.00,     53.73,    112.38,   1912.45
193212,  680,      0.19,      0.30,      0.46,      0.66,      0.90,      1.25,      1.57,      1.96,      2.55,      3.11,      4.14,      5.24,      7.02,      9.90,     13.85,     21.47,     29.74,     57.60,    123.24,   1943.18
193301,  682,      0.18,      0.34,      0.46,      0.62,      0.97,      1.26,      1.71,      2.03,      2.64,      3.30,      4.32,      5.40,      7.17,      9.87,     15.07,     22.33,     32.80,     57.80,    116.82,   1950.18
193302,  679,      0.16,      0.27,      0.38,      0.57,      0.76,      1.01,      1.39,      1.76,      2.10,      2.73,      3.71,      4.49,      5.80,      8.49,     12.45,     18.65,     28.83,     42.84,    102.21,   1810.21
193303,  674,      0.15,      0.26,      0.38,      0.60,      0.87,      1.10,      1.41,      1.82,      2.30,      2.87,      3.65,      4.84,      6.60,      9.26,     13.42,     19.36,     28.43,     44.30,     99.29,   1651.59
193304,  674,      0.23,      0.43,      0.57,      0.87,      1.21,      1.60,      2.03,      2.73,      3.40,      4.25,      5.44,      7.28,     10.57,     14.43,     20.71,     27.69,     41.41,     64.10,    141.09,   1866.20
193305,  677,      0.41,      0.79,      1.20,      1.57,      2.10,      2.81,      3.41,      4.39,      5.40,      6.26,      8.06,     10.35,     13.86,     19.73,     25.76,     37.08,     51.47,     83.86,    163.13,   2190.45
193306,  673,      0.71,      1.15,      1.45,      1.95,      2.56,      3.37,      4.22,      5.17,      6.31,      7.58,      9.61,     11.81,     17.13,     22.81,     28.71,     41.83,     60.35,     95.50,    185.71,   2377.07
193307,  674,      0.62,      1.02,      1.28,      1.80,      2.42,      3.05,      3.65,      4.46,      5.29,      6.70,      8.40,     10.52,     15.00,     20.69,     26.06,     35.85,     53.96,     81.82,    164.04,   2258.10
193308,  671,      0.65,      1.00,      1.47,      1.92,      2.48,      3.23,      4.07,      4.99,      6.06,      7.81,      9.54,     12.54,     17.47,     24.08,     31.17,     42.00,     62.18,     96.51,    192.78,   2365.41
193309,  678,      0.49,      0.80,      1.13,      1.58,      2.09,      2.70,      3.37,      4.26,      4.98,      6.43,      8.18,      9.95,     14.46,     21.10,     26.24,     36.44,     51.14,     84.98,    170.86,   2244.11
