This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 BE/ME portfolios in Europe.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
200207 -10.06  -8.44  -6.77 -10.81 -11.83  -7.85
200208  -2.96  -0.88  -1.08  -0.56   0.66   1.77
200209 -12.62 -11.36  -8.34  -8.67 -16.10 -16.74
200210   3.75   2.03   1.83   8.45  11.07   8.54
200211   5.72   4.92   3.91   2.18   6.41   8.36
200212  -2.91   0.77   3.64  -2.95  -3.48  -2.92
200301  -2.67  -1.06   0.08  -4.19  -3.77  -1.85
200302  -4.01  -2.95  -2.03  -4.36  -2.70  -2.99
200303  -0.86  -0.37  -0.83  -0.73  -1.94  -1.72
200304  12.21  11.66  10.58  12.44  14.05  14.43
200305  10.32  10.40  10.50   6.81   7.32   9.02
200306   3.36   3.14   2.72   0.00   1.80   1.37
200307   1.59   2.41   4.60  -1.09   3.15   3.72
200308   3.22   2.53   3.83   0.73  -0.75   0.18
200309   5.00   5.18   5.98   3.34   2.19   2.49
200310   4.39   5.47   6.75   4.24   6.77   9.22
200311   4.07   4.88   4.87   4.77   4.25   4.79
200312   5.21   5.64   5.91   7.32   7.90   7.61
200401   4.36   5.84   7.45   1.48   2.00   3.15
200402   3.62   3.99   4.65   2.92   3.46   2.65
200403  -3.02  -2.38  -2.35  -3.39  -2.55  -4.54
200404  -2.40  -1.36  -1.81  -1.28  -1.08  -0.13
200405   0.33   0.99   0.20   2.23   1.54   0.70
200406   3.02   2.78   3.53   1.35   1.92   2.80
200407  -3.35  -2.91  -2.85  -3.78  -2.22  -3.40
200408  -0.64   0.01   0.98  -0.18   1.03   0.83
200409   4.14   4.31   4.41   3.11   4.76   4.41
200410   4.37   4.55   4.05   3.51   4.30   5.22
200411   8.38   8.87   9.84   6.13   6.55   8.14
200412   4.10   5.40   4.96   4.20   4.41   4.63
200501   0.97   2.19   2.99  -2.37  -0.89  -1.20
200502   5.06   5.04   6.27   4.12   4.94   5.06
200503  -3.05  -2.42  -2.19  -2.01  -2.69  -2.35
200504  -2.95  -2.25  -0.69  -1.00  -3.05  -3.45
200505  -1.92  -0.83  -0.56   0.30  -0.01   1.27
200506   1.07   2.97   3.29   0.17   3.11   1.36
200507   3.91   4.81   4.85   3.47   3.87   5.21
200508   4.64   4.40   3.73   1.84   1.97   2.54
200509   1.27   1.66   1.80   2.31   1.42   2.04
200510  -4.12  -4.12  -3.61  -2.29  -4.00  -1.98
200511   1.40   0.92   1.60   0.83   2.15   1.77
200512   4.46   4.95   4.51   3.32   4.58   4.17
200601   8.56   8.38   9.48   5.15   6.85   7.72
200602   2.22   3.37   3.04  -0.17   0.60   1.91
200603   4.13   5.33   6.09   4.07   3.74   5.53
200604   7.47   7.18   7.23   5.97   4.86   5.56
200605  -3.81  -4.14  -4.29  -2.80  -3.19  -3.40
