This file was created using the 202006 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RF
201007    ,6.95   ,-0.04    ,1.09    ,0.01
201008   ,-4.45   ,-1.68   ,-2.18    ,0.01
201009    ,9.47    ,3.75   ,-1.82    ,0.01
201010    ,3.89    ,0.90   ,-1.42    ,0.01
201011    ,0.81    ,3.85    ,0.01    ,0.01
201012    ,6.83    ,1.22    ,3.44    ,0.01
201101    ,1.98   ,-2.24    ,1.35    ,0.01
201102    ,4.01    ,2.00    ,0.38    ,0.01
201103    ,0.43    ,2.19   ,-1.72    ,0.01
201104    ,2.79    ,0.07   ,-2.25    ,0.00
201105   ,-1.47   ,-1.16   ,-1.43    ,0.00
201106   ,-1.87   ,-0.77   ,-0.21    ,0.00
201107   ,-2.28   ,-0.85   ,-1.96    ,0.00
201108   ,-5.92   ,-2.85   ,-1.84    ,0.01
201109   ,-8.57   ,-4.06   ,-0.56    ,0.00
201110   ,11.56    ,3.30   ,-0.04    ,0.00
201111   ,-0.45   ,-0.71   ,-0.26    ,0.00
201112    ,0.33   ,-0.78    ,2.89    ,0.00
201201    ,5.27    ,2.52   ,-2.94    ,0.00
201202    ,4.32   ,-1.45    ,0.15    ,0.00
201203    ,2.40   ,-1.27    ,0.71    ,0.00
201204   ,-0.64   ,-1.06   ,-0.30    ,0.00
201205   ,-6.69   ,-0.53    ,0.44    ,0.01
201206    ,3.74    ,0.69    ,0.33    ,0.00
201207    ,1.01   ,-2.42    ,0.72    ,0.00
201208    ,2.76    ,0.87    ,0.24    ,0.01
201209    ,2.80    ,0.96    ,0.68    ,0.01
201210   ,-1.63   ,-0.75    ,3.72    ,0.01
201211    ,0.65   ,-0.09   ,-0.74    ,0.01
201212    ,1.30    ,1.72    ,3.03    ,0.01
201301    ,5.33    ,0.36    ,1.54    ,0.00
201302    ,0.96   ,-1.06   ,-0.01    ,0.00
201303    ,3.71    ,0.71   ,-0.15    ,0.00
201304    ,1.27   ,-2.83   ,-0.02    ,0.00
201305    ,2.53    ,1.41    ,1.13    ,0.00
201306   ,-1.52    ,0.88    ,0.51    ,0.00
201307    ,5.69    ,1.75   ,-0.24    ,0.00
201308   ,-2.53    ,0.49   ,-2.14    ,0.00
201309    ,3.82    ,2.06   ,-1.43    ,0.00
201310    ,4.09   ,-1.77    ,0.66    ,0.00
201311    ,2.79    ,0.93   ,-0.53    ,0.00
201312    ,2.64   ,-0.54   ,-0.08    ,0.00
201401   ,-3.42    ,1.13   ,-1.46    ,0.00
201402    ,4.72    ,0.24   ,-0.41    ,0.00
201403    ,0.62   ,-1.53    ,4.86    ,0.00
201404    ,0.25   ,-3.64    ,1.81    ,0.00
201405    ,1.98   ,-1.94   ,-0.56    ,0.00
201406    ,2.82    ,3.18    ,0.51    ,0.00
201407   ,-2.06   ,-4.06   ,-0.04    ,0.00
201408    ,4.06    ,0.39   ,-1.00    ,0.00
201409   ,-2.45   ,-3.72   ,-2.62    ,0.00
201410    ,2.03    ,2.60   ,-3.47    ,0.00
201411    ,2.22   ,-2.21   ,-2.95    ,0.00
201412   ,-0.20    ,1.83    ,0.77    ,0.00
201501   ,-3.47   ,-1.05   ,-3.89    ,0.00
201502    ,6.15    ,0.88   ,-1.36    ,0.00
201503   ,-1.20    ,2.53   ,-0.93    ,0.00
201504    ,1.11   ,-2.44    ,3.37    ,0.00
201505    ,1.00    ,0.61   ,-1.78    ,0.00
201506   ,-1.70    ,2.63   ,-1.32    ,0.00
201507    ,1.05   ,-4.27   ,-5.07    ,0.00
201508   ,-5.93   ,-0.22    ,3.43    ,0.00
201509   ,-3.35   ,-3.17    ,0.71    ,0.00
201510    ,7.53   ,-2.12    ,0.50    ,0.00
201511    ,0.45    ,2.73   ,-1.27    ,0.00
201512   ,-2.45   ,-2.79   ,-2.21    ,0.01
201601   ,-5.73   ,-4.14    ,4.04    ,0.01
201602    ,0.26    ,1.11    ,0.93    ,0.02
201603    ,7.00    ,1.16    ,2.00    ,0.02
201604    ,1.12    ,2.28    ,3.73    ,0.01
201605    ,1.39    ,0.02   ,-2.66    ,0.01
201606   ,-0.11    ,0.33    ,0.24    ,0.02
201607    ,3.92    ,2.35   ,-2.90    ,0.02
201608    ,0.43    ,0.96    ,1.59    ,0.02
201609    ,0.34    ,1.68   ,-1.07    ,0.02
201610   ,-2.05   ,-3.79    ,2.89    ,0.02
201611    ,4.54    ,4.62    ,6.78    ,0.01
201612    ,1.77   ,-0.36    ,3.10    ,0.03
201701    ,2.13   ,-0.80   ,-1.84    ,0.04
201702    ,3.24   ,-1.13   ,-3.40    ,0.04
201703    ,0.21    ,0.56   ,-2.95    ,0.03
201704    ,0.84    ,0.10   ,-3.05    ,0.05
201705    ,0.93   ,-2.18   ,-4.28    ,0.06
201706    ,0.99    ,2.63    ,1.66    ,0.06
201707    ,1.97   ,-1.25    ,0.09    ,0.07
201708    ,0.07   ,-1.25   ,-2.60    ,0.09
201709    ,2.48    ,3.00    ,2.58    ,0.09
201710    ,1.98   ,-1.77   ,-1.69    ,0.09
201711    ,2.88   ,-0.11   ,-1.02    ,0.08
201712    ,1.18   ,-0.28   ,-0.34    ,0.09
201801    ,5.23   ,-2.60   ,-2.87    ,0.11
201802   ,-3.95   ,-0.14   ,-2.74    ,0.11
201803   ,-2.17    ,3.19    ,0.17    ,0.12
201804    ,0.35    ,0.34    ,1.36    ,0.14
201805    ,2.51    ,3.44   ,-3.41    ,0.14
201806    ,0.39    ,0.15   ,-1.04    ,0.14
201807    ,3.11   ,-2.28    ,0.79    ,0.16
201808    ,3.09    ,1.19   ,-5.77    ,0.16
201809    ,0.06   ,-2.13   ,-1.10    ,0.15
