This file was created using the 202005 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Europe.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  INV is percentage difference in Total Assets at the last fiscal year end of the prior calendar
year from the previous fiscal year as of 6 months before formation.  Firms with negative
INV are included in any portfolio.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



    Average Value Weighted Returns -- Daily
                 Small                 Big
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
19980324   ,0.14   ,0.19   ,0.10   ,0.44   ,0.50   ,0.56
19980325   ,0.49   ,0.48   ,0.31   ,0.90   ,1.02   ,0.99
19980326   ,0.61   ,0.35   ,0.64  ,-0.10  ,-0.20  ,-0.12
19980327   ,0.85   ,0.34   ,0.36   ,0.25   ,0.38   ,0.42
19980330  ,-0.65  ,-0.64  ,-0.56  ,-0.67  ,-0.92  ,-1.06
19980331   ,0.15  ,-0.09   ,0.02   ,0.20   ,0.18  ,-0.17
19980401  ,-0.05  ,-0.07   ,0.18   ,0.71   ,0.45   ,0.39
19980402   ,0.42   ,0.09   ,0.46   ,0.40   ,0.45   ,0.47
19980403   ,0.37   ,0.45   ,0.47   ,0.51   ,0.53   ,1.06
19980406   ,0.76   ,0.66   ,0.91   ,1.00   ,1.15   ,0.97
19980407   ,0.20   ,0.10   ,0.01  ,-0.50  ,-0.48  ,-0.13
19980408   ,0.55   ,0.67   ,0.80  ,-0.07   ,0.40   ,0.47
19980409  ,-0.20  ,-0.13   ,0.02  ,-0.14  ,-0.11  ,-0.08
19980410   ,0.15   ,0.19   ,0.16   ,0.35   ,0.21   ,0.12
19980413  ,-0.04   ,0.05   ,0.17  ,-0.07   ,0.04  ,-0.03
19980414   ,1.61   ,1.59   ,1.81   ,1.91   ,1.62   ,1.59
19980415   ,0.27   ,0.35   ,0.39   ,0.52   ,0.08   ,0.22
19980416  ,-0.09   ,0.09   ,0.13  ,-0.46  ,-0.39  ,-0.22
19980417  ,-0.33  ,-0.31  ,-0.19  ,-0.62  ,-0.33  ,-0.42
19980420   ,0.71   ,0.80   ,0.64   ,0.60   ,1.09   ,1.07
19980421   ,0.59   ,0.74   ,1.06   ,0.44   ,0.57   ,0.54
19980422  ,-0.12  ,-0.30  ,-0.17  ,-0.10  ,-0.46  ,-0.08
19980423  ,-0.37  ,-0.32  ,-0.26  ,-0.79  ,-0.88  ,-0.49
19980424  ,-0.04   ,0.08  ,-0.02  ,-0.06  ,-0.47  ,-0.62
19980427  ,-0.90  ,-0.90  ,-1.20  ,-2.16  ,-2.06  ,-1.77
19980428   ,0.11   ,0.04   ,0.00   ,0.93   ,0.64   ,0.43
19980429   ,0.32   ,0.28   ,0.69  ,-0.05  ,-0.18   ,0.05
19980430   ,0.31   ,0.73   ,0.76   ,1.24   ,1.57   ,1.38
19980501   ,0.62   ,0.68   ,0.69   ,0.77   ,0.84   ,0.93
19980504   ,0.97   ,0.79   ,0.81   ,1.64   ,1.42   ,1.61
19980505   ,0.56   ,0.44   ,0.57   ,0.26   ,0.14   ,0.03
19980506   ,0.25   ,0.36   ,0.29   ,0.34   ,0.13   ,0.33
19980507  ,-0.30  ,-0.42  ,-0.62  ,-0.96  ,-0.89  ,-0.99
19980508   ,0.04   ,0.23   ,0.22   ,0.32   ,0.29   ,0.30
19980511   ,0.10   ,0.10   ,0.30   ,0.94   ,0.64   ,0.66
19980512   ,0.23   ,0.32   ,0.32  ,-0.20  ,-0.24  ,-0.58
19980513   ,0.22   ,0.18   ,0.34   ,0.06   ,0.21   ,0.29
19980514   ,0.00   ,0.22  ,-0.05  ,-0.30  ,-0.19  ,-0.54
19980515  ,-0.16   ,0.03  ,-0.18  ,-0.19  ,-0.11  ,-0.16
19980518  ,-0.10  ,-0.11   ,0.19  ,-0.74  ,-0.53  ,-0.79
19980519   ,0.38   ,0.22   ,0.30   ,0.39   ,0.78   ,0.60
19980520   ,1.05   ,1.04   ,1.03   ,1.18   ,1.30   ,1.25
19980521   ,0.59   ,0.71   ,0.83   ,0.70   ,0.77   ,0.61
19980522   ,0.43   ,0.29   ,0.60   ,0.25   ,0.38   ,0.39
19980525   ,0.18   ,0.15   ,0.45   ,0.23   ,0.56   ,0.56
19980526   ,0.00   ,0.07  ,-0.10   ,0.06  ,-0.03  ,-0.21
