date,Equity Risk Premium (1yr)
01-Nov-1967,4.34
01-Dec-1967,4.57
01-Jan-1968,4.85
01-Feb-1968,5.06
01-Mar-1968,4.89
01-Apr-1968,4.81
01-May-1968,4.46
01-Jun-1968,4.48
01-Jul-1968,4.46
01-Aug-1968,4.39
01-Sep-1968,4.04
01-Oct-1968,3.67
01-Nov-1968,3.24
01-Dec-1968,2.93
01-Jan-1969,2.7
01-Feb-1969,2.56
01-Mar-1969,2.7
01-Apr-1969,2.49
01-May-1969,2.4
01-Jun-1969,2.37
01-Jul-1969,2.48
01-Aug-1969,2.46
01-Sep-1969,1.9
01-Oct-1969,2.24
01-Nov-1969,2.12
01-Dec-1969,3.03
01-Jan-1970,2.09
01-Feb-1970,2.84
01-Mar-1970,2.64
01-Apr-1970,2.38
01-May-1970,2.53
01-Jun-1970,3.71
01-Jul-1970,4.35
01-Aug-1970,4.6
01-Sep-1970,4.9
01-Oct-1970,5.17
01-Nov-1970,6.02
01-Dec-1970,6.19
01-Jan-1971,6.92
01-Feb-1971,7.03
01-Mar-1971,7.38
01-Apr-1971,7.09
01-May-1971,7.36
01-Jun-1971,7.24
01-Jul-1971,6.97
01-Aug-1971,7.1
01-Sep-1971,7.04
01-Oct-1971,7.08
01-Nov-1971,7.07
01-Dec-1971,6.17
01-Jan-1972,6.53
01-Feb-1972,6.44
01-Mar-1972,6.17
01-Apr-1972,6.03
01-May-1972,5.94
01-Jun-1972,5.6
01-Jul-1972,5.48
01-Aug-1972,5.23
01-Sep-1972,5.02
01-Oct-1972,5.14
01-Nov-1972,5.08
01-Dec-1972,4.33
01-Jan-1973,4.73
01-Feb-1973,4.69
01-Mar-1973,4.67
01-Apr-1973,4.72
01-May-1973,4.28
01-Jun-1973,4.6
01-Jul-1973,4.32
01-Aug-1973,4.22
01-Sep-1973,4.61
01-Oct-1973,4.72
01-Nov-1973,4.69
01-Dec-1973,5.73
01-Jan-1974,4.49
01-Feb-1974,4.68
01-Mar-1974,4.78
01-Apr-1974,5.06
01-May-1974,5.7
01-Jun-1974,5.98
01-Jul-1974,6.29
01-Aug-1974,6.77
01-Sep-1974,7.41
01-Oct-1974,7.71
01-Nov-1974,8.08
01-Dec-1974,10.58
01-Jan-1975,9.37
01-Feb-1975,9.83
01-Mar-1975,9.41
01-Apr-1975,9.88
01-May-1975,10.81
01-Jun-1975,11.28
01-Jul-1975,11.83
01-Aug-1975,12.43
01-Sep-1975,13.21
01-Oct-1975,13.94
01-Nov-1975,13.02
01-Dec-1975,12.64
01-Jan-1976,13.23
01-Feb-1976,12.57
01-Mar-1976,11.63
01-Apr-1976,11.38
01-May-1976,11.07
01-Jun-1976,10.91
01-Jul-1976,10.55
01-Aug-1976,11.5
01-Sep-1976,11.75
01-Oct-1976,11.48
01-Nov-1976,11.46
01-Dec-1976,10.66
01-Jan-1977,9.84
01-Feb-1977,9.42
01-Mar-1977,8.93
01-Apr-1977,9.53
01-May-1977,9.6
01-Jun-1977,9.71
01-Jul-1977,9.92
01-Aug-1977,9.98
01-Sep-1977,9.69
01-Oct-1977,9.7
01-Nov-1977,9.72
01-Dec-1977,11.31
01-Jan-1978,9.23
01-Feb-1978,9.53
01-Mar-1978,9.77
01-Apr-1978,9.74
01-May-1978,9.69
01-Jun-1978,9.72
01-Jul-1978,9.98
01-Aug-1978,10.27
01-Sep-1978,10.55
01-Oct-1978,10.71
01-Nov-1978,10.98
01-Dec-1978,12.36
01-Jan-1979,11.33
01-Feb-1979,11.23
01-Mar-1979,12.17
01-Apr-1979,11.75
01-May-1979,11.63
01-Jun-1979,11.55
01-Jul-1979,11.39
01-Aug-1979,10.82
01-Sep-1979,10.77
01-Oct-1979,10.31
01-Nov-1979,11.11
01-Dec-1979,13.51
01-Jan-1980,10.83
