erp_one_month_ahead,erp_one_quarter_ahead,erp_six_months_ahead,erp_one_year_ahead,erp_two_years_ahead,erp_three_years_ahead,erp_four_years_ahead,erp_five_years_ahead,recession,zeros
12.66,11.41,11.49,11.04,12.17,12.3,26.24,28.79,-100,0
12.72,10.81,11.09,10.07,12.06,12.47,25.55,32.01,-100,0
12.18,10.48,10.91,9.62,11.8,12.46,26.65,32.4,-100,0
12.22,10.52,10.95,9.07,11.27,12.65,26.66,32.94,-100,0
12.28,10.33,10.88,9.68,11.09,12.76,25.96,33.01,-100,0
12.55,10.51,10.96,9.75,11.35,12.96,27.27,34.39,-100,0
12.36,10.73,11.04,9.82,11.46,13.14,27.95,35.18,-100,0
12.22,10.37,10.63,10.04,10.98,13.02,26.92,33.75,-100,0
12.45,10.46,10.91,10.08,11.58,13.11,28.15,35.52,-100,0
12.29,10.41,10.87,9.81,11.08,12.97,28.09,28.84,-100,0
12.73,10.77,10.88,9.85,11.16,12.98,27.81,32.45,-100,0
12.8,10.98,10.99,9.88,11.15,12.99,29.18,30.07,-100,0
14.3,12.6,12.65,11.3,11.71,13.81,30.9,34.42,-100,0
13.07,11.23,11.06,9.36,10.33,12.94,27.87,33.12,-100,0
13.6,11.83,11.39,9.66,10.24,12.98,29.64,31.78,-100,0
13.66,12.28,11.78,9.91,9.78,13,30.07,32.44,-100,0
13.16,12.22,12.06,9.87,10.31,12.99,30.34,36.59,-100,0
13.03,11.99,12.22,9.81,10.23,13.02,30.31,40.76,-100,0
13.39,11.84,12.31,9.84,10.07,12.98,30.14,40.71,-100,0
13,12.06,12.17,10.1,10.4,12.99,30.24,40.06,-100,0
12.43,12.22,12.27,10.39,10.56,13.35,30.45,43.01,-100,0
12.68,12.58,12.88,10.69,10.49,13.37,30.43,43.98,-100,0
13.87,12.84,12.99,10.84,10.43,13.15,30.36,42.23,-100,0
13.79,13.34,13.18,11.11,10.44,13.13,30.85,44.21,-100,0
14.75,14.4,14.06,12.35,11.47,13.62,31.54,46,-100,0
13.7,14.04,13.63,11.44,10.57,13.35,30.1,44.58,-100,0
14.36,14.1,13.92,11.34,10.67,13.15,31.19,46.87,-100,0
13.98,13.78,14.42,12.31,10.35,13.02,31.64,46.86,-100,0
13.53,13.51,13.98,11.89,10,12.65,29.7,44.42,-100,0
13.85,13.01,13.15,11.76,9.93,12.59,30.58,47.08,-100,0
13.52,13.2,13.66,11.65,10.08,12.64,30.73,48.01,-100,0
13.28,12.47,13.58,11.47,10.02,12.61,29.62,45.05,-100,0
12.49,11.96,12.26,10.94,9.53,12.21,22.14,45.81,-100,0
11.94,11.4,11.61,10.88,9.41,12.27,21.47,45.15,-100,0
11.7,10.37,10.45,10.42,8.88,11.87,23.79,41.06,-100,0
12.85,11.51,11.54,11.23,9.48,12.29,20.72,44.63,-100,0
15.23,13.77,13.82,13.49,11.69,13.95,25.71,49.36,-100,0
11.25,11.44,10.28,10.94,8.86,11.75,22.56,40.44,-100,0
10.3,10.36,9.62,10.2,8.07,10.99,17.09,38.86,100,0
10.74,9.75,9.72,9.98,9.33,10.93,17.47,37.65,100,0
12.43,11.61,11.59,10.56,10.35,11.78,23.07,40.75,100,0
13.61,11.61,11.86,10.99,10.91,12.2,24.25,42.66,100,0
13.72,12.6,11.89,11,10.99,12.25,24.71,42.52,100,0
12.43,12.01,11.65,10.61,10.54,11.94,25.11,40.56,100,0
10.99,9.78,10.34,9.77,9.76,11.32,22.65,38.33,-100,0
10.01,9.42,10.26,9.55,9.53,11.15,21.85,29.61,-100,0
9.37,9.28,9.89,9.53,9.35,11.05,22.96,31.49,-100,0
8.64,8.8,8.66,9.38,9.2,10.97,21.51,26.29,-100,0
9.98,9.88,9.71,10.22,9.86,11.28,22.18,27.85,-100,0
8.36,7.86,7.95,8.84,8.76,10.53,21.87,27.4,-100,0
7.52,7.03,6.94,8.06,8.11,9.95,19.45,22.01,-100,0
8.37,8.55,8.31,8.8,8.92,10.66,21.3,26.43,-100,0
8.79,8.51,7.91,8.57,8.45,10.01,21.3,28.03,-100,0
8.6,8.72,8.27,8.48,8.34,9.98,20.27,25.59,-100,0
8.53,7.69,7.28,7.17,7.57,9.41,18.77,24.21,-100,0
7.18,6.99,6.38,5.9,6.73,8.71,17.8,24.16,-100,0
6.47,6.37,5.51,5.17,6.05,8.42,15.61,19.42,100,0
6.56,6.16,5.25,4.69,5.55,8.11,14.58,16.67,100,0
6.94,6.91,6.16,5.54,6.04,8.53,16.33,20.89,100,0
8.2,7.75,7.17,6.08,6.66,9.06,16.56,20.64,100,0
10.55,9.64,9.32,8.19,8.54,10.43,19.96,26.4,100,0
7.91,7.35,6.67,5.44,6.26,8.66,16.15,21.34,100,0
8.7,7.73,7.18,6.23,6.56,8.94,15.69,21.04,100,0
9.17,7.62,6.97,6.22,6.22,8.7,16.36,20.47,100,0
8.85,7.95,7.39,6.53,6.3,8.8,16.28,23.05,100,0
9.68,8.48,7.98,6.8,6.56,8.9,16.68,21.76,100,0
9.69,8.37,7.6,6.54,6.16,8.47,15.85,20.16,100,0
11.18,9.48,8.76,7.35,6.83,9.04,17.12,24.69,100,0
12.02,10.45,9.9,8.11,7.4,9.51,18.25,24.4,100,0
14,12.22,11.81,9.62,8.75,10.48,20.97,28.54,100,0
14.08,12.58,12.81,10.59,9.42,10.95,22.23,33.06,100,0
13.03,12.43,12.61,10.63,9.4,10.83,21.73,29.22,100,0
13.2,11.89,13.02,11.08,10.18,11.32,22.12,30.47,-100,0
12.78,11.82,13.26,10.81,9.98,11.24,22.03,33.16,-100,0
13.15,12.21,13.78,11.64,10.48,11.52,22.74,31.53,-100,0
12.98,11.93,13.66,11.69,10.51,11.55,22.75,30.75,-100,0
12.55,11.51,12.61,12.08,10.52,11.35,22.22,32.9,-100,0
11.75,10.99,11.89,11.66,10.25,10.99,21.46,28.04,-100,0
11.54,11.12,11.42,11.67,10.5,11.3,22.03,28.69,-100,0
11.47,10.63,10.53,11.31,9.93,10.87,21.31,30.34,-100,0
11.48,10.4,10.35,11.1,9.19,10.68,20.65,25.92,-100,0
10.88,9.95,9.56,10.53,8.71,10.21,19.59,23.47,-100,0
9.59,9.3,8.51,9.04,8.44,9.65,18.21,24.49,-100,0
8.15,8.38,7.84,8.59,7.27,9.57,17.51,18.66,-100,0
8.18,8.15,7.72,8.03,7.46,9.35,16.37,18.18,-100,0
7.57,6.96,6.83,7.22,7.74,9.3,16.63,21.43,-100,0
