erp_one_month_ahead,erp_one_quarter_ahead,erp_six_months_ahead,erp_one_year_ahead,erp_two_years_ahead,erp_three_years_ahead,erp_four_years_ahead,erp_five_years_ahead,recession,zeros
12.43,11.66,11.09,10.64,10.24,11.5,17.29,20.39,100,0
10.99,9.59,9.93,9.82,9.54,11.05,16,18.45,-100,0
10.01,9.22,9.78,9.64,9.33,10.92,15.73,16.63,-100,0
9.37,9.08,9.45,9.66,9.18,10.75,15.97,16.21,-100,0
8.64,8.62,8.36,9.53,9.05,10.95,15.38,15.56,-100,0
9.98,9.75,9.42,10.43,9.84,11.52,16.53,17.12,-100,0
8.36,7.79,7.67,9,8.66,10.51,15.23,14.6,-100,0
7.52,6.95,6.73,8.27,8.06,10.11,13.7,13.38,-100,0
8.37,8.41,8.01,8.99,8.83,10.74,14.92,15.33,-100,0
8.79,8.39,7.64,8.79,8.41,9.98,14.79,14.88,-100,0
8.6,8.6,7.95,8.73,8.33,9.98,14.21,14.68,-100,0
8.53,7.63,7.06,7.4,7.65,9.51,13.43,13.81,-100,0
7.18,6.91,6.25,6.15,6.87,8.93,12.63,12.78,-100,0
6.47,6.26,5.45,5.45,6.26,8.92,11.29,11.21,100,0
6.56,6.04,5.18,5.01,5.83,8.68,10.71,10.1,100,0
6.94,6.78,5.98,5.88,6.31,8.8,11.79,11.25,100,0
8.2,7.62,6.89,6.4,6.91,9.38,12.23,12.22,100,0
10.55,9.53,9.21,8.51,8.75,11.04,15.64,15.99,100,0
7.91,7.25,6.68,5.71,6.52,9,11.84,11.66,100,0
8.7,7.7,7.13,6.49,6.8,9.37,11.88,12.14,100,0
9.17,7.45,7,6.48,6.49,9.19,12,11.82,100,0
8.85,7.67,7.35,6.74,6.58,9.21,12.04,12.54,100,0
9.68,8.3,7.82,6.97,6.83,9.4,12.37,12.48,100,0
9.69,8.16,7.4,6.72,6.47,9.05,11.89,11.81,100,0
11.18,9.22,8.38,7.53,7.08,9.49,12.76,13.5,100,0
12.02,10.18,9.41,8.29,7.64,10,13.53,13.96,100,0
14,11.91,11.28,9.8,8.91,10.84,15.35,16.23,100,0
14.08,12.26,12.3,10.79,9.5,11.18,16.21,17.96,100,0
13.03,12.11,12.1,10.85,9.51,11.19,15.98,16.79,100,0
13.2,11.7,12.33,11.36,10.3,11.82,16.93,18.18,-100,0
12.78,11.53,12.58,11.03,10.01,11.52,16.34,18.09,-100,0
13.15,11.92,13.03,11.9,10.56,11.87,16.93,18.04,-100,0
12.98,11.66,12.87,12.14,10.6,11.93,17.01,17.83,-100,0
12.55,11.25,11.91,12.31,10.53,11.68,16.75,18.02,-100,0
11.75,10.74,11.24,11.89,10.37,11.48,16.26,16.75,-100,0
11.54,10.87,10.88,11.87,10.64,11.77,16.64,17.28,-100,0
11.47,10.39,10.05,11.48,10.11,11.34,16.24,16.95,-100,0
11.48,10.18,9.84,11.26,10.02,11.28,15.85,15.93,-100,0
10.88,9.74,9.11,10.7,9.59,10.87,15.15,14.93,-100,0
9.59,9.08,8.12,9.22,8.79,10.34,14.28,14.09,-100,0
8.15,8.23,7.55,8.79,8.55,10.37,13.94,12.85,-100,0
8.18,8.06,7.6,8.31,8.57,10.19,13.61,12.89,-100,0
7.57,6.87,6.61,7.48,8.19,10.12,13.6,12.58,-100,0
7.23,6.36,5.84,7.19,7.85,9.98,12.83,10.9,-100,0
6.53,5.85,5.2,6.49,7.37,9.63,11.52,9.91,-100,0
5.87,5.3,4.46,5.97,6.95,9.54,11.42,9.81,-100,0
5.26,4.55,3.4,4.86,6.11,9.13,9.77,7.78,-100,0
4.8,4.5,3.48,4.38,6.1,9.04,9.7,7.92,-100,0
5.55,5.32,4.04,4.93,6.53,9.26,10.74,9.41,-100,0
5.06,5.13,4.5,4.79,6.54,9.42,10.61,9.21,-100,0
5.59,5.02,4.61,4.93,6.45,9.42,10.74,9.68,-100,0
6.32,5.68,5.34,5.1,7.02,9.62,11.63,11.82,-100,0
6.53,6.09,5.45,5.24,7.14,9.79,11.8,11.55,-100,0
8.81,8.21,7.59,7.38,8.61,10.79,14.27,14.39,-100,0
6.6,6.18,6.13,5.58,7.4,9.9,12.45,12.26,-100,0
6.34,5.95,5.95,5.76,6.36,9.89,12.19,11.77,-100,0
7.16,6.19,6.39,6.05,6.53,10.08,12.48,12.14,-100,0
7.57,6.65,6.05,6.5,7.28,10.07,13,12.81,-100,0
8.27,7.71,6.98,7.15,7.36,10.61,13.87,13.68,-100,0
8.58,7.8,7.23,7.32,7.52,10.75,14.22,13.94,-100,0
8.8,7.74,7.3,7.61,8.06,10.58,14.29,14.25,-100,0
8.63,7.61,7.2,7.31,7.2,10.44,13.84,13.37,-100,0
8.46,7.72,6.9,7.42,7.13,10.34,13.84,13.42,-100,0
8.32,7.85,7.16,7.14,7.85,10.58,14.34,14.29,-100,0
8,7.82,7.39,7.34,7.48,10.71,14.36,14.11,-100,0
8.15,7.75,7.85,7.81,7.81,10.17,13.58,13.85,-100,0
7.93,7.29,7.14,7.52,8.06,10.55,14.64,14.9,-100,0
7.28,7.47,7.19,7.86,7.81,10.85,14.84,14.98,-100,0
7.12,7.53,7.36,7.95,8.19,11.15,15.31,15.92,-100,0
7.2,7,7.08,7.77,8.53,11.06,15.33,16.07,-100,0
6.03,6.06,6.35,7.12,7.5,10.58,14.36,14.41,-100,0
6.17,6.23,6.3,7.3,7.7,10.71,14.55,14.95,-100,0
6.69,6.03,5.79,6.87,7.96,10.63,14.39,15.38,-100,0
6.57,6.32,6.01,7.01,7.79,10.84,14.52,15.48,-100,0
7.42,6.48,5.89,6.67,7.57,10.63,14.16,15.18,-100,0
7.52,6.59,5.83,6.66,7.95,10.27,14.17,15.76,-100,0
7.09,6.65,5.68,6.59,7.33,9.98,13.74,15.25,-100,0
6.29,6.17,5.59,6,6.68,8.5,11.26,12.5,-100,0
5.22,5.98,5.37,5.79,7.36,9.31,13.23,14.84,-100,0
4.44,5.43,5.02,5.4,6.66,8.96,11.16,14.15,-100,0
3.44,4.16,4.37,4.86,6.16,8.51,10.32,13.11,-100,0
2.47,3.21,3.24,4.04,6,7.97,11.29,12.35,-100,0
2.16,2.88,2.98,3.65,5.32,7.7,9.16,11.32,-100,0
1.79,2.44,2.43,3.61,5.19,7.47,8.97,10.96,-100,0
1.32,2.04,2.03,3.25,5.42,7.24,10.37,10.97,-100,0
0.8,1.5,1.67,2.86,4.58,7.19,7.76,9.27,-100,0
0.62,1.16,0.91,2.62,4.18,6.96,7.22,8.29,-100,0
3.39,2.23,1.63,2.88,4.92,7.13,9.56,9.89,-100,0
4.14,2.92,1.73,2.96,4.34,7.03,7.91,8.78,-100,0
4.96,4.75,3.84,4.23,5.35,7.47,8.72,10.05,-100,0
3.69,3.71,2.66,2.94,4.84,7.06,8.96,9.77,-100,0
2.94,3.18,2.72,2.97,4.33,6.97,7.64,7.96,-100,0
2.23,2.73,2.41,2.3,3.99,6.78,7.02,6.88,-100,0
1.71,2.45,2.05,2.1,4.12,6.55,7.56,6.58,-100,0
2.58,1.28,1.6,1.89,3.42,6.36,6.56,6.03,-100,0
1.36,2.64,1.98,2.08,3.46,6.27,6.53,6.05,-100,0
0.83,2.61,1.7,1.86,3.51,6.05,6.48,5.24,-100,0
0.68,1.17,0.78,1.65,2.78,5.9,5.68,2.22,-100,0
0.53,1.43,1.52,1.95,3.09,5.9,5.95,2.63,-100,0
2.49,2.07,2.54,2.44,3.42,6.15,7.01,6.21,-100,0
6.23,4,4.08,2.78,3.77,6.33,7,5.68,-100,0
8.64,6.96,6.23,4.49,4.75,6.83,7.65,7.17,-100,0
5.88,8.35,6.59,3.56,4.14,6.34,7.43,6.91,-100,0
3.72,8.37,6.9,4.99,3.57,6.11,6.62,5.59,-100,0
3.44,5.78,7.41,5.09,3.43,6.01,6.35,5.5,-100,0
3.45,5.47,7.92,5.47,4.11,6.18,6.97,6.79,-100,0
3.93,5.55,8.18,6,4.7,6.59,6.17,7.24,-100,0
4.49,5.65,6.55,6.32,4.91,6.64,6.41,7.71,-100,0
4.25,5.73,6.37,6.63,5.27,6.7,7.93,8.7,-100,0
3.9,5.4,5.82,6.56,5.12,6.57,6.15,7.92,-100,0
4.07,5.17,5.57,6.72,5.13,6.46,5.87,7.55,-100,0
4.61,5.35,5.66,6.97,5.27,6.5,7.43,8.66,-100,0
4.69,5.6,5.77,6.98,5.36,6.51,6.4,8.19,-100,0
5.03,5.76,5.86,6.62,5.61,6.42,6.28,7.8,-100,0
4.68,5.12,5.1,5.8,4.92,5.87,6.69,7.69,-100,0
