
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198201   5.07   7.49   4.40   5.28   4.51   8.26   4.53   4.02   5.07  12.02
198202   3.47   8.92  -0.12   5.35  -1.00   8.23  -0.82  13.98  -0.92   3.52
198203 -10.80 -10.38  -6.85 -19.84  -8.65 -11.82  -6.87 -10.80  -8.34  -4.46
198204   8.77   9.77   6.74  14.00   9.74  11.91   7.35   7.82   7.78  12.78
198205  -2.19  -2.06   0.26  -9.98  -1.18  -2.04   0.10  -0.56   0.28   4.17
198206 -17.45 -16.52 -17.73 -14.53 -17.00 -19.73 -18.09 -15.08 -17.40 -21.47
198207  -4.71 -12.49  -1.01 -10.00  -4.32 -12.91  -1.24 -12.34  -2.04  -1.56
198208   2.42   4.35   1.56   4.51   3.18   7.11   1.76   3.99   3.43  -1.23
198209  -5.43  -9.01  -4.65  -6.52  -6.52  -7.28  -4.90  -4.55  -6.24  -3.19
198210   0.58   3.14  -2.32   6.58   0.59   4.69  -2.52   3.01  -1.07  -8.13
198211   4.26   6.95   3.39   0.90   5.10   7.05   3.01   7.79   3.26   3.66
198212   2.74   3.28   0.13   7.61   0.18   2.12   0.06   4.99   0.22   6.25
198301   3.02  10.97  -0.10   6.35   1.41  10.62   0.94   6.09   1.70   9.78
198302   3.53   2.27   3.18   1.17   4.43   0.98   3.81   0.60   4.97   9.25
198303   2.25   3.33   2.46   1.92   1.63   3.66   3.85   2.70   4.44   4.90
198304   3.47   5.67   3.01   9.29   1.78   6.07   3.59   6.43   3.53  -4.42
198305   1.80   3.47   0.33   1.15   3.42   2.85   1.74   5.15   1.77  -3.07
198306  -2.66  -1.88  -3.72  -3.01  -3.37  -1.95  -4.59  -3.09  -3.92  -5.65
198307  -0.88  -3.77   0.04  -0.78  -2.48  -4.98  -0.03  -3.02   0.11  -3.73
198308   3.53  11.14   2.04   9.72  -0.65  11.38   0.36   9.16   0.57   7.52
198309   4.22  -1.80   4.84   1.87   7.28  -2.79   5.88  -2.12   8.22   8.69
198310  -0.21  -2.64  -0.88  -2.04   1.32  -4.81   0.10  -2.74   0.46  -5.07
198311   2.54   1.88  -1.03   2.66   0.66  -0.02   0.80   0.15   4.07   3.45
198312   2.21   2.10   1.54   2.75   1.05  -1.43   1.16   1.85   2.14   0.75
198401   5.74  17.73   3.08  13.73   1.52  15.41   0.62  13.50  -1.37  14.96
198402   1.66   6.77   0.99   7.23   0.03   8.31   1.02   5.82   1.74  -0.43
198403   1.87   2.71   2.26   2.51   1.56   2.77   3.10   1.72   3.00   0.68
198404   5.06   5.75   4.60   7.64   6.94   7.65   5.98   4.82   6.16   0.41
198405  -3.51   2.01  -6.41  -2.55  -7.56   2.68  -5.57   3.03  -6.29  -8.32
198406  -3.04  -8.63  -0.18  -5.99  -0.62  -9.34   0.25  -8.23   1.18  -5.28
198407 -11.28 -17.64  -8.06 -15.21  -9.37 -18.26  -8.69 -15.74  -8.61 -10.00
198408  10.54  12.97   9.59  15.37  10.00  13.92   9.67  12.62  10.33  12.58
198409  -1.39  -1.03   1.10  -0.35  -1.04  -1.93  -2.56   1.47  -1.98  -1.19
198410  -0.37  -1.89   1.29  -1.37   0.26  -2.62  -0.91   0.39  -1.47   0.14
198411  -1.31  -0.55  -3.01  -1.51  -2.12  -0.81  -2.82  -1.57  -2.32   0.01
198412  -1.64  -3.13  -0.82  -3.25  -0.72  -2.94  -2.20  -2.19  -1.01   0.01
198501   4.67   7.05   4.19   7.30   2.76   5.09   4.08   5.14   5.35  10.26
198502  -2.31  -2.29  -1.79  -2.49  -2.37  -1.48  -2.88  -2.05  -6.05  -1.05
198503  12.11  12.45  12.31  12.82   9.10  12.72   9.48  11.44   9.67  19.42
198504   1.48   1.11   1.80   0.54  -0.40  -0.43  -0.40  -0.74  -0.84   2.93
198505   8.43   6.83   9.18   7.88   8.30   5.68   9.46   3.87  12.65  12.35
198506  -3.58  -5.76  -4.42  -7.27  -1.31  -8.25  -1.33  -6.21  -2.73   2.93
198507   3.00   2.10   3.13   4.82   1.69   4.24   2.83   3.29   2.54  -0.87
