This file was created using the 201509 Bloomberg database.

Missing data are indicated by -99.99.



        Mkt-RF     SMB     HML     WML      RF
200906   -0.87    2.71    0.14    1.40    0.01
200907    9.28   -3.25    3.60   -1.59    0.01
200908    4.25    1.97    3.90   -5.87    0.01
200909    4.60    1.36    0.13   -1.21    0.01
200910   -1.93    1.60   -1.31    2.11    0.00
200911    2.34   -1.80   -1.54    1.26    0.00
200912    1.27   -1.50    0.86    1.67    0.01
201001   -4.01    3.67   -0.77   -0.93    0.00
201002   -0.35    0.11   -1.29    0.56    0.00
201003    6.45   -1.36    4.26    4.17    0.01
201004   -0.80    4.33   -0.31    0.93    0.01
201005  -10.71    0.32   -2.76   -0.74    0.01
201006   -1.24    0.50   -2.17    0.09    0.01
201007    9.24   -2.76    2.84   -0.82    0.01
201008   -3.30    0.85   -2.43    2.92    0.01
201009   10.02    0.54   -0.50    2.57    0.01
201010    4.11   -0.52   -0.44    0.30    0.01
201011   -4.42    2.91   -2.22    5.69    0.01
201012    8.28    2.09    1.08    0.64    0.01
201101    2.12   -1.17    4.41   -2.77    0.01
201102    3.43   -0.47   -0.28    0.48    0.01
201103   -1.60    0.95   -0.88    0.87    0.01
201104    5.71   -1.67   -1.01    2.15    0.00
201105   -2.79   -0.08   -0.92    1.07    0.00
201106   -1.37   -0.82    1.30    1.72    0.00
201107   -1.32    2.42   -2.86    2.52    0.00
201108   -8.51    1.35   -2.51   -0.81    0.01
201109  -10.31   -0.01    1.37   -1.84    0.00
201110    8.79   -4.06   -2.02   -0.59    0.00
201111   -4.57   -0.28   -1.44    5.25    0.00
201112   -1.35    0.04    0.55    2.59    0.00
201201    6.02    1.72    0.76   -7.00    0.00
201202    5.36   -0.47    0.07   -4.18    0.00
201203   -0.28    0.37   -0.34    3.97    0.00
201204   -1.50    0.85   -2.18    6.47    0.00
201205  -11.27    0.74   -0.62    6.35    0.01
201206    5.85   -3.82    2.09   -0.46    0.00
201207    0.81   -0.97   -2.09    4.40    0.00
201208    2.99   -0.71    1.06   -1.13    0.01
201209    3.37    0.82    1.37   -1.45    0.01
201210    0.81   -0.99    0.60    0.06    0.01
201211    1.81   -2.30    0.68    2.02    0.01
201212    3.33    0.61    3.47   -1.33    0.01
201301    5.22   -0.18    2.90    0.93    0.00
201302   -0.94    0.84   -0.98    4.10    0.00
201303    0.75    1.15   -2.75    4.98    0.00
201304    4.37   -2.02    2.60    4.51    0.00
201305   -1.52   -1.13    2.06   -1.99    0.00
201306   -3.74    0.56   -0.89    2.17    0.00
201307    5.58   -0.81    1.39    1.39    0.00
201308   -1.01    1.77    0.16   -1.92    0.00
201309    7.04    0.80    0.66    2.98    0.00
201310    3.37   -1.30    2.17    0.84    0.00
201311    0.59   -0.46   -0.01    3.52    0.00
201312    1.71    0.20   -0.17    1.61    0.00
201401   -3.23    3.93    1.33    0.81    0.00
201402    5.37   -1.52    0.13    0.96    0.00
201403   -0.22    0.58    0.91   -1.39    0.00
201404    1.10   -1.93    0.78   -2.95    0.00
201405    1.39   -0.74   -0.17   -0.34    0.00
201406    1.46    1.75   -0.45    0.01    0.00
201407   -1.98    0.54    0.14    0.18    0.00
201408   -0.28    0.35   -0.52    0.56    0.00
201409   -4.05   -1.74   -0.19    1.44    0.00
201410   -1.81   -1.49   -2.94    0.97    0.00
201411    0.83   -1.94   -0.97    0.38    0.00
201412   -2.93    2.06   -1.24    2.07    0.00
201501   -0.29   -0.73   -1.17    4.18    0.00
201502    5.69   -1.02    0.51   -2.71    0.00
201503   -1.34    0.82   -1.08    2.11    0.00
201504    4.89    2.33    0.95   -1.47    0.00
201505   -0.44    2.08   -0.89    3.66    0.00
201506   -2.61    2.29   -0.12    1.64    0.00
201507    0.80   -3.11   -2.79    1.34    0.00
201508   -6.29    1.95   -0.06    0.18    0.00
201509   -4.65    1.94   -2.14    3.91    0.00



 Annual Factors: January-December
      Mkt-RF     SMB     HML     WML      RF
1991    4.02   -3.56   -1.92    7.75    5.60
1992  -18.90   -0.40    0.91   10.14    3.51
1993   27.41   13.43   13.86   -5.75    2.90
1994    6.33   -2.02   11.96    2.47    3.90
1995    2.85   -0.57   -4.33    7.46    5.60
1996    0.78    1.43    7.22    9.55    5.21
1997   -6.10  -15.98    2.29   28.30    5.26
1998   11.66   -9.56    2.88    2.43    4.86
1999   32.53   10.94  -33.45   49.22    4.68
2000  -22.21   -4.13   30.00  -21.79    5.89
2001  -25.14    2.27   22.18   20.15    3.83
2002  -13.73    6.87   19.12   31.41    1.65
2003   42.83   16.96   17.41  -11.92    1.02
2004   21.53    9.55    9.99    9.21    1.20
2005   13.86    7.10    5.83   22.68    2.98
2006   20.76   -9.83    9.58    8.31    4.80
2007    8.12   -6.14    2.76   17.50    4.66
2008  -44.26   -3.02    3.24   11.90    1.60
2009   33.33   10.37   -1.65  -51.06    0.10
2010   11.54   12.91   -6.77   17.63    0.12
2011  -12.65   -2.93   -3.90    8.94    0.04
2012   17.31   -4.56    5.07   11.18    0.06
2013   22.93   -0.51    8.22   27.98    0.02
2014   -4.62   -0.15   -3.11    2.67    0.02
