This file was created by CMPT_ME_BEME_OP_INV_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and INV.

The portfolios are constructed at the end of June.  INV is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1,
divided by t-2 total assets.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
197703,  -0.13,   0.41,   0.06,  -1.25,  -1.72,  -1.10
197704,   2.09,   1.15,   1.22,   0.68,   0.83,  -0.67
197705,  -0.22,  -0.40,  -0.27,  -2.05,  -1.82,  -2.13
197706,   6.69,   5.18,   7.45,   3.83,   4.00,   5.68
197707,  -0.05,  -0.03,   0.27,  -1.44,  -1.44,  -1.85
197708,  -2.09,  -1.03,  -0.32,  -0.94,  -2.78,  -1.46
197709,   0.42,   1.27,   1.23,  -1.73,   0.27,  -0.69
197710,  -3.14,  -1.60,  -3.16,  -4.54,  -4.40,  -3.96
197711,   7.72,   7.30,   7.27,   4.43,   2.47,   3.66
197712,   1.70,   0.89,   2.44,  -0.57,   0.51,   0.19
197801,  -1.78,  -3.31,  -4.06,  -5.60,  -5.96,  -6.46
197802,   2.67,   1.35,   1.60,  -2.29,  -1.64,  -3.06
197803,   7.87,   5.81,   6.01,   3.46,   2.98,   1.71
197804,   7.11,   7.03,   9.31,   9.60,   7.25,  10.04
197805,   6.69,   4.08,   7.14,   1.98,   0.42,   0.96
197806,  -0.69,   0.99,  -0.61,  -1.33,  -2.03,  -1.34
197807,   4.83,   5.41,   6.33,   5.68,   5.24,   5.83
197808,   9.30,   6.92,   8.36,   3.16,   2.45,   3.93
197809,  -0.47,  -1.48,  -1.51,   0.34,  -0.88,  -2.30
197810, -21.11, -17.81, -22.53, -11.10,  -9.14, -11.66
197811,   4.67,   4.39,   7.54,   2.70,   1.79,   2.94
197812,   1.54,   1.03,   2.89,   0.27,   1.43,   1.63
197901,   9.87,   7.52,   8.33,   5.07,   4.17,   3.61
197902,  -2.49,  -3.06,  -3.21,  -3.67,  -3.67,  -4.33
197903,   9.86,   7.13,  10.47,   7.70,   4.83,   6.42
197904,   3.43,   1.43,   2.58,  -0.12,   0.28,   0.30
197905,  -1.40,  -1.86,  -1.27,  -3.45,  -2.51,  -1.43
197906,   4.89,   5.34,   5.80,   5.23,   3.46,   5.14
197907,   2.76,   3.22,   2.35,   2.48,   0.52,   1.95
197908,   7.08,   7.17,   8.26,   4.97,   4.54,   7.41
197909,  -0.65,  -1.16,  -0.23,   0.64,  -0.41,  -0.79
197910, -11.54, -10.31, -10.01,  -6.20,  -6.92,  -7.96
197911,   7.15,   6.60,   9.80,   5.22,   4.14,   7.14
197912,   6.11,   5.54,   6.82,   1.78,   1.23,   3.28
198001,   8.15,   7.12,   8.21,   8.62,   4.87,   4.77
198002,  -2.42,  -2.38,  -1.74,   2.05,  -1.31,  -4.09
