This file was created using the 201509 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 BE/ME portfolios in Europe.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
                     Small                                 2                                  3                                  4                                Big
          Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High
199305   1.42   2.08   1.79   2.31   4.16   0.05   0.97   2.35   1.55   2.66   0.36   0.91  -0.50   0.01   0.82  -0.13   1.30  -0.68   0.63   1.91   0.39  -0.19   2.90   0.85   1.65
199306  -5.56  -3.97  -4.29  -4.62  -4.17  -3.95  -4.91  -3.47  -4.11  -3.98  -4.40  -3.96  -4.64  -3.84  -3.03  -4.66  -4.41  -4.71  -4.42  -2.13  -4.21  -2.67  -2.21  -1.88  -0.05
199307  -1.46  -0.15  -0.14   2.66   4.09  -1.11  -2.55  -0.33   1.77   1.97   1.40   1.87   0.51   1.11   0.82   0.73   1.05   2.07   2.90   3.43   0.51  -0.37   1.81   2.94   2.44
199308   9.18   8.49   7.03   8.97  10.41   9.14   7.93  16.94  10.41  11.08   7.08   7.34   9.74  10.65  11.69   6.09   8.75   9.13   8.61  14.23   8.95   7.66   8.59   7.56  11.12
199309   0.49   0.99   0.68   1.12   1.84  -1.30   0.50   1.12  -0.49   0.20   0.20  -0.72   0.19   0.72  -1.81  -2.23  -0.18  -0.81  -0.36  -2.63  -1.33  -1.11   0.92  -0.05  -1.48
199310   0.23  -0.61  -0.05   0.65   1.37  -0.85  -0.43   1.11   0.86   1.39  -0.27   1.16   3.36   1.32   1.93   1.92   1.97   1.86   2.81   1.92   2.87   2.65   3.49   4.14   0.92
199311   0.16  -0.77  -0.39  -0.03  -0.94  -0.73  -0.65  -2.42  -1.99  -2.30  -1.96  -4.08  -0.97  -1.62  -2.38   1.03  -1.31  -1.76  -0.98  -3.50  -1.21  -1.24  -3.06  -1.31  -5.08
199312   3.25   3.91   5.08   6.58   6.70   5.63   4.07   2.73   5.91   6.41   3.50   6.49   4.19   6.66   9.52   5.58   6.30   9.40   8.01  10.51   6.24   6.10   7.80   7.97   9.33
199401  11.07  10.76  10.42  11.04  15.79   8.46  10.19  11.66  12.41  15.48   9.83   9.96  10.79   9.80  14.70   7.17   8.37   7.65   7.23  13.12   2.01   6.83   3.91   4.38   9.53
199402   1.91   0.78   1.75   1.81   1.81  -1.77   0.77  -1.76   0.99   0.50  -0.57  -0.10  -1.16   0.42  -0.85  -1.73  -1.22  -2.65  -2.48  -2.97  -4.72  -4.13  -3.85  -4.64  -2.88
199403  -1.93  -2.34  -2.12   0.34  -1.05  -0.73  -1.87  -2.22   0.52  -0.59  -2.11  -1.23  -3.09  -0.72  -0.60  -1.77  -1.35  -1.50  -0.26  -1.07  -3.40  -3.23  -3.34  -2.90   0.79
199404   3.51   1.68   4.12   3.12   4.79   2.53   2.74   3.12   4.02   7.10   2.51   2.93   4.55   4.07   4.83   2.13   5.00   2.93   2.87   5.20   5.34   3.13   4.42   4.66   3.99
199405  -0.79  -1.56  -3.38  -2.39  -0.89  -2.52  -1.20  -2.44  -2.27  -1.93  -1.88  -3.59  -2.34  -2.63  -3.02  -3.84  -4.40  -2.66  -3.51  -3.87  -5.00  -2.92  -4.46  -3.46  -4.14
199406  -1.69   1.30  -0.74  -0.98  -1.26  -0.09  -1.57  -1.83  -0.96  -2.11  -1.22  -2.47  -2.05  -1.45  -2.40   0.69  -1.28  -1.43  -0.62  -1.92   0.54  -1.06  -1.07  -0.03  -2.39
199407   0.08   0.79   2.20   1.71   1.75   0.10   2.22   2.81   2.42   2.23   3.52   3.52   3.13   4.07   3.09   4.02   5.24   4.94   5.00   2.76   5.43   3.17   6.75   6.68   5.01
199408   2.15   1.60   1.18   1.56   1.15   3.48   0.71   2.07   1.39   0.64   2.98   1.55   2.98   0.42  -0.70   2.14   1.26   2.91   0.06   0.47   3.61   4.77   3.01   1.27  -0.31
199409   0.50  -1.23  -0.72   0.50   0.49  -0.89  -0.84  -0.89  -0.96  -0.65  -1.80  -2.06  -1.63  -1.89  -1.48  -3.49  -2.13  -3.50  -3.11  -1.55  -3.65  -3.71  -3.84  -4.36  -2.42
199410   1.84   0.92   0.93   1.77   0.99   1.05   0.24   2.18  -0.08   0.63   2.29   0.34   2.67   2.20   1.93   2.91   2.59   2.82   3.02   1.20   5.61   4.75   5.79   3.86   3.33
199411  -4.49  -6.13  -4.22  -4.94  -4.97  -4.25  -5.27  -2.76  -3.77  -4.17  -5.28  -4.51  -5.28  -4.12  -4.87  -3.67  -4.89  -4.53  -4.12  -5.05  -4.22  -4.62  -3.79  -4.21  -3.19
199412  -0.21   1.07   0.38   0.55   1.19   0.70   0.98   0.20   1.36  -0.36   0.20   0.77   0.89   0.75   0.70   0.98   0.70   1.09   0.65   0.57   0.76   0.82   0.82  -0.57  -0.65
199501   2.25  -0.24  -0.56   0.95   1.23  -2.67   0.92   0.46   5.02   2.38  -0.19  -2.41  -2.65  -0.65  -0.69  -2.16  -2.11  -1.50  -1.86  -0.21  -3.00   0.05  -0.93  -1.40  -0.69
199502   0.98   1.09   2.68   1.62   1.92   1.94   1.14   2.18   0.37   1.89   1.39   2.87   2.71   1.35   2.30   2.54   2.72   1.57   1.93   0.15   3.63   3.48   1.83   1.53   2.43
199503   1.64   2.26   2.57   3.17   3.07   3.59   3.31   3.15   1.55   0.82   3.93   2.93   3.32   0.52   0.84   5.05   5.45   1.39  -0.64  -1.51   6.33   4.30   4.31   3.71   3.67
199504   1.15   0.03   0.87   0.57   0.52   1.30   1.74   1.91   1.47   1.56   2.13   0.66   2.41   3.18   2.65   1.84   1.99   2.89   4.92   4.83   2.25   3.91   2.59   3.50   4.62
199505   3.51   1.64   1.92   2.04   1.81   1.65   3.22   1.48   1.22   2.42   1.40   2.34   2.34   1.77   3.68   2.53   2.29   2.10   3.03   1.86   1.93   1.88   1.27   3.15   4.26
199506  -0.71   1.40   2.86   1.73   3.12   1.45   2.67   4.25   1.36   1.25   1.91   1.42   0.47   0.65   1.41   2.94   2.30   1.75   1.72   1.25   3.88   1.46   0.86   0.37   0.79
199507   4.74   3.84   2.61   2.41   2.16   4.41   4.05   2.27   2.79   2.29   4.56   3.26   4.06   3.37   2.51   3.60   3.46   3.88   3.42   3.58   4.45   5.80   4.34   5.33   3.96
199508  -1.79  -1.69  -3.15  -2.46  -2.86  -0.66  -3.24  -1.71  -1.97  -3.26  -1.94  -2.56  -3.88  -3.96  -4.07  -3.50  -3.02  -4.47  -5.82  -4.62  -1.70  -3.01  -3.77  -4.43  -6.22
199509   2.91   5.09   3.00   1.19   1.91   2.66   0.61   1.90   1.81   0.45   4.94   2.28   2.50   1.53   2.12   2.18   2.68   1.23   0.58   0.71   4.00   2.90   2.64   3.32   1.94
199510   1.41   1.42  -0.04  -0.68  -1.01  -1.72  -1.59  -2.29  -1.74  -1.67  -1.02  -2.82  -2.81  -2.69  -2.00  -1.11  -1.90  -1.55  -1.76  -3.15  -0.12  -0.58  -0.07  -0.62   1.65
199511  -2.74  -2.88  -2.63  -2.20  -1.54  -3.53  -3.11  -3.41  -4.03  -1.31  -2.14  -1.73  -3.97  -3.23  -2.40  -1.22  -1.43  -2.34   0.69  -1.79   0.14  -1.67   1.47   0.38   1.48
199512   2.50   0.13   1.70   0.51   1.62   1.09   0.59   1.18   3.60   1.90   1.22   2.92   1.67   1.64   0.47   2.70   2.80   1.41   2.45   3.37   1.16   3.20   3.28   3.49   3.32
199601  -0.63  -0.51   0.21   1.72   0.55  -0.25   2.32  -0.79   1.83   1.03   0.39   3.71   0.40   2.10   1.13  -1.00   0.96   2.50   1.73   1.62   0.23   1.50   0.57   1.08  -0.04
199602   3.53   3.16   3.61   2.67   2.31   4.11   3.85   4.34   4.27   4.52   4.06   2.21   2.77   3.93   4.48   4.17   4.02   4.31   3.06   4.07   1.95   1.67   1.81   2.25   1.29
199603   1.23   0.67   3.20   1.31   1.66  -0.79   0.53   2.91   1.26   1.98   1.06   3.83   0.73   0.86   1.99   3.65   2.00   2.58   0.98   1.49   1.51   0.58   1.35   2.75   0.15
199604  -0.15   0.75   1.55   1.49   2.14   1.63   1.53   1.66   1.10   1.16   2.31   1.68   2.65   2.73   1.41   1.57   1.34   1.51   2.89   1.92  -0.85   2.30   1.39   0.83   1.30
199605   6.22   4.10   4.06   2.56   4.56   3.59   3.55   4.56   4.64   3.84   3.24   2.26   2.74   1.92   1.52   3.69   2.57   1.65   0.96   3.42   1.40   2.02   2.14   1.64   0.83
199606  -1.53  -0.91  -0.36   0.59   0.68  -0.24   0.58   0.91  -0.01  -0.23  -1.36  -0.19  -0.13   0.00   0.23  -1.01   1.42   0.01   0.83   0.50   0.90  -0.51   1.13   1.90  -0.01
199607  -2.90  -2.25  -1.59   1.13   0.53  -3.38  -2.78  -2.21  -1.01  -1.59  -3.07  -2.05  -1.06  -1.20  -2.49  -0.47  -0.25  -2.74  -0.90  -1.54  -1.71  -0.37  -2.35  -0.96  -1.50
199608   0.87   2.02   1.50   1.56   1.26   3.30   1.56   2.48   1.32   0.59   2.92   3.11   1.87   2.17   1.58   3.08   2.56   1.42   1.95   1.64   4.29   2.26   2.26   2.04   2.56
199609  -1.74  -0.69  -1.82   0.51  -0.75  -2.35  -0.61  -1.34   0.56  -1.32  -1.42  -0.20   1.50  -1.31  -1.15  -0.14   0.93  -1.23   0.47  -0.13   1.88   1.33   3.14   2.48   2.54
199610   2.03   2.42   1.22   2.63   1.71   3.23   3.07   3.00   2.41   1.33   4.10   3.55   3.57   3.53   2.53   3.21   2.95   0.54   0.53   1.34   1.95   2.84   1.97   1.28   0.74
199611   1.43   2.00   2.08   2.47   3.00   2.08   2.45   2.51   2.07   2.86   2.90   2.46   1.73   2.28   3.31   3.82   0.96   2.59   2.88   5.32   4.56   5.07   4.93   6.43   6.01
199612   0.90   1.61   1.82   2.75   1.90   3.28   1.41   1.29   2.15   2.00   0.62   2.31   2.60   3.63   4.45   2.94   1.23   2.26   3.05   4.53   2.38   2.94   2.23   1.73   2.78
199701   0.01   0.86   7.93   0.83   2.20   0.62   0.11   0.60  -0.36   3.56  -1.07   0.30   2.51   1.73   3.33  -0.71  -2.30  -1.43   0.58   3.14  -0.19  -2.43  -0.03   2.04   1.25
199702   3.37   3.04  -1.93   2.08   0.55   0.84   1.61   0.65   2.58   1.88   0.85  -0.35   1.76   1.18   2.02   2.04   0.15   0.09   0.85   1.47   0.84   1.14   0.26   2.25   0.44
199703   2.34   0.74   1.83   2.34   1.78  -0.18   1.20   1.51   1.66   2.26   0.20   0.88   2.24   2.30   1.83  -0.24   1.99   1.31   2.90   2.98   2.66   2.56   2.57   3.31   2.28
199704  -1.99  -2.62  -2.20  -1.01  -0.76  -2.84  -2.01  -2.28  -1.65  -1.98  -2.74  -3.23  -2.02  -0.88  -1.29  -3.19  -2.61  -2.24  -1.62  -1.28   0.36  -0.01   0.22  -0.19   0.00
199705   1.89   3.06   3.87   4.91   3.65   3.34   2.49   4.44   4.28   4.58   1.57   4.08   3.19   4.49   2.78   3.63   3.29   2.98   5.87   3.98   4.83   3.65   4.68   5.06   6.51
199706  -0.59  -0.14   1.30   0.19   1.39   0.49   0.68   1.79   0.97   0.90   0.50   0.83   1.30   3.80   2.26   2.28   1.89   3.36   2.59   2.50   4.06   3.81   5.89   6.09   5.08
199707  -2.47  -2.67  -3.22  -2.30  -2.20  -3.40  -1.37  -2.55  -0.65   0.58  -0.48  -1.15  -1.71  -0.25   3.46  -0.08  -0.96   2.10   0.21   3.72   5.61   3.50   2.84   6.12   7.98
199708   1.13   1.34  -0.51   0.39   0.63   2.55   0.66   0.64   0.76   0.03   0.30  -0.31  -0.78  -0.92  -1.41  -1.26  -1.52  -2.51  -2.63  -2.96  -6.86  -4.79  -5.90  -6.18  -7.26
199709   4.02   5.85   5.80   4.57   5.96   4.15   5.29   5.83   6.72   7.42   7.27   6.24   6.60   5.83   9.74   4.40   7.43   7.05   9.90   8.27  10.03   9.45   8.42  11.08  14.88
199710   0.30   0.27  -0.60  -0.38   0.30  -0.38  -0.41  -1.81  -1.19   0.38  -1.02  -0.45  -3.33  -1.92  -1.31  -3.18  -3.01  -4.37  -4.58  -0.52  -4.87  -5.54  -4.15  -5.04  -5.64
199711  -3.35  -1.46  -1.61  -1.15  -1.64  -1.63  -0.66  -1.01  -1.60  -2.34  -0.44  -1.81  -2.10   0.17  -1.96   1.45  -0.81   0.09  -1.07  -1.02   1.57   1.94   2.33   0.47   1.00
199712  -1.22  -2.26  -1.70  -0.88  -0.64  -0.31  -1.94  -1.76  -0.85   0.79  -1.43   0.41   1.34   0.14   3.45   0.49   0.59   1.72  -0.79   3.70   3.89   1.80   3.20   3.37   6.73
199801   1.89   2.06   0.20   2.47   3.33   2.15   1.82   1.16   2.16   5.72   3.01   1.32   0.13   1.62   3.83   3.33  -0.78   0.60   2.27   5.53   6.92   2.18   2.58   3.94   3.50
199802   5.84   5.59   4.47   4.56   7.00   6.23   6.29   6.01   7.02   7.67   7.13   4.74   6.94   7.70   8.21   6.72   8.92   6.64   8.02   9.85   8.21   6.88   8.26   7.02   8.38
199803   5.84   7.25   6.77   7.07   7.96   8.72   7.91   6.47   7.97  12.57  10.63   7.34   8.02   8.28  11.04   6.34   9.52   8.91   9.38  10.43   2.35   6.82   7.52  11.11  11.54
199804   7.13   4.62   4.56   5.12   4.77   4.10   4.33   4.48   4.54   2.11   4.58   3.49   4.03   3.87   2.42   5.00   6.07   3.89   4.32   1.56   0.87   1.73   3.68   4.47   1.34
199805   4.98   8.49   4.15   3.39   3.80   5.57   3.12   2.58   4.74   4.24   3.18   4.36   6.31   4.75   4.89   2.65   4.25   2.49   2.37   3.50   0.95   3.78   0.91   4.22   2.81
199806  -4.22  -0.27  -2.20  -3.04  -2.94  -5.26  -2.99  -4.43  -4.93  -4.22  -0.69  -2.52  -5.17  -4.45  -2.92   0.83  -4.56  -2.46  -5.88  -3.18   2.28  -0.95   2.92  -1.79  -0.27
199807  -1.15  -2.93  -0.91  -0.45  -0.53  -0.83  -2.65  -1.17  -0.91  -1.48   1.24  -0.02   0.78   1.22  -1.87   3.13   1.73   0.69   3.01   0.79   1.86   1.01   1.43   6.68   4.83
199808 -11.03 -10.24 -10.24  -7.76  -7.54 -12.94 -11.18 -10.87 -11.30  -9.90 -12.90  -9.70 -11.05 -12.46 -13.17 -10.89 -11.48 -10.68 -12.23 -10.52  -8.61 -12.19 -11.36 -13.75 -17.89
199809  -3.54  -3.69  -4.11  -2.85  -3.08  -5.00  -3.99  -4.22  -4.39  -2.79  -5.27  -5.86  -4.33  -5.48  -4.79  -2.66  -3.16  -4.01  -4.52  -3.27  -2.71  -1.44  -6.06  -4.77 -12.69
199810  -0.46  -0.70   0.42   0.47  -0.06   1.37   0.76  -0.39   3.08   2.28   2.65   5.31   5.85   5.31   4.76   7.02   8.18   8.08   6.28   5.15   7.45   7.92   7.87   4.53  10.79
199811   3.75   0.04   0.55   1.18   0.63   3.73   2.29   1.98   0.30   2.15  -0.56   1.82   1.26   3.90   1.84   4.53   1.34   0.91   0.49   5.27   4.99   3.94   5.62   6.79   6.22
199812   1.62  -0.25  -0.89   0.61   0.04   1.87   0.09   0.53   0.92  -0.20   1.80   0.10  -0.44   1.11   0.81   2.79   3.61   1.02   2.72   0.59   5.66   3.44   2.82   3.50   2.38
199901   3.10   1.08   0.54   0.83  -0.13   2.98  -1.20  -1.71  -1.43  -1.55   4.09   0.34  -1.50  -2.77  -2.14   6.25  -3.49  -2.07  -0.17  -0.52   1.58  -4.46   1.23   3.65  -0.59
199902   2.98  -2.04  -0.24  -0.58   1.11   2.15   0.53   0.02  -0.41  -1.68   0.21  -0.34  -1.86  -0.22  -0.32  -2.69  -3.54  -1.72  -2.60  -0.45  -3.40  -0.34  -1.69  -4.34  -2.69
199903   2.17   2.01  -0.36  -0.02   1.56  -1.58  -0.17  -0.98  -0.03   1.14  -1.23  -1.01   0.94  -0.99   3.03  -1.58  -1.61  -1.57  -2.08  -0.23   0.76   2.87  -0.78  -3.07   4.43
199904   2.86   3.91   3.44   5.59   4.28   4.06   5.12   4.19   4.13   3.51   2.15   5.60   3.47   3.04   5.18   1.56   4.38   5.49   3.62   2.82  -1.27   5.87   5.77   2.22   3.45
199905   0.82   2.08   3.22   4.57   3.77  -0.87   1.32   1.26   1.33  -0.70  -1.68   1.45  -2.18  -1.10  -1.77  -0.37  -0.64  -2.06   0.29  -2.27  -3.85  -5.85  -3.11  -2.86  -5.55
199906   1.86   3.33   2.79   3.20   3.91   1.47   2.87   0.05   1.48   1.74   1.48   2.18   0.19   0.80   2.76   2.27  -0.59   4.27  -0.48   2.17   3.56  -0.02   2.82   1.70   2.26
199907   5.14   6.32   7.86   6.45   5.07   5.12   3.97   4.66   5.60   4.19   2.35   5.25   3.02   4.84   2.78   2.13   3.20   3.92   2.62   5.06  -0.02   1.16   0.26   1.51   1.42
199908   5.92   7.84   8.12   4.79   4.56   5.82   5.25   3.05   6.60   4.03   2.22   5.36   1.87   0.60   1.34   2.16   1.86  -0.77   1.12   1.27   1.74  -0.34   1.52   1.47   2.43
199909   1.74   4.50   2.49  -0.03   0.95   3.71  -0.21   2.50   1.20   1.59  -0.60   4.98  -1.97  -0.53  -1.74   0.44  -1.69   0.01  -0.21   0.43   1.05   0.05  -1.97  -0.73  -0.65
199910   0.49   3.29  -0.14   0.40   0.81   3.20   0.06   1.16  -0.57  -0.66   4.20   3.77  -0.21  -2.75  -2.82   0.67  -2.14  -1.92  -2.07  -2.16   5.62   4.26   2.44   0.31   1.40
199911  15.33   5.95   6.43   1.78   0.35  10.67   1.02  -1.05  -0.11  -1.91  10.98   4.39  -0.89  -2.38  -0.95  11.11   0.58   1.22  -3.60  -2.01   5.96   2.43   3.95  -0.02  -3.36
