This file was created using the 201509 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 BE/ME portfolios in Europe.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
200604   7.46   7.20   6.87   5.81   4.87   5.71
200605  -3.41  -3.97  -4.34  -2.67  -3.23  -3.45
200606  -1.81  -1.16  -1.03   0.89   0.43  -0.82
200607  -0.93  -0.42   0.55   0.77   1.83   2.00
200608   3.08   2.38   3.31   3.10   2.68   4.00
200609   1.81   0.56   0.95   0.04   1.22   1.92
200610   3.32   4.67   5.07   3.87   3.92   5.01
200611   6.35   6.35   6.47   3.38   4.35   3.66
200612   5.20   4.00   4.52   2.87   3.51   4.62
200701   1.97   3.46   3.19   1.03   0.27   1.58
200702   0.66   1.73   0.89   0.17  -0.64  -0.16
200703   3.91   4.64   5.17   3.99   4.83   2.83
200704   5.42   6.04   5.91   4.89   6.29   6.80
200705   1.04   1.41   0.94   1.25   2.19   2.21
200706  -0.95  -0.31   0.09   0.44   0.22   0.02
200707  -0.72   0.26  -0.13  -1.16  -2.03  -2.59
200708  -4.57  -5.09  -3.56  -0.40  -1.56  -1.84
200709   2.15   1.82   2.03   6.72   4.92   5.35
200710   5.46   5.63   3.92   5.41   4.41   4.40
200711  -8.49  -7.49  -7.13  -0.76  -2.90  -5.52
200712  -3.46  -2.34  -2.47  -2.60  -1.34  -1.68
200801 -10.83  -9.52  -8.20  -8.58  -9.89 -10.47
200802   4.15   4.84   4.58   2.07   2.79   0.60
200803  -0.47  -0.03   0.12  -1.28  -0.07   2.59
200804   1.69   3.57   1.54   4.30   5.62   4.30
200805   1.63   1.61   1.42   1.65   1.96  -0.68
200806  -8.09  -6.83  -5.97  -6.72  -8.42 -10.49
200807  -4.95  -4.92  -5.67  -3.06  -4.92  -0.88
200808  -3.97  -3.99  -4.17  -3.45  -5.14  -3.60
200809 -17.91 -17.67 -17.18 -13.86 -15.94 -13.38
200810 -25.95 -26.46 -26.65 -20.49 -20.02 -25.01
200811  -8.22  -7.33  -9.34  -4.69  -6.06 -10.63
200812   2.74   5.30   7.48   6.03   8.01   5.50
200901  -5.01  -7.94  -7.02  -8.71 -11.16 -14.64
200902  -5.01  -6.53  -7.04  -6.53 -11.06 -13.71
