This file was created by CMPT_ME_BEME_OP_INV_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and OP.

The portfolios are constructed at the end of June.  OP is operating profits (sales - cost
of goods sold - selling, general and administrative expenses - interest expense) divided by book
at the last fiscal year end of the prior calendar year.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
197502,   6.06,   3.52,   3.07,   3.17,   2.93,   8.30
197503,   5.74,   5.76,   9.67,   3.12,   2.87,   2.09
197504,   3.50,   3.88,   4.88,   3.92,   3.45,   5.63
197505,   8.73,   6.63,   7.25,   5.02,   5.07,   4.60
197506,   7.81,   6.50,   5.80,   7.18,   5.75,   3.56
197507,  -3.56,  -2.24,  -2.65,  -7.35,  -6.05,  -7.16
197508,  -6.06,  -4.78,  -5.28,  -3.54,  -2.94,  -2.12
197509,  -4.42,  -3.53,  -3.98,  -4.62,  -3.94,  -3.50
197510,   1.60,   1.82,   2.66,   6.66,   7.30,   4.99
197511,   1.29,   2.32,   2.32,   4.27,   2.41,   2.25
197512,  -1.06,  -1.34,  -1.38,  -1.82,  -1.02,  -1.54
197601,  21.94,  17.47,  17.94,  11.47,  11.90,  11.90
197602,  10.54,   7.00,   8.06,   1.27,  -0.70,  -1.65
197603,   1.79,   0.66,   1.24,   3.33,   1.86,   3.09
197604,  -1.64,  -0.67,  -1.48,  -2.72,  -0.02,  -1.74
197605,  -3.60,  -2.32,  -1.79,  -3.28,  -2.45,  -0.09
197606,   4.16,   3.09,   3.40,   4.96,   3.91,   4.85
197607,  -0.06,   1.08,  -1.05,   0.01,  -0.84,  -1.05
197608,  -3.29,  -1.44,  -2.86,   0.21,  -0.17,  -1.08
197609,   1.79,   2.22,   3.07,   1.78,   2.31,   2.53
197610,  -2.76,  -1.67,  -2.55,  -2.22,  -1.71,  -2.74
197611,   3.56,   2.43,   3.40,   1.42,  -0.10,  -1.00
197612,  10.26,   8.94,   9.32,   5.42,   5.35,   5.53
197701,   2.37,   2.36,   1.49,  -5.11,  -3.82,  -4.93
197702,  -1.02,  -1.01,  -1.19,  -2.25,  -2.47,  -2.45
197703,  -0.16,   0.10,   0.20,  -0.60,  -1.57,  -1.57
197704,   1.60,   1.54,   1.06,   2.56,   0.30,  -0.70
197705,  -0.58,  -0.10,  -0.13,  -2.57,  -1.05,  -2.44
197706,   6.83,   5.51,   7.06,   3.78,   3.98,   5.52
197707,  -0.76,   0.46,   0.06,  -1.99,  -1.52,  -1.46
197708,  -1.59,  -1.05,  -0.36,  -2.85,  -1.68,  -2.19
197709,   0.53,   0.62,   1.77,  -1.26,   0.07,  -0.16
197710,  -3.02,  -1.64,  -3.38,  -4.08,  -5.02,  -3.71
197711,   7.07,   7.08,   8.11,   4.01,   3.38,   2.50
197712,   1.60,   1.32,   2.39,  -0.86,   0.34,   0.73
197801,  -2.01,  -2.74,  -4.45,  -5.66,  -5.91,  -6.40
197802,   1.57,   1.52,   2.40,  -2.26,  -1.75,  -2.56
197803,   6.95,   5.80,   6.81,   2.61,   3.34,   1.97
197804,   6.99,   7.14,   9.48,   6.98,   7.62,   9.72
197805,   6.45,   4.61,   7.23,   0.71,   1.11,   0.56
197806,   1.16,  -0.33,  -0.84,  -1.72,  -0.99,  -2.28
197807,   4.77,   4.98,   7.14,   4.96,   5.24,   5.80
197808,   8.60,   7.19,   8.99,   1.27,   2.78,   3.80
197809,  -1.05,  -0.76,  -2.15,  -0.83,  -1.22,  -0.95
197810, -21.27, -18.30, -22.11, -11.19, -10.02,  -9.65
197811,   4.49,   4.92,   7.50,   2.76,   2.30,   1.95
197812,   1.88,   1.57,   2.43,  -1.07,   0.73,   2.74
197901,   9.68,   7.43,   8.40,   6.86,   3.84,   3.44
197902,  -1.90,  -2.63,  -4.07,  -3.87,  -3.62,  -3.98
