This file was created by CMPT_ME_BEME_OP_INV_RETS_DAILY using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and INV.

The portfolios are constructed at the end of June.  INV is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1,
divided by t-2 total assets.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
19631206,  -0.10,  -0.30,  -0.10,  -0.43,  -0.24,  -0.50
19631209,  -0.32,   0.24,  -0.18,  -0.50,  -0.06,   0.07
19631210,   0.14,   0.12,  -0.20,   0.11,   0.08,   0.10
19631211,  -0.38,  -0.06,   0.02,  -0.28,  -0.06,  -0.37
19631212,   0.11,  -0.12,  -0.42,   0.04,   0.08,  -0.17
19631213,   0.12,   0.23,   0.09,   0.12,   0.12,   0.22
19631216,  -0.23,  -0.36,  -0.01,   0.23,   0.29,   0.41
19631217,  -0.31,   0.03,   0.19,   0.49,   0.19,   1.36
19631218,  -0.20,  -0.14,  -0.29,   0.27,  -0.04,  -0.85
19631219,  -0.34,  -0.46,  -0.63,  -0.44,  -0.09,  -0.64
19631220,  -0.36,  -0.41,  -0.44,   0.21,  -0.07,  -0.56
19631223,  -0.45,  -0.36,  -0.23,  -0.35,  -0.61,  -0.77
19631224,   0.37,   0.30,   0.67,  -0.04,   0.04,   0.84
19631226,   0.67,   0.47,   0.73,   0.63,   0.39,   0.52
19631227,   0.26,   0.15,   0.32,   0.02,   0.23,   0.08
19631230,  -0.40,  -0.03,  -0.18,  -0.25,   0.23,   0.32
19631231,   1.06,   0.76,   1.19,   0.39,   0.58,   0.58
19640102,   1.73,   1.30,   1.34,   0.87,   0.18,   1.23
19640103,   0.56,   0.55,   0.27,   0.39,   0.33,  -0.24
19640106,   0.38,   0.38,   0.43,   0.53,   0.37,  -0.29
19640107,   0.70,   0.49,  -0.15,   0.51,   0.12,  -0.49
19640108,   0.52,   0.28,   0.26,   0.26,   0.34,   0.57
19640109,  -0.06,  -0.02,   0.39,  -0.16,   0.10,   1.19
19640110,  -0.06,  -0.08,  -0.11,  -0.18,   0.03,  -0.17
19640113,   0.46,   0.10,  -0.08,   0.13,  -0.15,  -0.11
19640114,   0.56,   0.16,  -0.19,   0.48,   0.00,   0.40
19640115,   0.11,  -0.14,   0.33,   0.17,   0.18,   0.64
19640116,  -0.14,   0.16,   0.40,   0.05,   0.08,  -0.58
19640117,  -0.10,   0.48,  -0.11,  -0.08,   0.04,  -0.12
19640120,  -0.21,  -0.50,  -0.12,  -0.79,   0.07,  -0.38
19640121,  -0.19,   0.00,  -0.04,   0.64,   0.41,   0.02
19640122,   0.36,   0.44,   0.12,   0.42,   0.41,   0.72
19640123,   0.07,   0.05,   0.32,   0.18,   0.13,  -0.01
19640124,   0.37,   0.40,   0.36,  -0.34,   0.07,   0.14
19640127,  -0.44,  -0.25,  -1.07,  -0.11,   0.12,  -0.32
19640128,  -0.18,  -0.22,  -0.19,   0.14,   0.18,  -0.28
19640129,  -0.64,  -0.47,  -0.48,  -0.38,  -0.59,  -0.59
19640130,   0.16,  -0.14,  -0.12,  -0.12,  -0.02,   0.41
19640131,   0.24,  -0.04,  -0.03,   0.15,   0.36,   0.84
19640203,   0.04,   0.08,   0.12,   0.09,   0.16,  -0.40
19640204,  -0.30,  -0.37,  -0.62,   0.03,  -0.01,  -0.26
19640205,  -0.07,   0.29,  -0.27,   0.29,  -0.17,  -0.28
19640206,   0.32,   0.31,   0.31,   0.35,   0.11,   0.45
19640207,   0.51,   0.30,   0.47,   0.83,   0.36,   0.21
19640210,  -0.02,  -0.09,  -0.09,  -0.40,  -0.06,  -0.05
19640211,   0.55,   0.19,  -0.07,   0.42,   0.36,   0.30
19640212,   0.41,   0.24,   0.32,   0.00,   0.39,   0.32
19640213,  -0.07,   0.12,   0.18,  -0.01,   0.01,   0.37
19640214,  -0.14,   0.11,   0.08,  -0.01,  -0.20,   0.19
19640217,   0.39,   0.42,  -0.05,  -0.03,   0.14,  -0.06
19640218,  -0.09,   0.04,  -0.45,   0.04,  -0.01,   0.16
19640219,  -0.01,   0.23,   0.15,   0.03,   0.02,   0.35
19640220,   0.36,   0.31,   0.13,   0.29,  -0.01,   0.19
19640224,   0.05,   0.24,   0.05,   0.22,   0.06,   0.17
19640225,  -0.22,   0.01,   0.22,   0.07,   0.06,   0.02
19640226,   0.76,   0.26,   0.67,   0.31,   0.24,   0.45
19640227,  -0.31,  -0.04,   0.10,   0.03,  -0.21,  -0.66
19640228,   0.27,   0.25,   0.25,   0.00,   0.19,   0.35
19640302,   0.37,   0.27,  -0.03,   0.29,   0.15,   0.30
