This file was created using the 201509 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,WML,RF
200207   ,-8.62   ,-1.33   ,-0.48    ,3.14    ,0.15
200208   ,-0.05   ,-1.29    ,2.07    ,2.11    ,0.14
200209  ,-10.34    ,3.10    ,0.62    ,8.81    ,0.14
200210    ,5.95   ,-5.12   ,-3.08   ,-4.29    ,0.14
200211    ,5.12   ,-0.28    ,0.06  ,-10.40    ,0.12
200212   ,-4.22    ,1.98    ,3.19    ,9.32    ,0.11
200301   ,-2.70    ,1.87    ,0.77    ,1.57    ,0.10
200302   ,-1.84    ,0.62    ,1.38    ,3.23    ,0.09
200303   ,-0.34    ,0.43   ,-0.85    ,1.59    ,0.10
200304    ,8.70   ,-0.36   ,-0.06   ,-8.01    ,0.10
200305    ,6.53    ,3.11    ,0.82   ,-5.39    ,0.09
200306    ,2.00    ,2.13    ,0.52   ,-2.78    ,0.10
200307    ,2.18    ,2.18    ,1.51   ,-2.33    ,0.07
200308    ,2.66    ,2.78    ,1.14   ,-0.97    ,0.07
200309    ,1.31    ,2.86   ,-0.50   ,-0.03    ,0.08
200310    ,5.82    ,0.72    ,2.43    ,4.56    ,0.07
200311    ,1.69   ,-0.27    ,0.68    ,0.15    ,0.07
200312    ,5.63   ,-1.67    ,1.07   ,-1.95    ,0.08
200401    ,2.26    ,2.48    ,1.87    ,2.70    ,0.07
200402    ,1.89   ,-0.07    ,0.76   ,-0.27    ,0.06
200403   ,-0.04    ,3.84   ,-0.16    ,0.57    ,0.09
200404   ,-2.23   ,-0.68   ,-1.63   ,-3.07    ,0.08
200405    ,0.61   ,-1.51    ,0.46   ,-0.13    ,0.06
200406    ,2.39    ,2.21    ,0.86    ,2.08    ,0.08
200407   ,-3.77   ,-1.62    ,2.50   ,-1.76    ,0.10
200408    ,0.37   ,-0.65    ,1.30    ,0.37    ,0.11
200409    ,2.16    ,1.31    ,0.64    ,2.65    ,0.11
200410    ,2.57    ,0.46    ,0.24   ,-0.29    ,0.11
200411    ,5.36    ,2.06    ,1.46    ,1.80    ,0.15
200412    ,3.77   ,-0.01    ,0.62   ,-0.62    ,0.16
200501   ,-1.89    ,1.99    ,1.36    ,2.52    ,0.16
200502    ,3.00    ,0.35    ,1.40    ,2.53    ,0.16
200503   ,-2.01   ,-0.44    ,1.45    ,0.99    ,0.21
200504   ,-2.58   ,-0.98   ,-0.02    ,0.28    ,0.21
200505    ,1.37   ,-0.89    ,0.15    ,0.32    ,0.24
200506    ,1.24    ,1.84    ,1.70    ,2.63    ,0.23
200507    ,3.53    ,0.90    ,0.15    ,1.02    ,0.24
200508    ,1.05    ,0.62    ,0.58    ,3.13    ,0.30
200509    ,2.07   ,-0.17    ,0.66    ,3.36    ,0.29
200510   ,-2.66   ,-0.20   ,-0.07   ,-1.24    ,0.27
200511    ,2.90    ,0.16   ,-0.58    ,0.85    ,0.31
200512    ,2.54    ,2.10   ,-0.89    ,2.58    ,0.32
200601    ,4.54    ,2.75    ,1.21    ,3.89    ,0.35
200602   ,-0.44   ,-0.67    ,1.29   ,-1.77    ,0.34
200603    ,2.44    ,1.96    ,0.48    ,2.17    ,0.37
200604    ,2.89    ,0.40    ,1.12    ,1.54    ,0.36
200605   ,-4.12   ,-2.22    ,1.06   ,-3.16    ,0.43
200606   ,-0.60   ,-1.65    ,0.07   ,-0.19    ,0.40
200607   ,-0.23   ,-2.76    ,2.25   ,-0.45    ,0.40
200608    ,2.23    ,0.18   ,-0.56   ,-1.31    ,0.42
200609    ,0.59   ,-1.36    ,0.50   ,-0.42    ,0.41
200610    ,3.33    ,0.53   ,-0.33    ,0.60    ,0.41
200611    ,2.33    ,0.42    ,0.34    ,0.40    ,0.42
200612    ,1.86   ,-0.16    ,1.23    ,1.35    ,0.40
200701    ,0.96    ,0.84    ,0.23    ,0.66    ,0.44
200702   ,-0.59    ,1.66    ,0.44   ,-0.11    ,0.38
200703    ,1.76    ,0.33    ,0.28    ,1.66    ,0.43
200704    ,3.74   ,-0.81    ,0.18    ,0.88    ,0.44
200705    ,2.48   ,-0.75    ,0.48    ,0.72    ,0.41
200706   ,-0.81    ,0.98    ,0.08    ,0.38    ,0.40
200707   ,-2.39    ,0.34   ,-1.14    ,2.43    ,0.40
200708   ,-1.16   ,-3.52   ,-0.38   ,-0.97    ,0.42
200709    ,4.38   ,-2.13   ,-1.62    ,4.85    ,0.32
200710    ,3.17    ,0.76   ,-2.57    ,3.76    ,0.32
200711   ,-4.65   ,-3.43   ,-0.67   ,-0.21    ,0.34
200712   ,-1.59   ,-0.77    ,0.57    ,2.76    ,0.27
200801   ,-7.77   ,-1.02    ,2.59   ,-4.61    ,0.21
200802   ,-0.07    ,2.19   ,-1.05    ,5.01    ,0.13
200803   ,-1.23   ,-0.80    ,1.58    ,0.47    ,0.17
200804    ,4.91   ,-2.72   ,-0.65   ,-0.29    ,0.18
200805    ,1.84    ,1.77   ,-1.47    ,2.80    ,0.18
200806   ,-8.04    ,1.28   ,-1.43    ,9.22    ,0.17
200807   ,-2.77   ,-0.41    ,2.09   ,-4.39    ,0.15
200808   ,-1.97   ,-0.42    ,0.46   ,-3.66    ,0.13
200809  ,-12.34   ,-1.41    ,2.39   ,-0.06    ,0.15
200810  ,-19.46   ,-2.63   ,-0.27    ,7.50    ,0.08
200811   ,-6.54   ,-0.61   ,-2.28    ,4.50    ,0.03
200812    ,4.34    ,2.27    ,0.39   ,-2.27    ,0.00
200901   ,-8.48    ,2.37   ,-4.79    ,0.13    ,0.00
200902   ,-9.94    ,1.19   ,-4.36    ,2.40    ,0.01
200903    ,7.30   ,-1.59    ,0.71   ,-8.82    ,0.02
200904   ,11.42    ,1.57    ,3.32  ,-23.89    ,0.01
200905    ,9.93    ,1.65   ,-0.60  ,-10.27    ,0.00
200906   ,-0.30    ,2.66   ,-1.84    ,2.70    ,0.01
200907    ,8.60   ,-1.29    ,4.13   ,-2.74    ,0.01
200908    ,3.96    ,0.83    ,4.34   ,-6.39    ,0.01
200909    ,4.40    ,1.54    ,0.83   ,-2.25    ,0.01
200910   ,-2.15   ,-0.26   ,-2.43    ,1.81    ,0.00
200911    ,3.66   ,-2.44   ,-1.32    ,0.84    ,0.00
200912    ,1.98    ,0.74    ,0.85    ,2.04    ,0.01
201001   ,-3.70    ,2.70   ,-0.29   ,-2.23    ,0.00
201002    ,1.24    ,0.14    ,0.10    ,1.59    ,0.00
201003    ,6.30   ,-0.26    ,3.18    ,4.26    ,0.01
201004    ,0.44    ,3.78    ,0.77    ,1.60    ,0.01
201005   ,-9.52    ,0.17   ,-2.54   ,-0.56    ,0.01
201006   ,-3.12    ,0.39   ,-2.89   ,-1.14    ,0.01
201007    ,8.20   ,-1.48    ,1.56    ,0.20    ,0.01
201008   ,-3.93   ,-0.19   ,-2.07    ,2.06    ,0.01
201009    ,9.81    ,1.54   ,-1.37    ,1.97    ,0.01
201010    ,4.01   ,-0.13   ,-1.09    ,0.54    ,0.01
201011   ,-2.23    ,2.13   ,-0.78    ,4.50    ,0.01
201012    ,7.57    ,1.95    ,1.84   ,-0.72    ,0.01
201101    ,2.14   ,-1.63    ,2.76   ,-1.74    ,0.01
201102    ,3.52    ,0.20    ,0.44    ,1.32    ,0.01
201103   ,-0.68    ,1.44   ,-1.39    ,1.46    ,0.01
201104    ,4.43   ,-0.67   ,-1.50    ,1.33    ,0.00
201105   ,-2.11   ,-0.43   ,-1.46    ,0.27    ,0.00
201106   ,-1.49   ,-0.45    ,0.33    ,1.48    ,0.00
201107   ,-1.80    ,1.25   ,-2.40    ,1.92    ,0.00
201108   ,-7.47   ,-0.61   ,-1.83   ,-0.95    ,0.01
201109   ,-9.12   ,-1.30    ,0.23   ,-2.64    ,0.00
201110   ,10.01   ,-2.03   ,-1.16   ,-1.07    ,0.00
201111   ,-2.60   ,-1.11   ,-0.80    ,4.10    ,0.00
201112   ,-0.39   ,-0.51    ,1.79    ,1.91    ,0.00
201201    ,5.56    ,2.08   ,-0.94   ,-6.54    ,0.00
201202    ,4.92   ,-0.90    ,0.00   ,-1.71    ,0.00
201203    ,1.20   ,-0.36   ,-0.06    ,2.43    ,0.00
201204   ,-1.13    ,0.19   ,-1.66    ,4.14    ,0.00
201205   ,-8.84   ,-0.52   ,-0.03    ,6.11    ,0.01
201206    ,4.86   ,-1.57    ,1.41   ,-0.99    ,0.00
201207    ,0.91   ,-1.59   ,-1.13    ,3.69    ,0.00
201208    ,2.77   ,-0.16    ,0.88   ,-1.51    ,0.01
201209    ,3.03    ,1.11    ,1.37   ,-1.20    ,0.01
201210   ,-0.40   ,-0.61    ,2.27    ,0.07    ,0.01
201211    ,1.31   ,-1.09    ,0.02    ,1.29    ,0.01
201212    ,2.33    ,1.34    ,3.52   ,-1.80    ,0.01
201301    ,5.43   ,-0.07    ,2.36   ,-0.06    ,0.00
201302    ,0.11    ,0.16   ,-0.71    ,3.00    ,0.00
201303    ,2.24    ,0.49   ,-1.88    ,3.34    ,0.00
201304    ,3.01   ,-1.69    ,1.42    ,2.83    ,0.00
201305    ,0.55   ,-0.78    ,1.66    ,1.10    ,0.00
201306   ,-2.50    ,0.52   ,-0.34    ,1.17    ,0.00
201307    ,5.60   ,-0.05    ,0.82    ,1.62    ,0.00
201308   ,-1.84    ,1.39   ,-0.80   ,-1.31    ,0.00
201309    ,5.48    ,2.00   ,-0.38    ,3.36    ,0.00
201310    ,3.75   ,-1.62    ,1.92    ,0.42    ,0.00
201311    ,1.82   ,-0.30   ,-0.01    ,2.24    ,0.00
201312    ,2.16   ,-0.42    ,0.09    ,1.13    ,0.00
201401   ,-3.31    ,2.69    ,0.07    ,1.28    ,0.00
201402    ,5.06   ,-0.60   ,-0.14    ,1.58    ,0.00
201403    ,0.17   ,-0.39    ,2.63   ,-2.31    ,0.00
201404    ,0.57   ,-2.75    ,1.21   ,-3.55    ,0.00
201405    ,1.74   ,-1.17   ,-0.41    ,0.45    ,0.00
201406    ,2.00    ,2.03   ,-0.19    ,0.16    ,0.00
201407   ,-2.06   ,-1.07   ,-0.03    ,0.50    ,0.00
201408    ,1.92   ,-0.51   ,-0.73    ,0.39    ,0.00
201409   ,-3.05   ,-2.63   ,-1.05    ,1.07    ,0.00
201410    ,0.34   ,-0.23   ,-2.98   ,-0.46    ,0.00
201411    ,1.67   ,-2.14   ,-1.92    ,0.65    ,0.00
201412   ,-1.45    ,1.89   ,-0.33    ,1.06    ,0.00
201501   ,-1.75    ,0.04   ,-2.78    ,4.50    ,0.00
201502    ,5.93   ,-0.17   ,-0.30   ,-1.93    ,0.00
201503   ,-1.20    ,1.54   ,-0.89    ,2.07    ,0.00
201504    ,2.71    ,0.81    ,2.15   ,-3.31    ,0.00
201505    ,0.49    ,1.33   ,-1.25    ,4.24    ,0.00
201506   ,-2.10    ,2.04   ,-0.94    ,1.83    ,0.00
201507    ,1.16   ,-3.06   ,-3.22    ,3.43    ,0.00
201508   ,-6.15    ,1.43    ,0.83   ,-0.53    ,0.00
201509   ,-3.91   ,-0.28   ,-0.89    ,3.47    ,0.00



 Annual Factors: January-December
,Mkt-RF,SMB,HML,WML,RF
1991   ,11.86    ,5.17   ,-7.48   ,11.61    ,5.60
1992   ,-9.65    ,2.15    ,4.23    ,9.72    ,3.51
1993   ,19.17   ,10.19   ,16.78    ,6.01    ,2.90
1994    ,2.53   ,-0.24    ,6.89    ,2.27    ,3.90
1995   ,12.97   ,-1.92   ,-4.44   ,10.31    ,5.60
1996    ,7.19   ,-2.42    ,7.22    ,6.66    ,5.21
1997    ,8.48  ,-17.67    ,7.53   ,23.91    ,5.26
1998   ,15.92  ,-16.25   ,-7.63   ,14.67    ,4.86
1999   ,24.64   ,10.93  ,-29.74   ,51.60    ,4.68
2000  ,-18.43   ,-4.09   ,38.13  ,-17.12    ,5.89
2001  ,-19.55    ,4.40   ,21.11   ,12.80    ,3.83
2002  ,-18.94    ,6.31   ,15.57   ,27.98    ,1.65
2003   ,36.14   ,20.39   ,12.31  ,-13.78    ,1.02
2004   ,16.26    ,8.91   ,10.60    ,4.38    ,1.20
2005    ,8.81    ,5.85    ,6.76   ,21.42    ,2.98
2006   ,16.21   ,-3.64   ,10.32    ,2.46    ,4.80
2007    ,5.22   ,-7.26   ,-4.50   ,17.44    ,4.66
2008  ,-41.92   ,-1.95    ,1.42    ,9.35    ,1.60
2009   ,31.68    ,9.89   ,-4.29  ,-55.73    ,0.10
2010   ,13.94   ,12.62   ,-5.14   ,13.93    ,0.12
2011   ,-6.79   ,-5.41   ,-4.76    ,6.30    ,0.04
2012   ,16.87   ,-2.55    ,6.41    ,6.35    ,0.06
2013   ,28.61   ,-0.46    ,5.07   ,23.68    ,0.02
2014    ,3.30   ,-5.03   ,-3.88    ,0.79    ,0.02
