This file was created by CMPT_ME_BEME_OP_INV_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and OP.

The portfolios are constructed at the end of June.  OP is operating profits (sales - cost
of goods sold - selling, general and administrative expenses - interest expense) divided by book
at the last fiscal year end of the prior calendar year.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
197812,   2.23,   2.05,   2.72,  -0.59,   1.02,   2.92
197901,   9.90,   7.67,   8.55,   7.29,   4.08,   3.65
197902,  -1.55,  -2.15,  -3.76,  -3.15,  -2.79,  -3.20
197903,   9.33,   8.56,  10.50,   6.23,   5.34,   6.39
197904,   3.12,   2.34,   2.62,  -1.77,   0.64,   1.10
197905,  -0.56,  -1.46,  -1.18,  -0.53,  -1.69,  -1.76
197906,   6.41,   5.82,   5.10,   6.04,   4.30,   3.91
197907,   2.15,   3.56,   3.18,   2.27,   1.60,   0.87
197908,   7.62,   7.34,   9.13,   4.75,   6.37,   6.24
197909,  -0.47,  -0.41,  -0.15,  -0.79,  -0.32,   0.59
197910, -10.42, -10.08, -10.15,  -7.77,  -6.83,  -6.00
197911,   8.89,   6.94,   9.75,   6.47,   5.41,   5.95
197912,   7.80,   5.73,   6.46,   1.83,   2.22,   1.94
198001,  10.90,   6.92,   7.16,   6.37,   5.13,   6.43
198002,  -0.45,  -2.75,  -1.83,   1.23,  -2.08,   0.56
198003, -19.68, -16.23, -17.69, -12.23,  -8.91, -10.73
198004,   6.88,   5.87,   5.70,   6.88,   4.84,   4.04
198005,   7.47,   7.86,   8.60,   5.62,   6.09,   5.26
198006,   4.55,   4.53,   4.79,   4.06,   2.30,   3.63
198007,   9.09,   9.12,  13.23,   4.07,   6.38,   7.82
198008,   5.11,   5.80,   7.34,  -0.08,   2.45,   1.87
198009,   2.93,   2.45,   5.09,   1.78,   3.07,   3.35
198010,   4.55,   3.48,   4.36,  -0.09,   1.48,   2.91
198011,   7.56,   6.32,   8.70,   5.13,  12.43,  12.53
198012,  -4.64,  -1.89,  -3.60,  -0.71,  -2.73,  -4.08
198101,  -0.78,   0.08,  -2.13,  -0.58,  -4.57,  -6.10
198102,   1.15,   1.45,   1.01,   1.03,   2.98,   1.40
198103,   6.94,   7.37,   8.76,   8.47,   3.92,   2.34
198104,   1.83,   2.51,   4.94,  -1.25,  -0.92,  -2.53
198105,   2.94,   2.64,   4.96,   1.84,   0.59,   0.41
198106,  -1.84,  -0.53,  -3.30,   0.71,  -1.31,  -0.62
198107,  -1.65,  -1.95,  -3.17,  -1.81,  -0.82,   1.84
198108,  -8.14,  -6.16,  -8.59,  -5.95,  -5.13,  -5.92
198109,  -9.79,  -6.80,  -7.66,  -4.37,  -4.41,  -6.64
198110,   7.40,   7.00,   9.88,   2.87,   5.80,   7.09
198111,   1.08,   4.46,   2.97,   5.90,   3.98,   4.33
198112,  -2.29,  -1.77,  -1.37,  -3.19,  -2.11,  -3.53
198201,  -2.85,  -2.81,  -4.33,  -0.60,  -2.48,  -2.32
198202,  -3.88,  -3.61,  -5.46,  -1.08,  -4.91,  -6.40
198203,  -0.86,   0.09,  -1.41,   1.01,  -0.74,  -1.38
198204,   4.89,   5.28,   6.66,   3.76,   3.53,   5.22
198205,  -2.72,  -2.20,  -2.66,  -3.63,  -3.20,  -2.18
198206,  -3.01,  -2.15,  -2.37,  -0.89,  -2.40,  -1.76
198207,  -2.10,  -1.57,  -0.75,  -2.58,  -2.36,  -1.84
198208,   7.75,   8.25,   8.70,  15.31,  12.67,  10.58
198209,   2.58,   4.46,   4.56,   0.45,   1.00,   2.79
198210,  14.17,  12.45,  15.31,  12.04,  11.01,  11.95
198211,  10.25,   8.57,   9.30,   5.63,   3.90,   5.17
198212,   1.43,   0.84,   1.23,   1.86,   0.60,   1.71
198301,   8.90,   7.18,   6.21,   2.93,   4.62,   2.68
198302,   5.26,   5.71,   5.74,   4.67,   2.30,   2.81
198303,   4.24,   4.98,   4.58,   3.88,   2.98,   3.56
198304,   8.29,   7.08,   8.06,   7.58,   7.02,   7.35
198305,   8.60,   5.47,   5.67,   1.18,  -0.82,   0.28
198306,   4.49,   4.33,   4.91,   0.59,   3.97,   4.71
198307,  -4.18,  -1.31,  -2.60,  -2.07,  -3.44,  -3.92
198308,  -4.22,  -2.54,  -3.10,   0.44,   1.98,   0.39
198309,  -0.87,   3.64,   1.92,   2.14,   1.63,   1.68
198310,  -6.77,  -4.36,  -6.95,  -0.88,  -1.95,  -2.17
198311,   3.67,   4.93,   4.69,   4.19,   2.29,   1.94
198312,  -1.91,  -1.35,  -1.53,  -2.37,  -1.12,   0.19
198401,  -0.08,  -1.59,  -2.26,  -2.68,   0.83,  -2.51
198402,  -5.69,  -4.93,  -5.66,  -5.41,  -3.04,  -3.74
198403,   1.05,   0.87,   1.07,   3.21,   0.49,   1.39
198404,  -2.26,  -0.10,   0.35,  -3.05,   1.89,   0.94
198405,  -6.40,  -4.52,  -4.90,  -7.50,  -4.67,  -4.42
198406,   1.33,   2.88,   4.09,  -0.02,   3.72,   3.31
198407,  -7.01,  -3.56,  -2.57,  -3.67,  -1.96,  -0.65
198408,  11.52,  11.53,  11.79,  13.04,  11.01,  11.07
198409,  -1.81,   0.21,   0.12,  -0.61,  -0.26,   0.35
198410,  -2.80,  -0.77,  -0.24,   0.92,  -0.31,   0.84
198411,  -4.48,  -1.35,  -1.14,  -0.02,  -0.60,  -1.56
198412,   0.47,   2.21,   2.75,   2.58,   2.31,   2.82
198501,  13.48,  11.03,  12.10,   8.71,   7.47,   8.39
198502,   2.55,   2.50,   3.14,   0.05,   1.65,   2.25
198503,  -3.68,  -0.84,  -1.08,  -0.14,   0.39,  -0.31
198504,  -1.98,  -1.05,   0.98,  -0.61,  -0.01,  -0.56
198505,   2.18,   3.89,   5.11,   6.26,   6.18,   6.04
198506,  -0.75,   2.22,   3.72,   2.18,   2.11,   1.08
198507,   3.05,   1.85,   2.36,  -0.34,  -0.67,  -0.69
198508,  -1.19,  -0.60,  -0.86,  -0.39,  -0.27,  -0.59
198509,  -6.86,  -4.53,  -5.66,  -4.56,  -3.42,  -3.33
198510,   2.16,   3.66,   3.98,   5.21,   4.71,   4.88
198511,   6.93,   6.74,   7.98,   7.20,   7.28,   6.88
198512,   3.64,   4.52,   4.59,   4.09,   4.76,   4.84
198601,   2.16,   1.16,   2.84,   4.52,   0.20,  -0.05
198602,   5.55,   6.83,   8.58,   8.44,   7.65,   7.69
198603,   3.87,   5.76,   4.61,   4.65,   5.10,   6.49
198604,   1.08,   1.74,   2.38,  -4.92,  -0.55,  -0.26
198605,   2.59,   4.43,   5.03,   4.24,   5.19,   6.02
198606,  -0.84,   1.00,   1.28,   0.48,   2.31,   1.80
198607, -10.33,  -7.90,  -9.43,  -4.16,  -4.36,  -6.58
198608,   3.13,   4.13,   2.03,   8.70,   7.26,   6.61
198609,  -6.09,  -5.95,  -6.88,  -8.80,  -8.60,  -8.21
198610,   2.78,   3.09,   4.12,   5.79,   6.31,   4.79
198611,  -0.84,   0.35,   0.05,   0.79,   2.25,   2.12
198612,  -3.78,  -2.47,  -2.40,  -3.06,  -3.00,  -2.46
198701,  11.25,  11.56,  11.67,  13.29,  12.34,  13.33
198702,   8.78,   6.24,   8.31,   5.69,   3.32,   4.61
198703,   2.60,   2.81,   1.68,   0.00,   1.15,   3.51
198704,  -1.70,  -3.83,  -3.08,  -1.47,  -2.13,  -0.99
198705,  -0.09,   0.43,  -0.32,  -0.62,   0.95,   0.93
198706,   1.00,   3.00,   2.98,   3.80,   4.75,   5.39
198707,   3.01,   3.85,   2.98,   5.96,   3.25,   5.23
198708,   1.84,   3.31,   4.43,   3.22,   3.99,   4.59
198709,  -1.88,  -1.71,  -1.88,  -0.86,  -2.10,  -2.74
198710, -32.03, -27.51, -29.89, -22.95, -20.47, -21.70
198711,  -5.45,  -3.13,  -6.45,  -5.66,  -7.61,  -8.75
198712,   5.35,   7.12,   9.49,   5.65,   7.36,   7.60
198801,   4.48,   5.07,   2.69,   4.91,   4.66,   4.54
198802,   6.85,   8.19,   9.13,   3.73,   4.51,   5.21
198803,   4.23,   2.60,   4.64,  -2.16,  -2.52,  -3.07
198804,   2.30,   1.80,   1.78,   0.02,   1.78,   0.12
198805,  -1.83,  -1.30,  -2.60,   1.24,   0.68,   0.52
198806,   5.85,   7.51,   7.54,   4.08,   4.79,   5.34
198807,  -0.68,  -1.24,  -1.11,  -0.20,  -0.63,  -1.02
198808,  -3.12,  -2.07,  -2.84,  -1.00,  -3.05,  -2.89
198809,   1.83,   3.28,   3.05,   3.24,   3.20,   5.49
198810,  -1.60,  -0.01,  -0.79,   0.50,   2.50,   2.55
198811,  -3.10,  -2.47,  -3.55,  -1.45,  -1.48,  -1.57
198812,   4.02,   3.55,   3.93,   0.95,   1.88,   2.30
198901,   5.92,   4.39,   3.92,   6.96,   6.49,   7.23
198902,   0.73,   1.19,   0.37,  -0.83,  -2.48,  -1.99
198903,   3.30,   2.77,   2.75,   2.47,   1.36,   2.96
