This file was created using the 201509 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 BE/ME portfolios in Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
                     Small                                 2                                  3                                  4                                Big
          Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High   Low    2      3      4      High
199409  -5.49  -5.03  -4.91  -2.44  -4.14  -4.60  -3.83  -5.81  -4.53  -3.93  -5.31  -5.03  -3.13  -4.96  -3.89  -3.51  -5.57  -2.54  -2.48  -2.80  -3.89  -2.26  -1.83  -1.87  -2.55
199410   4.83   3.81   2.98   4.04   4.01   2.97   2.34   2.79   1.85   3.04   0.84   0.49   0.47   1.46   1.84   0.35   0.61   1.52   1.80   2.10   2.40   1.75   3.47   4.08   4.89
199411  -7.73  -6.68  -6.78  -6.75  -5.04  -7.79  -9.21  -7.42  -8.56  -8.65  -8.65  -7.21  -7.79  -8.16  -8.21  -7.21  -8.90  -6.06  -5.48  -7.81  -5.94  -4.81  -6.34  -6.73  -5.19
199412   2.45   4.50   3.02  -0.02   0.57   1.99   3.75   1.30   2.70   3.03   2.54   2.65   1.09   4.24   3.71   2.50   2.75   3.10   2.31   2.70   2.74   1.58   1.92   1.12   1.58
199501  -4.49  -5.99  -6.40  -5.45  -6.16  -4.59  -4.07  -4.55  -2.06  -6.27  -3.42  -2.68  -3.03  -4.05  -7.45  -4.49  -2.92  -6.08  -5.67  -5.24  -5.50  -6.81  -6.78  -7.84 -10.07
199502  -4.69  -4.16  -5.15  -3.31  -4.20  -5.61  -7.53  -6.99  -7.72  -6.06  -8.20  -6.57  -6.27  -7.01  -6.16  -8.54  -6.56  -6.33  -4.72  -6.90  -4.33  -4.32  -6.24  -5.32  -4.09
199503   4.41   5.07   5.05   6.83   6.47   7.20   4.37   6.31   6.47   7.21   4.04   4.57   4.97   6.75   7.63   6.54   6.37   6.55   9.06   6.96   7.01  12.56   8.72  10.71  10.74
199504   2.75   1.55   1.35   0.21   0.89   0.35   2.49   2.56   1.74   1.99   3.02   1.41   2.56   2.32   3.07   3.85   4.54   3.96   3.08   3.07   7.05   3.87   5.02   3.27   1.85
199505  -7.98  -8.06  -9.68  -7.16  -6.73  -9.11 -10.99  -9.54  -9.89  -9.09 -10.08  -9.75  -9.18  -9.25 -10.06 -11.60  -8.40  -7.75  -4.77  -9.45  -4.86  -5.11  -6.59  -6.09  -8.03
199506  -8.30  -5.56  -5.70  -6.10  -4.76  -5.85  -5.90  -4.93  -3.92  -5.64  -4.33  -5.31  -4.71  -3.69  -5.16  -3.67  -5.75  -3.72  -3.80  -5.41  -5.84  -3.96  -3.34  -1.99  -2.87
199507   7.06   6.06   4.08   3.32   2.81   9.19   5.09   7.45   6.84   3.93   8.11   8.53   7.60   6.43   4.82   7.95   7.14   7.20   3.35   5.30   6.65   7.24   6.41   5.62   6.63
199508   1.15   0.94  -0.36   0.06  -1.59   1.40  -1.33   3.30   1.84  -1.26   0.23   0.73  -0.59  -1.09  -1.88   0.64   1.10  -0.59  -1.49  -2.85  -3.38  -4.77  -2.61  -2.66  -1.11
199509  -5.19  -3.72  -3.67  -2.39  -4.24  -3.19  -4.49  -3.01  -3.91  -3.64  -1.82  -1.41  -3.50  -1.06  -5.44  -1.93  -2.71  -4.27  -3.34  -3.12  -0.31   0.23   0.52  -1.24  -3.67
199510  -1.66   0.04  -0.61  -3.00  -2.33  -2.48  -1.76  -1.37  -2.34  -3.19  -2.59  -3.79  -4.02  -3.24  -3.32  -3.91  -3.11  -3.34  -1.05  -3.71  -3.73  -5.01  -4.73  -3.06  -5.01
199511   5.96   7.72   3.52   6.68   4.97   5.46   4.29   3.64   5.42   6.92   3.42   3.12   5.64   3.00   5.56   5.05   3.22   3.11   2.46   4.49   4.45   5.32   4.63   4.67   2.98
199512   7.56   6.38   8.13   8.94  11.24   6.77   3.82   5.70   5.56   8.94   3.64   5.08   6.83   7.05   5.90   3.85   5.10   6.11   4.68   5.57   3.08   5.46   3.77   5.33   7.05
