This file was created using the 201509 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 BE/ME portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
 ,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
199305   ,2.84   ,9.06   ,8.96  ,10.42  ,10.14  ,10.71  ,10.67   ,6.27   ,5.09   ,2.40   ,4.72   ,3.73   ,8.24   ,6.18   ,7.51   ,6.82   ,0.05   ,7.01   ,6.40  ,10.23   ,4.26   ,3.21   ,2.94   ,7.64   ,6.94
199306  ,-5.07  ,-0.52  ,-4.19  ,-0.81   ,3.60  ,-4.91   ,0.92  ,-3.82  ,-0.36   ,7.56  ,-2.86  ,-1.05  ,-0.46  ,-3.85  ,-3.08  ,-3.54  ,-2.07  ,-2.43  ,-3.66  ,-1.66  ,-2.18  ,-3.48  ,-2.91  ,-3.96  ,-3.07
199307  ,12.33   ,6.54   ,6.63  ,12.03   ,7.15   ,3.19   ,5.41   ,5.52  ,-3.63  ,-2.20   ,1.81   ,5.39   ,1.24   ,0.91  ,-7.23   ,5.49   ,2.22   ,2.81   ,4.01  ,-4.68   ,3.15   ,2.80   ,2.56   ,4.95   ,1.10
199308   ,2.64   ,3.90   ,4.44   ,5.89   ,7.32   ,5.97   ,3.35   ,4.57   ,0.02   ,9.78   ,6.43   ,0.62   ,9.21   ,6.77   ,3.08   ,3.82   ,7.98   ,3.24   ,9.03   ,7.19   ,7.29   ,6.35   ,7.69   ,6.16   ,8.02
199309  ,-8.75  ,-6.16  ,-6.18  ,-2.42  ,-1.43   ,0.12   ,1.89  ,-1.62  ,-2.09  ,-3.49  ,-0.94  ,-2.60   ,1.76  ,-4.51  ,-1.83  ,-0.64  ,-3.33  ,-2.66  ,-0.31   ,0.52   ,0.33  ,-0.38   ,0.66   ,1.71   ,1.65
199310  ,10.89  ,10.75  ,11.07   ,8.96  ,11.09  ,10.99  ,10.01   ,7.79   ,7.02  ,14.91  ,19.27   ,8.60  ,12.40  ,11.15  ,13.31  ,11.67  ,11.62  ,13.47  ,11.98  ,17.89  ,16.72  ,14.36  ,16.28  ,17.68  ,22.27
199311  ,-5.81  ,-1.84   ,0.57   ,0.98   ,2.21  ,-0.19  ,-2.22  ,-1.59   ,0.31   ,0.65  ,-1.17   ,0.10  ,-0.45  ,-1.84   ,1.88  ,-2.70  ,-3.79  ,-4.31   ,1.98   ,0.42  ,-3.72  ,-3.89  ,-0.45  ,-3.22  ,-1.62
199312  ,11.48  ,16.11  ,16.26  ,19.17  ,14.21  ,11.94  ,15.32  ,14.92  ,12.40  ,18.13  ,16.02  ,16.46  ,17.05  ,18.55  ,17.54   ,8.20  ,10.83  ,12.13  ,15.81  ,23.24  ,17.84  ,23.36  ,20.41  ,19.91  ,34.87
199401  ,17.94   ,9.36  ,11.22  ,11.05  ,15.53  ,-1.04   ,2.57   ,1.37   ,0.50   ,4.30  ,-4.66   ,7.34   ,2.51   ,1.79   ,3.60   ,1.80  ,-0.27   ,1.87   ,4.12   ,1.83  ,-1.03   ,0.20   ,4.03   ,1.47  ,-0.30
199402   ,4.11  ,-1.12  ,-1.70  ,-0.37   ,1.22  ,-4.88  ,-0.64  ,-1.24  ,-0.49   ,2.44  ,-4.74  ,-2.54  ,-1.59  ,-3.50  ,-4.09  ,-3.02  ,-2.02  ,-4.52  ,-5.08  ,-3.57  ,-8.05  ,-6.36  ,-7.24  ,-7.07  ,-8.04
