This file was created by CMPT_ME_PRIOR_RETS using the 201509 CRSP database.  It
contains a momentum factor, constructed from six value-weight portfolios formed
using independent sorts on size and prior return of NYSE, AMEX, and NASDAQ stocks.
LT_Rev is the average of the returns on two (big and small) low prior return portfolios
minus the average of the returns on two high prior return portfolios.  The portfolios
are constructed monthly.  Big means a firm is above the median market cap on the NYSE
at the end of the previous month; small firms are below the median NYSE market cap.
Prior return is measured from month -60 to -13.  Firms in the low prior return
portfolio are below the 30th NYSE percentile.  Those in the high portfolio are above
the 70th NYSE percentile.

Missing data are indicated by -99.99 or -999.

,LT_Rev
201311,   0.35
201312,  -0.99
201401,   1.01
201402,  -1.42
201403,   2.94
201404,   0.13
201405,  -0.65
201406,   0.40
201407,   0.29
201408,  -1.31
201409,  -1.14
201410,  -3.43
201411,  -1.78
201412,   0.45
201501,  -3.45
201502,  -1.99
201503,  -2.41
201504,   1.43
201505,  -0.81
201506,  -1.04
201507,  -1.61
201508,   1.36
201509,   0.11

Annual Factors:
January-December 
,LT_Rev
  1931,  -2.11
  1932,  11.62
  1933,  81.74
  1934, -10.29
  1935,  39.64
  1936,  18.77
  1937,  -1.73
  1938,  -9.50
  1939, -11.49
  1940, -11.40
  1941,  -8.43
  1942,  30.16
  1943,  45.00
  1944,   3.10
  1945, -15.94
  1946,  13.81
  1947,   9.37
  1948,   7.33
  1949,   1.24
  1950,  13.36
  1951, -13.38
  1952,  -4.65
  1953,  -2.03
  1954, -20.62
  1955, -11.12
  1956,  -5.29
  1957,   4.67
  1958,  -0.28
  1959,  -0.48
  1960,  -4.94
  1961,  -8.59
  1962,  11.75
  1963,   8.02
  1964,   1.56
  1965,  13.57
  1966,   6.03
  1967,  -4.16
  1968,  11.79
  1969,   2.28
  1970,  22.90
  1971,  -5.51
  1972,  -3.27
  1973,   6.82
  1974,   4.22
  1975,  27.53
  1976,  15.79
  1977,   8.12
  1978,   1.93
  1979,  -8.19
  1980, -15.52
  1981,  17.69
  1982,  26.63
  1983,   4.86
  1984,  -5.08
  1985, -19.93
  1986, -12.71
  1987,   7.82
  1988,  -3.04
  1989, -12.18
  1990,  -1.84
  1991,   4.87
  1992,  13.78
  1993,  26.61
  1994,   9.78
  1995,  -1.15
  1996,  -7.79
  1997,  -1.16
  1998,  -0.35
  1999,  21.55
  2000,   0.66
  2001,  26.20
  2002,  18.26
  2003,  10.09
  2004,  -9.55
  2005,  -8.81
  2006,   7.31
  2007, -14.01
  2008,   4.05
  2009,   2.70
  2010,   3.72
  2011, -18.89
  2012,  10.34
  2013,   8.92
  2014,  -4.66

Copyright 2015 Kenneth R. French
