This file was created using the 201509 Bloomberg database.

Missing data are indicated by -99.99.



        Mkt-RF     SMB     HML     WML      RF
200503   -1.48    1.60    3.19    0.16    0.21
200504   -2.17    2.82    0.11    1.46    0.21
200505   -2.54   -1.54   -0.30   -0.57    0.24
200506    0.69    1.82    0.14    0.24    0.23
200507    0.59    1.38   -0.80    2.11    0.24
200508    6.79   -3.74   -0.85    1.88    0.30
200509    8.04   -6.18    2.69    2.09    0.29
200510   -0.35    2.24    1.03    3.81    0.27
200511    2.94    0.02   -2.19    0.84    0.31
200512    9.20    4.33   -5.56    4.48    0.32
200601    3.64    0.01    2.15   -0.59    0.35
200602   -2.46   -4.83    3.27   -3.68    0.34
200603    2.63    0.34   -1.13    1.54    0.37
200604    2.38   -1.13    0.82   -0.83    0.36
200605   -7.40   -2.64    2.49   -5.03    0.43
200606   -1.78   -1.84   -0.02    0.81    0.40
200607   -2.04   -5.48    4.12   -0.15    0.40
200608    1.29    0.57   -1.33   -0.83    0.42
200609   -2.01   -1.17    0.45    0.27    0.41
200610    1.28   -2.32   -0.82    0.44    0.41
200611   -0.20   -2.04    2.38    1.03    0.42
200612    1.50   -1.83    1.44    3.39    0.40
200701    0.40    0.46    0.78   -1.81    0.44
200702    3.57   -1.01    2.57   -0.42    0.38
200703   -1.59    0.13    2.98    1.63    0.43
200704   -2.64   -1.27    2.39    4.36    0.44
200705    0.43   -3.16   -0.60    0.58    0.41
200706   -0.45    2.61   -0.50    2.30    0.40
200707   -0.44    0.76    0.07    2.71    0.40
200708   -3.76   -3.10    1.09    1.49    0.42
200709    1.46   -2.57   -0.24    6.24    0.32
200710   -0.13    3.13   -4.64   -3.64    0.32
200711   -2.26   -1.24   -0.16   -3.75    0.34
200712   -3.94   -2.08    2.24    0.34    0.27
200801   -4.91   -0.84    3.79   -2.43    0.21
200802    0.97    1.97   -0.53    2.11    0.13
200803   -3.75    3.06    1.57    2.89    0.17
200804    6.23   -6.29   -1.70   -8.54    0.18
