This file was created by CMPT_ME_BEME_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for the intersections of  2
ME portfolios and  3 BE/ME portfolios.   

The portfolios are constructed at the end of Jun.  ME is market cap at the end
of Jun.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
               Small                 Big         
          Low     2    High    Low     2    High 
195112   0.48  -0.03  -0.15   3.81   3.21   0.52
195201   1.16   1.63   1.22   0.36   2.27   3.92
195202  -2.73  -2.75  -2.36  -2.96  -3.58  -3.95
195203   0.48   1.67   2.78   4.02   4.46   5.99
195204  -5.26  -5.08  -4.20  -4.76  -5.27  -5.50
195205   1.62   1.35   2.19   2.97   2.12   2.70
195206   0.97   2.34   2.81   3.59   3.79   4.09
195207   0.90   1.21  -0.34   1.11   0.46   1.43
195208  -0.40   0.20  -0.26  -1.49  -1.19  -1.76
195209  -0.30  -1.39  -2.62  -2.05  -2.49  -2.97
195210  -1.02  -1.85  -2.40  -0.96   0.08  -0.81
195211   4.87   4.55   5.44   5.25   4.48   6.55
195212   1.46   0.83   0.86   2.86   2.35   3.20
195301   3.48   3.44   3.52  -0.94  -0.36   1.37
195302   0.88   1.50   1.28  -1.04  -0.76  -1.64
195303  -2.38  -2.07  -2.71  -1.26  -1.93  -3.20
195304  -3.05  -2.62  -1.42  -3.23  -2.43  -2.07
195305   0.25   0.18   0.17   0.17  -0.45   0.46
195306  -3.73  -3.97  -4.48  -2.00  -1.87  -2.31
195307   0.77   1.31   1.18   2.82   2.00   1.54
195308  -3.90  -5.99  -6.68  -4.77  -4.52  -8.95
195309  -0.48  -1.55  -2.95   0.55  -0.33  -2.41
195310   2.73   3.30   3.10   4.93   4.18   4.40
195311   0.88   1.39   0.46   2.22   1.49   1.94
195312  -0.58  -2.34  -3.55   0.21  -0.30  -3.51
195401   4.62   6.38   8.06   4.40   5.63   7.84
195402   0.48   0.96   0.92   0.84   1.58  -0.14
195403   2.11   2.50   1.47   3.95   2.94   1.21
195404  -0.47   2.04   0.00   5.12   3.43   3.58
195405   3.47   3.58   4.65   2.21   1.97   6.03
195406  -0.06   1.28   0.82   1.57  -0.82   0.47
195407   5.57   6.70   8.96   4.20   5.03   8.79
195408  -0.60  -0.41  -1.49  -3.57  -1.71  -5.96
195409   2.22   4.19   4.25   6.61   6.13   6.29
195410   0.37  -1.21  -0.88  -2.44  -1.08   0.17
195411   6.55   8.51   8.69   8.61   7.31  14.59
195412   6.75   8.76  10.91   3.99   5.47  11.37
195501   1.49   1.03   2.28  -0.03   0.74   3.49
195502   3.37   5.03   4.22   2.52   2.16   2.56
195503  -1.29  -0.78   0.14  -0.58  -0.61   2.05
195504   1.29   1.09   2.42   3.99   1.92   4.26
195505   0.05   0.03   0.03   1.38  -0.45  -0.59
195506   1.49   3.06   2.92   6.25   7.26   8.61
195507  -1.75   0.90   1.18   1.99   2.25   0.25
195508  -0.55   0.10  -0.21   0.02  -0.70   0.79
195509  -1.06  -0.99  -0.76   0.02  -0.70  -2.57
195510  -1.65  -0.97  -1.40  -3.15  -1.74  -3.42
195511   5.45   4.20   4.57   6.96   5.00   8.43
195512   2.97   1.53   2.04   1.69   1.46  -2.12
195601  -2.43  -2.24  -1.89  -4.12  -1.19  -2.56
195602   1.56   3.39   1.84   4.47   2.26   2.80
195603   2.98   3.22   4.72   7.00   6.82   4.80
195604   1.11   0.67  -0.05  -0.15   1.22   0.66
195605  -3.73  -4.54  -5.11  -5.59  -5.41  -7.28
195606   0.54   1.98   0.89   4.47   2.49   1.45
