This file was created by CMPT_VAR_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on VAR.

The portfolios are constructed at the end of each month.

The residual return variance is measured over 60 days up to formation monthend requiring at least 20 non-missing daily returns.  
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196801,   -2.20,   -5.29,   -4.88,   -5.76,   -4.08,   -1.86,   -3.13,   -5.34,   -5.22,   -2.81,   -6.66,   -5.37,   -6.29,   -6.24,   -2.37
196802,   -1.85,   -3.76,   -3.73,   -5.51,   -9.16,   -1.62,   -2.33,   -2.86,   -5.01,   -4.00,   -3.39,   -6.23,   -4.35,   -8.04,  -10.03
196803,    0.62,   -0.09,    1.00,    2.34,   -0.48,    1.13,   -0.54,   -0.78,    0.80,    1.58,    0.23,    1.83,    2.95,    1.73,   -2.27
196804,    7.25,    9.93,   10.39,   13.49,   17.08,    6.83,    8.62,   10.01,    9.83,   10.02,   10.84,   13.67,   13.32,   17.27,   16.91
196805,    0.95,    3.07,    3.88,    4.89,    8.78,    0.90,    1.09,    3.33,    2.64,    4.18,    3.63,    4.83,    4.98,    8.05,    9.50
196806,    1.76,    1.18,    1.03,   -0.09,   -1.59,    1.43,    2.57,    0.82,    1.69,    0.96,    1.12,   -0.24,    0.17,   -0.98,   -2.12
196807,   -1.00,   -2.66,   -3.09,   -6.43,   -4.61,   -0.61,   -1.79,   -3.08,   -2.14,   -2.68,   -3.44,   -6.78,   -6.06,   -5.48,   -3.92
196808,    1.17,    2.12,    3.08,    1.94,    3.09,    1.41,    0.90,    1.98,    2.33,    3.90,    2.19,    2.27,    1.57,    2.77,    3.28
196809,    2.86,    4.50,    5.27,    7.13,    9.68,    3.31,    2.30,    4.93,    3.86,    5.26,    5.27,    6.90,    7.35,    8.12,   10.85
196810,    1.10,    1.52,    1.88,    0.07,   -2.33,    1.28,    0.76,    0.92,    2.26,    2.79,    0.70,    0.08,    0.04,   -2.00,   -2.57
196811,    4.37,    6.53,    7.41,    8.16,    9.33,    4.32,    4.46,    7.01,    5.94,    7.26,    7.56,    7.88,    8.47,    9.42,    9.26
196812,   -4.55,   -2.87,   -3.15,   -2.50,   -0.86,   -4.65,   -4.31,   -2.52,   -3.32,   -3.34,   -2.87,   -2.82,   -2.19,   -2.38,    0.45
