This file was created using the 201509 Bloomberg database.

Missing data are indicated by -99.99.
199509    1.70   -0.97    3.52    1.44    0.43
199510   -0.78   -2.08    0.00   -1.65    0.47
199511    0.80   -0.57    0.55    4.16    0.42
199512    2.77   -2.08    0.26   -0.11    0.49
199601    8.11   -1.86    2.62    0.96    0.43
199602    0.37    2.02   -1.16   -0.66    0.39
199603   -0.93    0.22   -0.20    1.83    0.39
199604    1.58    1.13   -0.43    1.06    0.46
199605    0.67    1.21   -1.71    3.84    0.42
199606   -2.12   -0.07    1.74    0.08    0.40
199607   -5.41   -0.25    2.58   -0.61    0.45
199608    3.83    0.64   -1.92    3.87    0.41
199609    2.28   -0.60    0.83    3.02    0.44
199610    2.22    2.20   -0.51    2.74    0.42
199611    6.42   -0.53    4.48    2.57    0.41
199612   -0.58   -0.14    0.79   -0.04    0.46
199701   -2.09    2.28   -1.52   -2.66    0.45
199702    0.79    4.00   -0.29    1.65    0.39
199703   -4.65    2.03    0.62    2.27    0.43
199704   -0.16   -0.64    2.60    5.46    0.43
199705    6.85   -3.59    1.37    3.20    0.49
199706    2.32   -3.29   -0.02    2.94    0.37
199707    1.75    1.50    1.86    6.69    0.43
199708   -8.41    8.61    6.73    3.37    0.41
199709    3.97   -6.71   -5.49   -0.38    0.44
199710  -22.14   -1.58   -3.33   -3.22    0.42
199711   -1.26   -5.39   -2.68   -0.03    0.39
199712   -1.52   -5.83   -1.69    4.49    0.48
199801   -7.76   -4.67   -7.36   10.58    0.43
199802   11.37    1.19    5.34  -21.61    0.39
199803   -1.84   -0.89    1.47    0.92    0.39
199804   -5.50    1.61    0.10    2.78    0.43
199805  -10.87    1.18   -0.98   10.08    0.40
199806   -5.74   -5.45    3.66   10.17    0.41
199807   -3.50    0.41   -6.60    6.51    0.40
199808  -13.33   -1.28   -5.93    3.64    0.43
199809   10.43   -4.92    1.07   -4.36    0.46
199810   17.75   -5.25   23.19  -37.42    0.32
199811    4.78    2.03    1.93   -6.44    0.31
199812   -2.55   -0.53   -1.90    3.63    0.38
199901   -0.12    2.01   -6.51    7.24    0.35
199902   -1.33   -0.64   -0.38   -0.49    0.35
199903    7.96   -6.37    3.61    1.29    0.43
199904   16.54    2.00   11.29  -15.29    0.37
199905   -5.47   12.02    5.86   -2.18    0.34
199906    8.89    4.31    9.06    6.35    0.40
199907   -2.17   -2.20   -3.41   -6.68    0.38
199908   -2.40   -0.44   -2.17    1.94    0.39
199909   -2.26    5.02   -0.95   -3.40    0.39
199910    1.16   -1.03   -2.90    3.79    0.39
199911    7.04   -0.95   -4.11    3.46    0.36
199912    8.68   -0.43    3.22    9.16    0.44
200001   -7.17    6.91    1.64    2.24    0.41
200002   -1.01    5.94   -2.56    6.03    0.43
200003    0.40   -1.23    0.34    1.11    0.47
200004   -6.23  -12.84    1.48  -13.37    0.46
200005   -8.50    0.24   -3.98   -5.39    0.50
200006   10.83   -4.47    1.45    1.27    0.40
200007   -0.65   -0.62    3.39   -3.33    0.48
200008    2.06   -2.97    4.90   -0.55    0.50
200009   -7.48   -4.27    4.61    0.66    0.51
200010   -6.00   -2.45    1.38   -3.62    0.56
200011   -1.04    0.24    3.32   -2.65    0.51
200012    3.94   -5.19    5.97    1.79    0.50
200101    2.78   -2.21   -0.35   -0.29    0.54
200102   -3.75    0.12    8.08    3.33    0.38
200103  -13.29   -0.82    7.93    7.43    0.42
200104    6.50    0.34   -5.50   -3.39    0.39
200105   -0.20    4.70    4.69    2.26    0.32
200106    1.39    0.08    0.15    3.61    0.28
200107   -3.87   -3.23    2.08    4.48    0.30
200108   -1.12   -0.60   -2.01    8.18    0.31
200109  -14.54   -1.66   -1.03    5.46    0.28
200110    6.03    3.09   -0.32    2.04    0.22
200111    8.46   -0.51    0.69   -5.70    0.17
200112    2.47   -2.65    3.10   -1.65    0.15
200201    1.54    3.47    2.64    0.10    0.14
200202   -1.58    1.30    2.11    7.51    0.13
200203    4.42    0.62    0.52    0.67    0.13
200204    0.76   -2.28    6.18    1.76    0.15
200205    2.10    3.89    0.80    6.19    0.14
200206   -5.57   -0.83    3.86    5.83    0.13
200207   -6.28   -3.48    1.52    1.22    0.15
200208    0.00    1.60   -2.35    4.66    0.14
200209   -7.52   -0.57   -0.53    3.52    0.14
200210    4.69   -3.21    0.33   -0.09    0.14
200211    2.67   -2.98    3.25   -1.32    0.12
200212   -3.12    4.26   -1.15    5.03    0.11
200301    1.52    1.61   -0.07    3.36    0.10
200302   -1.22    0.23    3.38    5.50    0.09
200303   -0.58   -1.87   -2.49    2.67    0.10
200304    4.55   -1.38   -3.18    1.86    0.10
200305    6.97    2.49    6.11   -1.38    0.09
200306    3.86    1.14    0.35    4.04    0.10
200307    3.27    4.86    6.43   -2.48    0.07
200308    6.24    2.12    7.28   -4.93    0.07
200309    5.16    3.60    0.38   -0.28    0.08
200310    5.99   -0.03   -0.05    1.26    0.07
200311    0.01    0.97   -1.94   -0.17    0.07
200312    5.21   -0.77   -2.51    2.20    0.08
200401    4.48    0.31    8.31    0.97    0.07
200402    3.64    1.00    0.72    1.14    0.06
200403   -1.43   -1.51   -3.03    0.64    0.09
200404   -5.37   -2.03    0.22   -3.60    0.08
200405    0.00   -2.34   -0.40    0.79    0.06
200406    0.51   -0.88   -0.22    0.60    0.08
200407    0.96    0.92   -0.26    1.62    0.10
200408    2.65   -3.26    3.72    2.58    0.11
200409    5.37    0.71   -2.42    3.13    0.11
200410    3.28    1.69   -2.55    3.70    0.11
200411    7.94   -0.13    2.01    3.90    0.15
200412    2.85   -0.74    2.47    1.50    0.16
200501    0.03    2.72   -0.66    0.67    0.16
200502    3.98   -1.46   -0.32    2.06    0.16
200503   -3.23   -0.67    1.53    0.43    0.21
200504   -0.45   -3.41    4.00   -1.44    0.21
200505   -0.40   -3.07    1.18   -0.83    0.24
200506    4.25   -2.65   -0.66    3.00    0.23
200507    3.40   -1.64    0.90   -0.78    0.24
200508    0.10    0.96   -1.92    3.76    0.30
200509    3.89    0.08   -2.34    2.01    0.29
200510   -6.13    1.55    0.11   -1.18    0.27
200511    3.01   -1.56    0.07    0.81    0.31
200512    1.82   -0.75   -0.29    0.93    0.32
200601    6.15    0.78   -0.23    6.45    0.35
200602   -0.28    2.77    2.96    1.18    0.34
200603    1.94    3.04    1.36    4.91    0.37
200604    6.48   -0.66   -1.83    2.62    0.36
200605   -5.99    0.10   -0.39   -0.33    0.43
200606   -0.20   -2.51    0.96    0.49    0.40
200607    1.00    1.65    0.09    0.57    0.40
200608    2.31   -0.51    0.21    1.76    0.42
200609   -0.38    0.09    2.98   -2.32    0.41
200610    6.08    2.41   -5.10    2.70    0.41
200611    4.58    1.18    1.28    3.57    0.42
200612    3.79   -1.27    0.06    2.25    0.40
200701    1.92    3.27    3.07    1.02    0.44
200702    1.16    1.40   -0.17    1.70    0.38
200703    4.67    1.41   -1.89    3.40    0.43
200704    4.73    4.34   -0.39    2.84    0.44
200705    3.17    4.45    4.11    0.70    0.41
200706    2.47    3.41    0.16    1.43    0.40
200707    1.12    3.06    3.61    2.07    0.40
200708   -4.19  -10.91   -1.08   -5.45    0.42
200709   13.01   -4.07   -5.38    6.11    0.32
200710    8.17   -2.55   -0.48    3.63    0.32
200711   -6.41   -3.18    2.43   -1.87    0.34
200712   -1.44    0.25    0.78   -2.26    0.27
200801  -10.37   -5.19    1.47   -5.46    0.21
200802    2.79    2.10   -3.71    6.88    0.13
200803   -5.33   -4.68    2.28   -2.22    0.17
200804    7.05   -3.01   -0.75    3.70    0.18
200805    3.21    3.30   -4.23    5.06    0.18
200806   -8.11   -0.16   -1.92    6.50    0.17
200807   -5.31   -3.76    6.92   -4.87    0.15
200808   -6.56   -4.16   -1.95    1.91    0.13
200809  -17.50   -1.81    3.08   -4.22    0.15
200810  -26.06   -7.52    4.04    2.96    0.08
200811   -6.65   -1.83    3.21    4.26    0.03
200812    7.67    2.21    0.87   -9.49    0.00
200901   -7.64   -0.98    3.48    2.35    0.00
200902   -4.91    3.52   -4.64    0.18    0.01
200903   11.02   -1.50   -6.51   -9.77    0.02
200904   13.77    1.47   -1.04  -14.02    0.01
200905   18.58   10.42    3.69  -19.15    0.00
200906    1.57   -0.22   -2.42    0.30    0.01
200907   12.73   -1.17    6.43   -3.15    0.01
200908    1.87    4.21   -4.31   -3.97    0.01
200909    8.79   -0.05    0.98   -0.48    0.01
200910    0.95    1.93    1.45    0.13    0.00
200911    2.68    2.57   -3.38    1.29    0.00
200912    2.42   -0.88    1.91   -0.02    0.01
201001   -6.50    4.37    0.48   -2.34    0.00
201002    2.91   -2.26    0.97    1.57    0.00
201003    7.64   -0.41    0.76    1.76    0.01
201004    0.83    4.52   -0.83    0.41    0.01
201005  -12.32   -2.96    1.85   -3.96    0.01
201006   -0.26   -1.50    1.39   -1.73    0.01
201007    9.57   -0.73   -0.90    0.71    0.01
201008   -0.93    0.04    0.86    3.33    0.01
201009   12.72    2.06   -0.92   -1.42    0.01
201010    3.73    2.28   -2.94    0.94    0.01
201011   -1.38    0.94    1.00    4.80    0.01
201012    6.95    3.02   -2.73    0.96    0.01
201101   -0.92   -1.04    3.27    0.01    0.01
201102    0.11    0.83   -4.58    1.53    0.01
201103    2.31   -0.98   -1.47    1.14    0.01
201104    4.68   -0.54   -0.29    1.53    0.00
201105   -2.54   -2.27    1.68    3.72    0.00
201106   -2.33   -2.20    0.19    0.46    0.00
201107    1.28    1.62   -0.90    3.74    0.00
201108   -6.86   -2.19   -1.01    0.48    0.01
201109  -15.47   -0.77    1.74   -2.96    0.00
201110   13.74   -2.56   -0.48   -2.13    0.00
201111   -6.52    0.96   -0.85    5.47    0.00
201112   -1.18   -1.95    0.99    0.80    0.00
201201    9.82   -2.63    0.86   -5.84    0.00
201202    5.13    3.35    1.19   -2.91    0.00
201203   -2.27    0.57    0.04    7.01    0.00
201204    0.95   -1.98    1.32    1.44    0.00
201205  -11.23   -0.32    3.33    5.25    0.01
201206    4.74   -3.92    0.82    4.58    0.00
201207    5.03   -4.12    0.91    4.46    0.00
201208    1.01    1.20    0.20    1.84    0.01
201209    4.23    0.98    1.91   -0.84    0.01
201210    1.88   -0.52   -0.60    0.42    0.01
201211    1.51   -3.01    3.13    4.78    0.01
201212    2.85    1.19    0.89   -1.35    0.01
201301    5.36    0.78    3.14    2.10    0.00
201302    1.31   -1.24    1.27    3.44    0.00
201303   -0.46   -0.11   -0.57    5.86    0.00
201304    2.43   -5.40    2.00    7.65    0.00
201305   -6.28    2.35    2.53   -1.59    0.00
201306   -6.18   -0.58    1.79    3.30    0.00
201307    3.74    2.49   -3.24    0.54    0.00
201308   -0.25    1.44   -0.89    0.89    0.00
201309    6.72    0.48   -1.72    1.24    0.00
201310    3.48   -1.97   -0.30    1.78    0.00
201311   -2.34   -0.32    1.90    4.92    0.00
201312   -0.53    1.32   -0.83    2.84    0.00
201401   -4.23    3.52   -1.19    2.07    0.00
201402    5.67   -0.73   -1.44    2.40    0.00
201403    1.88   -0.22   -0.36   -1.72    0.00
201404    1.38   -4.24    2.62   -3.59    0.00
201405    1.71   -0.75    1.79    1.05    0.00
201406    0.13    1.24    0.82    0.87    0.00
201407    3.33    0.39    2.16    0.02    0.00
201408   -0.27    2.26   -0.14   -1.49    0.00
201409   -8.13    1.40    3.58   -0.67    0.00
201410    3.57   -4.88   -2.03    2.74    0.00
201411   -3.08    0.24    2.81    5.19    0.00
201412   -2.76   -2.10    0.44    4.14    0.00
201501    0.31   -3.50    5.29    5.52    0.00
201502    3.41    0.36   -3.64   -0.04    0.00
201503   -0.81    0.15    1.32    6.76    0.00
201504    6.24    9.91    0.94    5.35    0.00
201505   -1.71    9.10    0.99    6.81    0.00
201506   -4.66    3.12   -2.73    2.53    0.00
201507   -3.47   -5.39   -3.52   -5.83    0.00
201508  -10.49   -1.29    0.11    0.40    0.00
201509   -2.82    2.89   -0.51    4.68    0.00



 Annual Factors: January-December
      Mkt-RF     SMB     HML     WML      RF
1991   29.61   -4.84    7.52   15.87    5.60
1992    1.57   -1.96    0.51   19.47    3.51
1993   79.27    0.51   22.08   20.63    2.90
1994  -18.48   -1.46    4.50    2.40    3.90
1995    9.28  -11.30    1.53    3.31    5.60
1996   17.71    4.85    8.29   22.10    5.21
1997  -25.85   -6.71   -2.25   16.61    5.26
1998  -11.56  -14.06    6.29   -5.03    4.86
1999   41.87   20.26   14.57    8.42    4.68
2000  -21.52  -16.38   15.38  -13.73    5.89
2001  -11.89   -3.02   16.66   27.11    3.83
2002   -8.62    2.18   15.61   34.40    1.65
2003   49.47   19.80   20.42   19.96    1.02
2004   27.41   -7.87    9.80   19.58    1.20
2005   10.39  -10.52    1.62    9.60    2.98
2006   28.99    9.22    3.53   31.44    4.80
2007   31.83   -0.90    6.52   15.09    4.66
2008  -52.74  -12.70    4.88    1.59    1.60
2009   77.28   32.73   -9.61  -79.02    0.10
2010   22.28   11.03   -0.65    5.44    0.12
2011  -15.29   -9.07   -1.17   10.46    0.04
2012   24.57  -10.79   17.02   24.35    0.06
2013    6.24   -0.68    5.84   34.48    0.02
2014   -1.63   -3.68    9.35   10.63    0.02
