This file was created by CMPT_ME_BEME_NI_ACCR_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME, BEME, NI, and AC/B.

The portfolios are constructed at the end of June.  BEME is book value at the last fiscal year end of the prior calendar year
divided by ME at the end of December of the prior year. NI (net stock issues), the change in the natural 
log of the split-adjusted shares outstanding from the fiscal year-end in t−2 to t−1. 
Ac/B (accruals) is the change in operating working capital per split-adjusted share from t−2 to t−1
divided by book equity per split-adjusted share in t−1.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL NegNI,SMALL ZeroNI,SMALL LoNI,ME1 NI2,ME1 NI3,ME1 NI4,SMALL HiNI,ME2 NegNI,ME2 ZeroNI,ME2 LoNI,ME2 NI2,ME2 NI3,ME2 NI4,ME2 HiNI,ME3 NegNI,ME3 ZeroNI,ME3 LoNI,ME3 NI2,ME3 NI3,ME3 NI4,ME3 HiNI,ME4 NegNI,ME4 ZeroNI,ME4 LoNI,ME4 NI2,ME4 NI3,ME4 NI4,ME4 HiNI,BIG NegNI,BIG ZeroNI,BIG LoNI,ME5 NI2,ME5 NI3,ME5 NI4,BIG HiNI
196405,    0.8837,    2.2939,    1.3420,   -1.3115,   -0.9871,   -1.5919,   -1.5349,    2.0611,    3.3533,   -0.3275,    3.6453,    0.4072,    1.8804,    1.1767,    0.1296,    1.6630,    1.6785,    1.6330,   -0.6887,   -1.1019,   -0.6520,    1.7362,    3.7493,    0.4734,    1.8204,    2.0351,    1.6853,    3.1924,    1.8513,    1.6140,    1.1284,    2.5687,    2.6282,    0.4832,   -0.4277
196406,    1.6955,    0.8084,    3.2025,    1.6146,    7.4881,    0.1739,    0.0541,    0.1326,    1.6289,    1.3976,    0.1918,    3.1701,    4.5944,    0.1106,    1.4144,    0.8497,    1.8368,    2.9966,    3.1642,    2.5368,    4.0342,    0.3120,    0.3415,    1.0979,    3.8627,    3.4315,    3.8632,   -0.0867,    1.7126,    1.5112,    0.7264,    1.7549,    0.1055,    3.7948,    1.8424
196407,    2.2601,    4.1622,    4.7056,    5.3464,    1.4826,    2.3747,    0.9983,    1.5463,    2.6701,    6.5531,    6.8236,    0.3057,    3.1220,   -0.1875,    1.6801,    1.2654,    3.6798,    2.6732,    3.6742,    3.2050,    3.1330,    3.1404,    1.7719,    2.3493,    2.1239,    1.9740,    2.5856,   -0.4516,    1.6692,    3.5522,    2.2269,    4.3731,   -0.9279,    2.6619,    0.6236
196408,   -0.1845,    0.5544,   -2.2188,   -1.9920,   -2.3360,   -0.4725,   -0.0966,   -1.3203,   -2.3546,   -0.3375,   -2.2636,   -0.7313,    0.0833,   -1.2163,   -1.7708,    0.7087,   -0.6943,    0.2016,   -0.5574,   -0.3076,   -1.9304,    0.8710,   -0.5582,    0.5830,    0.5131,   -1.2331,    1.9701,   -0.2391,   -2.3869,   -1.2036,   -1.2440,    0.2482,   -2.2881,   -0.8241,   -1.9567
196409,    4.6394,    4.4594,    1.8456,    4.7236,    6.9144,    2.7095,    4.3843,    1.2130,    4.0426,    2.8527,    2.6835,    3.6943,    1.5510,    4.8649,    2.4940,    2.5726,    3.4434,    3.5123,    4.1936,    1.7070,    0.6278,    2.9647,    2.5079,    4.8538,    4.6725,    4.8926,    5.2378,    2.0448,    3.0656,    3.2729,    3.4767,    3.5367,    0.3806,    3.7697,    5.5893
196410,    0.5176,    2.8921,    3.6260,   -2.4555,    2.0423,    5.4395,    2.0926,    1.9739,    1.1657,    6.0398,    1.8701,   -0.6987,   -1.1428,   -1.7376,    3.6228,    1.4297,    2.1499,    4.0096,    1.8012,    0.9957,    2.3463,    2.6316,    0.8104,    1.5949,    3.3349,    0.4124,    2.2090,    1.7922,    3.6184,   -0.2636,    0.5942,    0.3611,   -1.2662,    1.7220,   -0.5885
196411,    1.0097,   -0.0754,   -0.1828,   -0.2175,   -1.8749,   -0.2872,   -0.2808,   -0.7140,   -1.3094,   -1.5066,   -0.3836,    2.8506,    2.7638,   -2.7727,    1.9373,    1.5327,    0.3858,   -1.5803,    0.2486,    0.0551,   -0.0258,   -0.0433,    0.8629,   -1.1063,    2.2013,    1.5419,   -1.1926,    0.6579,    2.2326,    0.1795,    1.7978,   -0.4306,   -0.8986,    0.4638,   -0.2660
196412,   -2.3505,   -1.6866,   -0.4847,    1.2622,   -1.2292,   -1.9784,   -2.1272,    1.6164,    0.0511,    0.8805,   -0.4214,   -1.3871,   -2.1920,    0.6357,    0.0162,   -0.9231,    0.7105,   -2.0568,   -0.3310,   -0.9220,    0.7724,    0.6188,   -0.8651,   -0.0577,   -0.0588,   -0.5914,   -1.6869,    0.6887,   -0.6500,   -1.1357,    0.4977,    1.2391,    2.4046,   -0.3446,    0.5468
196501,    5.8879,    5.7810,    8.3672,    7.1838,    9.3959,    8.7223,   10.1749,    4.3618,    6.4654,    8.9196,    6.7759,    6.7793,    7.4930,    5.9274,    5.2212,    5.3280,    6.5936,    9.0030,    4.6472,    4.4530,    5.8674,    5.7240,    4.8224,    5.0253,    4.6546,    7.1351,    4.6875,    7.2532,    1.1992,    3.5455,    4.5365,    2.8072,    3.1186,    5.3288,    5.0071
196502,    3.5143,    3.1499,    4.6126,    1.4586,    3.5841,    3.8278,    1.3524,    3.5172,    4.4203,    3.2157,    2.4836,    1.5169,    2.5183,    4.5620,    3.5904,    4.8168,    6.5708,    3.0453,    3.0533,    3.9693,    5.4370,    2.9766,    2.6899,    3.3607,    3.6262,    2.5278,    3.2150,    2.4971,   -1.7313,    0.5137,    0.4432,   -0.4317,    1.3047,   -0.1011,    3.0412
196503,    2.2795,    2.7114,    4.5229,    1.4573,   -0.6362,   -0.3221,    3.2789,    0.6600,   -0.2162,    2.9413,    0.2406,    4.6335,   -0.2271,   -0.5519,    1.8782,   -0.1780,   -1.7040,    0.2805,    1.7889,    0.4648,   -2.5446,    0.2920,   -0.9659,   -0.7845,   -0.0668,    1.0441,   -0.0792,   -0.3202,   -2.9796,   -0.4687,   -2.3403,   -0.5818,   -0.9885,   -0.9619,   -1.7813
196504,    5.2843,    4.3626,    7.4247,    3.4116,    6.2791,    2.6759,    5.6571,    2.4252,    6.3936,    1.2672,    6.1817,    4.2218,    5.2545,    3.8932,    4.8784,    1.5730,    6.4233,    4.2483,    3.1322,    4.8929,    4.1035,    4.6538,    1.1685,    4.2709,    4.2727,    4.5658,    3.7670,    4.3885,    1.3860,    1.3721,    1.7337,    6.2532,    4.2274,    3.2684,    2.9020
196505,   -1.3088,   -0.3360,   -2.4289,   -1.9337,   -0.7018,   -0.9029,    1.2713,    0.6440,    0.4381,   -2.9017,   -1.7399,    3.9475,    1.3615,    0.5465,   -1.0710,    0.4831,    1.1512,    1.3720,    0.6443,   -2.0137,   -1.2801,   -0.6175,   -1.0554,    0.1456,    0.4693,   -1.9247,   -1.5184,    0.4905,    0.1947,   -0.5865,    0.5394,   -2.2756,    1.1662,   -0.6024,    1.4950
196506,   -9.1718,   -9.8023,   -9.7116,   -9.9632,   -8.4283,   -8.1679,  -12.3204,   -9.0915,   -9.0569,  -11.1043,   -7.3541,   -8.6278,   -9.1119,   -9.7947,   -6.9570,   -7.0639,  -10.0651,  -10.4174,   -9.5678,   -8.5489,   -8.7566,   -7.3594,   -6.3101,   -7.2946,   -7.7765,   -7.4061,   -7.6372,   -8.6430,   -2.0046,   -4.2682,   -4.5470,   -5.0989,   -4.3595,   -4.5958,   -5.1039
196507,    1.4138,    2.8023,    2.9403,    3.9632,    3.9934,    4.5255,    2.2134,    3.1582,    3.9900,    1.1728,    3.5525,    3.0322,    2.9101,    1.8294,    5.4739,    2.9144,    2.3107,    3.7570,    3.1071,    1.8988,    2.9183,    3.7303,    3.5977,    3.0908,    1.3728,    3.6792,    3.3752,    2.9868,    1.6209,    2.0937,    1.4515,    0.0443,    3.8787,    1.8896,    0.1272
196508,    4.5617,    2.5615,    5.5861,    5.7393,    4.1700,    5.0550,    5.1089,    5.2602,    4.9442,    5.2545,    7.3807,    4.8739,    3.9301,    5.4438,    7.4271,    3.0349,    7.1781,    7.8776,    6.1395,    9.1648,    6.1362,    5.6772,    1.6915,    3.4392,    3.6480,    5.8837,    4.5787,    4.4293,    3.3701,    4.3522,    2.9300,    1.3567,    4.6052,    2.4894,    1.4424
196509,    3.1615,    4.2930,    2.6522,    1.1860,    5.5802,    4.0726,    2.6522,    5.5098,    2.1412,    5.3831,    8.8736,    0.8180,    1.5335,    3.5040,    7.2848,    1.5922,    1.8173,    4.3103,    4.8002,    4.0126,    2.5185,    3.8099,    2.0876,    3.3384,    1.5884,    2.0907,    6.2020,    4.6656,    2.9678,    2.2065,    2.2689,    4.3203,    4.7543,    4.6926,    1.2877
196510,    7.9185,    8.3033,    8.7284,    6.7728,    6.0661,   10.4570,    7.0165,    5.3418,    6.0719,    5.9835,    3.9578,    7.3969,    6.1855,    4.0434,    5.9423,    5.2067,    4.8725,    6.4945,    7.6641,    5.3292,    5.7492,    2.4028,    3.0287,    2.4438,    3.8220,    3.7780,    4.0181,    6.2469,    2.4377,    3.2360,    3.0652,    3.9265,    2.6529,    1.8175,   -0.3354
196511,    6.2956,   10.6680,    7.6187,    3.2563,    3.2768,    6.4109,    4.1658,    7.0681,    3.1587,    3.8592,    6.5456,    3.8874,    2.4030,    7.4450,    8.3990,    2.0785,    2.3269,    5.9840,    5.4818,    3.5638,    4.6182,    5.5149,    0.4540,    3.2939,    1.1277,    4.7781,    3.1584,    4.2412,    0.6366,   -1.2174,   -0.9047,   -0.9703,    0.1987,    1.6528,   -3.1338
196512,    4.7129,    5.2555,    3.2583,    4.6474,    4.5863,    2.7946,    6.0143,    5.5181,    2.9813,    1.8280,    4.8352,    6.1084,    6.3408,    5.7639,    0.8292,    2.8280,    3.0996,    5.1661,    2.4006,    1.6570,    3.0093,    3.2182,    2.0860,    2.7846,    0.7257,    1.7630,    2.9722,    2.0299,    0.2062,    3.0231,    1.7046,    0.0861,   -0.3676,    1.9682,   -0.2996
196601,    6.5376,   10.0999,    8.9800,    2.4473,    6.0507,    9.3706,    6.3337,    5.7243,    5.8441,    5.5377,    2.3885,    5.9951,    7.6280,    5.8250,    5.0490,    1.1768,    6.5229,    4.3122,    7.1081,    1.3204,    1.4645,    3.9984,    0.1312,    1.3869,    1.4760,    4.3205,    3.1234,    4.1685,    0.9852,    0.6097,    1.0325,   -0.8908,    0.7081,    0.8898,   -1.4454
196602,    4.9779,    5.7220,    4.3583,    4.0497,    5.9878,    7.1158,    6.1268,    1.5743,    2.6233,    1.9658,    2.6743,    1.3347,    7.7081,   -0.8382,    3.5975,    0.2923,    2.1344,    3.8933,    0.4647,    1.3365,    4.6457,    2.3649,    0.2096,   -2.3339,   -1.7003,   -0.2706,    2.0194,    3.2106,   -3.1232,   -3.8045,   -2.1207,   -2.3119,    1.0145,   -1.2848,   -0.4530
196603,   -0.4937,   -0.3870,   -2.2793,   -1.2165,   -1.9275,    0.0243,   -1.7743,    1.1258,   -5.2029,   -1.1606,   -4.5216,   -3.6066,   -3.4595,   -1.9396,   -2.1591,    1.3693,   -4.5700,   -3.2751,   -2.8075,   -3.6806,   -2.3175,   -1.7784,   -1.1214,   -1.4243,   -2.4596,   -3.3374,    0.5891,   -2.1058,   -2.0362,    0.3015,   -2.3306,   -2.8596,    0.4788,   -2.1919,   -4.3179
196604,    7.6484,    5.3844,   11.1837,    6.6655,    7.2795,   10.0685,    4.0641,    6.4986,    2.5345,    4.4502,   14.3018,    4.5450,    4.5812,    7.6902,    6.5872,    4.3202,    1.9139,    0.9040,    5.9129,    4.0151,    6.0492,    3.8961,    0.8554,    4.2087,    2.9482,    3.7797,    3.6501,    4.4918,    1.6246,    2.6332,    1.4031,    0.4723,    5.3675,    1.7177,    1.4730
196605,  -10.8178,  -12.3729,  -14.6935,   -8.2658,   -8.6838,  -16.2375,  -12.5305,  -11.1977,   -9.0210,   -6.5263,  -11.8905,  -11.6830,  -10.7243,   -8.0041,  -11.1225,   -6.7841,   -7.3114,   -9.8533,   -8.0387,   -9.2284,   -7.1130,   -8.1288,   -4.5515,   -6.4108,   -6.7670,   -4.4588,   -6.5953,   -7.3896,   -4.4940,   -4.3538,   -4.3957,   -5.1602,   -4.4184,   -4.6382,   -2.7468
196606,    2.1798,   -0.9500,   -1.7325,   -0.9626,    1.8359,    0.6623,    1.8484,    1.8349,   -0.0860,    4.0081,    0.9790,    0.4645,   -1.5932,    0.1866,    0.0576,    4.1354,    1.7268,    1.5251,   -0.1218,   -0.8091,   -0.8034,    0.6362,    0.4013,    2.0692,    0.6292,   -0.0151,   -2.3607,    3.4392,    0.2294,   -1.4838,   -2.3853,   -2.4491,   -1.2682,   -1.8851,    0.0179
196607,   -2.2620,   -2.0160,   -0.9836,   -0.8136,   -0.1333,   -1.4906,   -4.6808,    0.1303,   -4.1066,   -0.9715,   -2.7305,   -0.3175,   -1.6031,   -2.8060,   -1.6582,   -0.8697,   -0.1776,   -0.8772,   -3.2628,   -1.9143,    0.0738,   -1.8965,   -0.1002,   -2.3447,   -0.8780,   -1.5404,   -2.1489,   -3.4363,    0.1690,   -1.1519,    0.0544,   -2.6491,   -2.1089,   -2.2761,   -0.2389
196608,  -10.3239,  -10.3681,  -13.4648,  -10.8250,  -10.0803,  -10.5436,  -11.6160,  -10.1564,   -9.9916,   -9.7947,  -10.6969,  -12.9052,   -9.5439,   -8.7034,  -10.1078,   -7.4939,   -6.9323,   -8.0829,   -8.7579,   -9.6226,  -10.1021,   -7.2115,   -8.2500,   -8.0273,   -8.4679,   -8.3802,   -7.3735,   -9.5365,   -5.8915,   -9.9032,   -7.3622,   -6.3435,   -6.8338,   -7.1422,   -7.7811
196609,   -0.7688,   -2.0776,   -0.2220,   -0.6532,   -0.3229,   -3.0714,   -2.9816,   -2.1005,   -1.9277,   -1.3858,    0.2020,   -3.2827,   -0.7899,   -1.3057,   -1.8823,   -0.1923,   -0.2337,   -1.6207,   -0.9598,   -5.4775,   -3.0748,   -0.1661,    1.2199,   -1.8285,   -0.4380,   -2.3627,   -0.8064,   -3.4054,    3.0838,    2.6749,   -1.9757,    0.2922,   -2.9844,   -0.7738,   -3.4322
196610,   -3.4610,   -4.8098,   -2.1934,   -4.4340,   -2.8554,   -3.4857,   -6.2915,    0.2475,   -2.7478,   -2.3605,    3.9716,   -0.8288,   -2.1981,   -3.9599,    2.0859,    2.0824,    0.7536,    2.2691,    2.4252,    3.8485,    0.4699,    1.2001,    7.1614,    4.4216,    3.8868,    0.6491,   -0.4236,   -0.2925,    8.4626,    8.7589,    2.5653,    4.4852,    3.2684,    7.3142,    1.5622
196611,    3.3665,    2.9429,    5.2618,    3.5493,    4.0956,    8.2154,    4.9998,    2.0235,    2.9048,    8.9533,    1.5905,    3.5381,    4.3706,    4.3915,    5.3145,    2.2302,    2.2424,    4.5404,    7.8654,    4.9318,    6.1469,    1.2588,   -1.0267,    2.5607,    0.5853,    5.6759,    5.0273,   11.3608,   -1.3238,   -0.2119,    0.3248,    0.5378,    7.0042,    0.7791,    5.4288
196612,    0.4731,    1.9882,    0.4226,    1.3674,    4.2551,    0.3020,    2.9933,    1.1106,    2.3883,    3.9646,   -0.2330,    1.3485,    0.6582,    2.9260,    1.6202,    2.5821,    1.3909,    2.0513,    0.8499,    2.5485,    4.2901,    0.7830,    3.4806,    5.5266,    1.1878,    1.7010,    2.2501,    3.5867,   -1.6281,    2.8749,    0.1478,   -2.3821,   -0.3208,    1.5401,    1.9160
196701,   17.6809,   18.3562,   20.7371,   20.3474,   20.8161,   18.9769,   20.6651,   18.8873,   15.5760,   24.7585,   12.6365,   18.5999,   18.9370,   18.6811,   15.9060,   10.9949,   16.4182,   14.3810,   12.8097,   13.1705,   14.5316,   11.3995,    4.7078,    7.5941,    8.0438,   12.2435,   12.6468,   12.9153,    4.6995,    5.5856,    8.8093,    6.7681,    8.8003,    6.8183,    8.4759
196702,    5.7438,    5.9341,    3.4326,    5.1201,    5.3007,    5.5572,    7.5261,    3.5332,    3.8533,    4.2681,    1.7547,    0.1791,    2.8218,    2.0690,    2.5505,    1.8151,   -0.8408,    1.3718,    1.8917,   -0.9793,    0.0709,    0.1081,   -1.2676,    0.0488,    1.7852,   -0.7907,    2.2169,    3.6247,   -0.6237,   -1.8044,    0.3499,    0.2357,    4.3060,    1.6695,    1.9836
196703,    5.5387,    5.5814,    9.6023,   10.4338,    6.9639,    5.1410,    5.7447,    5.7914,    6.1574,    9.7969,    8.8817,    6.4477,    6.8388,    3.2458,    5.1293,    1.0521,    5.4898,    5.6357,    7.4807,    7.9063,    8.7007,    5.1542,    3.4812,    4.4787,    2.6560,    8.2617,    5.4913,    6.7746,    3.9431,    2.5448,    3.6547,    2.2377,    4.7458,    5.6191,    5.3127
196704,    6.4876,    3.8222,    4.8151,    5.5956,    4.0776,    6.8206,    3.0402,    4.7033,    5.0521,    6.0442,    2.1128,    4.3125,    4.0935,    4.6312,    3.9410,    5.6150,    4.0056,    5.1119,    5.5503,    5.8723,    2.7699,    3.5931,    0.7771,    7.3672,    3.7066,    5.3458,    7.0166,    6.7677,    2.0076,    2.1696,    5.4002,    5.9550,    8.7615,    1.1122,    3.5500
196705,    0.5311,   -0.1798,   -0.5701,   -2.4225,    1.2089,   -2.6310,    1.1187,    0.7635,   -2.4075,   -1.3738,   -0.6382,   -2.1147,   -0.4258,   -5.2422,   -2.4448,   -1.0227,   -3.7228,   -1.6859,   -4.6535,   -1.2450,   -1.4797,   -2.8324,   -2.4403,   -3.2311,   -3.1096,   -1.6886,   -2.8054,   -0.3551,   -2.9606,   -3.6268,   -5.6548,   -5.3005,   -5.2148,   -5.4270,   -5.2857
196706,   12.0784,   11.6323,   14.0505,    9.0167,   13.4706,    9.0825,   17.6009,    7.5975,    9.4281,    4.9167,    3.8922,    7.0417,    9.3332,   11.3787,    6.6787,    2.5450,    1.9512,    7.7243,    5.6226,    6.9875,    4.9010,    2.6602,    0.9077,    1.0807,    1.5119,    6.3979,    7.3786,    4.3396,    1.7755,    0.6659,   -0.7914,    1.4185,    3.0572,    2.5652,    3.3670
196707,   10.6652,    8.6991,   14.2221,    5.4247,    8.8585,    9.0011,   10.4479,   10.4318,    6.5910,   10.1435,    9.7621,    6.2510,   10.1076,    6.5786,    8.5375,    4.0172,    5.6863,    7.0504,    6.2576,    3.5816,    5.4272,    5.8859,    5.2791,    6.5979,    3.0092,    2.7681,    8.7655,    6.2823,    8.8238,    4.6914,    6.4026,    4.2116,    4.2182,    0.0595,    4.0488
196708,    1.2311,    0.5143,    3.0397,    0.5346,    0.8137,   -0.0176,   -0.5453,    0.3049,   -0.6145,   -1.5669,    0.9624,   -2.7358,   -1.1090,   -0.8413,    1.5223,    0.7570,    1.1633,   -0.7785,    0.1512,   -1.2484,   -2.4989,   -0.2860,   -2.0486,    2.6487,   -0.4010,   -2.3724,   -0.2178,   -1.3357,   -1.5074,   -0.2020,   -1.0283,   -0.3590,   -0.4246,   -1.0478,   -0.7680
196709,    8.9328,    8.5125,    4.9296,    7.0849,    7.5218,    9.7395,   10.1147,    5.2021,    4.1533,    5.9683,    6.4126,    3.6059,    3.0227,    3.3811,    3.8842,    1.1681,    1.2509,    5.1027,    4.1760,    2.1827,    3.0632,    2.4427,   -1.1087,    1.9780,    3.8861,    4.0297,    3.7397,    2.9677,    2.3275,    0.5316,    4.3792,    2.3783,    3.2041,    5.1038,    1.3900
196710,   -1.9147,   -0.6787,   -2.4206,   -0.5674,   -4.1580,   -1.1878,   -2.8329,   -1.9960,   -1.6099,   -4.0107,   -1.5084,   -5.4974,   -5.0027,   -3.1315,   -1.4296,   -4.6651,   -3.0395,   -3.5277,   -2.4371,   -3.6933,   -4.2764,   -3.4622,   -4.5415,   -5.6876,   -5.2491,   -4.6531,   -3.3669,   -5.1108,   -4.3337,   -5.2925,   -3.0021,   -2.0027,   -2.0155,    0.7876,   -3.0313
196711,   -0.1818,   -0.4723,    4.3074,   -2.0661,    0.0373,    0.2913,    0.0864,    0.0657,    0.6330,   -2.4111,    0.6583,   -1.1601,    2.2431,    3.0629,    0.5507,    1.9293,   -0.0172,    0.5981,   -0.1616,   -0.3155,    0.9727,   -0.0610,    0.7347,    0.4005,    0.3227,    2.7838,    1.4534,    1.8461,   -0.3169,    1.4392,   -0.7346,    1.5511,    0.7240,    1.5815,    0.9516
196712,    9.9627,   10.5743,    6.8853,    9.0516,    9.6729,   12.2964,   11.6156,    7.3869,    9.0375,    5.7699,    6.7810,    7.0405,    8.8246,    9.3865,    6.6739,    3.1602,    9.4558,    3.1172,    3.6695,   10.3917,    7.7280,    4.4103,    2.2629,    4.0197,    1.1757,    2.0952,    3.7824,    2.7455,    0.9072,    2.2131,    3.5406,    3.3631,    3.6269,    1.3698,    3.1717
196801,    2.4951,    5.0828,    4.0171,    0.1196,    3.7838,    0.4786,    3.8093,    4.1893,    1.1500,   -0.0659,    1.3343,   -0.8064,   -3.3368,   -4.3198,   -0.8627,    2.0404,   -2.8949,   -0.8273,   -4.5836,   -2.6805,   -3.8840,   -0.8223,   -1.9408,   -0.9480,   -3.8977,   -4.7649,   -6.2047,   -7.2899,   -3.9873,   -2.1937,   -4.0415,   -4.5926,   -8.8034,   -3.4661,   -6.8674
196802,   -5.9457,   -7.2169,   -6.9345,   -6.6853,   -7.0845,   -7.5674,   -8.7079,   -6.3603,   -4.3010,   -4.3887,   -5.3155,   -3.2653,   -9.0362,   -9.0745,   -4.0050,   -1.0425,   -4.9296,   -6.0828,   -2.9293,   -6.5857,   -7.1640,   -3.7071,   -2.3869,   -2.2479,   -3.0386,   -5.3435,   -4.6424,   -9.2596,   -2.3973,   -2.0282,   -1.9645,   -2.8596,   -3.5554,   -2.9323,   -2.6694
